"times","open","high","low","close","volume","symbol","market"
2019-05-29,10.278,10.28,10.27,10.27,3600,"ANDAU","NASDAQ"
2019-05-30,10.27,10.27,10.27,10.27,0,"ANDAU","NASDAQ"
2019-05-31,11.03,11.03,11.03,11.03,1300,"ANDAU","NASDAQ"
2019-06-03,10.3,10.3,10.3,10.3,4500,"ANDAU","NASDAQ"
2019-06-04,10.3,10.3,10.3,10.3,100,"ANDAU","NASDAQ"
2019-06-05,10.3,10.3,10.3,10.3,0,"ANDAU","NASDAQ"
2019-06-06,10.3,10.3,10.3,10.3,0,"ANDAU","NASDAQ"
2019-06-07,10.28,10.2901,10.28,10.29,1200,"ANDAU","NASDAQ"
2019-06-10,10.29,10.29,10.29,10.29,200,"ANDAU","NASDAQ"
2019-06-11,10.29,10.29,10.29,10.29,0,"ANDAU","NASDAQ"
2019-06-12,10.29,10.29,10.29,10.29,0,"ANDAU","NASDAQ"
2019-06-13,10.29,10.29,10.29,10.29,0,"ANDAU","NASDAQ"
2019-06-14,10.29,10.29,10.29,10.29,0,"ANDAU","NASDAQ"
2019-06-17,10.282,10.282,10.282,10.282,100,"ANDAU","NASDAQ"
2019-06-18,10.282,10.282,10.282,10.282,0,"ANDAU","NASDAQ"
2019-06-19,10.28,10.28,10.28,10.28,1500,"ANDAU","NASDAQ"
2019-06-20,10.28,10.28,10.28,10.28,0,"ANDAU","NASDAQ"
2019-06-21,10.28,10.28,10.28,10.28,0,"ANDAU","NASDAQ"
2019-06-24,10.3,10.3,10.3,10.3,100,"ANDAU","NASDAQ"
2019-06-25,10.265,10.3,10.265,10.3,2600,"ANDAU","NASDAQ"
2019-06-26,10.29,10.29,10.2906,10.29,500,"ANDAU","NASDAQ"
2019-06-27,10.265,10.3,10.265,10.3,2100,"ANDAU","NASDAQ"
2019-06-28,10.28,10.36,10.28,10.28,4400,"ANDAU","NASDAQ"
2019-07-01,10.28,10.281,10.28,10.28,0,"ANDAU","NASDAQ"
2019-07-02,10.28,10.28,10.28,10.28,1800,"ANDAU","NASDAQ"
2019-07-03,10.28,10.28,10.28,10.28,0,"ANDAU","NASDAQ"
2019-07-05,10.28,10.28,10.28,10.28,0,"ANDAU","NASDAQ"
2019-07-08,10.29,10.29,10.28,10.28,2000,"ANDAU","NASDAQ"
2019-07-09,10.28,10.28,10.28,10.28,0,"ANDAU","NASDAQ"
2019-07-10,10.28,10.28,10.28,10.28,0,"ANDAU","NASDAQ"
2019-07-11,10.28,10.28,10.2797,10.28,0,"ANDAU","NASDAQ"
2019-07-12,10.28,10.28,10.28,10.28,0,"ANDAU","NASDAQ"
2019-07-15,10.28,10.28,10.23,10.28,9900,"ANDAU","NASDAQ"
2019-07-16,10.29,10.3,10.29,10.3,3300,"ANDAU","NASDAQ"
2019-07-17,10.3,10.33,10.3,10.33,31800,"ANDAU","NASDAQ"
2019-07-18,10.34,10.34,10.34,10.34,4500,"ANDAU","NASDAQ"
2019-07-19,10.35,10.35,10.35,10.35,5100,"ANDAU","NASDAQ"
2019-07-22,10.35,10.35,10.35,10.35,100,"ANDAU","NASDAQ"
2019-07-23,10.33,10.33,10.3295,10.33,100,"ANDAU","NASDAQ"
2019-07-24,10.3296,10.33,10.33,10.33,0,"ANDAU","NASDAQ"
2019-07-25,10.33,10.3296,10.33,10.33,300,"ANDAU","NASDAQ"
2019-07-26,10.33,10.33,10.33,10.33,24400,"ANDAU","NASDAQ"
2019-07-29,10.33,10.33,10.33,10.33,24400,"ANDAU","NASDAQ"
2019-07-30,10.33,10.33,10.33,10.33,24400,"ANDAU","NASDAQ"
2019-07-31,10.35,10.4,10.35,10.4,12300,"ANDAU","NASDAQ"
2019-08-01,10.35,10.4,10.325,10.4,200,"ANDAU","NASDAQ"
2019-08-02,10.35,10.35,10.35,10.35,100,"ANDAU","NASDAQ"
2019-08-05,10.35,10.35,10.35,10.35,100,"ANDAU","NASDAQ"
2019-08-06,10.3,10.35,10.3,10.34,6900,"ANDAU","NASDAQ"
2019-08-07,10.3,10.35,10.3,10.34,6900,"ANDAU","NASDAQ"
2019-08-08,10.375,10.4,10.375,10.4,15100,"ANDAU","NASDAQ"
2019-08-09,10.375,10.4,10.3748,10.4,15100,"ANDAU","NASDAQ"
2019-08-12,10.375,10.4,10.3757,10.4,15100,"ANDAU","NASDAQ"
2019-08-13,10.4,10.4,10.4,10.4,200,"ANDAU","NASDAQ"
2019-08-14,10.41,10.41,10.41,10.41,8900,"ANDAU","NASDAQ"
2019-08-15,10.41,10.41,10.41,10.41,8900,"ANDAU","NASDAQ"
2019-08-16,10.41,10.41,10.41,10.41,0,"ANDAU","NASDAQ"
2019-08-19,10.41,10.41,10.4,10.4,600,"ANDAU","NASDAQ"
2019-08-20,10.4,10.4,10.4,10.4,0,"ANDAU","NASDAQ"
2019-08-21,10.41,10.41,10.41,10.41,2100,"ANDAU","NASDAQ"
2019-08-22,10.43,10.43,10.43,10.43,1100,"ANDAU","NASDAQ"
2019-08-23,10.41,10.43,10.41,10.43,6200,"ANDAU","NASDAQ"
2019-08-26,10.42,10.42,10.42,10.42,200,"ANDAU","NASDAQ"
2019-08-27,10.42,10.42,10.42,10.42,0,"ANDAU","NASDAQ"
2019-08-28,10.42,10.42,10.42,10.42,0,"ANDAU","NASDAQ"
2019-08-29,10.42,10.42,10.42,10.42,0,"ANDAU","NASDAQ"
2019-08-30,10.42,10.42,10.42,10.42,3100,"ANDAU","NASDAQ"
2019-09-03,10.41,10.41,10.41,10.41,200,"ANDAU","NASDAQ"
2019-09-04,10.41,10.41,10.29,10.38,400,"ANDAU","NASDAQ"
2019-09-05,10.43,10.43,10.43,10.43,100,"ANDAU","NASDAQ"
2019-09-06,10.4,10.4,10.4,10.4,100,"ANDAU","NASDAQ"
2019-09-09,10.4,10.4,10.4,10.4,0,"ANDAU","NASDAQ"
2019-09-10,10.435,10.435,10.365,10.42,5500,"ANDAU","NASDAQ"
2019-09-11,10.42,10.42,10.42,10.42,100,"ANDAU","NASDAQ"
2019-09-12,10.42,10.42,10.42,10.42,0,"ANDAU","NASDAQ"
2019-09-13,10.43,10.43,10.43,10.43,52000,"ANDAU","NASDAQ"
2019-09-16,10.43,10.43,10.43,10.43,0,"ANDAU","NASDAQ"
2019-09-17,10.43,10.43,10.43,10.43,0,"ANDAU","NASDAQ"
2019-09-18,10.43,10.43,10.43,10.43,0,"ANDAU","NASDAQ"
2019-09-19,10.43,10.43,10.43,10.43,0,"ANDAU","NASDAQ"
2019-09-20,10.43,10.43,10.43,10.43,0,"ANDAU","NASDAQ"
2019-09-23,10.43,10.43,10.43,10.43,0,"ANDAU","NASDAQ"
2019-09-24,10.441,10.441,10.43,10.43,2400,"ANDAU","NASDAQ"
2019-09-25,10.41,10.41,10.41,10.41,100,"ANDAU","NASDAQ"
2019-09-26,10.41,10.41,10.41,10.41,0,"ANDAU","NASDAQ"
2019-09-27,10.41,10.41,10.41,10.41,0,"ANDAU","NASDAQ"
2019-09-30,10.41,10.5,10.41,10.5,3000,"ANDAU","NASDAQ"
2019-10-01,10.5,10.5,10.5,10.5,0,"ANDAU","NASDAQ"
2019-10-02,10.5,10.5,10.5,10.5,0,"ANDAU","NASDAQ"
2019-10-03,10.429,10.45,10.429,10.444,4800,"ANDAU","NASDAQ"
2019-10-04,10.5,10.5,10.47,10.47,1500,"ANDAU","NASDAQ"
2019-10-07,10.47,10.47,10.47,10.47,0,"ANDAU","NASDAQ"
2019-10-08,10.47,10.47,10.47,10.47,0,"ANDAU","NASDAQ"
2019-10-09,10.452,10.5,10.452,10.5,29300,"ANDAU","NASDAQ"
2019-10-10,10.5,10.5,10.5,10.5,0,"ANDAU","NASDAQ"
2019-10-11,10.5,10.5,10.5,10.5,2600,"ANDAU","NASDAQ"
2019-10-14,10.5,10.5,10.5,10.5,0,"ANDAU","NASDAQ"
2019-10-15,10.5,10.5,10.5,10.5,0,"ANDAU","NASDAQ"
2019-10-16,10.5,10.5,10.5,10.5,0,"ANDAU","NASDAQ"
2019-10-17,10.5,10.5,10.5,10.5,0,"ANDAU","NASDAQ"
