"times","open","high","low","close","volume","symbol","market"
2019-05-30,19.28,19.61,19.22,19.35,114600,"ANGO","NASDAQ"
2019-05-31,19.13,19.13,18.66,18.79,252600,"ANGO","NASDAQ"
2019-06-03,18.79,19.01,18.46,18.78,241700,"ANGO","NASDAQ"
2019-06-04,19.0489,19.25,18.84,19.15,153600,"ANGO","NASDAQ"
2019-06-05,19.2,19.31,19,19.09,257300,"ANGO","NASDAQ"
2019-06-06,19.11,19.16,18.84,19.07,108300,"ANGO","NASDAQ"
2019-06-07,19.13,19.42,19.13,19.24,83400,"ANGO","NASDAQ"
2019-06-10,19.31,19.5788,19.26,19.52,93900,"ANGO","NASDAQ"
2019-06-11,19.63,19.75,19.18,19.46,179300,"ANGO","NASDAQ"
2019-06-12,19.4997,19.665,19.36,19.43,72100,"ANGO","NASDAQ"
2019-06-13,19.51,19.66,19.22,19.58,148400,"ANGO","NASDAQ"
2019-06-14,19.55,19.6483,19.41,19.5,83900,"ANGO","NASDAQ"
2019-06-17,19.54,19.76,19.36,19.39,165600,"ANGO","NASDAQ"
2019-06-18,19.49,19.82,19.48,19.58,123900,"ANGO","NASDAQ"
2019-06-19,19.55,19.69,19.4,19.61,99800,"ANGO","NASDAQ"
2019-06-20,19.82,19.9,19.32,19.43,147900,"ANGO","NASDAQ"
2019-06-21,19.35,19.71,19.35,19.4,470900,"ANGO","NASDAQ"
2019-06-24,19.41,19.69,19.24,19.36,144300,"ANGO","NASDAQ"
2019-06-25,19.4,19.82,19.25,19.77,165000,"ANGO","NASDAQ"
2019-06-26,19.72,19.75,19.22,19.25,170200,"ANGO","NASDAQ"
2019-06-27,19.31,19.495,19.31,19.48,153700,"ANGO","NASDAQ"
2019-06-28,19.53,19.83,19.495,19.69,324400,"ANGO","NASDAQ"
2019-07-01,19.89,19.93,19.6195,19.86,205200,"ANGO","NASDAQ"
2019-07-02,19.87,20.1,19.5,20.05,218400,"ANGO","NASDAQ"
2019-07-03,20.14,20.39,20.06,20.23,182700,"ANGO","NASDAQ"
2019-07-05,20.17,20.49,20.135,20.43,140100,"ANGO","NASDAQ"
2019-07-08,20.39,20.45,20.07,20.36,155800,"ANGO","NASDAQ"
2019-07-09,20.24,20.55,20.23,20.5,240500,"ANGO","NASDAQ"
2019-07-10,21,21.24,20.25,21.06,510200,"ANGO","NASDAQ"
2019-07-11,21.29,22.09,21.21,21.89,384300,"ANGO","NASDAQ"
2019-07-12,21.76,21.76,21.35,21.68,275100,"ANGO","NASDAQ"
2019-07-15,21.6503,21.88,21.49,21.77,164400,"ANGO","NASDAQ"
2019-07-16,21.73,21.8492,21.39,21.4,226000,"ANGO","NASDAQ"
2019-07-17,21.2913,21.63,21.19,21.54,236200,"ANGO","NASDAQ"
2019-07-18,21.43,21.7,21.43,21.53,110200,"ANGO","NASDAQ"
2019-07-19,21.41,21.9,21.17,21.19,256000,"ANGO","NASDAQ"
2019-07-22,21.1,21.5,21.08,21.38,191900,"ANGO","NASDAQ"
2019-07-23,21.37,21.48,21.12,21.25,169600,"ANGO","NASDAQ"
2019-07-24,21.13,21.58,21.1277,21.58,183700,"ANGO","NASDAQ"
2019-07-25,21.59,21.59,20.97,20.98,134000,"ANGO","NASDAQ"
2019-07-26,21.06,21.28,20.58,20.89,169700,"ANGO","NASDAQ"
2019-07-29,20.91,20.97,20.68,20.91,322100,"ANGO","NASDAQ"
2019-07-30,20.71,21.01,20.71,20.93,143100,"ANGO","NASDAQ"
2019-07-31,20.83,21.08,20.34,20.38,585000,"ANGO","NASDAQ"
2019-08-01,20.4,20.84,20.13,20.35,199300,"ANGO","NASDAQ"
2019-08-02,20.32,20.39,19.77,20.3,167500,"ANGO","NASDAQ"
2019-08-05,20.01,20.01,19.2,19.43,260700,"ANGO","NASDAQ"
2019-08-06,19.5396,19.9,19.5,19.83,262500,"ANGO","NASDAQ"
2019-08-07,19.63,19.92,19.48,19.78,211100,"ANGO","NASDAQ"
2019-08-08,19.83,19.99,19.78,19.94,199500,"ANGO","NASDAQ"
2019-08-09,19.93,20.04,19.5,19.51,348200,"ANGO","NASDAQ"
2019-08-12,19.49,19.8,19.4,19.67,133200,"ANGO","NASDAQ"
2019-08-13,19.61,19.74,19,19.11,195500,"ANGO","NASDAQ"
2019-08-14,18.88,19.19,18.525,18.7,189600,"ANGO","NASDAQ"
2019-08-15,18.73,18.92,18.6814,18.75,138000,"ANGO","NASDAQ"
2019-08-16,18.8595,19.13,18.79,18.97,96700,"ANGO","NASDAQ"
2019-08-19,19.13,19.35,18.71,19.1,135400,"ANGO","NASDAQ"
2019-08-20,19.1,19.34,18.84,18.88,118300,"ANGO","NASDAQ"
2019-08-21,18.95,19.03,18.82,18.96,76000,"ANGO","NASDAQ"
2019-08-22,19.04,19.13,18.66,18.68,81100,"ANGO","NASDAQ"
2019-08-23,18.46,18.65,18.25,18.32,222700,"ANGO","NASDAQ"
2019-08-26,18.48,18.76,18.35,18.7,136900,"ANGO","NASDAQ"
2019-08-27,18.83,18.83,18.22,18.27,206700,"ANGO","NASDAQ"
2019-08-28,18.23,18.73,18.23,18.35,94200,"ANGO","NASDAQ"
2019-08-29,18.53,18.77,18.35,18.46,125200,"ANGO","NASDAQ"
2019-08-30,18.5,18.53,18.19,18.37,108600,"ANGO","NASDAQ"
2019-09-03,18.25,18.44,18.05,18.17,255700,"ANGO","NASDAQ"
2019-09-04,18.31,18.42,17.67,17.78,196800,"ANGO","NASDAQ"
2019-09-05,18,18.3,17.82,18.09,184600,"ANGO","NASDAQ"
2019-09-06,18.14,18.23,17.87,17.99,110500,"ANGO","NASDAQ"
2019-09-09,18.05,18.23,17.8,18.16,143400,"ANGO","NASDAQ"
2019-09-10,18.16,18.22,17.78,18.15,171000,"ANGO","NASDAQ"
2019-09-11,18.22,18.84,18.17,18.69,157900,"ANGO","NASDAQ"
2019-09-12,18.76,18.8,18.34,18.39,316800,"ANGO","NASDAQ"
2019-09-13,18.49,18.65,18.32,18.49,153600,"ANGO","NASDAQ"
2019-09-16,18.42,18.72,18.37,18.68,178900,"ANGO","NASDAQ"
2019-09-17,18.64,18.83,18.58,18.59,152600,"ANGO","NASDAQ"
2019-09-18,18.64,18.69,18.33,18.54,217100,"ANGO","NASDAQ"
2019-09-19,18.59,18.77,18.44,18.71,172100,"ANGO","NASDAQ"
2019-09-20,18.72,19.32,18.72,19.25,449900,"ANGO","NASDAQ"
2019-09-23,19.14,19.59,19.07,19.26,144000,"ANGO","NASDAQ"
2019-09-24,19.28,19.45,18.55,18.85,135400,"ANGO","NASDAQ"
2019-09-25,18.84,18.99,18.54,18.81,155800,"ANGO","NASDAQ"
2019-09-26,18.82,18.96,18.29,18.36,101400,"ANGO","NASDAQ"
2019-09-27,18.4,18.4,17.8,18.03,164600,"ANGO","NASDAQ"
2019-09-30,18.04,18.56,17.93,18.42,226700,"ANGO","NASDAQ"
2019-10-01,18.45,18.7,18.08,18.16,214000,"ANGO","NASDAQ"
2019-10-02,18.04,18.25,17.5,17.71,211900,"ANGO","NASDAQ"
2019-10-03,15.9,16.78,14.07,15.16,1223900,"ANGO","NASDAQ"
2019-10-04,14.52,15.36,13.72,14.6,931800,"ANGO","NASDAQ"
2019-10-07,14.65,14.99,14.6,14.64,616700,"ANGO","NASDAQ"
2019-10-08,14.55,14.73,14.47,14.6,386000,"ANGO","NASDAQ"
2019-10-09,14.68,14.91,14.43,14.57,184000,"ANGO","NASDAQ"
2019-10-10,14.63,14.64,14.32,14.43,314900,"ANGO","NASDAQ"
2019-10-11,14.53,14.88,14.48,14.52,358500,"ANGO","NASDAQ"
2019-10-14,14.53,14.86,14.52,14.73,250300,"ANGO","NASDAQ"
2019-10-15,14.88,15.31,14.77,15.02,370400,"ANGO","NASDAQ"
2019-10-16,15.02,15.14,14.69,14.71,261100,"ANGO","NASDAQ"
2019-10-17,14.74,15.02,14.74,15.01,312400,"ANGO","NASDAQ"
2019-10-18,14.96,14.96,14.55,14.63,274970,"ANGO","NASDAQ"
