"times","open","high","low","close","volume","symbol","market"
2019-05-30,4.02,4.29,4.02,4.28,24400,"ANIX","NASDAQ"
2019-05-31,4.2699,4.27,4.111,4.17,9200,"ANIX","NASDAQ"
2019-06-03,4.21,4.22,3.9702,3.98,59300,"ANIX","NASDAQ"
2019-06-04,4,4.132,4,4.07,18000,"ANIX","NASDAQ"
2019-06-05,4.08,4.1397,3.94,3.94,31900,"ANIX","NASDAQ"
2019-06-06,4.05,4.27,4.05,4.19,57800,"ANIX","NASDAQ"
2019-06-07,4.34,4.34,4.005,4.24,34500,"ANIX","NASDAQ"
2019-06-10,4.18,4.2999,4.18,4.28,18700,"ANIX","NASDAQ"
2019-06-11,4.304,4.304,4.1,4.18,32200,"ANIX","NASDAQ"
2019-06-12,4.15,4.15,3.951,4.03,48100,"ANIX","NASDAQ"
2019-06-13,4.01,4.16,4.01,4.12,15500,"ANIX","NASDAQ"
2019-06-14,4.1,4.19,4.02,4.15,16000,"ANIX","NASDAQ"
2019-06-17,4.15,4.21,4,4.21,14800,"ANIX","NASDAQ"
2019-06-18,4.11,4.32,4.011,4.14,31100,"ANIX","NASDAQ"
2019-06-19,4.16,4.28,4.115,4.23,11300,"ANIX","NASDAQ"
2019-06-20,4.19,4.32,3.98,4.04,63600,"ANIX","NASDAQ"
2019-06-21,4,4.147,3.8,3.8,64200,"ANIX","NASDAQ"
2019-06-24,3.8,3.83,3.37,3.77,100400,"ANIX","NASDAQ"
2019-06-25,3.8,3.91,3.51,3.67,47400,"ANIX","NASDAQ"
2019-06-26,3.65,3.65,3.39,3.5,89200,"ANIX","NASDAQ"
2019-06-27,3.5,3.69,3.44,3.47,31300,"ANIX","NASDAQ"
2019-06-28,3.45,3.671,3.45,3.63,21500,"ANIX","NASDAQ"
2019-07-01,3.61,3.687,3.5,3.61,27400,"ANIX","NASDAQ"
2019-07-02,3.51,3.723,3.51,3.53,33600,"ANIX","NASDAQ"
2019-07-03,3.47,3.69,3.47,3.64,38300,"ANIX","NASDAQ"
2019-07-05,3.6,3.6901,3.52,3.649,9600,"ANIX","NASDAQ"
2019-07-08,3.64,3.6499,3.54,3.65,26900,"ANIX","NASDAQ"
2019-07-09,3.68,4.21,3.68,4.05,165500,"ANIX","NASDAQ"
2019-07-10,4.05,4.32,4.02,4.28,82600,"ANIX","NASDAQ"
2019-07-11,4.38,4.38,4.1,4.15,38600,"ANIX","NASDAQ"
2019-07-12,4.0903,4.27,4.08,4.1,82000,"ANIX","NASDAQ"
2019-07-15,4.14,4.2,3.8,4.17,43300,"ANIX","NASDAQ"
2019-07-16,4.1598,4.27,4.06,4.13,42100,"ANIX","NASDAQ"
2019-07-17,4.5,5.45,4.31,4.67,1549400,"ANIX","NASDAQ"
2019-07-18,4.57,4.8,4.38,4.55,278600,"ANIX","NASDAQ"
2019-07-19,4.49,4.59,4.2802,4.35,104000,"ANIX","NASDAQ"
2019-07-22,4.35,4.44,4.15,4.21,47600,"ANIX","NASDAQ"
2019-07-23,4.23,4.52,4.2099,4.38,36300,"ANIX","NASDAQ"
2019-07-24,4.43,4.8,4.41,4.61,72500,"ANIX","NASDAQ"
2019-07-25,4.63,4.71,4.52,4.52,28500,"ANIX","NASDAQ"
2019-07-26,4.6,4.78,4.6,4.7,48200,"ANIX","NASDAQ"
2019-07-29,4.71,4.97,4.59,4.59,89200,"ANIX","NASDAQ"
2019-07-30,4.63,4.83,4.61,4.69,59600,"ANIX","NASDAQ"
2019-07-31,4.73,4.93,4.66,4.69,41800,"ANIX","NASDAQ"
2019-08-01,4.75,4.86,4.54,4.57,44900,"ANIX","NASDAQ"
2019-08-02,4.58,4.6899,4.51,4.51,22100,"ANIX","NASDAQ"
2019-08-05,4.5,4.6,4.35,4.43,45300,"ANIX","NASDAQ"
2019-08-06,4.4,4.53,4.24,4.42,69700,"ANIX","NASDAQ"
2019-08-07,4.34,4.52,4.34,4.4,40200,"ANIX","NASDAQ"
2019-08-08,4.5,4.55,4.32,4.37,26000,"ANIX","NASDAQ"
2019-08-09,4.379,4.45,4.2,4.27,47800,"ANIX","NASDAQ"
2019-08-12,4.3,4.4,4.25,4.26,43400,"ANIX","NASDAQ"
2019-08-13,4.22,4.364,4.22,4.31,24400,"ANIX","NASDAQ"
2019-08-14,4.33,4.39,4.12,4.18,68400,"ANIX","NASDAQ"
2019-08-15,4.21,4.25,3.82,4,120000,"ANIX","NASDAQ"
2019-08-16,4.05,4.25,4.05,4.22,15600,"ANIX","NASDAQ"
2019-08-19,4.32,4.32,4.12,4.19,34600,"ANIX","NASDAQ"
2019-08-20,4.17,4.38,4.02,4.18,81300,"ANIX","NASDAQ"
2019-08-21,4.19,4.3,4.07,4.07,72800,"ANIX","NASDAQ"
2019-08-22,4.06,4.26,4.03,4.25,51500,"ANIX","NASDAQ"
2019-08-23,4.22,4.28,4.04,4.1,49400,"ANIX","NASDAQ"
2019-08-26,4.13,4.18,4,4.13,99600,"ANIX","NASDAQ"
2019-08-27,4.09,4.1,4,4.07,64100,"ANIX","NASDAQ"
2019-08-28,4.09,4.17,4.03,4.12,65000,"ANIX","NASDAQ"
2019-08-29,4.14,4.14,4.01,4.01,41700,"ANIX","NASDAQ"
2019-08-30,4.08,4.09,3.96,3.97,59300,"ANIX","NASDAQ"
2019-09-03,3.98,3.99,3.85,3.97,30900,"ANIX","NASDAQ"
2019-09-04,3.89,4.18,3.89,4.11,30700,"ANIX","NASDAQ"
2019-09-05,4.06,4.18,3.96,3.99,37400,"ANIX","NASDAQ"
2019-09-06,3.97,4.11,3.97,4.04,12600,"ANIX","NASDAQ"
2019-09-09,4.04,4.18,3.91,4.13,44700,"ANIX","NASDAQ"
2019-09-10,4.12,4.18,3.95,3.95,51000,"ANIX","NASDAQ"
2019-09-11,3.92,4.1,3.92,4.04,32900,"ANIX","NASDAQ"
2019-09-12,4.12,4.14,3.95,3.96,9000,"ANIX","NASDAQ"
2019-09-13,3.99,4.14,3.99,4.12,44800,"ANIX","NASDAQ"
2019-09-16,4.04,4.3,4.04,4.1,59100,"ANIX","NASDAQ"
2019-09-17,4.23,4.34,4.22,4.25,70900,"ANIX","NASDAQ"
2019-09-18,4.27,4.43,4.25,4.25,60400,"ANIX","NASDAQ"
2019-09-19,4.25,4.39,4.25,4.33,40500,"ANIX","NASDAQ"
2019-09-20,4.39,4.44,4.26,4.3,52600,"ANIX","NASDAQ"
2019-09-23,4.34,4.34,4.22,4.26,41500,"ANIX","NASDAQ"
2019-09-24,4.25,4.27,4,4.08,81100,"ANIX","NASDAQ"
2019-09-25,4.08,4.09,3.9,4,63500,"ANIX","NASDAQ"
2019-09-26,4.03,4.08,3.82,4.01,66800,"ANIX","NASDAQ"
2019-09-27,4.05,4.08,3.94,3.94,20400,"ANIX","NASDAQ"
2019-09-30,4.08,4.14,3.92,4,26200,"ANIX","NASDAQ"
2019-10-01,4,4.07,3.8,3.87,48300,"ANIX","NASDAQ"
2019-10-02,3.81,3.92,3.7,3.8,76900,"ANIX","NASDAQ"
2019-10-03,3.81,3.91,3.76,3.81,29300,"ANIX","NASDAQ"
2019-10-04,3.87,3.95,3.68,3.76,42600,"ANIX","NASDAQ"
2019-10-07,3.75,3.91,3.75,3.85,14800,"ANIX","NASDAQ"
2019-10-08,3.85,4.03,3.85,3.88,42800,"ANIX","NASDAQ"
2019-10-09,3.96,4,3.68,3.71,69100,"ANIX","NASDAQ"
2019-10-10,3.74,3.87,3.61,3.66,39100,"ANIX","NASDAQ"
2019-10-11,3.69,3.8,3.67,3.75,23800,"ANIX","NASDAQ"
2019-10-14,3.75,3.75,3.51,3.52,61500,"ANIX","NASDAQ"
2019-10-15,3.55,3.73,3.55,3.7,26300,"ANIX","NASDAQ"
2019-10-16,3.69,3.75,3.59,3.68,26900,"ANIX","NASDAQ"
2019-10-17,3.69,3.7,3.6,3.67,9200,"ANIX","NASDAQ"
2019-10-18,3.7,3.87,3.69,3.87,24698,"ANIX","NASDAQ"
