"times","open","high","low","close","volume","symbol","market"
2019-05-30,1.62,1.7,1.61,1.69,5500,"ANTE","NASDAQ"
2019-05-31,1.65,1.7,1.65,1.69,10400,"ANTE","NASDAQ"
2019-06-03,1.7,1.7,1.62,1.64,5700,"ANTE","NASDAQ"
2019-06-04,1.62,1.71,1.59,1.69,20400,"ANTE","NASDAQ"
2019-06-05,1.65,1.65,1.58,1.65,17500,"ANTE","NASDAQ"
2019-06-06,1.58,1.62,1.58,1.6,13000,"ANTE","NASDAQ"
2019-06-07,1.71,1.89,1.66,1.68,18900,"ANTE","NASDAQ"
2019-06-10,1.73,1.76,1.62,1.64,30900,"ANTE","NASDAQ"
2019-06-11,1.65,1.84,1.53,1.53,16500,"ANTE","NASDAQ"
2019-06-12,1.58,1.78,1.52,1.65,32700,"ANTE","NASDAQ"
2019-06-13,1.7,1.84,1.66,1.66,9000,"ANTE","NASDAQ"
2019-06-14,1.52,1.79,1.5,1.64,16000,"ANTE","NASDAQ"
2019-06-17,1.61,1.7001,1.58,1.63,3400,"ANTE","NASDAQ"
2019-06-18,1.59,1.62,1.59,1.59,400,"ANTE","NASDAQ"
2019-06-19,1.6,1.6,1.42,1.58,24800,"ANTE","NASDAQ"
2019-06-20,1.57,1.57,1.54,1.54,9100,"ANTE","NASDAQ"
2019-06-21,1.54,1.56,1.5,1.56,15900,"ANTE","NASDAQ"
2019-06-24,1.57,1.59,1.54,1.59,5100,"ANTE","NASDAQ"
2019-06-25,1.53,1.69,1.53,1.54,8200,"ANTE","NASDAQ"
2019-06-26,1.52,1.73,1.5,1.71,14200,"ANTE","NASDAQ"
2019-06-27,1.54,1.6199,1.54,1.61,5200,"ANTE","NASDAQ"
2019-06-28,1.61,1.71,1.5,1.71,22900,"ANTE","NASDAQ"
2019-07-01,1.6799,1.71,1.58,1.58,7200,"ANTE","NASDAQ"
2019-07-02,1.58,1.62,1.54,1.55,4800,"ANTE","NASDAQ"
2019-07-03,1.67,1.67,1.66,1.66,300,"ANTE","NASDAQ"
2019-07-05,1.65,1.65,1.6,1.6,900,"ANTE","NASDAQ"
2019-07-08,1.55,1.57,1.55,1.57,1500,"ANTE","NASDAQ"
2019-07-09,1.58,1.58,1.58,1.58,4100,"ANTE","NASDAQ"
2019-07-10,1.58,1.59,1.58,1.59,1100,"ANTE","NASDAQ"
2019-07-11,1.51,1.6,1.5,1.58,6200,"ANTE","NASDAQ"
2019-07-12,1.5,1.62,1.5,1.62,21200,"ANTE","NASDAQ"
2019-07-15,1.65,1.65,1.59,1.64,16500,"ANTE","NASDAQ"
2019-07-16,1.55,1.61,1.51,1.58,11300,"ANTE","NASDAQ"
2019-07-17,1.58,1.58,1.57,1.57,500,"ANTE","NASDAQ"
2019-07-18,1.56,1.56,1.56,1.56,200,"ANTE","NASDAQ"
2019-07-19,1.52,1.61,1.46,1.58,26300,"ANTE","NASDAQ"
2019-07-22,1.51,1.54,1.42,1.51,12800,"ANTE","NASDAQ"
2019-07-23,1.49,1.56,1.34,1.52,62600,"ANTE","NASDAQ"
2019-07-24,1.44,1.44,1.4,1.42,9500,"ANTE","NASDAQ"
2019-07-25,1.46,1.49,1.46,1.49,1100,"ANTE","NASDAQ"
2019-07-26,1.34,1.5,1.34,1.44,5500,"ANTE","NASDAQ"
2019-07-29,1.42,1.42,1,1,10600,"ANTE","NASDAQ"
2019-07-30,1.27,1.33,1.23,1.26,46400,"ANTE","NASDAQ"
2019-07-31,1.27,1.3,1.21,1.27,6000,"ANTE","NASDAQ"
2019-08-01,1.12,1.27,1.11,1.27,3800,"ANTE","NASDAQ"
2019-08-02,1.12,1.25,1.06,1.25,1500,"ANTE","NASDAQ"
2019-08-05,1.15,1.24,1.15,1.24,800,"ANTE","NASDAQ"
2019-08-06,1.18,1.25,1.14,1.19,3000,"ANTE","NASDAQ"
2019-08-07,1.165,1.1651,1.04,1.06,15700,"ANTE","NASDAQ"
2019-08-08,1.07,1.07,1,1,28600,"ANTE","NASDAQ"
2019-08-09,1.15,1.15,1.01,1.01,500,"ANTE","NASDAQ"
2019-08-12,1.01,1.03,0.98,0.984,19100,"ANTE","NASDAQ"
2019-08-13,0.984,1,0.984,1,12700,"ANTE","NASDAQ"
2019-08-14,0.99,1,0.9899,1,2700,"ANTE","NASDAQ"
2019-08-15,0.98,1,0.98,0.99,19600,"ANTE","NASDAQ"
2019-08-16,0.99,1,0.95,1,67900,"ANTE","NASDAQ"
2019-08-19,1,1.01,0.97,1.01,93500,"ANTE","NASDAQ"
2019-08-20,0.99,1.02,0.99,1.01,11300,"ANTE","NASDAQ"
2019-08-21,0.99,0.99,0.93,0.97,88200,"ANTE","NASDAQ"
2019-08-22,0.97,0.97,0.95,0.97,5600,"ANTE","NASDAQ"
2019-08-23,1,1,0.94,0.94,26300,"ANTE","NASDAQ"
2019-08-26,0.94,0.98,0.9,0.98,66200,"ANTE","NASDAQ"
2019-08-27,0.93,0.97,0.91,0.97,63200,"ANTE","NASDAQ"
2019-08-28,0.94,0.94,0.93,0.94,1700,"ANTE","NASDAQ"
2019-08-29,0.97,0.97,0.97,0.97,400,"ANTE","NASDAQ"
2019-08-30,0.97,0.97,0.92,0.93,8300,"ANTE","NASDAQ"
2019-09-03,0.93,0.93,0.9,0.9,87000,"ANTE","NASDAQ"
2019-09-04,0.93,0.94,0.9,0.93,18100,"ANTE","NASDAQ"
2019-09-05,0.91,0.94,0.9,0.94,2100,"ANTE","NASDAQ"
2019-09-06,0.94,0.94,0.9,0.94,3800,"ANTE","NASDAQ"
2019-09-09,0.91,0.95,0.9,0.95,4100,"ANTE","NASDAQ"
2019-09-10,0.96,0.96,0.96,0.96,500,"ANTE","NASDAQ"
2019-09-11,0.95,1,0.95,1,16600,"ANTE","NASDAQ"
2019-09-12,0.96,1,0.96,0.99,50100,"ANTE","NASDAQ"
2019-09-13,1,1.07,0.96,1.04,41900,"ANTE","NASDAQ"
2019-09-16,1.04,1.04,1.04,1.04,600,"ANTE","NASDAQ"
2019-09-17,1.01,1.01,0.97,1,13600,"ANTE","NASDAQ"
2019-09-18,0.99,1,0.93,0.93,19600,"ANTE","NASDAQ"
2019-09-19,0.98,0.98,0.97,0.97,14900,"ANTE","NASDAQ"
2019-09-20,0.97,0.99,0.97,0.98,9400,"ANTE","NASDAQ"
2019-09-23,0.94,0.98,0.94,0.94,5800,"ANTE","NASDAQ"
2019-09-24,0.97,0.97,0.92,0.97,11100,"ANTE","NASDAQ"
2019-09-25,0.94,0.99,0.94,0.97,7100,"ANTE","NASDAQ"
2019-09-26,0.94,0.97,0.94,0.97,8000,"ANTE","NASDAQ"
2019-09-27,0.94,0.97,0.94,0.94,23600,"ANTE","NASDAQ"
2019-09-30,0.94,0.97,0.94,0.95,18600,"ANTE","NASDAQ"
2019-10-01,0.97,0.97,0.96,0.97,5600,"ANTE","NASDAQ"
2019-10-02,0.97,0.97,0.97,0.97,0,"ANTE","NASDAQ"
2019-10-03,0.93,0.96,0.93,0.93,24600,"ANTE","NASDAQ"
2019-10-04,0.93,0.95,0.93,0.95,12600,"ANTE","NASDAQ"
2019-10-07,0.93,0.94,0.93,0.94,10200,"ANTE","NASDAQ"
2019-10-08,0.92,0.95,0.92,0.95,4500,"ANTE","NASDAQ"
2019-10-09,0.95,0.95,0.95,0.95,0,"ANTE","NASDAQ"
2019-10-10,0.95,0.95,0.95,0.95,200,"ANTE","NASDAQ"
2019-10-11,0.95,0.95,0.92,0.95,14900,"ANTE","NASDAQ"
2019-10-14,0.95,0.95,0.92,0.92,8100,"ANTE","NASDAQ"
2019-10-15,0.94,1.18,0.94,1.12,326700,"ANTE","NASDAQ"
2019-10-16,1.07,1.12,1.02,1.03,53200,"ANTE","NASDAQ"
2019-10-17,1.03,1.18,1.01,1.02,31300,"ANTE","NASDAQ"
2019-10-18,1.05,1.12,1.02,1.065,11731,"ANTE","NASDAQ"
