"times","open","high","low","close","volume","symbol","market"
2019-05-30,1.71,1.83,1.71,1.71,8100,"ANY","NASDAQ"
2019-05-31,1.73,1.798,1.63,1.65,21200,"ANY","NASDAQ"
2019-06-03,1.7101,1.71,1.47,1.5,27200,"ANY","NASDAQ"
2019-06-04,1.53,1.825,1.42,1.64,88000,"ANY","NASDAQ"
2019-06-05,1.67,1.718,1.44,1.59,27300,"ANY","NASDAQ"
2019-06-06,1.57,1.63,1.446,1.56,47100,"ANY","NASDAQ"
2019-06-07,1.62,1.62,1.559,1.564,5700,"ANY","NASDAQ"
2019-06-10,1.56,1.56,1.5,1.535,18800,"ANY","NASDAQ"
2019-06-11,1.55,2.38,1.534,1.8,2561200,"ANY","NASDAQ"
2019-06-12,1.76,1.87,1.7199,1.82,182900,"ANY","NASDAQ"
2019-06-13,1.8,1.88,1.68,1.76,63800,"ANY","NASDAQ"
2019-06-14,1.76,1.76,1.59,1.61,51000,"ANY","NASDAQ"
2019-06-17,1.62,1.671,1.55,1.62,31600,"ANY","NASDAQ"
2019-06-18,1.65,1.65,1.53,1.632,39800,"ANY","NASDAQ"
2019-06-19,1.58,1.64,1.56,1.63,30500,"ANY","NASDAQ"
2019-06-20,1.63,1.673,1.57,1.57,37600,"ANY","NASDAQ"
2019-06-21,1.57,1.65,1.56,1.64,12400,"ANY","NASDAQ"
2019-06-24,1.62,1.64,1.57,1.61,23600,"ANY","NASDAQ"
2019-06-25,1.59,1.614,1.52,1.52,18700,"ANY","NASDAQ"
2019-06-26,1.57,1.6,1.5099,1.6,15100,"ANY","NASDAQ"
2019-06-27,1.55,1.61,1.521,1.6,16000,"ANY","NASDAQ"
2019-06-28,1.64,1.64,1.5,1.57,19200,"ANY","NASDAQ"
2019-07-01,1.59,1.59,1.557,1.56,10300,"ANY","NASDAQ"
2019-07-02,1.53,1.55,1.5,1.51,28700,"ANY","NASDAQ"
2019-07-03,1.51,1.525,1.47,1.514,29500,"ANY","NASDAQ"
2019-07-05,1.5,1.512,1.43,1.51,9000,"ANY","NASDAQ"
2019-07-08,1.509,1.51,1.46,1.488,9800,"ANY","NASDAQ"
2019-07-09,1.497,1.5,1.46,1.489,12500,"ANY","NASDAQ"
2019-07-10,1.5,1.59,1.45,1.53,31500,"ANY","NASDAQ"
2019-07-11,1.4689,1.5,1.466,1.49,14900,"ANY","NASDAQ"
2019-07-12,1.52,1.597,1.46,1.548,76000,"ANY","NASDAQ"
2019-07-15,1.54,1.54,1.45,1.47,19300,"ANY","NASDAQ"
2019-07-16,1.49,1.5,1.43,1.43,35000,"ANY","NASDAQ"
2019-07-17,1.41,1.48,1.4,1.45,17500,"ANY","NASDAQ"
2019-07-18,1.45,1.45,1.32,1.41,11200,"ANY","NASDAQ"
2019-07-19,1.445,2.08,1.4451,1.65,1553000,"ANY","NASDAQ"
2019-07-22,1.57,1.75,1.41,1.61,156100,"ANY","NASDAQ"
2019-07-23,1.6,1.63,1.51,1.54,18700,"ANY","NASDAQ"
2019-07-24,1.56,1.6,1.45,1.6,42600,"ANY","NASDAQ"
2019-07-25,1.59,1.63,1.44,1.52,35400,"ANY","NASDAQ"
2019-07-26,1.51,1.59,1.5,1.524,7200,"ANY","NASDAQ"
2019-07-29,1.56,1.71,1.5,1.59,145300,"ANY","NASDAQ"
2019-07-30,1.56,1.63,1.52,1.59,22800,"ANY","NASDAQ"
2019-07-31,1.55,1.562,1.5,1.5,74100,"ANY","NASDAQ"
2019-08-01,1.54,1.54,1.28,1.43,63200,"ANY","NASDAQ"
2019-08-02,1.359,1.42,1.359,1.37,5600,"ANY","NASDAQ"
2019-08-05,1.38,1.46,1.317,1.327,8400,"ANY","NASDAQ"
2019-08-06,1.35,1.45,1.32,1.36,17800,"ANY","NASDAQ"
2019-08-07,1.383,1.423,1.33,1.4,13400,"ANY","NASDAQ"
2019-08-08,1.45,1.45,1.34,1.38,7400,"ANY","NASDAQ"
2019-08-09,1.38,1.38,1.34,1.36,11300,"ANY","NASDAQ"
2019-08-12,1.37,1.65,1.37,1.53,311800,"ANY","NASDAQ"
2019-08-13,1.54,1.54,1.41,1.5,29800,"ANY","NASDAQ"
2019-08-14,1.35,1.39,1.28,1.29,85200,"ANY","NASDAQ"
2019-08-15,1.319,1.32,1.03,1.125,45400,"ANY","NASDAQ"
2019-08-16,1.02,1.22,1,1.111,27700,"ANY","NASDAQ"
2019-08-19,1.14,1.22,1.11,1.15,31800,"ANY","NASDAQ"
2019-08-20,1.134,1.22,1.12,1.19,17500,"ANY","NASDAQ"
2019-08-21,1.203,1.6,1.2,1.45,235900,"ANY","NASDAQ"
2019-08-22,1.44,1.45,1.267,1.31,41500,"ANY","NASDAQ"
2019-08-23,1.31,1.394,1.22,1.26,39100,"ANY","NASDAQ"
2019-08-26,1.26,1.341,1.238,1.25,53900,"ANY","NASDAQ"
2019-08-27,1.31,1.86,1.23,1.352,709400,"ANY","NASDAQ"
2019-08-28,1.3,1.42,1.25,1.32,100200,"ANY","NASDAQ"
2019-08-29,1.32,1.363,1.294,1.32,31800,"ANY","NASDAQ"
2019-08-30,1.31,1.34,1.27,1.28,18500,"ANY","NASDAQ"
2019-09-03,1.3,1.33,1.26,1.304,10100,"ANY","NASDAQ"
2019-09-04,1.299,1.32,1.26,1.285,21100,"ANY","NASDAQ"
2019-09-05,1.29,1.38,1.28,1.301,32600,"ANY","NASDAQ"
2019-09-06,1.31,1.34,1.31,1.32,6800,"ANY","NASDAQ"
2019-09-09,1.34,1.38,1.304,1.33,11900,"ANY","NASDAQ"
2019-09-10,1.3,1.346,1.27,1.309,7600,"ANY","NASDAQ"
2019-09-11,1.322,1.438,1.29,1.32,48200,"ANY","NASDAQ"
2019-09-12,1.34,1.379,1.3,1.3,22900,"ANY","NASDAQ"
2019-09-13,1.327,1.37,1.31,1.355,8300,"ANY","NASDAQ"
2019-09-16,1.31,1.4,1.31,1.37,23700,"ANY","NASDAQ"
2019-09-17,1.35,1.37,1.32,1.32,3300,"ANY","NASDAQ"
2019-09-18,1.368,1.64,1.27,1.36,298300,"ANY","NASDAQ"
2019-09-19,1.34,1.434,1.3,1.33,22200,"ANY","NASDAQ"
2019-09-20,1.318,1.38,1.318,1.38,7800,"ANY","NASDAQ"
2019-09-23,1.4,1.4,1.31,1.36,11700,"ANY","NASDAQ"
2019-09-24,1.35,1.35,1.23,1.305,33800,"ANY","NASDAQ"
2019-09-25,1.279,1.3,1.27,1.29,13300,"ANY","NASDAQ"
2019-09-26,1.27,1.28,1.25,1.26,31500,"ANY","NASDAQ"
2019-09-27,1.25,1.27,1.21,1.22,12500,"ANY","NASDAQ"
2019-09-30,1.25,1.259,1.15,1.17,15500,"ANY","NASDAQ"
2019-10-01,1.17,1.22,1.12,1.14,33900,"ANY","NASDAQ"
2019-10-02,1.16,1.21,1.15,1.18,12800,"ANY","NASDAQ"
2019-10-03,1.168,1.18,1.12,1.174,13300,"ANY","NASDAQ"
2019-10-04,1.18,1.2,1.12,1.19,12900,"ANY","NASDAQ"
2019-10-07,1.172,1.2,1.172,1.18,1800,"ANY","NASDAQ"
2019-10-08,1.194,1.205,1.164,1.2,14400,"ANY","NASDAQ"
2019-10-09,1.194,1.29,1.19,1.193,30300,"ANY","NASDAQ"
2019-10-10,1.19,1.19,1.15,1.15,1900,"ANY","NASDAQ"
2019-10-11,1.15,1.25,1.15,1.17,18000,"ANY","NASDAQ"
2019-10-14,1.17,1.221,1.15,1.21,5200,"ANY","NASDAQ"
2019-10-15,1.23,1.3,1.2,1.28,36800,"ANY","NASDAQ"
2019-10-16,1.311,1.55,1.22,1.25,452300,"ANY","NASDAQ"
2019-10-17,1.21,1.27,1.15,1.19,71700,"ANY","NASDAQ"
2019-10-18,1.18,1.28,1.18,1.26,44358,"ANY","NASDAQ"
