"times","open","high","low","close","volume","symbol","market"
2019-05-30,8.67,8.77,8.59,8.64,326200,"AOBC","NASDAQ"
2019-05-31,8.57,8.639,8.37,8.39,367000,"AOBC","NASDAQ"
2019-06-03,8.3704,8.4,8.19,8.36,491200,"AOBC","NASDAQ"
2019-06-04,8.43,8.58,8.34,8.42,944100,"AOBC","NASDAQ"
2019-06-05,8.45,8.49,8.32,8.35,722400,"AOBC","NASDAQ"
2019-06-06,8.36,8.5,8.25,8.43,530400,"AOBC","NASDAQ"
2019-06-07,8.43,8.456,8.25,8.34,371100,"AOBC","NASDAQ"
2019-06-10,8.36,8.64,8.36,8.51,695100,"AOBC","NASDAQ"
2019-06-11,8.56,8.65,8.36,8.48,560000,"AOBC","NASDAQ"
2019-06-12,8.47,8.59,8.45,8.49,266400,"AOBC","NASDAQ"
2019-06-13,8.5,8.96,8.5,8.93,803600,"AOBC","NASDAQ"
2019-06-14,8.99,9.08,8.91,9.03,628700,"AOBC","NASDAQ"
2019-06-17,9.07,9.15,8.84,9.02,722700,"AOBC","NASDAQ"
2019-06-18,9.04,9.18,8.96,9.04,690200,"AOBC","NASDAQ"
2019-06-19,9.06,9.21,8.91,9.14,1810500,"AOBC","NASDAQ"
2019-06-20,10.04,10.049,9.17,9.44,3069600,"AOBC","NASDAQ"
2019-06-21,9.39,9.3905,8.92,9.01,2712800,"AOBC","NASDAQ"
2019-06-24,8.99,9.303,8.92,8.98,1153700,"AOBC","NASDAQ"
2019-06-25,8.94,8.98,8.39,8.39,1154600,"AOBC","NASDAQ"
2019-06-26,8.4,8.47,8.2,8.21,951000,"AOBC","NASDAQ"
2019-06-27,8.29,8.45,8.22,8.34,736400,"AOBC","NASDAQ"
2019-06-28,8.4,9.02,8.396,9.01,1391300,"AOBC","NASDAQ"
2019-07-01,9.01,9.085,8.855,9,765900,"AOBC","NASDAQ"
2019-07-02,9.04,9.235,8.95,9.06,767900,"AOBC","NASDAQ"
2019-07-03,9.05,9.2,8.96,9.18,314400,"AOBC","NASDAQ"
2019-07-05,9.11,9.21,8.95,9.1,449300,"AOBC","NASDAQ"
2019-07-08,9.0403,9.11,8.99,9.01,372700,"AOBC","NASDAQ"
2019-07-09,8.98,9.03,8.83,9.03,819100,"AOBC","NASDAQ"
2019-07-10,9.03,9.23,9.01,9.17,473100,"AOBC","NASDAQ"
2019-07-11,9.14,9.21,9,9.06,443200,"AOBC","NASDAQ"
2019-07-12,9.11,9.19,9.05,9.12,316700,"AOBC","NASDAQ"
2019-07-15,9.17,9.36,9.09,9.32,564700,"AOBC","NASDAQ"
2019-07-16,9.26,9.64,9.25,9.52,587900,"AOBC","NASDAQ"
2019-07-17,9.49,9.58,9.38,9.5,548500,"AOBC","NASDAQ"
2019-07-18,9.45,9.55,9.4,9.5,378000,"AOBC","NASDAQ"
2019-07-19,9.46,9.53,9.3095,9.39,337200,"AOBC","NASDAQ"
2019-07-22,9.47,9.49,9.3,9.37,535700,"AOBC","NASDAQ"
2019-07-23,9.39,9.49,9.34,9.43,288100,"AOBC","NASDAQ"
