"times","open","high","low","close","volume","symbol","market"
2019-05-30,8.88,8.9,8.64,8.77,82600,"AOSL","NASDAQ"
2019-05-31,8.63,8.757,8.4904,8.54,89000,"AOSL","NASDAQ"
2019-06-03,8.6,8.74,8.46,8.5,72600,"AOSL","NASDAQ"
2019-06-04,8.6298,8.74,8.53,8.7,68900,"AOSL","NASDAQ"
2019-06-05,8.7,8.8,8.4,8.46,92100,"AOSL","NASDAQ"
2019-06-06,8.37,8.48,8.215,8.47,67500,"AOSL","NASDAQ"
2019-06-07,8.5,8.56,8.35,8.51,52400,"AOSL","NASDAQ"
2019-06-10,8.57,9.07,8.57,8.88,68200,"AOSL","NASDAQ"
2019-06-11,8.99,9.04,8.58,8.61,61100,"AOSL","NASDAQ"
2019-06-12,8.57,8.7,8.3298,8.36,47500,"AOSL","NASDAQ"
2019-06-13,8.45,8.78,8.45,8.74,154200,"AOSL","NASDAQ"
2019-06-14,8.6407,8.72,8.54,8.61,47900,"AOSL","NASDAQ"
2019-06-17,8.61,8.71,8.43,8.46,41100,"AOSL","NASDAQ"
2019-06-18,8.78,8.99,8.51,8.69,66300,"AOSL","NASDAQ"
2019-06-19,8.65,8.85,8.65,8.83,77700,"AOSL","NASDAQ"
2019-06-20,8.85,9.01,8.71,8.73,48100,"AOSL","NASDAQ"
2019-06-21,8.69,8.8,8.47,8.66,77200,"AOSL","NASDAQ"
2019-06-24,8.65,8.7,8.47,8.56,43300,"AOSL","NASDAQ"
2019-06-25,8.55,8.7,8.42,8.62,39100,"AOSL","NASDAQ"
2019-06-26,8.7,8.94,8.54,8.87,51200,"AOSL","NASDAQ"
2019-06-27,8.93,9.19,8.92,9.18,66100,"AOSL","NASDAQ"
2019-06-28,9.21,9.39,9.166,9.34,159600,"AOSL","NASDAQ"
2019-07-01,9.56,9.613,9.185,9.21,53300,"AOSL","NASDAQ"
2019-07-02,9.17,9.1955,8.88,9,37500,"AOSL","NASDAQ"
2019-07-03,9.03,9.3,8.9112,8.93,13300,"AOSL","NASDAQ"
2019-07-05,8.8703,8.96,8.77,8.94,21900,"AOSL","NASDAQ"
2019-07-08,8.94,8.97,8.65,8.69,35800,"AOSL","NASDAQ"
2019-07-09,8.64,8.68,8.5,8.63,24100,"AOSL","NASDAQ"
2019-07-10,8.67,8.91,8.67,8.83,23800,"AOSL","NASDAQ"
2019-07-11,8.86,8.86,8.58,8.8,52300,"AOSL","NASDAQ"
2019-07-12,8.84,9.29,8.79,9.08,130500,"AOSL","NASDAQ"
2019-07-15,9.07,9.22,8.96,9.18,47700,"AOSL","NASDAQ"
2019-07-16,9.18,9.25,8.81,9.11,32900,"AOSL","NASDAQ"
2019-07-17,9.1,9.25,8.88,8.91,52300,"AOSL","NASDAQ"
2019-07-18,8.91,9.32,8.9098,9.24,108600,"AOSL","NASDAQ"
2019-07-19,9.2,9.43,9.17,9.23,76700,"AOSL","NASDAQ"
2019-07-22,9.2,9.45,9.2,9.43,86200,"AOSL","NASDAQ"
2019-07-23,9.49,9.64,9.45,9.6,51300,"AOSL","NASDAQ"
2019-07-24,9.62,10.31,9.47,10.26,102800,"AOSL","NASDAQ"
2019-07-25,10.24,10.35,9.81,9.87,91400,"AOSL","NASDAQ"
2019-07-26,10,10.81,10,10.64,131100,"AOSL","NASDAQ"
2019-07-29,10.62,10.62,10.15,10.37,48200,"AOSL","NASDAQ"
2019-07-30,10.2,10.52,10.2,10.45,45300,"AOSL","NASDAQ"
2019-07-31,10.37,10.84,10.13,10.15,74600,"AOSL","NASDAQ"
2019-08-01,10.11,10.36,9.29,9.55,82600,"AOSL","NASDAQ"
2019-08-02,9.47,9.77,9.4,9.52,75900,"AOSL","NASDAQ"
2019-08-05,9.26,9.33,8.98,9.18,66100,"AOSL","NASDAQ"
2019-08-06,9.26,9.34,8.9,8.96,66100,"AOSL","NASDAQ"
2019-08-07,8.73,9.1,8.73,8.8,80300,"AOSL","NASDAQ"
2019-08-08,9.45,11.69,9.306,11.38,463600,"AOSL","NASDAQ"
2019-08-09,10.98,11.41,10.8,11.16,150000,"AOSL","NASDAQ"
2019-08-12,10.73,11.09,10.73,11.02,100500,"AOSL","NASDAQ"
2019-08-13,11.12,11.59,10.94,11.32,100200,"AOSL","NASDAQ"
2019-08-14,11.09,11.339,11.01,11.05,126800,"AOSL","NASDAQ"
2019-08-15,11.11,11.2,10.63,10.81,174000,"AOSL","NASDAQ"
2019-08-16,10.91,11.43,10.91,11.42,96500,"AOSL","NASDAQ"
2019-08-19,11.53,12.15,11.44,12.04,205300,"AOSL","NASDAQ"
2019-08-20,12.06,12.9,11.98,12.74,339100,"AOSL","NASDAQ"
2019-08-21,12.96,13.07,12.54,12.86,270200,"AOSL","NASDAQ"
2019-08-22,13.22,13.22,12.5,12.79,99200,"AOSL","NASDAQ"
2019-08-23,12.68,12.96,12.1,12.26,163600,"AOSL","NASDAQ"
2019-08-26,12.67,12.67,11.96,12.06,98400,"AOSL","NASDAQ"
2019-08-27,12.16,12.17,11.8,11.95,183200,"AOSL","NASDAQ"
2019-08-28,11.89,12.1,11.71,11.86,72900,"AOSL","NASDAQ"
2019-08-29,12,12.24,11.85,11.91,83200,"AOSL","NASDAQ"
2019-08-30,12,12.06,11.69,11.78,84100,"AOSL","NASDAQ"
2019-09-03,11.74,11.91,11.57,11.76,109900,"AOSL","NASDAQ"
2019-09-04,11.93,12.21,11.67,11.99,106200,"AOSL","NASDAQ"
2019-09-05,12.24,12.95,12.24,12.47,226600,"AOSL","NASDAQ"
2019-09-06,12.5,12.6,12.16,12.24,87500,"AOSL","NASDAQ"
2019-09-09,12.42,12.42,11.86,12.29,181500,"AOSL","NASDAQ"
2019-09-10,12.2,12.92,11.97,12.71,125300,"AOSL","NASDAQ"
2019-09-11,12.78,13.28,12.4,13.25,111400,"AOSL","NASDAQ"
2019-09-12,13.23,13.3,12.62,13.07,108800,"AOSL","NASDAQ"
2019-09-13,13.1,13.2,12.86,12.96,128100,"AOSL","NASDAQ"
2019-09-16,13.05,13.34,12.7,13.13,121800,"AOSL","NASDAQ"
2019-09-17,13.3,13.3,12.75,13.02,81300,"AOSL","NASDAQ"
2019-09-18,13.02,13.27,12.93,13.22,86800,"AOSL","NASDAQ"
2019-09-19,13.33,13.67,13.07,13.14,79300,"AOSL","NASDAQ"
2019-09-20,13.14,13.22,12.87,13.04,179700,"AOSL","NASDAQ"
2019-09-23,12.89,13.17,12.64,13.08,122100,"AOSL","NASDAQ"
2019-09-24,13.21,13.21,12.67,12.75,196400,"AOSL","NASDAQ"
2019-09-25,12.72,12.98,12.46,12.9,115400,"AOSL","NASDAQ"
2019-09-26,12.88,12.88,12.27,12.43,61500,"AOSL","NASDAQ"
2019-09-27,12.42,12.58,12.02,12.18,91700,"AOSL","NASDAQ"
2019-09-30,12.17,12.44,11.96,12.28,130500,"AOSL","NASDAQ"
2019-10-01,12.25,12.57,11.95,12.02,84600,"AOSL","NASDAQ"
2019-10-02,11.84,12.14,11.53,11.82,104800,"AOSL","NASDAQ"
2019-10-03,11.83,11.95,11.22,11.85,99200,"AOSL","NASDAQ"
2019-10-04,11.82,12.16,11.82,12.13,79400,"AOSL","NASDAQ"
2019-10-07,12.16,12.38,12.09,12.12,88600,"AOSL","NASDAQ"
2019-10-08,11.9,12.39,11.85,12.17,192500,"AOSL","NASDAQ"
2019-10-09,12.28,12.88,12.12,12.73,174200,"AOSL","NASDAQ"
2019-10-10,12.79,13.45,12.67,12.9,253700,"AOSL","NASDAQ"
2019-10-11,13,13.38,12.76,12.88,132500,"AOSL","NASDAQ"
2019-10-14,12.8,12.97,12.69,12.87,116500,"AOSL","NASDAQ"
2019-10-15,12.83,13.17,12.71,12.83,167000,"AOSL","NASDAQ"
2019-10-16,12.82,12.98,12.34,12.4,103000,"AOSL","NASDAQ"
2019-10-17,12.43,12.77,12.41,12.69,83700,"AOSL","NASDAQ"
2019-10-18,12.59,12.79,12.31,12.52,83338,"AOSL","NASDAQ"
