"times","open","high","low","close","volume","symbol","market"
2019-05-30,29.638,29.65,28.657,29.309,5000,"APM","NASDAQ"
2019-05-31,29.49,32.24,29.49,31.598,17400,"APM","NASDAQ"
2019-06-03,31.36,32.9,31.36,32.31,19600,"APM","NASDAQ"
2019-06-04,32.97,33.28,32.55,32.55,11500,"APM","NASDAQ"
2019-06-05,32.54,32.54,32.3,32.3,5600,"APM","NASDAQ"
2019-06-06,32.6,32.999,31.6,31.6,7900,"APM","NASDAQ"
2019-06-07,32.5,32.6,32,32.28,4200,"APM","NASDAQ"
2019-06-10,31.4,31.6,29.71,29.71,7100,"APM","NASDAQ"
2019-06-11,29.7091,29.99,29.04,29.79,5700,"APM","NASDAQ"
2019-06-12,28.5908,29,24.172,24.3,8100,"APM","NASDAQ"
2019-06-13,20,23,20,22.95,11700,"APM","NASDAQ"
2019-06-14,22.23,24.234,22.23,22.42,13900,"APM","NASDAQ"
2019-06-17,22.4201,23.934,20.29,23.8,3700,"APM","NASDAQ"
2019-06-18,23.87,24.13,23.7,23.99,5100,"APM","NASDAQ"
2019-06-19,24.1,25.6,24,25.562,6700,"APM","NASDAQ"
2019-06-20,25.85,25.85,25.176,25.698,1700,"APM","NASDAQ"
2019-06-21,25.4088,25.7,25.2,25.7,2900,"APM","NASDAQ"
2019-06-24,25.6,26.1,25.38,26.1,4000,"APM","NASDAQ"
2019-06-25,26.3,26.6,26,26.3,4500,"APM","NASDAQ"
2019-06-26,26.38,26.45,26.02,26.45,3200,"APM","NASDAQ"
2019-06-27,26.5,26.5,25.5,25.5,2500,"APM","NASDAQ"
2019-06-28,25.5,25.86,25.12,25.12,3400,"APM","NASDAQ"
2019-07-01,25,25,23.01,24,7700,"APM","NASDAQ"
2019-07-02,25.2,26.0016,24,24.49,15200,"APM","NASDAQ"
2019-07-03,24.35,24.35,23.3,23.78,2400,"APM","NASDAQ"
2019-07-05,23.75,23.75,23.75,23.75,600,"APM","NASDAQ"
2019-07-08,23.5719,23.57,23,23.06,1600,"APM","NASDAQ"
2019-07-09,23,23.75,23,23.75,1200,"APM","NASDAQ"
2019-07-10,23.444,23.4694,22.5,22.94,4300,"APM","NASDAQ"
2019-07-11,22.77,23.16,22.3,23.05,6000,"APM","NASDAQ"
2019-07-12,23.1,23.228,23,23.2,2000,"APM","NASDAQ"
2019-07-15,23.32,23.51,23,23.22,1500,"APM","NASDAQ"
2019-07-16,23.3,23.484,22.49,22.49,1900,"APM","NASDAQ"
2019-07-17,23.4,23.62,22.6617,23.4,2700,"APM","NASDAQ"
2019-07-18,23.439,23.45,22,22.4,5700,"APM","NASDAQ"
2019-07-19,22.39,22.39,21.95,21.95,2000,"APM","NASDAQ"
2019-07-22,21.9,22.5,21.9,22.35,4400,"APM","NASDAQ"
2019-07-23,22.15,22.28,21.2,21.948,2100,"APM","NASDAQ"
2019-07-24,22.05,22.16,21.68,21.92,3000,"APM","NASDAQ"
2019-07-25,22.12,22.12,21.77,21.79,1000,"APM","NASDAQ"
2019-07-26,21.98,22.593,21.98,22.38,1700,"APM","NASDAQ"
2019-07-29,22.51,22.58,21.66,21.948,3700,"APM","NASDAQ"
2019-07-30,22.09,22.24,21.99,22.24,3500,"APM","NASDAQ"
2019-07-31,22.3,22.43,21.51,21.85,2400,"APM","NASDAQ"
2019-08-01,21.53,21.61,20.1,20.379,3800,"APM","NASDAQ"
2019-08-02,20.19,20.5,19.84,19.84,4300,"APM","NASDAQ"
2019-08-05,18.7,18.7,15,15,6100,"APM","NASDAQ"
2019-08-06,16.36,22.4219,16.36,18.866,11700,"APM","NASDAQ"
2019-08-07,19,19,17,17.493,4300,"APM","NASDAQ"
2019-08-08,17.97,18.26,17.05,17.55,2100,"APM","NASDAQ"
2019-08-09,17.67,17.67,17.0009,17,1200,"APM","NASDAQ"
2019-08-12,17.67,17.67,16.9992,17,300,"APM","NASDAQ"
