"times","open","high","low","close","volume","symbol","market"
2019-05-30,37.72,37.98,37.1036,37.45,110100,"APOG","NASDAQ"
2019-05-31,36.89,36.94,35.985,36.25,213500,"APOG","NASDAQ"
2019-06-03,36.26,37.4,36.02,37.2,219200,"APOG","NASDAQ"
2019-06-04,37.69,38.7,37.57,38.64,245600,"APOG","NASDAQ"
2019-06-05,38.79,39.03,38.13,38.38,132900,"APOG","NASDAQ"
2019-06-06,38.28,38.37,37.66,38.22,99600,"APOG","NASDAQ"
2019-06-07,38.23,38.62,37.95,38.5,125000,"APOG","NASDAQ"
2019-06-10,38.61,39.2,38.59,38.92,84200,"APOG","NASDAQ"
2019-06-11,39.1896,39.53,38.12,38.34,97500,"APOG","NASDAQ"
2019-06-12,38.26,38.49,37.99,38.05,180000,"APOG","NASDAQ"
2019-06-13,38.1,38.965,38.1,38.87,279700,"APOG","NASDAQ"
2019-06-14,38.7,39.1993,38.54,38.8,112300,"APOG","NASDAQ"
2019-06-17,38.84,38.84,37.99,38.27,152500,"APOG","NASDAQ"
2019-06-18,38.69,39.52,38.25,38.57,182700,"APOG","NASDAQ"
2019-06-19,38.64,38.93,38.08,38.83,178500,"APOG","NASDAQ"
2019-06-20,39.39,39.69,38.86,39.61,160700,"APOG","NASDAQ"
2019-06-21,39.4087,39.435,37.99,38.13,406900,"APOG","NASDAQ"
2019-06-24,38.13,38.71,37.9,38.46,216000,"APOG","NASDAQ"
2019-06-25,38.26,38.485,37.82,38.08,207100,"APOG","NASDAQ"
2019-06-26,38.1,39.58,37.84,39.4,217600,"APOG","NASDAQ"
2019-06-27,41.44,45.32,41.44,43.74,560600,"APOG","NASDAQ"
2019-06-28,43.75,43.75,41.685,43.44,388100,"APOG","NASDAQ"
2019-07-01,44.29,44.29,43.24,43.5,234900,"APOG","NASDAQ"
2019-07-02,43.44,43.46,42.575,43.11,183100,"APOG","NASDAQ"
2019-07-03,43.21,43.48,42.59,42.98,110300,"APOG","NASDAQ"
2019-07-05,42.74,43.45,42.67,43.26,179900,"APOG","NASDAQ"
2019-07-08,43.02,43.46,42.74,43.43,244400,"APOG","NASDAQ"
2019-07-09,43.34,43.5503,42.63,43.29,150200,"APOG","NASDAQ"
2019-07-10,43.51,43.66,42.75,43.19,180900,"APOG","NASDAQ"
2019-07-11,43.21,43.39,42.5,42.51,208500,"APOG","NASDAQ"
2019-07-12,42.55,43.64,42.55,43.09,268000,"APOG","NASDAQ"
2019-07-15,42.79,43.39,41.82,42.27,395500,"APOG","NASDAQ"
2019-07-16,42.3,42.88,42.3,42.57,161700,"APOG","NASDAQ"
2019-07-17,42.32,42.37,40.44,40.57,190400,"APOG","NASDAQ"
2019-07-18,40.6495,40.65,40.02,40.27,174100,"APOG","NASDAQ"
2019-07-19,40.28,40.85,40.2,40.39,216900,"APOG","NASDAQ"
2019-07-22,40.39,40.65,39.9,40.13,105300,"APOG","NASDAQ"
2019-07-23,40.53,40.73,40.05,40.44,131400,"APOG","NASDAQ"
2019-07-24,40.47,41.48,40.32,41.09,144200,"APOG","NASDAQ"
2019-07-25,41.1,41.5018,40.6,40.9,137800,"APOG","NASDAQ"
2019-07-26,41.05,41.25,39.53,41.15,166200,"APOG","NASDAQ"
2019-07-29,41.09,41.2,40.34,40.48,112000,"APOG","NASDAQ"
2019-07-30,40.25,40.86,39.99,40.82,186600,"APOG","NASDAQ"
2019-07-31,40.94,41.44,40.35,40.56,169100,"APOG","NASDAQ"
2019-08-01,40.55,41.13,39.25,39.4,113600,"APOG","NASDAQ"
2019-08-02,39.2515,39.34,38.54,39.01,162000,"APOG","NASDAQ"
2019-08-05,38.41,38.62,37.58,38.01,115600,"APOG","NASDAQ"
2019-08-06,38.31,39.4,37.8,38.35,104700,"APOG","NASDAQ"
2019-08-07,37.89,38.35,37.41,38.07,134200,"APOG","NASDAQ"
2019-08-08,38.43,38.775,38.36,38.61,147900,"APOG","NASDAQ"
2019-08-09,38.59,38.7,37.99,38.19,126600,"APOG","NASDAQ"
2019-08-12,38.08,38.0814,36.94,37.04,165100,"APOG","NASDAQ"
2019-08-13,37.03,38.24,36.65,37.8,202500,"APOG","NASDAQ"
2019-08-14,37.19,37.19,35.52,35.75,177200,"APOG","NASDAQ"
2019-08-15,35.9162,35.92,35.19,35.5,127100,"APOG","NASDAQ"
2019-08-16,35.88,36.09,35.53,35.74,138900,"APOG","NASDAQ"
2019-08-19,36.3,36.65,36.01,36.5,157300,"APOG","NASDAQ"
2019-08-20,36.46,36.96,36.26,36.8,142400,"APOG","NASDAQ"
2019-08-21,37.12,37.41,36.97,37.09,225200,"APOG","NASDAQ"
2019-08-22,37.2,37.35,36.26,36.75,123400,"APOG","NASDAQ"
2019-08-23,36.48,36.48,35.26,35.44,142000,"APOG","NASDAQ"
2019-08-26,35.71,36.19,35.52,36.14,116100,"APOG","NASDAQ"
2019-08-27,36.41,36.66,35.54,35.58,94300,"APOG","NASDAQ"
2019-08-28,35.43,36.18,35.24,36,85200,"APOG","NASDAQ"
2019-08-29,36.39,36.9,36.27,36.76,62000,"APOG","NASDAQ"
2019-08-30,36.89,37.35,36.79,36.93,106600,"APOG","NASDAQ"
2019-09-03,36.54,36.54,35.16,35.62,117900,"APOG","NASDAQ"
2019-09-04,36.18,36.26,35.39,35.86,99400,"APOG","NASDAQ"
2019-09-05,36.52,37.05,36.25,36.77,159000,"APOG","NASDAQ"
2019-09-06,36.94,37.49,36.63,37.3,144000,"APOG","NASDAQ"
2019-09-09,37.25,38.68,37.1,38.67,156000,"APOG","NASDAQ"
2019-09-10,38.5,39.88,38.1,39.84,158500,"APOG","NASDAQ"
