"times","open","high","low","close","volume","symbol","market"
2019-05-30,96.4,97.93,95.84,96.54,64800,"APPF","NASDAQ"
2019-05-31,95.33,97.5,94.95,96.4,88000,"APPF","NASDAQ"
2019-06-03,96.36,97.24,94.16,95.4,188700,"APPF","NASDAQ"
2019-06-04,96.47,96.58,94.8,96.29,164000,"APPF","NASDAQ"
2019-06-05,96.21,100.93,96.21,99.12,133500,"APPF","NASDAQ"
2019-06-06,99.65,100.67,98.31,99.86,89500,"APPF","NASDAQ"
2019-06-07,100.06,102.76,100.06,101.96,106300,"APPF","NASDAQ"
2019-06-10,102.97,104.411,102.2264,103.05,102200,"APPF","NASDAQ"
2019-06-11,103.26,103.61,98.48,99.76,121400,"APPF","NASDAQ"
2019-06-12,99.77,100.27,97.82,99.22,141400,"APPF","NASDAQ"
2019-06-13,99.62,99.62,97.03,97.89,151700,"APPF","NASDAQ"
2019-06-14,97.39,98.71,96.02,97.56,85000,"APPF","NASDAQ"
2019-06-17,98.03,105.864,97.56,104.19,134300,"APPF","NASDAQ"
2019-06-18,105.13,108,105.1351,105.54,99600,"APPF","NASDAQ"
2019-06-19,106.14,107.49,105.22,106.69,122100,"APPF","NASDAQ"
2019-06-20,108.15,109,106.02,107.43,129200,"APPF","NASDAQ"
2019-06-21,106.71,109.89,106.2504,107.7,445800,"APPF","NASDAQ"
2019-06-24,106.94,107.4,101.1,101.8,177100,"APPF","NASDAQ"
2019-06-25,102.3,102.6124,99.14,100.19,115200,"APPF","NASDAQ"
2019-06-26,100.84,102.56,96.35,98.11,245700,"APPF","NASDAQ"
2019-06-27,98.15,100.61,98.149,100.29,78400,"APPF","NASDAQ"
2019-06-28,100.69,102.46,99.19,102.27,162200,"APPF","NASDAQ"
2019-07-01,104.34,104.34,100.855,103.23,170700,"APPF","NASDAQ"
2019-07-02,103.39,104.0939,102.33,102.84,67300,"APPF","NASDAQ"
2019-07-03,103.51,103.51,102.19,103.18,60000,"APPF","NASDAQ"
2019-07-05,102.85,103.5,100.65,103.08,177200,"APPF","NASDAQ"
2019-07-08,102.23,104.309,101.19,104.01,211800,"APPF","NASDAQ"
2019-07-09,103.79,105.88,103.19,105.75,299300,"APPF","NASDAQ"
2019-07-10,106.71,108,106.01,106.47,142100,"APPF","NASDAQ"
2019-07-11,106.83,106.83,105.29,106.46,92200,"APPF","NASDAQ"
2019-07-12,106.68,106.91,104.77,106.42,82300,"APPF","NASDAQ"
2019-07-15,106.41,106.41,103.77,106.1,112400,"APPF","NASDAQ"
2019-07-16,105.4,107.965,104.655,105.19,181900,"APPF","NASDAQ"
2019-07-17,105.54,107.67,104.74,106.98,123200,"APPF","NASDAQ"
2019-07-18,106.5,108,105.2387,107.61,288400,"APPF","NASDAQ"
2019-07-19,107.67,108.7,106.6919,106.74,222600,"APPF","NASDAQ"
2019-07-22,107.24,107.45,103.56,103.94,95900,"APPF","NASDAQ"
2019-07-23,104.18,104.18,101.71,103.91,116200,"APPF","NASDAQ"
2019-07-24,103.64,105.73,102.51,105.14,102400,"APPF","NASDAQ"
2019-07-25,104.8,104.995,103.44,104.25,116500,"APPF","NASDAQ"
2019-07-26,104.91,106.415,104.25,105.8,144800,"APPF","NASDAQ"
2019-07-29,105.64,107.04,101.78,103.18,327000,"APPF","NASDAQ"
2019-07-30,93.93,98.4,88.435,97.46,734000,"APPF","NASDAQ"
2019-07-31,97.1,98.86,95.38,96.55,285100,"APPF","NASDAQ"
2019-08-01,96.31,103.11,96.31,99.19,252100,"APPF","NASDAQ"
2019-08-02,99.01,100.07,97.59,98.57,154400,"APPF","NASDAQ"
2019-08-05,95.2001,96.27,93.02,94.8,274200,"APPF","NASDAQ"
2019-08-06,95.76,98.03,93.31,94.4,220100,"APPF","NASDAQ"
2019-08-07,93.33,96.48,92.705,95.67,93600,"APPF","NASDAQ"
2019-08-08,96.4,97.77,95.326,96.66,111900,"APPF","NASDAQ"
2019-08-09,96.14,96.99,94.69,94.83,120500,"APPF","NASDAQ"
2019-08-12,94.08,95.175,93.01,94.03,145200,"APPF","NASDAQ"
2019-08-13,93.96,96.52,93.3,96.42,101700,"APPF","NASDAQ"
2019-08-14,94.78,96.53,94.255,95.77,168800,"APPF","NASDAQ"
2019-08-15,95.78,98.02,94.37,97.66,202600,"APPF","NASDAQ"
2019-08-16,98.49,100.4,97.34,98.51,126700,"APPF","NASDAQ"
2019-08-19,99.6,100.07,95.7,95.8,107000,"APPF","NASDAQ"
2019-08-20,95.2,97.685,94.4,97.25,85900,"APPF","NASDAQ"
2019-08-21,98.44,100.42,97.3,99.25,106700,"APPF","NASDAQ"
2019-08-22,99.6,100.46,96.97,98.02,59300,"APPF","NASDAQ"
2019-08-23,97.85,99.84,95.56,95.8,143200,"APPF","NASDAQ"
2019-08-26,96.99,98.26,95,98.22,135700,"APPF","NASDAQ"
2019-08-27,98.76,100.1,97.33,97.86,108200,"APPF","NASDAQ"
2019-08-28,97.53,100.31,96.08,99.31,126700,"APPF","NASDAQ"
2019-08-29,100.31,102.09,99.24,102.03,163500,"APPF","NASDAQ"
2019-08-30,102.93,104.5,98.31,98.77,214500,"APPF","NASDAQ"
2019-09-03,97.95,100.275,95.73,98.26,221700,"APPF","NASDAQ"
2019-09-04,98.58,100.18,97.29,97.85,277900,"APPF","NASDAQ"
2019-09-05,99.09,99.09,95.84,98.74,175400,"APPF","NASDAQ"
2019-09-06,98.59,99.09,96.81,97,98000,"APPF","NASDAQ"
2019-09-09,96.95,97.01,93.5,94.96,285500,"APPF","NASDAQ"
2019-09-10,94.57,95.39,91.01,94.1,157900,"APPF","NASDAQ"
2019-09-11,94.19,98.2,91.73,96.54,119200,"APPF","NASDAQ"
2019-09-12,97.35,100.5,96.18,99.69,128200,"APPF","NASDAQ"
2019-09-13,99.82,100.66,96.845,97.35,118500,"APPF","NASDAQ"
2019-09-16,96.43,99.55,95.29,98.17,126900,"APPF","NASDAQ"
2019-09-17,98.14,100.32,98.14,100.05,117800,"APPF","NASDAQ"
2019-09-18,99.85,100.115,97.5,99.57,122100,"APPF","NASDAQ"
2019-09-19,100.12,101.35,98.54,100.39,125100,"APPF","NASDAQ"
2019-09-20,100.26,102.69,94,96.8,411200,"APPF","NASDAQ"
2019-09-23,96.62,97.07,92.72,92.9,113700,"APPF","NASDAQ"
2019-09-24,93.78,95.28,90.73,92.45,138400,"APPF","NASDAQ"
2019-09-25,92.04,94.65,91,94.51,118600,"APPF","NASDAQ"
2019-09-26,94.33,95.28,92.12,93.71,103200,"APPF","NASDAQ"
2019-09-27,93.95,94.64,91.38,93.13,144600,"APPF","NASDAQ"
2019-09-30,92.94,95.81,91.39,95.14,165300,"APPF","NASDAQ"
2019-10-01,95,96.35,94.06,94.66,192800,"APPF","NASDAQ"
2019-10-02,94.03,94.2,91.545,92.73,112700,"APPF","NASDAQ"
2019-10-03,92.75,94.93,89.7,94.85,141600,"APPF","NASDAQ"
2019-10-04,95.2,96.58,94.77,95.94,70000,"APPF","NASDAQ"
2019-10-07,95.31,97.52,94.21,96.8,124300,"APPF","NASDAQ"
2019-10-08,96.14,96.85,92.59,93.05,76900,"APPF","NASDAQ"
2019-10-09,93.91,96.19,93.6,95.55,114100,"APPF","NASDAQ"
2019-10-10,95.5,95.9,93.66,93.97,91500,"APPF","NASDAQ"
2019-10-11,94.69,96.02,94,95.28,86200,"APPF","NASDAQ"
2019-10-14,95.22,95.39,93.21,94.35,51800,"APPF","NASDAQ"
2019-10-15,93.87,94.52,93.23,93.69,133700,"APPF","NASDAQ"
2019-10-16,94.68,94.68,90.49,92,124900,"APPF","NASDAQ"
2019-10-17,92.41,93.31,90.9,91.53,111600,"APPF","NASDAQ"
2019-10-18,90.95,91.8,86.91,87.02,145777,"APPF","NASDAQ"
