"times","open","high","low","close","volume","symbol","market"
2019-05-30,35.26,36.377,35.01,36.12,421200,"APPN","NASDAQ"
2019-05-31,35.52,36.52,35.436,36.13,331800,"APPN","NASDAQ"
2019-06-03,36,36.57,32.65,33.3,677900,"APPN","NASDAQ"
2019-06-04,33.9196,34.56,33.46,34.36,507700,"APPN","NASDAQ"
2019-06-05,34.54,34.7916,33.04,34.73,445500,"APPN","NASDAQ"
2019-06-06,34.06,34.48,33.15,34.22,326800,"APPN","NASDAQ"
2019-06-07,34.23,34.68,32,32.78,888500,"APPN","NASDAQ"
2019-06-10,33.06,34.13,32.19,32.27,548400,"APPN","NASDAQ"
2019-06-11,32.5995,32.6,30.43,31.36,946700,"APPN","NASDAQ"
2019-06-12,31.1614,32.26,31.16,32.06,412800,"APPN","NASDAQ"
2019-06-13,32.11,32.88,31.68,32.6,466200,"APPN","NASDAQ"
2019-06-14,32.36,32.7,31.965,32.5,437400,"APPN","NASDAQ"
2019-06-17,32.57,34.88,32.2914,34.68,695500,"APPN","NASDAQ"
2019-06-18,34.97,37.123,34.815,36.8,984400,"APPN","NASDAQ"
2019-06-19,37,37.8,36.35,37.76,606000,"APPN","NASDAQ"
2019-06-20,38,39.05,37.82,38.83,642100,"APPN","NASDAQ"
2019-06-21,38.67,39.915,38.14,39.75,1967100,"APPN","NASDAQ"
2019-06-24,39.69,39.69,36.565,36.79,808800,"APPN","NASDAQ"
2019-06-25,36.91,37.28,35.07,35.17,534600,"APPN","NASDAQ"
2019-06-26,35.27,35.99,34.01,34.33,494400,"APPN","NASDAQ"
2019-06-27,34.35,36.24,34.31,36.08,890800,"APPN","NASDAQ"
2019-06-28,36.08,36.87,35.75,36.07,4969100,"APPN","NASDAQ"
2019-07-01,36.4,36.72,35.04,35.53,513000,"APPN","NASDAQ"
2019-07-02,35.84,35.843,34.86,35.53,305800,"APPN","NASDAQ"
2019-07-03,35.59,36.79,35.421,36.69,254100,"APPN","NASDAQ"
2019-07-05,36.42,36.87,35.93,36.35,295800,"APPN","NASDAQ"
2019-07-08,36.2,37.55,36.132,37.25,381500,"APPN","NASDAQ"
2019-07-09,37.22,38.22,37.16,38.03,375100,"APPN","NASDAQ"
