"times","open","high","low","close","volume","symbol","market"
2019-05-30,3.66,3.83,3.64,3.79,1075000,"APPS","NASDAQ"
2019-05-31,3.73,3.87,3.6399,3.77,699000,"APPS","NASDAQ"
2019-06-03,3.81,3.85,3.63,3.68,1144300,"APPS","NASDAQ"
2019-06-04,4.02,4.4,3.95,4.29,6415700,"APPS","NASDAQ"
2019-06-05,4.4,4.67,4.29,4.64,3853900,"APPS","NASDAQ"
2019-06-06,4.6001,4.695,4.39,4.64,1909900,"APPS","NASDAQ"
2019-06-07,4.74,4.93,4.666,4.75,2172500,"APPS","NASDAQ"
2019-06-10,4.7901,4.96,4.39,4.41,2160900,"APPS","NASDAQ"
2019-06-11,4.64,4.66,4.362,4.4,1202300,"APPS","NASDAQ"
2019-06-12,4.39,4.67,4.38,4.64,917200,"APPS","NASDAQ"
2019-06-13,4.65,4.72,4.49,4.69,1152500,"APPS","NASDAQ"
2019-06-14,4.68,4.81,4.55,4.72,1194800,"APPS","NASDAQ"
2019-06-17,4.73,4.81,4.48,4.5,1237300,"APPS","NASDAQ"
2019-06-18,4.58,4.685,4.455,4.51,1031400,"APPS","NASDAQ"
2019-06-19,4.57,4.85,4.52,4.73,1751600,"APPS","NASDAQ"
2019-06-20,4.82,4.835,4.6,4.66,1215500,"APPS","NASDAQ"
2019-06-21,4.64,4.74,4.47,4.73,1079800,"APPS","NASDAQ"
2019-06-24,4.73,4.79,4.55,4.65,1008600,"APPS","NASDAQ"
2019-06-25,4.63,4.72,4.5,4.56,1327900,"APPS","NASDAQ"
2019-06-26,4.59,4.7,4.55,4.68,953500,"APPS","NASDAQ"
2019-06-27,4.76,5.1,4.76,5.06,3054300,"APPS","NASDAQ"
2019-06-28,5.1,5.16,4.87,5,11298600,"APPS","NASDAQ"
2019-07-01,5.05,5.28,5.05,5.15,2429300,"APPS","NASDAQ"
2019-07-02,5.15,5.34,4.855,5.11,2190300,"APPS","NASDAQ"
2019-07-03,5.14,5.41,5.06,5.35,1427900,"APPS","NASDAQ"
2019-07-05,5.36,5.38,5.1,5.26,1793600,"APPS","NASDAQ"
2019-07-08,5.22,5.24,5.01,5.21,1286400,"APPS","NASDAQ"
2019-07-09,5.2,5.27,5.15,5.24,987900,"APPS","NASDAQ"
2019-07-10,5.29,5.31,5.1195,5.19,896200,"APPS","NASDAQ"
2019-07-11,5.2,5.39,5.17,5.32,1118000,"APPS","NASDAQ"
2019-07-12,5.32,5.37,5.11,5.21,1213000,"APPS","NASDAQ"
2019-07-15,5.23,5.31,5.17,5.27,621300,"APPS","NASDAQ"
2019-07-16,5.31,5.54,5.2,5.27,2235300,"APPS","NASDAQ"
2019-07-17,5.3,5.4403,5.16,5.25,1522500,"APPS","NASDAQ"
2019-07-18,5.22,5.26,5.15,5.21,884000,"APPS","NASDAQ"
