"times","open","high","low","close","volume","symbol","market"
2019-05-30,1.85,1.98,1.82,1.94,498900,"AQMS","NASDAQ"
2019-05-31,1.93,1.94,1.77,1.8,384400,"AQMS","NASDAQ"
2019-06-03,1.79,1.87,1.77,1.86,433600,"AQMS","NASDAQ"
2019-06-04,1.89,1.89,1.83,1.85,222200,"AQMS","NASDAQ"
2019-06-05,1.86,1.87,1.71,1.73,486900,"AQMS","NASDAQ"
2019-06-06,1.73,1.7401,1.52,1.6,968000,"AQMS","NASDAQ"
2019-06-07,1.71,1.85,1.7079,1.83,753800,"AQMS","NASDAQ"
2019-06-10,1.85,1.94,1.66,1.67,604100,"AQMS","NASDAQ"
2019-06-11,1.71,1.72,1.6,1.62,370500,"AQMS","NASDAQ"
2019-06-12,1.62,1.66,1.55,1.63,331200,"AQMS","NASDAQ"
2019-06-13,1.65,1.66,1.55,1.56,473500,"AQMS","NASDAQ"
2019-06-14,1.58,1.58,1.48,1.57,758900,"AQMS","NASDAQ"
2019-06-17,1.62,1.74,1.56,1.58,697800,"AQMS","NASDAQ"
2019-06-18,1.58,1.68,1.57,1.67,392400,"AQMS","NASDAQ"
2019-06-19,1.67,1.705,1.6,1.61,219300,"AQMS","NASDAQ"
2019-06-20,1.65,1.683,1.6,1.62,289100,"AQMS","NASDAQ"
2019-06-21,1.63,1.63,1.53,1.62,341700,"AQMS","NASDAQ"
2019-06-24,1.65,1.65,1.57,1.61,203700,"AQMS","NASDAQ"
2019-06-25,1.62,1.63,1.5,1.51,517800,"AQMS","NASDAQ"
2019-06-26,1.53,1.62,1.5,1.61,387800,"AQMS","NASDAQ"
2019-06-27,1.62,1.63,1.51,1.51,649800,"AQMS","NASDAQ"
2019-06-28,1.53,1.67,1.53,1.67,409100,"AQMS","NASDAQ"
2019-07-01,1.69,1.74,1.57,1.61,461100,"AQMS","NASDAQ"
2019-07-02,1.7,1.84,1.65,1.84,871200,"AQMS","NASDAQ"
2019-07-03,1.86,2.15,1.81,1.83,1658700,"AQMS","NASDAQ"
2019-07-05,1.88,1.92,1.79,1.86,578600,"AQMS","NASDAQ"
2019-07-08,1.84,1.89,1.71,1.87,652600,"AQMS","NASDAQ"
2019-07-09,1.88,2.21,1.87,1.89,2013200,"AQMS","NASDAQ"
2019-07-10,1.9001,2.02,1.88,1.97,774100,"AQMS","NASDAQ"
2019-07-11,2,2.01,1.89,1.92,534500,"AQMS","NASDAQ"
2019-07-12,1.91,1.96,1.84,1.86,469200,"AQMS","NASDAQ"
2019-07-15,1.89,1.905,1.78,1.84,229500,"AQMS","NASDAQ"
2019-07-16,1.83,1.94,1.78,1.89,445600,"AQMS","NASDAQ"
2019-07-17,1.9,1.915,1.79,1.88,363500,"AQMS","NASDAQ"
2019-07-18,1.89,1.89,1.8,1.83,286300,"AQMS","NASDAQ"
2019-07-19,1.83,1.92,1.8,1.92,214800,"AQMS","NASDAQ"
2019-07-22,1.96,2.03,1.825,1.85,399900,"AQMS","NASDAQ"
2019-07-23,1.87,1.9,1.83,1.88,266800,"AQMS","NASDAQ"
2019-07-24,1.88,1.96,1.84,1.88,501300,"AQMS","NASDAQ"
2019-07-25,1.91,1.91,1.82,1.85,195500,"AQMS","NASDAQ"
2019-07-26,1.85,1.86,1.8,1.84,206500,"AQMS","NASDAQ"
2019-07-29,1.85,1.86,1.75,1.83,336900,"AQMS","NASDAQ"
2019-07-30,1.82,1.97,1.81,1.95,397000,"AQMS","NASDAQ"
2019-07-31,2.05,2.07,1.91,1.91,523900,"AQMS","NASDAQ"
2019-08-01,1.82,1.91,1.62,1.73,874600,"AQMS","NASDAQ"
2019-08-02,1.7,1.7,1.65,1.66,212000,"AQMS","NASDAQ"
2019-08-05,1.64,1.64,1.52,1.56,741300,"AQMS","NASDAQ"
