"times","open","high","low","close","volume","symbol","market"
2019-05-30,4,4.229,3.94,4.03,85600,"AQST","NASDAQ"
2019-05-31,3.95,4,3.65,3.72,112500,"AQST","NASDAQ"
2019-06-03,3.74,4.14,3.67,4.11,123200,"AQST","NASDAQ"
2019-06-04,4.17,4.64,4.08,4.29,198700,"AQST","NASDAQ"
2019-06-05,4.3,4.43,4.03,4.08,73900,"AQST","NASDAQ"
2019-06-06,4.08,4.17,3.89,4,79400,"AQST","NASDAQ"
2019-06-07,4.0499,4.19,3.78,3.82,92700,"AQST","NASDAQ"
2019-06-10,3.96,4.145,3.868,4.1,93800,"AQST","NASDAQ"
2019-06-11,4.14,4.21,3.9,4.2,259200,"AQST","NASDAQ"
2019-06-12,4.2,4.2,3.91,4.19,99000,"AQST","NASDAQ"
2019-06-13,4.21,4.58,4.1403,4.38,97400,"AQST","NASDAQ"
2019-06-14,4.38,4.48,4.11,4.19,95300,"AQST","NASDAQ"
2019-06-17,4.18,4.64,4.18,4.56,110800,"AQST","NASDAQ"
2019-06-18,4.58,4.82,4.56,4.78,130100,"AQST","NASDAQ"
2019-06-19,4.77,4.82,4.6,4.81,124800,"AQST","NASDAQ"
2019-06-20,4.86,4.98,4.255,4.27,148500,"AQST","NASDAQ"
2019-06-21,4.22,4.61,4.05,4.22,89000,"AQST","NASDAQ"
2019-06-24,4.21,4.33,3.85,4.03,93700,"AQST","NASDAQ"
2019-06-25,4.04,4.3098,4.03,4.2,85500,"AQST","NASDAQ"
2019-06-26,4.21,4.25,3.9,3.94,133300,"AQST","NASDAQ"
2019-06-27,4.0497,4.15,4,4.09,80000,"AQST","NASDAQ"
2019-06-28,4.1001,4.47,4.1,4.2,1032200,"AQST","NASDAQ"
2019-07-01,4.29,4.469,4.12,4.21,84000,"AQST","NASDAQ"
2019-07-02,4.24,4.44,4.19,4.24,115700,"AQST","NASDAQ"
2019-07-03,4.26,4.76,4.21,4.59,81400,"AQST","NASDAQ"
2019-07-05,4.5,4.95,4.5,4.91,59600,"AQST","NASDAQ"
2019-07-08,4.88,4.88,4.41,4.72,101700,"AQST","NASDAQ"
2019-07-09,4.65,4.93,4.56,4.8,43200,"AQST","NASDAQ"
2019-07-10,4.81,4.82,4.21,4.29,163700,"AQST","NASDAQ"
2019-07-11,4.71,4.71,4.14,4.3,243900,"AQST","NASDAQ"
2019-07-12,4.34,4.42,4.17,4.29,86000,"AQST","NASDAQ"
2019-07-15,4.31,4.37,4,4.15,109000,"AQST","NASDAQ"
2019-07-16,4.26,4.35,4.08,4.27,55700,"AQST","NASDAQ"
2019-07-17,4.3,4.3,4,4.13,63500,"AQST","NASDAQ"
2019-07-18,4.17,4.18,3.94,4.12,66300,"AQST","NASDAQ"
2019-07-19,4.12,4.2,4.03,4.11,52200,"AQST","NASDAQ"
2019-07-22,4.15,4.15,3.8,3.82,109000,"AQST","NASDAQ"
2019-07-23,3.86,3.95,3.75,3.81,90200,"AQST","NASDAQ"
2019-07-24,3.86,4.05,3.719,3.87,164000,"AQST","NASDAQ"
2019-07-25,3.85,3.85,3.54,3.6,108900,"AQST","NASDAQ"
2019-07-26,3.65,3.786,3.53,3.65,180500,"AQST","NASDAQ"
2019-07-29,3.64,3.77,3.55,3.56,30500,"AQST","NASDAQ"
2019-07-30,3.54,3.56,3.418,3.48,46200,"AQST","NASDAQ"
2019-07-31,3.47,3.59,3.41,3.41,31500,"AQST","NASDAQ"
2019-08-01,3.42,3.54,3.23,3.26,65300,"AQST","NASDAQ"
2019-08-02,3.25,3.5,3.1,3.31,24500,"AQST","NASDAQ"
2019-08-05,3.24,3.24,2.96,3.13,36100,"AQST","NASDAQ"
2019-08-06,3.07,3.17,3.04,3.15,14100,"AQST","NASDAQ"
2019-08-07,3.21,3.6,3.01,3.52,107500,"AQST","NASDAQ"
2019-08-08,3.54,3.99,3.54,3.87,87200,"AQST","NASDAQ"
2019-08-09,4,4.0002,3.64,3.84,38700,"AQST","NASDAQ"
2019-08-12,3.75,4.19,3.75,3.99,66000,"AQST","NASDAQ"
2019-08-13,4.01,4.1,3.85,3.91,47600,"AQST","NASDAQ"
2019-08-14,3.81,3.86,3.52,3.53,55600,"AQST","NASDAQ"
2019-08-15,3.56,3.88,3.317,3.52,46100,"AQST","NASDAQ"
