"times","open","high","low","close","volume","symbol","market"
2019-05-30,5.98,6.5,5.8,6.21,21200,"ARAV","NASDAQ"
2019-05-31,6.11,6.15,5.766,5.81,10900,"ARAV","NASDAQ"
2019-06-03,5.87,6.05,5.78,6.05,11800,"ARAV","NASDAQ"
2019-06-04,6.06,6.06,5.81,5.945,11300,"ARAV","NASDAQ"
2019-06-05,5.93,5.93,5.657,5.79,8100,"ARAV","NASDAQ"
2019-06-06,5.69,5.963,5.65,5.94,13000,"ARAV","NASDAQ"
2019-06-07,5.657,6.03,5.534,5.89,22800,"ARAV","NASDAQ"
2019-06-10,5.995,6.06,5.804,6.05,18200,"ARAV","NASDAQ"
2019-06-11,6,6.16,5.915,5.97,11500,"ARAV","NASDAQ"
2019-06-12,6.15,6.15,5.69,5.69,1500,"ARAV","NASDAQ"
2019-06-13,5.92,6.0995,5.82,5.82,10200,"ARAV","NASDAQ"
2019-06-14,5.8,5.95,5.76,5.95,18900,"ARAV","NASDAQ"
2019-06-17,5.82,5.85,5.77,5.85,2200,"ARAV","NASDAQ"
2019-06-18,5.8,5.97,5.8,5.93,8800,"ARAV","NASDAQ"
2019-06-19,5.88,6.045,5.81,5.95,15500,"ARAV","NASDAQ"
2019-06-20,5.93,6.1,5.84,5.99,7100,"ARAV","NASDAQ"
2019-06-21,6.01,6.05,5.939,5.97,3300,"ARAV","NASDAQ"
2019-06-24,5.93,6,5.93,5.955,1900,"ARAV","NASDAQ"
2019-06-25,5.87,6,5.76,6,8900,"ARAV","NASDAQ"
2019-06-26,5.98,5.98,5.75,5.9,13700,"ARAV","NASDAQ"
2019-06-27,5.87,5.99,5.608,5.99,1300,"ARAV","NASDAQ"
2019-06-28,5.76,6,5.76,6,9700,"ARAV","NASDAQ"
2019-07-01,6,6,5.81,5.97,14100,"ARAV","NASDAQ"
2019-07-02,5.9,5.9,5.66,5.73,6000,"ARAV","NASDAQ"
2019-07-03,5.68,5.89,5.61,5.721,17400,"ARAV","NASDAQ"
2019-07-05,5.78,5.89,5.72,5.72,21000,"ARAV","NASDAQ"
2019-07-08,5.75,5.85,5.6,5.67,8600,"ARAV","NASDAQ"
2019-07-09,5.73,6,5.69,6,7600,"ARAV","NASDAQ"
2019-07-10,6,6,5.801,6,12900,"ARAV","NASDAQ"
2019-07-11,5.899,6,5.86,6,3000,"ARAV","NASDAQ"
2019-07-12,6,6.0001,5.9,5.9,12200,"ARAV","NASDAQ"
2019-07-15,5.96,5.96,5.5,5.71,50400,"ARAV","NASDAQ"
2019-07-16,5.84,5.84,5.62,5.62,2300,"ARAV","NASDAQ"
2019-07-17,5.73,5.76,5.61,5.61,10900,"ARAV","NASDAQ"
2019-07-18,5.655,5.655,5.138,5.3,124500,"ARAV","NASDAQ"
2019-07-19,5.39,5.39,5.2,5.35,14900,"ARAV","NASDAQ"
2019-07-22,5.3,5.55,5.07,5.2,76200,"ARAV","NASDAQ"
2019-07-23,5.18,5.49,5.06,5.27,5200,"ARAV","NASDAQ"
2019-07-24,5.28,5.64,5.28,5.64,16000,"ARAV","NASDAQ"
2019-07-25,5.56,5.73,5.56,5.68,3400,"ARAV","NASDAQ"
2019-07-26,5.64,5.8,5.63,5.68,2500,"ARAV","NASDAQ"
2019-07-29,5.73,5.88,5.603,5.69,9300,"ARAV","NASDAQ"
2019-07-30,5.9,5.9,5.75,5.829,5900,"ARAV","NASDAQ"
2019-07-31,5.89,6.849,5.88,6.55,88200,"ARAV","NASDAQ"
2019-08-01,6.69,6.7,6.57,6.6,40700,"ARAV","NASDAQ"
2019-08-02,6.59,7.06,6.291,6.56,24000,"ARAV","NASDAQ"
2019-08-05,6.01,6.7,6.01,6.2,9000,"ARAV","NASDAQ"
2019-08-06,6.601,6.895,6.071,6.89,27800,"ARAV","NASDAQ"
2019-08-07,6.54,6.88,6.49,6.88,16700,"ARAV","NASDAQ"
2019-08-08,7.29,7.29,6.555,6.6,11900,"ARAV","NASDAQ"
2019-08-09,6.55,6.68,6.01,6.15,20100,"ARAV","NASDAQ"
2019-08-12,6.32,6.68,6.181,6.46,10900,"ARAV","NASDAQ"
2019-08-13,6.6997,6.7,6.16,6.21,16500,"ARAV","NASDAQ"
2019-08-14,6.17,6.64,6.1,6.4,11100,"ARAV","NASDAQ"
2019-08-15,6.899,6.899,6.15,6.15,12700,"ARAV","NASDAQ"
2019-08-16,6.22,6.5,6.16,6.25,26000,"ARAV","NASDAQ"
2019-08-19,6.258,6.6,6.18,6.23,12600,"ARAV","NASDAQ"
2019-08-20,6.35,6.42,6.04,6.12,2800,"ARAV","NASDAQ"
2019-08-21,6.12,6.3,5.78,6.08,28100,"ARAV","NASDAQ"
2019-08-22,6.11,6.17,5.75,6.09,28000,"ARAV","NASDAQ"
2019-08-23,5.93,6.11,5.61,5.8,26700,"ARAV","NASDAQ"
2019-08-26,5.99,5.99,5.63,5.69,14100,"ARAV","NASDAQ"
2019-08-27,5.86,6,5.28,5.28,21300,"ARAV","NASDAQ"
