"times","open","high","low","close","volume","symbol","market"
2019-05-30,17.79,17.86,17.62,17.74,1222000,"ARCC","NASDAQ"
2019-05-31,17.65,17.66,17.51,17.56,2263900,"ARCC","NASDAQ"
2019-06-03,17.54,17.7494,17.48,17.68,1621400,"ARCC","NASDAQ"
2019-06-04,17.8,17.93,17.712,17.88,1449600,"ARCC","NASDAQ"
2019-06-05,17.88,17.92,17.78,17.86,1380800,"ARCC","NASDAQ"
2019-06-06,17.89,17.95,17.83,17.89,1799100,"ARCC","NASDAQ"
2019-06-07,17.93,18.01,17.88,17.96,1781200,"ARCC","NASDAQ"
2019-06-10,18.04,18.21,17.9706,18.12,2801100,"ARCC","NASDAQ"
2019-06-11,18.15,18.24,17.94,17.99,3095600,"ARCC","NASDAQ"
2019-06-12,18,18.094,17.9,18.03,2658300,"ARCC","NASDAQ"
2019-06-13,17.75,17.86,17.64,17.68,4209300,"ARCC","NASDAQ"
2019-06-14,17.75,17.91,17.737,17.86,2055200,"ARCC","NASDAQ"
2019-06-17,17.87,17.97,17.79,17.96,1885900,"ARCC","NASDAQ"
2019-06-18,17.98,18.1,17.95,18.02,2022000,"ARCC","NASDAQ"
2019-06-19,18.04,18.15,18,18.11,2149200,"ARCC","NASDAQ"
2019-06-20,18.15,18.165,17.915,17.98,1916100,"ARCC","NASDAQ"
2019-06-21,17.96,18.0216,17.89,17.94,2444500,"ARCC","NASDAQ"
2019-06-24,17.97,18.0212,17.87,17.91,1326900,"ARCC","NASDAQ"
2019-06-25,17.91,17.95,17.715,17.8,1352400,"ARCC","NASDAQ"
2019-06-26,17.77,17.85,17.668,17.68,1672200,"ARCC","NASDAQ"
2019-06-27,17.68,17.761,17.63,17.73,1490700,"ARCC","NASDAQ"
2019-06-28,17.85,17.97,17.75,17.94,2018100,"ARCC","NASDAQ"
2019-07-01,18.03,18.07,17.92,17.99,1926200,"ARCC","NASDAQ"
2019-07-02,17.99,18.12,17.96,18.07,1654200,"ARCC","NASDAQ"
2019-07-03,18.09,18.1,18.01,18.08,745900,"ARCC","NASDAQ"
2019-07-05,18.09,18.12,18.01,18.12,1022800,"ARCC","NASDAQ"
2019-07-08,18.07,18.1397,18.02,18.06,1201500,"ARCC","NASDAQ"
2019-07-09,18.02,18.14,18.02,18.13,950100,"ARCC","NASDAQ"
2019-07-10,18.13,18.23,18.1092,18.2,1821700,"ARCC","NASDAQ"
2019-07-11,18.23,18.25,18.15,18.15,960900,"ARCC","NASDAQ"
2019-07-12,18.1817,18.22,18.1,18.22,923900,"ARCC","NASDAQ"
2019-07-15,18.24,18.27,18.2,18.24,750400,"ARCC","NASDAQ"
2019-07-16,18.24,18.29,18.23,18.25,773700,"ARCC","NASDAQ"
2019-07-17,18.25,18.28,18.1,18.15,1224600,"ARCC","NASDAQ"
2019-07-18,18.15,18.2,18.08,18.18,997600,"ARCC","NASDAQ"
2019-07-19,18.17,18.22,18.12,18.16,923600,"ARCC","NASDAQ"
2019-07-22,18.2,18.2,18.05,18.06,983000,"ARCC","NASDAQ"
2019-07-23,18.09,18.2,18.07,18.17,954000,"ARCC","NASDAQ"
2019-07-24,18.17,18.19,18.1497,18.18,1044600,"ARCC","NASDAQ"
2019-07-25,18.18,18.21,18.09,18.14,1482300,"ARCC","NASDAQ"
2019-07-26,18.1493,18.29,18.15,18.21,1039200,"ARCC","NASDAQ"
2019-07-29,18.2392,18.25,18.17,18.22,1673100,"ARCC","NASDAQ"
2019-07-30,18.28,18.74,18.22,18.7,3176100,"ARCC","NASDAQ"
2019-07-31,18.74,18.8292,18.45,18.57,2015900,"ARCC","NASDAQ"
2019-08-01,18.57,18.6109,18.25,18.32,2302600,"ARCC","NASDAQ"
2019-08-02,18.38,18.52,18.31,18.44,1528400,"ARCC","NASDAQ"
2019-08-05,18.41,18.48,17.96,18.06,3344400,"ARCC","NASDAQ"
2019-08-06,18.18,18.44,18.16,18.38,1584400,"ARCC","NASDAQ"
2019-08-07,18.26,18.35,18.06,18.31,1742900,"ARCC","NASDAQ"
2019-08-08,18.4,18.63,18.36,18.62,2293400,"ARCC","NASDAQ"
