"times","open","high","low","close","volume","symbol","market"
2019-05-30,6.99,6.99,6.45,6.57,25600,"ARCT","NASDAQ"
2019-05-31,6.69,7.25,6.69,6.98,35800,"ARCT","NASDAQ"
2019-06-03,7,7.24,6.86,7.19,14300,"ARCT","NASDAQ"
2019-06-04,7.116,7.25,7.04,7.065,6100,"ARCT","NASDAQ"
2019-06-05,7.15,7.24,6.492,6.82,15600,"ARCT","NASDAQ"
2019-06-06,6.75,6.94,6.47,6.72,7500,"ARCT","NASDAQ"
2019-06-07,6.72,6.773,6.55,6.62,46800,"ARCT","NASDAQ"
2019-06-10,6.91,6.95,6.7298,6.77,29100,"ARCT","NASDAQ"
2019-06-11,6.75,6.81,6.56,6.56,50100,"ARCT","NASDAQ"
2019-06-12,6.61,6.61,6.07,6.29,33100,"ARCT","NASDAQ"
2019-06-13,6.35,6.95,6.06,6.94,40700,"ARCT","NASDAQ"
2019-06-14,6.88,6.95,6.211,6.35,38700,"ARCT","NASDAQ"
2019-06-17,6.64,6.947,6,6.07,25500,"ARCT","NASDAQ"
2019-06-18,6.5103,6.8,5.75,5.78,25800,"ARCT","NASDAQ"
2019-06-19,8,8.65,7.41,7.9,568300,"ARCT","NASDAQ"
2019-06-20,7.75,9.66,7.661,8.76,269300,"ARCT","NASDAQ"
2019-06-21,8.9504,10.29,8.95,9.74,257300,"ARCT","NASDAQ"
2019-06-24,9.67,10.25,9.41,9.79,131500,"ARCT","NASDAQ"
2019-06-25,9.73,10.11,9.234,9.79,79400,"ARCT","NASDAQ"
2019-06-26,9.912,10.025,9.424,9.73,49000,"ARCT","NASDAQ"
2019-06-27,9.73,10,9.4594,9.68,103600,"ARCT","NASDAQ"
2019-06-28,9.75,9.75,9.26,9.44,75900,"ARCT","NASDAQ"
2019-07-01,9.65,9.65,9.2,9.5,32300,"ARCT","NASDAQ"
2019-07-02,9.55,9.55,9.143,9.41,34000,"ARCT","NASDAQ"
2019-07-03,9.38,9.51,9.24,9.34,24300,"ARCT","NASDAQ"
2019-07-05,9.45,9.5498,9.22,9.54,17700,"ARCT","NASDAQ"
2019-07-08,9.47,9.55,9.11,9.27,63300,"ARCT","NASDAQ"
2019-07-09,9.24,9.36,8.71,8.93,38800,"ARCT","NASDAQ"
2019-07-10,8.99,9.67,8.7,9.59,44700,"ARCT","NASDAQ"
2019-07-11,9.23,9.54,8.77,8.99,48800,"ARCT","NASDAQ"
2019-07-12,9,9.19,8.79,9.05,45800,"ARCT","NASDAQ"
2019-07-15,9.07,9.36,8.79,8.94,16600,"ARCT","NASDAQ"
2019-07-16,8.86,9.24,8.49,9.16,24300,"ARCT","NASDAQ"
2019-07-17,9.18,9.34,8.53,9.1,25600,"ARCT","NASDAQ"
2019-07-18,9.12,9.5,9.12,9.49,102300,"ARCT","NASDAQ"
2019-07-19,9.46,11.44,9.46,10.77,298900,"ARCT","NASDAQ"
2019-07-22,10.99,11.85,10.99,11.62,249800,"ARCT","NASDAQ"
2019-07-23,11.75,12.74,11.08,11.49,217400,"ARCT","NASDAQ"
2019-07-24,11.51,11.8791,11.31,11.8,50400,"ARCT","NASDAQ"
2019-07-25,11.91,12.05,11.25,11.35,38600,"ARCT","NASDAQ"
2019-07-26,11.56,11.7,10.96,11.56,60800,"ARCT","NASDAQ"
2019-07-29,11.38,12.69,11.25,12.47,103600,"ARCT","NASDAQ"
2019-07-30,12.4,14.49,12.34,14.03,203500,"ARCT","NASDAQ"
2019-07-31,14.57,15.5,13.45,13.61,175100,"ARCT","NASDAQ"
2019-08-01,13.83,13.91,11.03,11.58,406500,"ARCT","NASDAQ"
2019-08-02,11.57,12.11,11.09,11.28,130400,"ARCT","NASDAQ"
2019-08-05,11.11,12.4,10.66,10.97,50900,"ARCT","NASDAQ"
2019-08-06,11.13,11.61,10.46,10.54,42300,"ARCT","NASDAQ"
2019-08-07,10.7197,11.265,10,10.16,91400,"ARCT","NASDAQ"
2019-08-08,10.24,11.02,9.96,10.085,80600,"ARCT","NASDAQ"
2019-08-09,10.02,10.5,9.636,10.46,87200,"ARCT","NASDAQ"
2019-08-12,10.39,10.9203,9.95,9.96,71200,"ARCT","NASDAQ"
2019-08-13,9.94,10.54,9.9407,10.03,27300,"ARCT","NASDAQ"
2019-08-14,9.93,10.01,9.05,9.1,104500,"ARCT","NASDAQ"
2019-08-15,9.46,9.7,8.51,8.8,98200,"ARCT","NASDAQ"
2019-08-16,9.13,11.0597,8.63,10.56,176800,"ARCT","NASDAQ"
2019-08-19,10.83,11.13,10.19,11.07,69500,"ARCT","NASDAQ"
2019-08-20,11.12,11.26,10.4,10.57,78000,"ARCT","NASDAQ"
2019-08-21,10.65,11.4,10.3,10.31,66500,"ARCT","NASDAQ"
2019-08-22,10.32,10.99,9.88,10.9,50700,"ARCT","NASDAQ"
2019-08-23,11.07,11.07,10.46,10.9,66300,"ARCT","NASDAQ"
2019-08-26,11.15,11.15,10.65,10.86,29300,"ARCT","NASDAQ"
2019-08-27,10.83,11.02,10.52,10.92,52000,"ARCT","NASDAQ"
2019-08-28,10.98,11.27,10.77,11.17,51100,"ARCT","NASDAQ"
2019-08-29,11.29,11.62,11.09,11.16,40000,"ARCT","NASDAQ"
2019-08-30,11.1,11.45,11.03,11.23,16300,"ARCT","NASDAQ"
2019-09-03,11.24,11.4,10.69,11.39,51200,"ARCT","NASDAQ"
2019-09-04,11.39,11.92,10.96,11.12,59800,"ARCT","NASDAQ"
2019-09-05,11.26,11.79,10.69,10.98,71100,"ARCT","NASDAQ"
2019-09-06,10.97,11.17,10.31,10.63,54400,"ARCT","NASDAQ"
2019-09-09,10.63,10.88,9.91,10.3,88800,"ARCT","NASDAQ"
2019-09-10,10.26,11.06,10.06,10.98,118900,"ARCT","NASDAQ"
2019-09-11,11,11.7,10.13,11.24,163300,"ARCT","NASDAQ"
2019-09-12,11.24,11.24,10.51,10.62,140100,"ARCT","NASDAQ"
2019-09-13,10.74,10.98,9.95,10.61,114000,"ARCT","NASDAQ"
2019-09-16,10.36,11.06,10.3,10.82,81000,"ARCT","NASDAQ"
2019-09-17,10.8,11.14,10.5,10.92,52000,"ARCT","NASDAQ"
2019-09-18,10.97,11.9,10.88,11.66,181700,"ARCT","NASDAQ"
2019-09-19,11.79,12.4,11.29,12.3,131000,"ARCT","NASDAQ"
2019-09-20,12.28,13.77,12.12,13.22,513700,"ARCT","NASDAQ"
2019-09-23,13.25,14.5,13.16,14.5,108200,"ARCT","NASDAQ"
2019-09-24,14.58,15.1,13.16,13.48,135800,"ARCT","NASDAQ"
2019-09-25,13.34,13.48,12.6,12.94,95400,"ARCT","NASDAQ"
2019-09-26,12.45,12.45,11.01,11.67,170500,"ARCT","NASDAQ"
2019-09-27,11.56,11.59,10.31,10.42,142700,"ARCT","NASDAQ"
2019-09-30,10.37,10.82,10.12,10.27,110600,"ARCT","NASDAQ"
2019-10-01,10.33,10.43,9.3,9.5,128200,"ARCT","NASDAQ"
2019-10-02,9.49,9.75,8.99,9.46,121500,"ARCT","NASDAQ"
2019-10-03,9.45,11.08,9.31,10.43,141400,"ARCT","NASDAQ"
2019-10-04,10.12,10.63,9.85,10.54,48800,"ARCT","NASDAQ"
2019-10-07,10.46,10.8,10.3,10.47,38900,"ARCT","NASDAQ"
2019-10-08,10.47,10.53,10.13,10.43,27700,"ARCT","NASDAQ"
2019-10-09,10.45,10.74,9.97,9.97,43400,"ARCT","NASDAQ"
2019-10-10,10.02,10.48,9.8,10.48,49200,"ARCT","NASDAQ"
2019-10-11,10.47,10.84,10.47,10.74,26800,"ARCT","NASDAQ"
2019-10-14,10.75,10.87,10.42,10.59,29500,"ARCT","NASDAQ"
2019-10-15,10.3,11,10.3,10.6,27000,"ARCT","NASDAQ"
2019-10-16,10.55,10.92,10.55,10.81,20900,"ARCT","NASDAQ"
2019-10-17,10.59,10.94,10.11,10.25,43100,"ARCT","NASDAQ"
2019-10-18,10.32,10.32,9.56,9.75,43197,"ARCT","NASDAQ"
