"times","open","high","low","close","volume","symbol","market"
2019-05-30,3.45,3.49,3.321,3.49,7800,"AREC","NASDAQ"
2019-05-31,3.302,3.432,3.302,3.4,4000,"AREC","NASDAQ"
2019-06-03,3.31,3.4,3.25,3.25,4400,"AREC","NASDAQ"
2019-06-04,3.2,3.215,2.567,3.045,13600,"AREC","NASDAQ"
2019-06-05,3.01,3.116,2.46,2.63,8300,"AREC","NASDAQ"
2019-06-06,2.61,2.61,1.51,2.171,196100,"AREC","NASDAQ"
2019-06-07,2.26,2.276,1.76,2.1,55400,"AREC","NASDAQ"
2019-06-10,2.19,2.3,1.95,2.15,34700,"AREC","NASDAQ"
2019-06-11,2.1501,2.15,1.96,2.15,18600,"AREC","NASDAQ"
2019-06-12,2.3,2.71,2,2.55,75500,"AREC","NASDAQ"
2019-06-13,2.66,2.66,2.39,2.525,29600,"AREC","NASDAQ"
2019-06-14,2.48,2.7,2.45,2.7,56000,"AREC","NASDAQ"
2019-06-17,2.71,2.74,2.51,2.55,32500,"AREC","NASDAQ"
2019-06-18,2.639,2.725,2.45,2.58,26100,"AREC","NASDAQ"
2019-06-19,2.594,2.7,2.594,2.69,133800,"AREC","NASDAQ"
2019-06-20,2.7,2.97,2.6,2.75,22700,"AREC","NASDAQ"
2019-06-21,2.81,2.98,2.725,2.82,43700,"AREC","NASDAQ"
2019-06-24,2.9302,3,2.75,2.9,215300,"AREC","NASDAQ"
2019-06-25,2.96,2.98,2.73,2.76,28500,"AREC","NASDAQ"
2019-06-26,2.75,2.93,2.75,2.91,16200,"AREC","NASDAQ"
2019-06-27,2.885,2.94,2.764,2.93,15100,"AREC","NASDAQ"
2019-06-28,2.803,2.95,2.753,2.95,34500,"AREC","NASDAQ"
2019-07-01,2.95,3.573,2.852,3.465,219300,"AREC","NASDAQ"
2019-07-02,3.5,3.84,3.25,3.57,50400,"AREC","NASDAQ"
2019-07-03,3.445,3.6,3.3,3.434,5200,"AREC","NASDAQ"
2019-07-05,3.64,3.89,3.35,3.536,24400,"AREC","NASDAQ"
2019-07-08,3.54,3.54,3.106,3.2,47200,"AREC","NASDAQ"
2019-07-09,3.14,3.5,2.902,3.25,30000,"AREC","NASDAQ"
2019-07-10,2.973,3.25,2.973,3.08,11200,"AREC","NASDAQ"
2019-07-11,3.05,3.25,3.05,3.05,6800,"AREC","NASDAQ"
2019-07-12,3.075,3.475,3.075,3.36,17200,"AREC","NASDAQ"
2019-07-15,3.49,3.763,3.31,3.61,20200,"AREC","NASDAQ"
2019-07-16,3.58,3.58,3.3,3.3,11200,"AREC","NASDAQ"
