"times","open","high","low","close","volume","symbol","market"
2019-05-30,19.6,20,19.6,20,1400,"ARKR","NASDAQ"
2019-05-31,20.25,20.45,19.795,19.872,3500,"ARKR","NASDAQ"
2019-06-03,19.87,19.87,19.87,19.87,100,"ARKR","NASDAQ"
2019-06-04,20.2,20.46,19.705,20.254,27700,"ARKR","NASDAQ"
2019-06-05,20.1,20.1,20.1,20.1,2500,"ARKR","NASDAQ"
2019-06-06,19.764,19.7671,19.764,19.764,300,"ARKR","NASDAQ"
2019-06-07,20.37,20.37,20.36,20.36,500,"ARKR","NASDAQ"
2019-06-10,20.45,20.49,20.354,20.49,1900,"ARKR","NASDAQ"
2019-06-11,20.67,20.67,20.309,20.309,1800,"ARKR","NASDAQ"
2019-06-12,20.05,20.2,20.0492,20.2,1000,"ARKR","NASDAQ"
2019-06-13,20.38,20.38,20.38,20.38,300,"ARKR","NASDAQ"
2019-06-14,20.04,20.67,20.04,20.67,3300,"ARKR","NASDAQ"
2019-06-17,20.2,20.2,20.111,20.11,1800,"ARKR","NASDAQ"
2019-06-18,19.823,19.823,19.823,19.823,300,"ARKR","NASDAQ"
2019-06-19,20.46,20.46,20.4,20.4,600,"ARKR","NASDAQ"
2019-06-20,19.914,19.914,19.914,19.914,300,"ARKR","NASDAQ"
2019-06-21,19.91,19.91,19.91,19.91,100,"ARKR","NASDAQ"
2019-06-24,20.62,20.62,20.62,20.62,200,"ARKR","NASDAQ"
2019-06-25,20,20.497,19.9177,20.314,4600,"ARKR","NASDAQ"
2019-06-26,19.819,20.31,19.648,20.107,16100,"ARKR","NASDAQ"
2019-06-27,19.92,19.92,19.92,19.92,300,"ARKR","NASDAQ"
2019-06-28,19.9376,20.45,19.936,20.45,1500,"ARKR","NASDAQ"
2019-07-01,20.45,20.45,20.45,20.45,0,"ARKR","NASDAQ"
2019-07-02,20.45,20.45,19.904,19.904,500,"ARKR","NASDAQ"
2019-07-03,20.008,20.393,20.008,20.393,400,"ARKR","NASDAQ"
2019-07-05,20.03,20.2,20.03,20.2,600,"ARKR","NASDAQ"
2019-07-08,20.24,20.25,20.04,20.19,7000,"ARKR","NASDAQ"
2019-07-09,20.43,20.43,20.19,20.2,1000,"ARKR","NASDAQ"
2019-07-10,20.2,20.42,20.2,20.42,700,"ARKR","NASDAQ"
2019-07-11,20.17,20.2,20.17,20.2,1800,"ARKR","NASDAQ"
2019-07-12,20.42,20.42,20.21,20.21,600,"ARKR","NASDAQ"
2019-07-15,20,20,20,20,700,"ARKR","NASDAQ"
2019-07-16,20,20,19.9996,20,100,"ARKR","NASDAQ"
2019-07-17,20,20,20,20,900,"ARKR","NASDAQ"
2019-07-18,19.9,20.11,19.55,20.11,800,"ARKR","NASDAQ"
2019-07-19,20.1103,20.11,20.11,20.11,100,"ARKR","NASDAQ"
2019-07-22,19.75,20.09,19.75,20,6400,"ARKR","NASDAQ"
2019-07-23,19.88,19.88,19.88,19.88,200,"ARKR","NASDAQ"
2019-07-24,20.01,20.0998,20.01,20.1,800,"ARKR","NASDAQ"
2019-07-25,19.76,19.81,19.76,19.81,500,"ARKR","NASDAQ"
2019-07-26,19.75,20.29,19.75,20.29,500,"ARKR","NASDAQ"
2019-07-29,20.34,20.34,20.02,20.02,900,"ARKR","NASDAQ"
2019-07-30,20.25,20.25,19.98,19.98,500,"ARKR","NASDAQ"
2019-07-31,20,20.33,19.27,19.27,10100,"ARKR","NASDAQ"
2019-08-01,19.4,19.78,19.25,19.25,8200,"ARKR","NASDAQ"
2019-08-02,19.5,20.18,19.5,20.07,3400,"ARKR","NASDAQ"
2019-08-05,20.1,20.1,20,20,300,"ARKR","NASDAQ"
2019-08-06,20.01,20.01,19.65,19.68,4300,"ARKR","NASDAQ"
2019-08-07,20.1999,20.2,19.56,19.56,1400,"ARKR","NASDAQ"
2019-08-08,19.55,20.3,19.31,19.31,3900,"ARKR","NASDAQ"
2019-08-09,19.2497,20.3,19,19.42,7500,"ARKR","NASDAQ"
2019-08-12,19.97,20.2,19.84,19.84,5100,"ARKR","NASDAQ"
2019-08-13,19.706,20.3,19.706,20.25,1600,"ARKR","NASDAQ"
2019-08-14,19.85,19.85,19.85,19.85,300,"ARKR","NASDAQ"
2019-08-15,20.02,20.02,20.02,20.02,500,"ARKR","NASDAQ"
2019-08-16,20.02,20.02,20.02,20.02,0,"ARKR","NASDAQ"
2019-08-19,20.07,20.15,20.07,20.15,400,"ARKR","NASDAQ"
2019-08-20,20.28,20.28,20.28,20.28,100,"ARKR","NASDAQ"
2019-08-21,20.28,20.28,20.28,20.28,700,"ARKR","NASDAQ"
2019-08-22,20.29,20.49,20.29,20.49,300,"ARKR","NASDAQ"
2019-08-23,20.49,20.49,20.49,20.49,0,"ARKR","NASDAQ"
2019-08-26,20.49,20.49,20.49,20.49,0,"ARKR","NASDAQ"
2019-08-27,20.02,20.02,20.02,20.02,400,"ARKR","NASDAQ"
2019-08-28,20.15,20.44,20.15,20.44,1800,"ARKR","NASDAQ"
2019-08-29,20.05,20.29,20.02,20.25,3500,"ARKR","NASDAQ"
