"times","open","high","low","close","volume","symbol","market"
2019-05-30,53.99,54.79,53.4498,53.54,349000,"ARNA","NASDAQ"
2019-05-31,52.88,54.29,52.52,53.01,353400,"ARNA","NASDAQ"
2019-06-03,53.51,55.355,53.4,54.41,503000,"ARNA","NASDAQ"
2019-06-04,54.95,57.3682,54.947,57.16,883900,"ARNA","NASDAQ"
2019-06-05,57.66,59.13,56.87,57.29,895100,"ARNA","NASDAQ"
2019-06-06,57.25,57.25,55,55.88,829400,"ARNA","NASDAQ"
2019-06-07,55.91,57.25,54.68,56.7,613300,"ARNA","NASDAQ"
2019-06-10,57.03,57.83,55.43,55.6,455000,"ARNA","NASDAQ"
2019-06-11,56.08,56.28,54.88,55.61,479900,"ARNA","NASDAQ"
2019-06-12,55.88,57.81,55.88,57.81,616600,"ARNA","NASDAQ"
2019-06-13,58.01,58.8,56.14,56.5,437900,"ARNA","NASDAQ"
2019-06-14,56.64,56.684,54.72,55.32,504600,"ARNA","NASDAQ"
2019-06-17,55.71,57.3,54.84,57.23,648000,"ARNA","NASDAQ"
2019-06-18,57.05,58.81,56.45,58.41,538000,"ARNA","NASDAQ"
2019-06-19,58.54,58.89,57.8,57.9,420400,"ARNA","NASDAQ"
2019-06-20,58.59,58.69,55.86,56.13,618900,"ARNA","NASDAQ"
2019-06-21,55.91,57.515,55.48,57.29,968400,"ARNA","NASDAQ"
2019-06-24,57.45,57.51,55.84,56.4,430400,"ARNA","NASDAQ"
2019-06-25,56.42,56.76,55.63,56.01,313200,"ARNA","NASDAQ"
2019-06-26,56.01,56.93,55.65,56.23,321000,"ARNA","NASDAQ"
2019-06-27,56.52,57.98,56.52,57.92,374200,"ARNA","NASDAQ"
2019-06-28,58.2,58.875,57.26,58.63,764100,"ARNA","NASDAQ"
2019-07-01,59.1,61.12,58.68,59.68,609800,"ARNA","NASDAQ"
2019-07-02,59.54,60.72,58.95,60.69,523500,"ARNA","NASDAQ"
2019-07-03,61,62.219,60.78,62.16,324900,"ARNA","NASDAQ"
2019-07-05,61.69,62.64,61.4,61.89,414200,"ARNA","NASDAQ"
2019-07-08,61.88,61.88,59.11,59.83,603200,"ARNA","NASDAQ"
2019-07-09,59.53,60.98,59.53,60.59,331700,"ARNA","NASDAQ"
2019-07-10,60.69,61.63,59.43,60.86,689400,"ARNA","NASDAQ"
2019-07-11,61.36,62.2,59.42,60.76,466000,"ARNA","NASDAQ"
2019-07-12,60.73,61.93,60.3,61.48,316700,"ARNA","NASDAQ"
2019-07-15,61.87,62.44,61.52,62.07,320100,"ARNA","NASDAQ"
2019-07-16,62.1,62.1,61.07,61.77,238300,"ARNA","NASDAQ"
2019-07-17,61.88,62,60.19,61.32,540400,"ARNA","NASDAQ"
2019-07-18,61.24,62,60.8,61.95,272900,"ARNA","NASDAQ"
2019-07-19,61.91,62.75,61.6,61.82,310000,"ARNA","NASDAQ"
2019-07-22,62.37,63.48,62.19,62.29,356300,"ARNA","NASDAQ"
2019-07-23,62.29,63.41,61.85,62.35,286800,"ARNA","NASDAQ"
2019-07-24,62.23,63.46,61.65,63.33,293500,"ARNA","NASDAQ"
2019-07-25,63.5,63.68,61.26,61.33,344800,"ARNA","NASDAQ"
2019-07-26,61.48,63.14,61.37,63.03,327900,"ARNA","NASDAQ"
2019-07-29,63.2,63.67,61.72,62.04,302600,"ARNA","NASDAQ"
2019-07-30,61.73,63.28,61.72,63.13,489200,"ARNA","NASDAQ"
2019-07-31,63.45,63.7,61.58,62.68,550100,"ARNA","NASDAQ"
2019-08-01,62.6,64.48,61.8808,62.36,427800,"ARNA","NASDAQ"
2019-08-02,62.03,62.32,60.76,61.25,382200,"ARNA","NASDAQ"
2019-08-05,60.12,61.08,59,60.12,665200,"ARNA","NASDAQ"
2019-08-06,60.73,62.05,59.86,61.93,438200,"ARNA","NASDAQ"
2019-08-07,60.98,61.93,60.06,60.91,344400,"ARNA","NASDAQ"
2019-08-08,59.3,60.569,55.12,56.18,2099400,"ARNA","NASDAQ"
2019-08-09,55.86,55.948,52.64,54.1,1355000,"ARNA","NASDAQ"
2019-08-12,53.57,54.1,51.24,51.42,910800,"ARNA","NASDAQ"
2019-08-13,51.14,53.53,51.14,53.48,677400,"ARNA","NASDAQ"
2019-08-14,52.8,54.2625,52.49,53.65,499100,"ARNA","NASDAQ"
2019-08-15,53.5,54.63,52.78,52.88,286100,"ARNA","NASDAQ"
2019-08-16,53.24,55.83,53.24,55.72,526100,"ARNA","NASDAQ"
2019-08-19,56.59,58.57,56.38,56.64,496900,"ARNA","NASDAQ"
2019-08-20,56.49,57.43,56.19,56.95,344100,"ARNA","NASDAQ"
2019-08-21,57.35,57.38,56.3,57,266200,"ARNA","NASDAQ"
2019-08-22,56.85,57.13,54.79,55.03,383800,"ARNA","NASDAQ"
2019-08-23,54.73,55.94,53.46,53.73,443000,"ARNA","NASDAQ"
2019-08-26,54.16,54.42,53.3,54.24,238300,"ARNA","NASDAQ"
2019-08-27,54.19,55.23,52.15,52.66,310000,"ARNA","NASDAQ"
2019-08-28,52.44,54.09,52.43,53.56,222300,"ARNA","NASDAQ"
2019-08-29,53.94,54.25,53.33,53.89,290900,"ARNA","NASDAQ"
2019-08-30,54.03,54.09,52.5,52.89,336900,"ARNA","NASDAQ"
2019-09-03,52.68,53.64,51.05,51.26,344300,"ARNA","NASDAQ"
2019-09-04,51.86,51.86,50.63,51.79,338100,"ARNA","NASDAQ"
2019-09-05,52.51,53.2,51.83,52.62,256100,"ARNA","NASDAQ"
2019-09-06,52.62,52.91,51.75,51.84,244500,"ARNA","NASDAQ"
2019-09-09,51.4,51.58,49.92,50.18,403900,"ARNA","NASDAQ"
2019-09-10,49.98,51.98,49.18,51.95,559000,"ARNA","NASDAQ"
2019-09-11,52.12,53.54,51.58,53.28,438500,"ARNA","NASDAQ"
2019-09-12,53.68,53.68,51.63,52.58,368800,"ARNA","NASDAQ"
2019-09-13,52.58,52.69,51.1,51.22,325800,"ARNA","NASDAQ"
2019-09-16,51.22,52.57,50.67,52.33,309100,"ARNA","NASDAQ"
2019-09-17,52.05,52.49,50.83,51.94,577900,"ARNA","NASDAQ"
2019-09-18,51.52,52.73,51.25,52.28,319800,"ARNA","NASDAQ"
2019-09-19,52.18,52.63,50.86,51.19,468300,"ARNA","NASDAQ"
2019-09-20,51.12,51.84,49.95,51.07,1005800,"ARNA","NASDAQ"
2019-09-23,51.16,51.84,50.26,50.72,282800,"ARNA","NASDAQ"
2019-09-24,50.74,50.85,48.14,48.42,500600,"ARNA","NASDAQ"
2019-09-25,48.56,49.37,47.95,48.37,407900,"ARNA","NASDAQ"
2019-09-26,48.08,48.43,45.23,45.4,713200,"ARNA","NASDAQ"
2019-09-27,45.41,46.91,44.57,45.7,467300,"ARNA","NASDAQ"
2019-09-30,45.76,46.48,44.53,45.77,370200,"ARNA","NASDAQ"
2019-10-01,46.06,46.87,45.27,45.55,402400,"ARNA","NASDAQ"
2019-10-02,45.21,45.63,44.36,44.81,550200,"ARNA","NASDAQ"
2019-10-03,44.57,45.67,44.33,45.25,348700,"ARNA","NASDAQ"
2019-10-04,45.45,46,44.31,45.94,354400,"ARNA","NASDAQ"
2019-10-07,45.71,46.43,45.33,45.41,326700,"ARNA","NASDAQ"
2019-10-08,45.54,45.9,44.64,45.14,260000,"ARNA","NASDAQ"
2019-10-09,45.36,45.97,44.65,44.8,244600,"ARNA","NASDAQ"
2019-10-10,44.93,46.74,44.6,46.5,537500,"ARNA","NASDAQ"
2019-10-11,47.04,48.21,46.56,47.16,417400,"ARNA","NASDAQ"
2019-10-14,46.9,47.76,46.74,47.32,221900,"ARNA","NASDAQ"
