"times","open","high","low","close","volume","symbol","market"
2019-05-30,32.955,33.185,32.28,32.49,13300,"AROW","NASDAQ"
2019-05-31,32.19,32.489,31.975,32.17,28100,"AROW","NASDAQ"
2019-06-03,32.01,32.44,31.885,32.43,20800,"AROW","NASDAQ"
2019-06-04,32.52,33.4112,32.497,32.81,17200,"AROW","NASDAQ"
2019-06-05,32.79,33.18,32.49,33.1,9400,"AROW","NASDAQ"
2019-06-06,32.849,33.02,32.6,32.9,15100,"AROW","NASDAQ"
2019-06-07,32.78,33.05,32.401,33.01,7300,"AROW","NASDAQ"
2019-06-10,32.98,33.2,32.65,32.85,16100,"AROW","NASDAQ"
2019-06-11,32.95,33.2,32.51,33.06,16700,"AROW","NASDAQ"
2019-06-12,32.92,33.3,32.92,33.11,9900,"AROW","NASDAQ"
2019-06-13,33.36,33.859,33.11,33.63,20700,"AROW","NASDAQ"
2019-06-14,33.69,33.85,33.4,33.41,15500,"AROW","NASDAQ"
2019-06-17,33.56,33.74,33.2,33.37,13900,"AROW","NASDAQ"
2019-06-18,33.5316,33.78,33.3,33.46,20300,"AROW","NASDAQ"
2019-06-19,33.52,33.78,33.48,33.75,9000,"AROW","NASDAQ"
2019-06-20,33.9,34.18,33.075,33.12,12700,"AROW","NASDAQ"
2019-06-21,32.89,33.74,32.723,33.42,43200,"AROW","NASDAQ"
2019-06-24,33.23,33.51,32.76,32.97,13300,"AROW","NASDAQ"
2019-06-25,33.517,33.517,32.74,33.2,12100,"AROW","NASDAQ"
2019-06-26,32.497,33.44,32.497,32.9,11300,"AROW","NASDAQ"
2019-06-27,33.395,33.88,32.63,33.88,24200,"AROW","NASDAQ"
2019-06-28,33.77,34.95,33.77,34.73,85700,"AROW","NASDAQ"
2019-07-01,34.7,34.93,34.423,34.5,18400,"AROW","NASDAQ"
2019-07-02,34.3,34.373,33.3,33.54,12800,"AROW","NASDAQ"
2019-07-03,33.89,34.03,33.81,33.81,4200,"AROW","NASDAQ"
2019-07-05,34.23,34.49,33.85,34.45,8500,"AROW","NASDAQ"
2019-07-08,33.74,34.22,33.55,33.71,11100,"AROW","NASDAQ"
2019-07-09,33.83,34.18,33.6898,34.08,6400,"AROW","NASDAQ"
2019-07-10,34.2092,34.76,33.81,33.85,11300,"AROW","NASDAQ"
2019-07-11,33.72,34.0102,33.62,33.99,9400,"AROW","NASDAQ"
2019-07-12,34.41,34.7686,34.14,34.14,16500,"AROW","NASDAQ"
2019-07-15,34.48,34.48,33.48,33.7,5800,"AROW","NASDAQ"
2019-07-16,33.56,33.98,33.54,33.72,10800,"AROW","NASDAQ"
2019-07-17,33.52,33.79,33.37,33.45,6000,"AROW","NASDAQ"
2019-07-18,33.77,34,33.67,33.79,6000,"AROW","NASDAQ"
2019-07-19,33.59,33.98,33.45,33.65,12000,"AROW","NASDAQ"
2019-07-22,33.41,33.93,32.4,33.4,21500,"AROW","NASDAQ"
2019-07-23,33.01,33.24,32.9,32.99,9900,"AROW","NASDAQ"
2019-07-24,33.33,34.1975,33.33,33.95,15600,"AROW","NASDAQ"
2019-07-25,33.99,33.99,33.41,33.5,12500,"AROW","NASDAQ"
2019-07-26,33.75,34.18,33.47,33.7,24100,"AROW","NASDAQ"
2019-07-29,33.54,34.04,33.46,33.56,20900,"AROW","NASDAQ"
2019-07-30,33.5,33.83,33.45,33.68,32900,"AROW","NASDAQ"
2019-07-31,33.51,34,33.26,33.26,38300,"AROW","NASDAQ"
2019-08-01,33.26,33.55,32.77,32.88,70900,"AROW","NASDAQ"
2019-08-02,32.74,33.06,32.56,32.9,29100,"AROW","NASDAQ"
2019-08-05,32.6,32.62,32.0993,32.3,33100,"AROW","NASDAQ"
2019-08-06,32.46,32.4808,31.58,32.31,18100,"AROW","NASDAQ"
2019-08-07,31.87,32.81,31.8692,32.45,21600,"AROW","NASDAQ"
2019-08-08,32.72,33,32.06,32.5,23900,"AROW","NASDAQ"
2019-08-09,32.6,32.87,32.359,32.74,18600,"AROW","NASDAQ"
2019-08-12,32.52,32.8,32.3,32.59,16400,"AROW","NASDAQ"
2019-08-13,32.597,32.99,32.58,32.88,12800,"AROW","NASDAQ"
2019-08-14,32.4,32.63,31.76,32,16200,"AROW","NASDAQ"
2019-08-15,31.98,32.2,31.78,31.8,9200,"AROW","NASDAQ"
2019-08-16,31.94,32.53,31.77,32,44700,"AROW","NASDAQ"
2019-08-19,31.4951,32.0291,31.4563,31.8738,11800,"AROW","NASDAQ"
2019-08-20,31.767,31.767,31.4078,31.4563,5800,"AROW","NASDAQ"
2019-08-21,31.534,31.8544,31.534,31.835,13300,"AROW","NASDAQ"
2019-08-22,31.8738,31.9709,31.5922,31.6893,12400,"AROW","NASDAQ"
2019-08-23,31.699,31.699,30.2621,30.3204,23100,"AROW","NASDAQ"
2019-08-26,30.7573,31.4272,30.7573,31.3786,13800,"AROW","NASDAQ"
2019-08-27,31.2718,31.2718,30.5631,30.5631,13100,"AROW","NASDAQ"
2019-08-28,30.5825,31.4078,30.4272,31.1359,15400,"AROW","NASDAQ"
2019-08-29,31.6019,31.6019,31.3301,31.3301,14400,"AROW","NASDAQ"
2019-08-30,31.5534,31.5534,31.0388,31.2233,16200,"AROW","NASDAQ"
2019-09-03,30.699,31.2427,30.5825,30.8932,21800,"AROW","NASDAQ"
2019-09-04,30.9515,31.1553,30.835,30.932,7800,"AROW","NASDAQ"
2019-09-05,31.3107,31.9806,31.1165,31.5728,18600,"AROW","NASDAQ"
2019-09-06,31.6699,31.6699,31.1553,31.3398,15500,"AROW","NASDAQ"
2019-09-09,31.0777,32.3981,31.0777,32.1942,21200,"AROW","NASDAQ"
2019-09-10,32.1942,32.8641,31.767,32.7184,16900,"AROW","NASDAQ"
2019-09-11,33,33.9709,32.6311,33.9515,26600,"AROW","NASDAQ"
2019-09-12,33.5922,34.5631,33.4854,34.2816,35200,"AROW","NASDAQ"
2019-09-13,34.6019,35.0194,34.3301,34.7379,32400,"AROW","NASDAQ"
2019-09-16,34.63,35.31,34.11,34.88,27700,"AROW","NASDAQ"
2019-09-17,34.59,35.22,34.34,34.46,19800,"AROW","NASDAQ"
2019-09-18,34.61,34.82,33.84,34.26,22600,"AROW","NASDAQ"
2019-09-19,34.33,34.77,33.81,33.87,22600,"AROW","NASDAQ"
2019-09-20,33.82,35,33.6,34.51,60200,"AROW","NASDAQ"
2019-09-23,34.1,34.36,33.79,34.08,9300,"AROW","NASDAQ"
2019-09-24,33.97,34.23,32.81,33.36,32500,"AROW","NASDAQ"
2019-09-25,33.49,34.23,33.49,34.05,14000,"AROW","NASDAQ"
2019-09-26,33.43,33.77,33,33.18,29700,"AROW","NASDAQ"
2019-09-27,33.42,33.7,32.93,33.43,22600,"AROW","NASDAQ"
