"times","open","high","low","close","volume","symbol","market"
2019-05-30,7.3,7.3098,6.71,6.95,1526600,"ARQL","NASDAQ"
2019-05-31,6.93,7.26,6.75,7.19,1566600,"ARQL","NASDAQ"
2019-06-03,7.25,7.3,6.97,7.2,1413200,"ARQL","NASDAQ"
2019-06-04,7.31,7.73,7.25,7.55,2382700,"ARQL","NASDAQ"
2019-06-05,7.71,7.728,7.13,7.15,1337000,"ARQL","NASDAQ"
2019-06-06,7.08,7.17,6.23,6.38,3985000,"ARQL","NASDAQ"
2019-06-07,6.36,6.64,6.301,6.51,1712700,"ARQL","NASDAQ"
2019-06-10,6.57,6.6,6.04,6.26,1584800,"ARQL","NASDAQ"
2019-06-11,6.37,6.415,6.2047,6.24,1462400,"ARQL","NASDAQ"
2019-06-12,6.21,6.44,6.07,6.25,1083300,"ARQL","NASDAQ"
2019-06-13,6.34,6.44,5.83,6.29,2530200,"ARQL","NASDAQ"
2019-06-14,9.0109,9.1,8.02,8.2,34392100,"ARQL","NASDAQ"
2019-06-17,8.28,9.92,8.2,9.58,23622600,"ARQL","NASDAQ"
2019-06-18,9.58,9.9,9.1705,9.36,5833600,"ARQL","NASDAQ"
2019-06-19,9.46,9.88,9.21,9.68,5327600,"ARQL","NASDAQ"
2019-06-20,9.71,10.39,9.71,10.35,6278700,"ARQL","NASDAQ"
2019-06-21,10.26,10.51,9.97,10.49,5894900,"ARQL","NASDAQ"
2019-06-24,10.5,10.68,9.96,10.01,4433900,"ARQL","NASDAQ"
2019-06-25,10.53,11.11,10.35,10.82,12937300,"ARQL","NASDAQ"
2019-06-26,10.76,10.9,10.13,10.42,4097000,"ARQL","NASDAQ"
2019-06-27,10.4,10.92,10.3715,10.83,3476200,"ARQL","NASDAQ"
2019-06-28,10.73,11.04,10.61,11.01,3591700,"ARQL","NASDAQ"
2019-07-01,11.16,11.35,10.695,11.19,3369100,"ARQL","NASDAQ"
2019-07-02,11.2,11.46,11.18,11.44,3042500,"ARQL","NASDAQ"
2019-07-03,11.57,11.98,11.3458,11.89,2731400,"ARQL","NASDAQ"
2019-07-05,11.8899,12.22,11.26,11.27,3136300,"ARQL","NASDAQ"
2019-07-08,11.33,11.49,10.7,10.95,3184000,"ARQL","NASDAQ"
2019-07-09,10.8599,11.2,10.77,11.13,2116200,"ARQL","NASDAQ"
2019-07-10,11.11,11.29,10.95,11.24,3012500,"ARQL","NASDAQ"
2019-07-11,11.26,11.3,10.75,10.91,1839500,"ARQL","NASDAQ"
2019-07-12,10.97,11.07,10.63,11.05,1900200,"ARQL","NASDAQ"
2019-07-15,10.95,10.97,10.5,10.6,1220100,"ARQL","NASDAQ"
2019-07-16,10.6,10.73,10.41,10.62,1126500,"ARQL","NASDAQ"
2019-07-17,10.62,10.62,10.27,10.33,1173000,"ARQL","NASDAQ"
2019-07-18,10.29,10.82,10.25,10.6,1722400,"ARQL","NASDAQ"
2019-07-19,10.61,10.76,10.44,10.57,1284200,"ARQL","NASDAQ"
2019-07-22,10.6,10.95,10.52,10.91,1103600,"ARQL","NASDAQ"
2019-07-23,11.03,11.07,10.49,10.53,1140400,"ARQL","NASDAQ"
2019-07-24,10.52,10.6,10.29,10.5,1154900,"ARQL","NASDAQ"
2019-07-25,10.51,10.6,10.34,10.39,1501400,"ARQL","NASDAQ"
2019-07-26,10.44,10.49,10.14,10.4,1609900,"ARQL","NASDAQ"
2019-07-29,10.39,10.59,10.22,10.31,995700,"ARQL","NASDAQ"
2019-07-30,10.22,10.39,10.06,10.37,808700,"ARQL","NASDAQ"
2019-07-31,10.38,10.5,10.06,10.09,1128900,"ARQL","NASDAQ"
2019-08-01,10.03,10.61,9.9099,10.3,1489200,"ARQL","NASDAQ"
2019-08-02,10.22,10.29,9.88,9.94,1626900,"ARQL","NASDAQ"
2019-08-05,9.8605,9.93,9.41,9.47,2075300,"ARQL","NASDAQ"
2019-08-06,9.6,9.76,9.35,9.67,1763100,"ARQL","NASDAQ"
2019-08-07,9.42,9.54,8.2599,8.86,5274300,"ARQL","NASDAQ"
2019-08-08,8.9,9.4,8.9,9.26,1959800,"ARQL","NASDAQ"
2019-08-09,9.14,9.38,9.04,9.25,1123300,"ARQL","NASDAQ"
2019-08-12,9.08,9.14,8.67,8.71,1020800,"ARQL","NASDAQ"
2019-08-13,8.75,9.13,8.75,9.01,1652300,"ARQL","NASDAQ"
2019-08-14,8.78,9.19,8.72,8.87,1918500,"ARQL","NASDAQ"
2019-08-15,8.8698,9,8.49,8.64,990500,"ARQL","NASDAQ"
2019-08-16,8.66,8.9902,8.61,8.96,899400,"ARQL","NASDAQ"
2019-08-19,9.05,9.06,8.7,8.93,795300,"ARQL","NASDAQ"
2019-08-20,8.93,9.35,8.87,9.23,1148400,"ARQL","NASDAQ"
2019-08-21,9.3,9.56,9.21,9.54,1010900,"ARQL","NASDAQ"
2019-08-22,9.53,9.62,9.44,9.54,1905300,"ARQL","NASDAQ"
2019-08-23,9.47,9.83,9.15,9.2,1417500,"ARQL","NASDAQ"
2019-08-26,9.33,9.44,8.94,9.02,1037300,"ARQL","NASDAQ"
2019-08-27,9.03,9.03,8.54,8.61,1312400,"ARQL","NASDAQ"
2019-08-28,8.56,9.21,8.37,9.05,1150500,"ARQL","NASDAQ"
2019-08-29,9.12,9.25,8.86,9.13,810800,"ARQL","NASDAQ"
2019-08-30,9.18,9.28,8.9,8.96,505400,"ARQL","NASDAQ"
2019-09-03,8.88,9.52,8.88,9.01,1358400,"ARQL","NASDAQ"
2019-09-04,9.1,9.43,9.02,9.41,887200,"ARQL","NASDAQ"
2019-09-05,9.46,9.81,8.83,9.11,5614600,"ARQL","NASDAQ"
2019-09-06,9.1,9.57,9.04,9.32,1282400,"ARQL","NASDAQ"
2019-09-09,9.37,9.4,8.03,8.1,3364700,"ARQL","NASDAQ"
2019-09-10,8.01,8.12,7.52,7.97,3340100,"ARQL","NASDAQ"
2019-09-11,8.05,8.44,7.98,8.07,2434400,"ARQL","NASDAQ"
2019-09-12,8.17,8.29,7.84,7.9,2290100,"ARQL","NASDAQ"
2019-09-13,7.95,8.26,7.9,7.97,1291500,"ARQL","NASDAQ"
2019-09-16,8.1,8.15,7.74,7.77,1968400,"ARQL","NASDAQ"
2019-09-17,7.77,8.08,7.77,7.92,2975400,"ARQL","NASDAQ"
2019-09-18,7.86,8.24,7.85,7.96,1005600,"ARQL","NASDAQ"
2019-09-19,7.93,8.04,7.8,8.02,830300,"ARQL","NASDAQ"
2019-09-20,7.98,8.53,7.98,8.39,7824000,"ARQL","NASDAQ"
2019-09-23,8.38,8.5,8.04,8.18,2684700,"ARQL","NASDAQ"
2019-09-24,8.22,8.24,7.61,7.82,3021200,"ARQL","NASDAQ"
2019-09-25,7.76,7.9,7.4,7.52,2441900,"ARQL","NASDAQ"
2019-09-26,7.52,7.62,7.11,7.23,2046300,"ARQL","NASDAQ"
2019-09-27,7.22,7.34,6.93,7,2549400,"ARQL","NASDAQ"
2019-09-30,7,7.23,6.79,7.17,2356200,"ARQL","NASDAQ"
2019-10-01,7.18,7.3,6.93,7.05,1408900,"ARQL","NASDAQ"
2019-10-02,6.96,7.69,6.88,7.49,4816400,"ARQL","NASDAQ"
2019-10-03,7.54,8.19,7.43,8.15,4690800,"ARQL","NASDAQ"
