"times","open","high","low","close","volume","symbol","market"
2019-05-30,2.23,2.25,2.19,2.21,59800,"ARTX","NASDAQ"
2019-05-31,2.16,2.19,2.11,2.11,97700,"ARTX","NASDAQ"
2019-06-03,2.12,2.14,2,2.02,137600,"ARTX","NASDAQ"
2019-06-04,2.02,2.07,1.94,1.97,137700,"ARTX","NASDAQ"
2019-06-05,1.98,2.06,1.971,2.05,71400,"ARTX","NASDAQ"
2019-06-06,2.07,2.132,2,2.05,87000,"ARTX","NASDAQ"
2019-06-07,2.05,2.08,2.05,2.06,40500,"ARTX","NASDAQ"
2019-06-10,2.06,2.1202,2.03,2.04,66600,"ARTX","NASDAQ"
2019-06-11,2.04,2.09,2.02,2.06,62000,"ARTX","NASDAQ"
2019-06-12,2.06,2.1,2.06,2.09,28300,"ARTX","NASDAQ"
2019-06-13,2.08,2.155,2.06,2.14,43200,"ARTX","NASDAQ"
2019-06-14,2.14,2.15,2.11,2.15,41400,"ARTX","NASDAQ"
2019-06-17,2.15,2.15,2.02,2.02,44900,"ARTX","NASDAQ"
2019-06-18,2.04,2.065,2,2.01,36400,"ARTX","NASDAQ"
2019-06-19,2.01,2.0999,2.01,2.07,58400,"ARTX","NASDAQ"
2019-06-20,2.09,2.1,2,2.05,93400,"ARTX","NASDAQ"
2019-06-21,2.04,2.09,2,2.09,114500,"ARTX","NASDAQ"
2019-06-24,2.07,2.07,1.915,1.95,106000,"ARTX","NASDAQ"
2019-06-25,1.95,1.993,1.89,1.89,73300,"ARTX","NASDAQ"
2019-06-26,1.91,1.96,1.894,1.9,35600,"ARTX","NASDAQ"
2019-06-27,1.92,1.95,1.9,1.95,28300,"ARTX","NASDAQ"
2019-06-28,1.93,1.99,1.91,1.99,57900,"ARTX","NASDAQ"
2019-07-01,2.02,2.02,1.93,1.95,41000,"ARTX","NASDAQ"
2019-07-02,1.9,1.93,1.8,1.87,137400,"ARTX","NASDAQ"
2019-07-03,1.95,1.95,1.87,1.9,77500,"ARTX","NASDAQ"
2019-07-05,1.91,1.922,1.88,1.89,46200,"ARTX","NASDAQ"
2019-07-08,1.91,1.91,1.89,1.91,44600,"ARTX","NASDAQ"
2019-07-09,1.91,1.91,1.81,1.83,90900,"ARTX","NASDAQ"
2019-07-10,1.83,1.92,1.83,1.91,110500,"ARTX","NASDAQ"
2019-07-11,1.92,1.92,1.88,1.89,55500,"ARTX","NASDAQ"
2019-07-12,1.87,1.9,1.86,1.88,54300,"ARTX","NASDAQ"
2019-07-15,1.89,1.89,1.8,1.81,90500,"ARTX","NASDAQ"
2019-07-16,1.81,1.87,1.81,1.84,39300,"ARTX","NASDAQ"
2019-07-17,1.84,1.86,1.82,1.83,27100,"ARTX","NASDAQ"
2019-07-18,1.82,1.83,1.74,1.8,112500,"ARTX","NASDAQ"
2019-07-19,1.78,1.7899,1.73,1.74,114500,"ARTX","NASDAQ"
2019-07-22,1.7,1.7801,1.61,1.77,283800,"ARTX","NASDAQ"
2019-07-23,1.81,1.82,1.77,1.8,74600,"ARTX","NASDAQ"
2019-07-24,1.8001,1.85,1.8,1.84,101900,"ARTX","NASDAQ"
2019-07-25,1.86,1.86,1.82,1.84,99200,"ARTX","NASDAQ"
2019-07-26,1.86,1.88,1.84,1.86,97000,"ARTX","NASDAQ"
2019-07-29,1.88,1.96,1.88,1.95,160900,"ARTX","NASDAQ"
2019-07-30,1.96,2.05,1.96,2.04,177400,"ARTX","NASDAQ"
2019-07-31,2.05,2.2498,2.05,2.17,185900,"ARTX","NASDAQ"
2019-08-01,2.21,2.21,2.12,2.16,138300,"ARTX","NASDAQ"
2019-08-02,2.18,2.18,2.04,2.15,345600,"ARTX","NASDAQ"
2019-08-05,2.09,2.16,2.05,2.11,147000,"ARTX","NASDAQ"
2019-08-06,2.1,2.16,2.08,2.1,168300,"ARTX","NASDAQ"
2019-08-07,2.08,2.15,2.07,2.09,131600,"ARTX","NASDAQ"
2019-08-08,2.2,2.21,2.13,2.15,368500,"ARTX","NASDAQ"
2019-08-09,2.16,2.2,2.145,2.17,79800,"ARTX","NASDAQ"
2019-08-12,2.23,2.387,2.23,2.29,178500,"ARTX","NASDAQ"
2019-08-13,2.3,2.36,2.24,2.25,120700,"ARTX","NASDAQ"
2019-08-14,2.24,2.24,2.19,2.22,128800,"ARTX","NASDAQ"
2019-08-15,2.21,2.25,2.2,2.24,63900,"ARTX","NASDAQ"
2019-08-16,2.25,2.38,2.25,2.28,115900,"ARTX","NASDAQ"
2019-08-19,2.32,2.35,2.28,2.35,97800,"ARTX","NASDAQ"
2019-08-20,2.34,2.35,2.28,2.35,67500,"ARTX","NASDAQ"
2019-08-21,2.35,2.39,2.32,2.35,56900,"ARTX","NASDAQ"
2019-08-22,2.34,2.37,2.31,2.37,59300,"ARTX","NASDAQ"
2019-08-23,2.37,2.4,2.32,2.34,94700,"ARTX","NASDAQ"
2019-08-26,2.4,2.41,2.35,2.37,94100,"ARTX","NASDAQ"
2019-08-27,2.37,2.37,2.34,2.36,91400,"ARTX","NASDAQ"
2019-08-28,2.4,2.4,2.32,2.36,60800,"ARTX","NASDAQ"
2019-08-29,2.37,2.38,2.35,2.36,64400,"ARTX","NASDAQ"
2019-08-30,2.35,2.37,2.33,2.37,58900,"ARTX","NASDAQ"
2019-09-03,2.34,2.38,2.33,2.34,38200,"ARTX","NASDAQ"
2019-09-04,2.35,2.37,2.33,2.35,43600,"ARTX","NASDAQ"
2019-09-05,2.35,2.38,2.33,2.36,40900,"ARTX","NASDAQ"
2019-09-06,2.36,2.39,2.33,2.38,37600,"ARTX","NASDAQ"
2019-09-09,2.38,2.38,2.27,2.29,123600,"ARTX","NASDAQ"
2019-09-10,2.29,2.36,2.29,2.36,51100,"ARTX","NASDAQ"
2019-09-11,2.34,2.41,2.32,2.4,78400,"ARTX","NASDAQ"
2019-09-12,2.41,2.43,2.36,2.4,67100,"ARTX","NASDAQ"
2019-09-13,2.4,2.42,2.39,2.4,40700,"ARTX","NASDAQ"
2019-09-16,2.4,2.4,2.36,2.38,32700,"ARTX","NASDAQ"
2019-09-17,2.35,2.35,2.22,2.24,96300,"ARTX","NASDAQ"
2019-09-18,2.23,2.29,2.21,2.25,72500,"ARTX","NASDAQ"
2019-09-19,2.25,2.29,2.23,2.28,43000,"ARTX","NASDAQ"
2019-09-20,2.26,2.29,2.25,2.26,68800,"ARTX","NASDAQ"
2019-09-23,2.96,2.97,2.94,2.95,7377000,"ARTX","NASDAQ"
2019-09-24,2.95,2.96,2.94,2.94,1427800,"ARTX","NASDAQ"
2019-09-25,2.94,2.95,2.94,2.94,771300,"ARTX","NASDAQ"
2019-09-26,2.94,2.96,2.94,2.96,336500,"ARTX","NASDAQ"
2019-09-27,2.95,2.96,2.95,2.95,87200,"ARTX","NASDAQ"
2019-09-30,2.95,2.96,2.94,2.94,698700,"ARTX","NASDAQ"
2019-10-01,2.94,2.96,2.94,2.95,115900,"ARTX","NASDAQ"
2019-10-02,2.95,2.96,2.94,2.95,121700,"ARTX","NASDAQ"
2019-10-03,2.95,2.96,2.95,2.95,134600,"ARTX","NASDAQ"
2019-10-04,2.95,2.96,2.95,2.95,70900,"ARTX","NASDAQ"
2019-10-07,2.95,2.95,2.94,2.94,164700,"ARTX","NASDAQ"
2019-10-08,2.94,2.96,2.94,2.96,175600,"ARTX","NASDAQ"
2019-10-09,2.95,2.97,2.95,2.97,173400,"ARTX","NASDAQ"
2019-10-10,2.96,2.97,2.96,2.96,60200,"ARTX","NASDAQ"
2019-10-11,2.96,2.98,2.96,2.97,45800,"ARTX","NASDAQ"
2019-10-14,2.97,2.97,2.96,2.97,35000,"ARTX","NASDAQ"
2019-10-15,2.97,2.97,2.96,2.97,51700,"ARTX","NASDAQ"
2019-10-16,2.96,2.97,2.96,2.96,56000,"ARTX","NASDAQ"
2019-10-17,2.96,2.97,2.96,2.96,39300,"ARTX","NASDAQ"
2019-10-18,2.96,2.97,2.96,2.96,105550,"ARTX","NASDAQ"
