"times","open","high","low","close","volume","symbol","market"
2019-05-30,22.36,22.36,21.36,21.72,107700,"ARVN","NASDAQ"
2019-05-31,21.44,21.465,20.42,20.92,104600,"ARVN","NASDAQ"
2019-06-03,20.91,21.9,19.31,20.05,171400,"ARVN","NASDAQ"
2019-06-04,21.9,22.08,19.57,21.99,151400,"ARVN","NASDAQ"
2019-06-05,20.87,21.95,20.77,21.31,187500,"ARVN","NASDAQ"
2019-06-06,21.49,21.4897,20.21,20.68,131500,"ARVN","NASDAQ"
2019-06-07,20.65,20.685,19.58,19.86,422200,"ARVN","NASDAQ"
2019-06-10,20.01,20.57,20,20.26,237700,"ARVN","NASDAQ"
2019-06-11,19.75,19.9988,18.39,18.75,307000,"ARVN","NASDAQ"
2019-06-12,18.75,20.0002,18.5,19.76,319900,"ARVN","NASDAQ"
2019-06-13,19.9,20.55,19.2606,19.32,167100,"ARVN","NASDAQ"
2019-06-14,19.43,20.91,19.19,20.69,263400,"ARVN","NASDAQ"
2019-06-17,20.68,21.97,20.37,21.92,233100,"ARVN","NASDAQ"
2019-06-18,21.98,22.785,21.19,21.98,369700,"ARVN","NASDAQ"
2019-06-19,21.95,22.49,21.95,22.32,166600,"ARVN","NASDAQ"
2019-06-20,22.5,22.69,22.08,22.2,321700,"ARVN","NASDAQ"
2019-06-21,22.03,22.7,21.53,21.89,156800,"ARVN","NASDAQ"
2019-06-24,21.91,22.115,21.21,21.87,168200,"ARVN","NASDAQ"
2019-06-25,21.9797,22.99,21.38,22.45,428600,"ARVN","NASDAQ"
2019-06-26,22.62,23.83,22.427,23.41,192100,"ARVN","NASDAQ"
2019-06-27,23.81,24.33,23.43,23.8,190100,"ARVN","NASDAQ"
2019-06-28,23.25,23.7,20.77,21.99,1899000,"ARVN","NASDAQ"
2019-07-01,22.4893,23.395,22.07,22.95,409900,"ARVN","NASDAQ"
2019-07-02,22.7198,23.17,22.5,22.6,152100,"ARVN","NASDAQ"
2019-07-03,22.87,25,22.51,24.92,453500,"ARVN","NASDAQ"
2019-07-05,24.84,27.8,24.84,26.97,240600,"ARVN","NASDAQ"
2019-07-08,27.17,27.21,25.43,25.89,410100,"ARVN","NASDAQ"
2019-07-09,25.84,27.15,25.4,26.02,116800,"ARVN","NASDAQ"
2019-07-10,26.23,26.47,24.8287,25.16,127200,"ARVN","NASDAQ"
2019-07-11,25.33,25.43,24.39,25.09,97800,"ARVN","NASDAQ"
2019-07-12,25.09,25.46,24.42,25,90200,"ARVN","NASDAQ"
2019-07-15,24.8501,26.65,24.74,24.89,148500,"ARVN","NASDAQ"
2019-07-16,24.92,25.8,24.92,25.1,90700,"ARVN","NASDAQ"
2019-07-17,25.2012,25.42,23.6,23.89,193000,"ARVN","NASDAQ"
2019-07-18,23.89,24.79,23.63,24.48,63800,"ARVN","NASDAQ"
2019-07-19,24.42,24.73,24.05,24.41,83000,"ARVN","NASDAQ"
2019-07-22,24.76,25.14,24.13,24.74,108800,"ARVN","NASDAQ"
2019-07-23,24.91,25.6,24.15,25.1,86800,"ARVN","NASDAQ"
2019-07-24,25.17,25.17,23.25,24.3,190600,"ARVN","NASDAQ"
2019-07-25,24.3307,26.3,24.24,26.07,155200,"ARVN","NASDAQ"
2019-07-26,26.25,28.25,26.23,27.61,411300,"ARVN","NASDAQ"
2019-07-29,27.75,27.82,25.75,26.58,116500,"ARVN","NASDAQ"
2019-07-30,26.4,26.84,25.93,26.49,58800,"ARVN","NASDAQ"
2019-07-31,26.44,27.6802,26.4,26.68,184600,"ARVN","NASDAQ"
