"times","open","high","low","close","volume","symbol","market"
2019-05-29,10.65,10.65,10.65,10.65,0,"ARYAU","NASDAQ"
2019-05-30,10.61,10.61,10.6109,10.61,700,"ARYAU","NASDAQ"
2019-05-31,10.64,10.64,10.64,10.64,200,"ARYAU","NASDAQ"
2019-06-03,10.64,10.64,10.6402,10.64,0,"ARYAU","NASDAQ"
2019-06-04,10.63,11.12,10.63,10.65,136800,"ARYAU","NASDAQ"
2019-06-05,10.65,10.65,10.65,10.65,0,"ARYAU","NASDAQ"
2019-06-06,10.65,10.65,10.65,10.65,65000,"ARYAU","NASDAQ"
2019-06-07,10.65,10.65,10.65,10.65,21200,"ARYAU","NASDAQ"
2019-06-10,10.65,10.65,10.65,10.65,0,"ARYAU","NASDAQ"
2019-06-11,10.65,10.65,10.65,10.65,100,"ARYAU","NASDAQ"
2019-06-12,10.65,10.65,10.64,10.64,500,"ARYAU","NASDAQ"
2019-06-13,10.7,10.7,10.68,10.68,25400,"ARYAU","NASDAQ"
2019-06-14,10.67,10.68,10.58,10.68,800,"ARYAU","NASDAQ"
2019-06-17,10.67,10.6813,10.58,10.67,1000,"ARYAU","NASDAQ"
2019-06-18,10.67,10.67,10.67,10.67,0,"ARYAU","NASDAQ"
2019-06-19,10.67,10.67,10.67,10.67,0,"ARYAU","NASDAQ"
2019-06-20,10.67,10.67,10.67,10.67,0,"ARYAU","NASDAQ"
2019-06-21,10.67,10.67,10.67,10.67,0,"ARYAU","NASDAQ"
2019-06-24,10.67,10.67,10.67,10.67,0,"ARYAU","NASDAQ"
2019-06-25,10.67,10.67,10.67,10.67,0,"ARYAU","NASDAQ"
2019-06-26,10.67,10.67,10.67,10.67,0,"ARYAU","NASDAQ"
2019-06-27,10.67,10.67,10.67,10.67,0,"ARYAU","NASDAQ"
2019-06-28,10.69,10.69,10.69,10.69,500,"ARYAU","NASDAQ"
2019-07-01,10.67,10.67,10.67,10.67,200,"ARYAU","NASDAQ"
2019-07-02,10.67,10.67,10.67,10.67,0,"ARYAU","NASDAQ"
2019-07-03,10.67,10.6701,10.67,10.67,0,"ARYAU","NASDAQ"
2019-07-05,10.74,10.76,10.64,10.64,2200,"ARYAU","NASDAQ"
2019-07-08,10.7,10.7,10.69,10.69,500,"ARYAU","NASDAQ"
2019-07-09,10.6599,10.66,10.64,10.65,4100,"ARYAU","NASDAQ"
2019-07-10,10.65,10.65,10.65,10.65,100,"ARYAU","NASDAQ"
2019-07-11,10.65,10.65,10.65,10.65,0,"ARYAU","NASDAQ"
2019-07-12,10.65,10.666,10.6391,10.664,1400,"ARYAU","NASDAQ"
2019-07-15,10.66,10.66,10.66,10.66,0,"ARYAU","NASDAQ"
2019-07-16,10.64,10.64,10.52,10.6,1900,"ARYAU","NASDAQ"
2019-07-17,10.65,10.66,10.51,10.55,20300,"ARYAU","NASDAQ"
2019-07-18,10.64,10.6411,10.55,10.63,4000,"ARYAU","NASDAQ"
2019-07-19,10.64,10.64,10.56,10.64,1600,"ARYAU","NASDAQ"
2019-07-22,10.64,10.64,10.64,10.64,0,"ARYAU","NASDAQ"
2019-07-23,10.64,10.64,10.64,10.64,0,"ARYAU","NASDAQ"
2019-07-24,10.64,10.6967,10.55,10.63,6000,"ARYAU","NASDAQ"
2019-07-25,10.67,10.67,10.67,10.67,100,"ARYAU","NASDAQ"
2019-07-26,10.67,10.67,10.67,10.67,0,"ARYAU","NASDAQ"
2019-07-29,10.67,10.67,10.67,10.67,0,"ARYAU","NASDAQ"
2019-07-30,10.6506,10.7,10.65,10.7,600,"ARYAU","NASDAQ"
2019-07-31,10.73,10.7295,10.73,10.73,900,"ARYAU","NASDAQ"
2019-08-01,10.72,10.72,10.64,10.7,800,"ARYAU","NASDAQ"
2019-08-02,10.714,10.714,10.708,10.708,2000,"ARYAU","NASDAQ"
2019-08-05,10.71,10.71,10.71,10.71,2000,"ARYAU","NASDAQ"
2019-08-06,10.71,10.71,10.71,10.71,2000,"ARYAU","NASDAQ"
2019-08-07,10.77,10.77,10.77,10.77,900,"ARYAU","NASDAQ"
2019-08-08,10.8,10.8,10.8,10.8,900,"ARYAU","NASDAQ"
2019-08-09,10.8,10.9,10.799,10.9,11700,"ARYAU","NASDAQ"
2019-08-12,10.93,10.93,10.92,10.93,3100,"ARYAU","NASDAQ"
2019-08-13,10.95,10.95,10.95,10.95,1000,"ARYAU","NASDAQ"
2019-08-14,10.92,10.93,10.92,10.93,400,"ARYAU","NASDAQ"
2019-08-15,10.92,10.93,10.92,10.93,100,"ARYAU","NASDAQ"
2019-08-16,10.9301,10.93,10.93,10.93,0,"ARYAU","NASDAQ"
2019-08-19,10.72,10.72,10.72,10.72,100,"ARYAU","NASDAQ"
2019-08-20,10.87,10.87,10.87,10.87,100,"ARYAU","NASDAQ"
2019-08-21,10.86,10.86,10.86,10.86,200,"ARYAU","NASDAQ"
2019-08-22,10.71,10.99,10.71,10.99,300,"ARYAU","NASDAQ"
2019-08-23,10.92,10.99,10.81,10.99,1700,"ARYAU","NASDAQ"
2019-08-26,10.97,10.99,10.7,10.99,400,"ARYAU","NASDAQ"
2019-08-27,10.99,10.99,10.99,10.99,0,"ARYAU","NASDAQ"
2019-08-28,11,11,10.95,10.95,8500,"ARYAU","NASDAQ"
2019-08-29,10.95,10.95,10.95,10.95,0,"ARYAU","NASDAQ"
2019-08-30,11,11,11,11,100,"ARYAU","NASDAQ"
2019-09-03,11,11,11,11,0,"ARYAU","NASDAQ"
2019-09-04,11,11,11,11,0,"ARYAU","NASDAQ"
2019-09-05,11,11,11,11,0,"ARYAU","NASDAQ"
2019-09-06,11,11,11,11,0,"ARYAU","NASDAQ"
2019-09-09,11,11,11,11,0,"ARYAU","NASDAQ"
2019-09-10,11,11,11,11,0,"ARYAU","NASDAQ"
2019-09-11,11,11,11,11,0,"ARYAU","NASDAQ"
2019-09-12,11,11,11,11,0,"ARYAU","NASDAQ"
2019-09-13,10.9,11,10.9,11,600,"ARYAU","NASDAQ"
2019-09-16,10.97,10.97,10.97,10.97,200,"ARYAU","NASDAQ"
2019-09-17,10.97,10.97,10.97,10.97,0,"ARYAU","NASDAQ"
2019-09-18,10.97,10.97,10.97,10.97,0,"ARYAU","NASDAQ"
2019-09-19,10.97,10.97,10.97,10.97,0,"ARYAU","NASDAQ"
2019-09-20,10.94,10.95,10.94,10.94,1400,"ARYAU","NASDAQ"
2019-09-23,10.94,10.94,10.94,10.94,0,"ARYAU","NASDAQ"
2019-09-24,10.94,10.94,10.94,10.94,0,"ARYAU","NASDAQ"
2019-09-25,10.77,10.95,10.77,10.95,600,"ARYAU","NASDAQ"
2019-09-26,10.95,10.95,10.95,10.95,0,"ARYAU","NASDAQ"
2019-09-27,10.94,10.94,10.94,10.94,2900,"ARYAU","NASDAQ"
2019-09-30,10.94,10.94,10.94,10.94,0,"ARYAU","NASDAQ"
2019-10-01,10.94,10.94,10.94,10.94,0,"ARYAU","NASDAQ"
2019-10-02,10.95,10.95,10.95,10.95,1000,"ARYAU","NASDAQ"
2019-10-03,10.94,10.94,10.93,10.94,3500,"ARYAU","NASDAQ"
2019-10-04,10.94,10.94,10.94,10.94,0,"ARYAU","NASDAQ"
2019-10-07,10.94,10.94,10.94,10.94,0,"ARYAU","NASDAQ"
2019-10-08,10.94,10.94,10.94,10.94,0,"ARYAU","NASDAQ"
2019-10-09,10.94,10.94,10.94,10.94,42900,"ARYAU","NASDAQ"
2019-10-10,10.95,10.97,10.94,10.97,18200,"ARYAU","NASDAQ"
2019-10-11,10.97,10.97,10.97,10.97,0,"ARYAU","NASDAQ"
2019-10-14,10.96,11.01,10.95,10.95,12000,"ARYAU","NASDAQ"
2019-10-15,10.95,10.95,10.95,10.95,0,"ARYAU","NASDAQ"
2019-10-16,10.95,10.95,10.95,10.95,3100,"ARYAU","NASDAQ"
2019-10-17,10.95,10.95,10.95,10.95,200,"ARYAU","NASDAQ"
