"times","open","high","low","close","volume","symbol","market"
2019-05-30,3.22,3.29,3.0501,3.15,664300,"ASRT","NASDAQ"
2019-05-31,3.14,3.14,2.91,2.93,630700,"ASRT","NASDAQ"
2019-06-03,2.92,3.12,2.92,3.08,613100,"ASRT","NASDAQ"
2019-06-04,3.11,3.285,3.09,3.21,622000,"ASRT","NASDAQ"
2019-06-05,3.22,3.22,2.99,2.99,619900,"ASRT","NASDAQ"
2019-06-06,2.9895,3.04,2.92,2.99,391900,"ASRT","NASDAQ"
2019-06-07,3.01,3.01,2.88,2.98,1484600,"ASRT","NASDAQ"
2019-06-10,2.9999,3.11,2.98,3.09,1672700,"ASRT","NASDAQ"
2019-06-11,3.13,3.23,3.06,3.16,2410700,"ASRT","NASDAQ"
2019-06-12,3.15,3.185,3.09,3.17,481800,"ASRT","NASDAQ"
2019-06-13,3.18,3.36,3.15,3.32,894000,"ASRT","NASDAQ"
2019-06-14,3.31,3.35,3.06,3.07,425400,"ASRT","NASDAQ"
2019-06-17,3.08,3.08,2.96,3,784000,"ASRT","NASDAQ"
2019-06-18,3.03,3.16,3.02,3.07,390600,"ASRT","NASDAQ"
2019-06-19,3.1,3.2,3.0398,3.17,1041000,"ASRT","NASDAQ"
2019-06-20,3.22,3.3101,3.15,3.18,1109400,"ASRT","NASDAQ"
2019-06-21,3.15,3.31,2.92,3.16,1794300,"ASRT","NASDAQ"
2019-06-24,3.1,3.13,2.92,3.05,539900,"ASRT","NASDAQ"
2019-06-25,3.06,3.26,3.02,3.18,525600,"ASRT","NASDAQ"
2019-06-26,3.19,3.48,3.18,3.44,792400,"ASRT","NASDAQ"
2019-06-27,3.41,3.61,3.34,3.44,505400,"ASRT","NASDAQ"
2019-06-28,3.47,3.63,3.445,3.45,3326000,"ASRT","NASDAQ"
2019-07-01,3.51,3.56,3.38,3.46,764700,"ASRT","NASDAQ"
2019-07-02,3.43,3.5702,3.38,3.43,397200,"ASRT","NASDAQ"
2019-07-03,3.43,3.46,3.2401,3.38,357800,"ASRT","NASDAQ"
