"times","open","high","low","close","volume","symbol","market"
2019-05-30,4.1801,4.2,4.18,4.199,9500,"ASRV","NASDAQ"
2019-05-31,4.13,4.17,4.12,4.12,9000,"ASRV","NASDAQ"
2019-06-03,4.16,4.3,4.11,4.3,22600,"ASRV","NASDAQ"
2019-06-04,4.29,4.29,4.13,4.13,8200,"ASRV","NASDAQ"
2019-06-05,4.19,4.19,4.19,4.19,5500,"ASRV","NASDAQ"
2019-06-06,4.17,4.2,4.15,4.15,6700,"ASRV","NASDAQ"
2019-06-07,4.189,4.19,4.18,4.18,2600,"ASRV","NASDAQ"
2019-06-10,4.19,4.23,4.17,4.17,68000,"ASRV","NASDAQ"
2019-06-11,4.18,4.22,4.17,4.22,3900,"ASRV","NASDAQ"
2019-06-12,4.219,4.23,4.1,4.19,24600,"ASRV","NASDAQ"
2019-06-13,4.18,4.18,4.18,4.18,1200,"ASRV","NASDAQ"
2019-06-14,4.16,4.17,4.15,4.15,4300,"ASRV","NASDAQ"
2019-06-17,4.14,4.16,4.139,4.16,1300,"ASRV","NASDAQ"
2019-06-18,4.1599,4.18,4.14,4.18,2400,"ASRV","NASDAQ"
2019-06-19,4.19,4.2,4.16,4.19,6900,"ASRV","NASDAQ"
2019-06-20,4.11,4.18,4.11,4.15,5600,"ASRV","NASDAQ"
2019-06-21,4.11,4.17,4.1,4.15,23100,"ASRV","NASDAQ"
2019-06-24,4.16,4.16,4.06,4.1,8300,"ASRV","NASDAQ"
2019-06-25,4.1,4.1,4.07,4.07,6600,"ASRV","NASDAQ"
2019-06-26,4.093,4.12,4.08,4.1,4000,"ASRV","NASDAQ"
2019-06-27,4.108,4.14,4.1,4.1,3800,"ASRV","NASDAQ"
2019-06-28,4.13,4.15,4.13,4.15,17100,"ASRV","NASDAQ"
2019-07-01,4.14,4.16,4.081,4.1,9100,"ASRV","NASDAQ"
2019-07-02,4.1,4.115,4.1,4.105,4100,"ASRV","NASDAQ"
2019-07-03,4.1,4.11,4.1,4.11,600,"ASRV","NASDAQ"
2019-07-05,4.11,4.11,4.1,4.1,1800,"ASRV","NASDAQ"
2019-07-08,4.12,4.12,4.1,4.11,2600,"ASRV","NASDAQ"
2019-07-09,4.12,4.14,4.08,4.08,12500,"ASRV","NASDAQ"
2019-07-10,4.08,4.14,4.08,4.14,8000,"ASRV","NASDAQ"
2019-07-11,4.1402,4.16,4.09,4.15,4800,"ASRV","NASDAQ"
2019-07-12,4.12,4.16,4.08,4.08,7000,"ASRV","NASDAQ"
2019-07-15,4.1,4.12,4.1,4.12,900,"ASRV","NASDAQ"
2019-07-16,4.13,4.15,4.12,4.13,6000,"ASRV","NASDAQ"
2019-07-17,4.12,4.16,4.11,4.11,3700,"ASRV","NASDAQ"
2019-07-18,4.11,4.12,4.11,4.12,400,"ASRV","NASDAQ"
2019-07-19,4.12,4.13,4.1,4.1,7400,"ASRV","NASDAQ"
2019-07-22,4.1,4.13,4.1,4.11,2400,"ASRV","NASDAQ"
2019-07-23,4.1,4.12,4.1,4.1,2900,"ASRV","NASDAQ"
2019-07-24,4.12,4.1302,4.11,4.13,5100,"ASRV","NASDAQ"
2019-07-25,4.11,4.1204,4.1,4.12,9500,"ASRV","NASDAQ"
2019-07-26,4.12,4.17,4.1,4.1,5900,"ASRV","NASDAQ"
2019-07-29,4.18,4.18,4.1,4.1,6700,"ASRV","NASDAQ"
2019-07-30,4.14,4.16,4.11,4.16,28800,"ASRV","NASDAQ"
2019-07-31,4.1002,4.17,4.1,4.1,19600,"ASRV","NASDAQ"
2019-08-01,4.14,4.17,4.1,4.1,11500,"ASRV","NASDAQ"
2019-08-02,4.14,4.15,4.1,4.14,2100,"ASRV","NASDAQ"
2019-08-05,4.1,4.12,4.1,4.1,2000,"ASRV","NASDAQ"
2019-08-06,4.11,4.16,4.11,4.15,24400,"ASRV","NASDAQ"
2019-08-07,4.15,4.18,4.12,4.12,4600,"ASRV","NASDAQ"
2019-08-08,4.19,4.19,4.1,4.1,5600,"ASRV","NASDAQ"
2019-08-09,4.16,4.19,4.131,4.18,5500,"ASRV","NASDAQ"
2019-08-12,4.11,4.12,4.1,4.11,9900,"ASRV","NASDAQ"
2019-08-13,4.1,4.1399,4.1,4.14,59900,"ASRV","NASDAQ"
2019-08-14,4.1,4.14,4.1,4.14,27900,"ASRV","NASDAQ"
2019-08-15,4.1,4.15,4.1003,4.14,13900,"ASRV","NASDAQ"
2019-08-16,4.17,4.17,4.16,4.16,2800,"ASRV","NASDAQ"
2019-08-19,4.15,4.22,4.15,4.2,68700,"ASRV","NASDAQ"
2019-08-20,4.17,4.19,4.11,4.14,15400,"ASRV","NASDAQ"
2019-08-21,4.15,4.15,4.14,4.15,5500,"ASRV","NASDAQ"
2019-08-22,4.14,4.18,4.14,4.17,3100,"ASRV","NASDAQ"
2019-08-23,4.18,4.2,4.12,4.12,9400,"ASRV","NASDAQ"
2019-08-26,4.15,4.21,4.13,4.2,14900,"ASRV","NASDAQ"
2019-08-27,4.18,4.22,4.17,4.2,47100,"ASRV","NASDAQ"
2019-08-28,4.22,4.22,4.19,4.2,7800,"ASRV","NASDAQ"
2019-08-29,4.19,4.25,4.18,4.19,10900,"ASRV","NASDAQ"
2019-08-30,4.2,4.2,4.15,4.15,20900,"ASRV","NASDAQ"
2019-09-03,4.23,4.23,4.16,4.18,5800,"ASRV","NASDAQ"
2019-09-04,4.17,4.19,4.15,4.15,1400,"ASRV","NASDAQ"
2019-09-05,4.21,4.24,4.21,4.24,600,"ASRV","NASDAQ"
2019-09-06,4.24,4.24,4.12,4.12,29100,"ASRV","NASDAQ"
2019-09-09,4.24,4.24,4.16,4.17,11700,"ASRV","NASDAQ"
2019-09-10,4.17,4.17,4.13,4.17,7800,"ASRV","NASDAQ"
2019-09-11,4.17,4.2,4.16,4.2,5400,"ASRV","NASDAQ"
2019-09-12,4.15,4.2,4.15,4.19,8700,"ASRV","NASDAQ"
2019-09-13,4.16,4.2,4.16,4.18,7000,"ASRV","NASDAQ"
2019-09-16,4.2,4.2,4.16,4.16,2300,"ASRV","NASDAQ"
2019-09-17,4.16,4.17,4.11,4.12,21900,"ASRV","NASDAQ"
2019-09-18,4.12,4.17,4.11,4.11,3200,"ASRV","NASDAQ"
2019-09-19,4.12,4.14,4.12,4.12,12500,"ASRV","NASDAQ"
2019-09-20,4.12,4.2,4.12,4.2,14100,"ASRV","NASDAQ"
2019-09-23,4.16,4.2,4.12,4.15,8600,"ASRV","NASDAQ"
2019-09-24,4.13,4.19,4.12,4.17,13700,"ASRV","NASDAQ"
2019-09-25,4.13,4.2,4.13,4.16,5900,"ASRV","NASDAQ"
2019-09-26,4.2,4.2,4.12,4.15,3500,"ASRV","NASDAQ"
2019-09-27,4.17,4.19,4.12,4.12,8800,"ASRV","NASDAQ"
2019-09-30,4.15,4.18,4.11,4.14,43000,"ASRV","NASDAQ"
2019-10-01,4.15,4.15,4.12,4.15,2500,"ASRV","NASDAQ"
2019-10-02,4.13,4.15,4.12,4.12,6600,"ASRV","NASDAQ"
2019-10-03,4.16,4.16,4.12,4.12,7900,"ASRV","NASDAQ"
2019-10-04,4.14,4.15,4.12,4.15,19500,"ASRV","NASDAQ"
2019-10-07,4.18,4.19,4.12,4.12,1900,"ASRV","NASDAQ"
2019-10-08,4.18,4.18,4.13,4.15,2200,"ASRV","NASDAQ"
2019-10-09,4.12,4.12,4.12,4.12,600,"ASRV","NASDAQ"
2019-10-10,4.16,4.18,4.12,4.12,1200,"ASRV","NASDAQ"
2019-10-11,4.12,4.16,4.12,4.15,5300,"ASRV","NASDAQ"
2019-10-14,4.13,4.17,4.13,4.17,600,"ASRV","NASDAQ"
2019-10-15,4.12,4.16,4.12,4.16,27200,"ASRV","NASDAQ"
2019-10-16,4.16,4.16,4.12,4.15,9700,"ASRV","NASDAQ"
2019-10-17,4.13,4.14,4.11,4.12,22600,"ASRV","NASDAQ"
2019-10-18,4.13,4.14,4.13,4.135,5545,"ASRV","NASDAQ"
