"times","open","high","low","close","volume","symbol","market"
2019-05-30,29.41,30.19,29.25,30.01,145000,"ASTE","NASDAQ"
2019-05-31,29.52,30,29.13,29.43,120600,"ASTE","NASDAQ"
2019-06-03,29.46,30.06,29.19,29.31,137800,"ASTE","NASDAQ"
2019-06-04,29.68,30.31,29.57,30.31,150900,"ASTE","NASDAQ"
2019-06-05,30.4,30.69,29.55,29.83,161900,"ASTE","NASDAQ"
2019-06-06,29.7811,29.88,28.855,29.77,89400,"ASTE","NASDAQ"
2019-06-07,29.79,30.2,29.54,29.98,136600,"ASTE","NASDAQ"
2019-06-10,30.19,31.19,30.05,30.52,159700,"ASTE","NASDAQ"
2019-06-11,30.56,31.3,30.21,30.3,116200,"ASTE","NASDAQ"
2019-06-12,30.16,30.52,29.72,30.48,131200,"ASTE","NASDAQ"
2019-06-13,30.66,30.88,30.43,30.67,76100,"ASTE","NASDAQ"
2019-06-14,30.73,30.73,29.573,29.97,138600,"ASTE","NASDAQ"
2019-06-17,29.93,29.93,29.1174,29.72,173400,"ASTE","NASDAQ"
2019-06-18,29.76,31,29.76,30.39,126700,"ASTE","NASDAQ"
2019-06-19,30.39,30.47,30.03,30.45,91000,"ASTE","NASDAQ"
2019-06-20,30.63,31.16,30.63,31.05,72300,"ASTE","NASDAQ"
2019-06-21,30.93,31.6,30.566,31.36,237000,"ASTE","NASDAQ"
2019-06-24,31.5195,31.99,31.28,31.33,174000,"ASTE","NASDAQ"
2019-06-25,31.34,31.68,30.95,31.34,111000,"ASTE","NASDAQ"
2019-06-26,31.46,32,31.44,31.76,108700,"ASTE","NASDAQ"
2019-06-27,31.85,32.5403,31.8,32.49,177900,"ASTE","NASDAQ"
2019-06-28,32.54,33.113,32.53,32.56,506100,"ASTE","NASDAQ"
2019-07-01,33.04,33.07,31.73,32.2,105200,"ASTE","NASDAQ"
2019-07-02,32.0791,32.54,30.74,31.12,105700,"ASTE","NASDAQ"
2019-07-03,31.22,31.47,30.96,31.46,41500,"ASTE","NASDAQ"
2019-07-05,31.2,31.58,30.89,31.54,66700,"ASTE","NASDAQ"
2019-07-08,31.38,31.56,31.14,31.3,60700,"ASTE","NASDAQ"
2019-07-09,31.1,31.27,30.5,31.22,122400,"ASTE","NASDAQ"
2019-07-10,31.45,31.51,30.82,30.9,137400,"ASTE","NASDAQ"
2019-07-11,30.9111,31.22,30.45,30.96,110500,"ASTE","NASDAQ"
2019-07-12,30.95,32.06,30.74,31.83,113500,"ASTE","NASDAQ"
2019-07-15,31.92,31.92,30.94,31.48,164200,"ASTE","NASDAQ"
2019-07-16,31.44,32.37,31.13,31.81,187500,"ASTE","NASDAQ"
2019-07-17,31.79,31.87,31.0501,31.52,158600,"ASTE","NASDAQ"
2019-07-18,31.42,31.47,29.7,29.77,152000,"ASTE","NASDAQ"
2019-07-19,29.75,31.1,29.52,30.77,255000,"ASTE","NASDAQ"
2019-07-22,30.78,31.24,30.28,31.16,209800,"ASTE","NASDAQ"
2019-07-23,32,33.17,31.09,32.23,448900,"ASTE","NASDAQ"
2019-07-24,31.86,33.25,31.64,33.19,296000,"ASTE","NASDAQ"
2019-07-25,33.16,33.28,32.55,32.89,151800,"ASTE","NASDAQ"
2019-07-26,32.92,33.2,32.6,33.09,141900,"ASTE","NASDAQ"
2019-07-29,32.98,33.13,32.45,32.58,166000,"ASTE","NASDAQ"
2019-07-30,32.1492,33.25,31.81,33.16,131900,"ASTE","NASDAQ"
2019-07-31,33.09,33.62,32.61,32.69,121900,"ASTE","NASDAQ"
2019-08-01,32.66,32.82,31.06,31.24,112300,"ASTE","NASDAQ"
2019-08-02,31.05,31.5093,30.49,31.13,116200,"ASTE","NASDAQ"
2019-08-05,30.41,30.41,29.76,30.06,147900,"ASTE","NASDAQ"
2019-08-06,30.22,30.56,29.5,29.8,87100,"ASTE","NASDAQ"
2019-08-07,29.24,29.86,28.97,29.49,90400,"ASTE","NASDAQ"
2019-08-08,29.66,30.45,29.375,30.3,103100,"ASTE","NASDAQ"
2019-08-09,30.29,30.325,29.298,29.55,87700,"ASTE","NASDAQ"
2019-08-12,29.3093,29.44,28.984,29.23,95400,"ASTE","NASDAQ"
2019-08-13,29.15,30.32,28.98,29.31,64800,"ASTE","NASDAQ"
2019-08-14,28.76,28.76,28.24,28.45,225400,"ASTE","NASDAQ"
2019-08-15,28.44,28.56,27.4912,27.89,105100,"ASTE","NASDAQ"
2019-08-16,28.09,28.4695,28,28.36,82900,"ASTE","NASDAQ"
2019-08-19,28.82,28.94,28.06,28.13,165700,"ASTE","NASDAQ"
2019-08-20,28.01,28.4,27.57,27.66,227700,"ASTE","NASDAQ"
2019-08-21,28.02,28.35,27.8,28.1,71800,"ASTE","NASDAQ"
2019-08-22,28.16,28.54,27.92,27.96,97300,"ASTE","NASDAQ"
2019-08-23,27.96,28.02,26.66,26.8,122700,"ASTE","NASDAQ"
2019-08-26,27.11,27.13,26.55,26.93,110300,"ASTE","NASDAQ"
2019-08-27,27.14,27.14,26.2,26.37,129100,"ASTE","NASDAQ"
2019-08-28,26.4,27.09,26.3,26.87,75800,"ASTE","NASDAQ"
2019-08-29,27.22,28.08,27.22,27.92,85300,"ASTE","NASDAQ"
2019-08-30,28.07,28.17,27.56,27.6,136900,"ASTE","NASDAQ"
2019-09-03,27.39,27.39,26.55,27.11,126000,"ASTE","NASDAQ"
2019-09-04,27.51,27.7,27.3,27.58,73000,"ASTE","NASDAQ"
2019-09-05,28,29.09,28,28.59,120700,"ASTE","NASDAQ"
2019-09-06,28.72,28.99,28.07,28.53,58500,"ASTE","NASDAQ"
2019-09-09,28.65,30.22,28.57,30.12,123600,"ASTE","NASDAQ"
2019-09-10,30.04,31.12,30.01,30.92,92200,"ASTE","NASDAQ"
2019-09-11,30.99,31.89,30.61,31.83,100200,"ASTE","NASDAQ"
2019-09-12,31.72,32.41,30.92,32.03,180600,"ASTE","NASDAQ"
2019-09-13,32.22,32.57,31.91,32.46,113500,"ASTE","NASDAQ"
2019-09-16,32.28,33.06,32.25,32.54,72700,"ASTE","NASDAQ"
2019-09-17,32.27,32.39,31.35,32.38,80100,"ASTE","NASDAQ"
2019-09-18,32.22,32.55,31.79,32.29,149700,"ASTE","NASDAQ"
2019-09-19,32.21,32.76,31.81,31.95,148000,"ASTE","NASDAQ"
2019-09-20,31.99,32.35,31.4,32.09,330000,"ASTE","NASDAQ"
2019-09-23,31.86,32.47,31.63,32.24,127100,"ASTE","NASDAQ"
2019-09-24,32.38,32.38,31.25,31.5,136200,"ASTE","NASDAQ"
2019-09-25,31.5,32.28,31.34,32.13,97400,"ASTE","NASDAQ"
2019-09-26,32.05,32.05,31.3,31.53,68000,"ASTE","NASDAQ"
2019-09-27,31.52,32,31.27,31.42,132200,"ASTE","NASDAQ"
2019-09-30,31.46,31.91,31.04,31.1,133800,"ASTE","NASDAQ"
2019-10-01,31.18,31.59,30.06,30.26,105500,"ASTE","NASDAQ"
2019-10-02,30.01,30.05,29.01,29.15,240600,"ASTE","NASDAQ"
2019-10-03,29.1,29.58,28.63,29.51,87300,"ASTE","NASDAQ"
2019-10-04,29.5,29.94,29.5,29.88,62500,"ASTE","NASDAQ"
2019-10-07,29.78,30.18,29.63,29.89,82300,"ASTE","NASDAQ"
2019-10-08,29.48,29.69,29.2,29.37,86300,"ASTE","NASDAQ"
2019-10-09,29.6,29.69,28.93,29.43,88300,"ASTE","NASDAQ"
2019-10-10,29.56,29.96,29.18,29.55,89500,"ASTE","NASDAQ"
2019-10-11,29.87,30.84,29.87,30.33,145100,"ASTE","NASDAQ"
2019-10-14,30.22,30.22,29.56,30.17,84100,"ASTE","NASDAQ"
2019-10-15,30.12,30.92,29.67,30.83,74700,"ASTE","NASDAQ"
2019-10-16,30.72,31.36,30.27,30.42,111200,"ASTE","NASDAQ"
2019-10-17,30.61,31.08,30.5,30.95,79900,"ASTE","NASDAQ"
2019-10-18,30.83,30.98,30.42,30.9,91740,"ASTE","NASDAQ"
