"times","open","high","low","close","volume","symbol","market"
2019-05-30,5.45,5.73,5.45,5.59,52900,"ASYS","NASDAQ"
2019-05-31,5.548,5.68,5.26,5.37,55600,"ASYS","NASDAQ"
2019-06-03,5.48,5.5,5.372,5.5,21900,"ASYS","NASDAQ"
2019-06-04,5.51,5.6,5.411,5.55,46400,"ASYS","NASDAQ"
2019-06-05,5.62,5.76,5.56,5.67,47900,"ASYS","NASDAQ"
2019-06-06,5.82,5.82,5.55,5.61,87900,"ASYS","NASDAQ"
2019-06-07,5.5405,5.86,5.26,5.6,67300,"ASYS","NASDAQ"
2019-06-10,5.65,6,5.65,5.815,62300,"ASYS","NASDAQ"
2019-06-11,5.8,6.28,5.66,6.03,119400,"ASYS","NASDAQ"
2019-06-12,6.12,6.2,6,6.14,60200,"ASYS","NASDAQ"
2019-06-13,6.32,6.32,6.08,6.22,94900,"ASYS","NASDAQ"
2019-06-14,6.12,6.165,5.96,6.02,96300,"ASYS","NASDAQ"
2019-06-17,6,6.1,5.813,6.01,94900,"ASYS","NASDAQ"
2019-06-18,6.14,6.23,6,6.14,83200,"ASYS","NASDAQ"
2019-06-19,6.09,6.14,5.72,6.02,44000,"ASYS","NASDAQ"
2019-06-20,6.1,6.24,5.85,5.96,35600,"ASYS","NASDAQ"
2019-06-21,5.96,5.99,5.86,5.97,28800,"ASYS","NASDAQ"
2019-06-24,5.93,6,5.76,5.76,28700,"ASYS","NASDAQ"
2019-06-25,5.7,5.704,4.95,5.1,159000,"ASYS","NASDAQ"
2019-06-26,5.15,5.3998,5.05,5.16,81600,"ASYS","NASDAQ"
2019-06-27,5.2,5.31,5.11,5.2,269000,"ASYS","NASDAQ"
2019-06-28,5.26,5.71,5.26,5.5,86200,"ASYS","NASDAQ"
2019-07-01,5.53,6.07,5.53,5.74,122700,"ASYS","NASDAQ"
2019-07-02,5.77,5.7708,5.66,5.73,26400,"ASYS","NASDAQ"
2019-07-03,5.69,5.9,5.527,5.75,23900,"ASYS","NASDAQ"
2019-07-05,5.75,5.95,5.59,5.94,32100,"ASYS","NASDAQ"
2019-07-08,6,6.25,5.9,6.15,118300,"ASYS","NASDAQ"
2019-07-09,6.15,6.18,5.86,5.95,73700,"ASYS","NASDAQ"
2019-07-10,6.02,6.2,5.83,5.88,61000,"ASYS","NASDAQ"
2019-07-11,5.9,6.03,5.87,6,38100,"ASYS","NASDAQ"
2019-07-12,6,6.14,5.95,6,59700,"ASYS","NASDAQ"
2019-07-15,5.98,6,5.86,5.98,17400,"ASYS","NASDAQ"
2019-07-16,5.92,6,5.63,5.64,102100,"ASYS","NASDAQ"
2019-07-17,5.65,5.81,5.65,5.73,34300,"ASYS","NASDAQ"
2019-07-18,5.81,5.92,5.77,5.83,22000,"ASYS","NASDAQ"
2019-07-19,5.8,5.89,5.72,5.88,19500,"ASYS","NASDAQ"
2019-07-22,5.85,5.93,5.7,5.8,35400,"ASYS","NASDAQ"
2019-07-23,5.78,5.84,5.7,5.8,18700,"ASYS","NASDAQ"
2019-07-24,5.79,6.01,5.79,5.95,37200,"ASYS","NASDAQ"
2019-07-25,6,6.03,5.74,5.99,50800,"ASYS","NASDAQ"
2019-07-26,6,6.05,5.89,6.04,59800,"ASYS","NASDAQ"
2019-07-29,6.05,6.19,6,6.05,60400,"ASYS","NASDAQ"
2019-07-30,6.01,6.1,5.95,6.04,27400,"ASYS","NASDAQ"
2019-07-31,6.07,6.07,5.83,5.88,37600,"ASYS","NASDAQ"
2019-08-01,5.83,6.02,5.75,5.75,42700,"ASYS","NASDAQ"
2019-08-02,5.7,5.79,5.65,5.72,20100,"ASYS","NASDAQ"
2019-08-05,5.51,5.6,5.37,5.56,41900,"ASYS","NASDAQ"
2019-08-06,5.59,5.69,5.5,5.55,30900,"ASYS","NASDAQ"
2019-08-07,5.54,5.55,5.435,5.49,28000,"ASYS","NASDAQ"
2019-08-08,5.47,5.99,5.47,5.85,62900,"ASYS","NASDAQ"
2019-08-09,5.8,5.81,5.171,5.25,92300,"ASYS","NASDAQ"
2019-08-12,5.13,5.26,5.1,5.1,35000,"ASYS","NASDAQ"
2019-08-13,5.06,5.48,5.0298,5.18,63300,"ASYS","NASDAQ"
2019-08-14,5.28,5.28,5.02,5.25,15400,"ASYS","NASDAQ"
2019-08-15,5.27,5.27,5.02,5.13,27400,"ASYS","NASDAQ"
2019-08-16,5.07,5.14,4.96,5.02,42800,"ASYS","NASDAQ"
2019-08-19,5,5.3,4.89,5.28,108400,"ASYS","NASDAQ"
2019-08-20,5.28,5.3,5.16,5.22,24200,"ASYS","NASDAQ"
2019-08-21,5.22,5.22,4.98,5.03,30000,"ASYS","NASDAQ"
2019-08-22,4.91,5.29,4.79,5.21,69900,"ASYS","NASDAQ"
2019-08-23,5.29,5.29,4.98,5.01,34300,"ASYS","NASDAQ"
