"times","open","high","low","close","volume","symbol","market"
2019-05-29,2,2,1.92,1.96,49600,"ATAI","NASDAQ"
2019-05-30,1.96,1.983,1.9,1.9,36000,"ATAI","NASDAQ"
2019-05-31,1.88,1.91,1.82,1.825,61600,"ATAI","NASDAQ"
2019-06-03,1.8,1.895,1.8,1.8,47400,"ATAI","NASDAQ"
2019-06-04,1.81,1.857,1.809,1.83,47300,"ATAI","NASDAQ"
2019-06-05,1.81,1.87,1.81,1.84,19600,"ATAI","NASDAQ"
2019-06-06,1.84,2.05,1.84,1.99,206400,"ATAI","NASDAQ"
2019-06-07,2,2.054,1.94,1.99,30900,"ATAI","NASDAQ"
2019-06-10,2.02,2.2,2.009,2.19,115400,"ATAI","NASDAQ"
2019-06-11,2.27,2.282,2.01,2.13,154200,"ATAI","NASDAQ"
2019-06-12,2.12,2.19,2.08,2.13,76900,"ATAI","NASDAQ"
2019-06-13,2.11,2.177,2.1,2.16,55700,"ATAI","NASDAQ"
2019-06-14,2.13,2.14,2.05,2.11,36500,"ATAI","NASDAQ"
2019-06-17,2.07,2.154,2.034,2.11,22000,"ATAI","NASDAQ"
2019-06-18,2.11,2.3491,2.11,2.24,169400,"ATAI","NASDAQ"
2019-06-19,2.33,2.58,2.26,2.48,447300,"ATAI","NASDAQ"
2019-06-20,2.57,2.933,2.56,2.66,637200,"ATAI","NASDAQ"
2019-06-21,2.67,2.677,2.43,2.59,143100,"ATAI","NASDAQ"
2019-06-24,2.5697,2.57,2.3,2.525,77100,"ATAI","NASDAQ"
2019-06-25,2.54,2.708,2.54,2.64,93400,"ATAI","NASDAQ"
2019-06-26,2.65,2.98,2.65,2.75,439700,"ATAI","NASDAQ"
2019-06-27,2.79,2.79,2.52,2.6,135200,"ATAI","NASDAQ"
2019-06-28,2.9,3.24,2.66,2.7,6597100,"ATAI","NASDAQ"
2019-07-01,2.55,2.67,2.44,2.64,235200,"ATAI","NASDAQ"
2019-07-02,2.61,2.638,2.48,2.51,130200,"ATAI","NASDAQ"
2019-07-03,2.49,2.49,2.38,2.45,78400,"ATAI","NASDAQ"
2019-07-05,2.44,2.59,2.41,2.53,114300,"ATAI","NASDAQ"
2019-07-08,2.51,2.56,2.43,2.43,60100,"ATAI","NASDAQ"
2019-07-09,2.43,2.53,2.43,2.45,92100,"ATAI","NASDAQ"
2019-07-10,2.45,2.64,2.45,2.57,93600,"ATAI","NASDAQ"
2019-07-11,2.56,2.68,2.56,2.57,65000,"ATAI","NASDAQ"
2019-07-12,2.55,2.63,2.51,2.61,61400,"ATAI","NASDAQ"
2019-07-15,2.66,2.68,2.56,2.62,35000,"ATAI","NASDAQ"
2019-07-16,2.6599,2.91,2.66,2.81,390800,"ATAI","NASDAQ"
2019-07-17,2.85,2.9,2.7,2.77,148200,"ATAI","NASDAQ"
2019-07-18,2.84,2.9,2.7,2.85,97500,"ATAI","NASDAQ"
2019-07-19,2.81,2.81,2.46,2.63,128000,"ATAI","NASDAQ"
2019-07-22,2.62,2.78,2.62,2.62,55400,"ATAI","NASDAQ"
2019-07-23,2.63,2.7,2.62,2.64,53900,"ATAI","NASDAQ"
2019-07-24,2.67,2.68,2.6,2.62,42900,"ATAI","NASDAQ"
2019-07-25,2.67,2.67,2.6,2.62,38300,"ATAI","NASDAQ"
2019-07-26,2.64,2.65,2.6,2.6,71500,"ATAI","NASDAQ"
2019-07-29,2.61,2.65,2.6,2.6,7300,"ATAI","NASDAQ"
2019-07-30,2.64,2.68,2.6,2.6,18500,"ATAI","NASDAQ"
2019-07-31,2.61,2.63,2.6,2.63,26100,"ATAI","NASDAQ"
