"times","open","high","low","close","volume","symbol","market"
2019-05-30,7.1,7.15,7.05,7.05,72200,"ATAX","NASDAQ"
2019-05-31,7.03,7.09,7.001,7.07,45400,"ATAX","NASDAQ"
2019-06-03,7.08,7.14,7.07,7.12,68000,"ATAX","NASDAQ"
2019-06-04,7.13,7.15,6.98,6.99,236100,"ATAX","NASDAQ"
2019-06-05,7.01,7.12,7.01,7.08,59900,"ATAX","NASDAQ"
2019-06-06,7.09,7.124,7.0102,7.09,73000,"ATAX","NASDAQ"
2019-06-07,7.11,7.15,7.08,7.15,105200,"ATAX","NASDAQ"
2019-06-10,7.15,7.2,7.113,7.18,69600,"ATAX","NASDAQ"
2019-06-11,7.2,7.2,7.1301,7.2,71200,"ATAX","NASDAQ"
2019-06-12,7.19,7.19,7.13,7.13,22500,"ATAX","NASDAQ"
2019-06-13,7.11,7.2,7.08,7.19,227700,"ATAX","NASDAQ"
2019-06-14,7.15,7.19,7.12,7.17,129000,"ATAX","NASDAQ"
2019-06-17,7.17,7.175,7.05,7.1,155700,"ATAX","NASDAQ"
2019-06-18,7.1,7.148,7,7.05,189700,"ATAX","NASDAQ"
2019-06-19,7.05,7.05,6.99,7.01,107600,"ATAX","NASDAQ"
2019-06-20,7.01,7.12,7.01,7.07,97800,"ATAX","NASDAQ"
2019-06-21,7.07,7.1401,7.07,7.13,75300,"ATAX","NASDAQ"
2019-06-24,7.13,7.168,7.0902,7.14,65800,"ATAX","NASDAQ"
2019-06-25,7.15,7.42,7.14,7.36,296700,"ATAX","NASDAQ"
2019-06-26,7.38,7.43,7.21,7.28,229100,"ATAX","NASDAQ"
2019-06-27,7.2,7.233,7,7.1,218000,"ATAX","NASDAQ"
2019-06-28,7.12,7.12,7.0502,7.12,134400,"ATAX","NASDAQ"
2019-07-01,7.14,7.14,7.0396,7.08,86800,"ATAX","NASDAQ"
2019-07-02,7.06,7.0994,6.96,7.02,138800,"ATAX","NASDAQ"
2019-07-03,7.03,7.08,6.98,7.01,79400,"ATAX","NASDAQ"
2019-07-05,7.05,7.1,6.9908,7.01,84100,"ATAX","NASDAQ"
2019-07-08,7,7.06,7,7.02,56600,"ATAX","NASDAQ"
2019-07-09,7.02,7.11,6.97,7.06,129300,"ATAX","NASDAQ"
2019-07-10,7.03,7.0696,7,7.03,91300,"ATAX","NASDAQ"
2019-07-11,7.04,7.06,7.02,7.04,101500,"ATAX","NASDAQ"
2019-07-12,7.0504,7.1,7.02,7.06,75100,"ATAX","NASDAQ"
2019-07-15,7.06,7.06,7,7.06,104100,"ATAX","NASDAQ"
2019-07-16,7.06,7.13,7.03,7.09,127400,"ATAX","NASDAQ"
2019-07-17,7.09,7.12,7,7.09,45200,"ATAX","NASDAQ"
2019-07-18,7.06,7.08,7,7.06,131800,"ATAX","NASDAQ"
2019-07-19,7.07,7.1,7.02,7.02,48700,"ATAX","NASDAQ"
2019-07-22,7.05,7.11,7.02,7.07,22500,"ATAX","NASDAQ"
2019-07-23,7.08,7.0805,7.03,7.05,93700,"ATAX","NASDAQ"
2019-07-24,7.06,7.09,7.03,7.03,66700,"ATAX","NASDAQ"
2019-07-25,7.04,7.05,7,7.01,108200,"ATAX","NASDAQ"
2019-07-26,7.0203,7.05,7,7.04,67000,"ATAX","NASDAQ"
2019-07-29,7.05,7.09,7.05,7.06,89600,"ATAX","NASDAQ"
2019-07-30,7.04,7.06,7.04,7.06,56700,"ATAX","NASDAQ"
2019-07-31,7.08,7.2397,7,7.03,289600,"ATAX","NASDAQ"
2019-08-01,7.03,7.26,7.03,7.1,156400,"ATAX","NASDAQ"
2019-08-02,7.15,7.2501,7.08,7.18,81700,"ATAX","NASDAQ"
2019-08-05,7.18,7.19,7.04,7.1,84300,"ATAX","NASDAQ"
2019-08-06,7.06,7.19,7.01,7.03,198000,"ATAX","NASDAQ"
2019-08-07,7.05,7.22,7.04,7.19,118600,"ATAX","NASDAQ"
2019-08-08,7.2,7.23,7.08,7.14,70500,"ATAX","NASDAQ"
2019-08-09,7.12,7.15,7.08,7.14,43600,"ATAX","NASDAQ"
2019-08-12,7.14,7.41,7.14,7.35,311500,"ATAX","NASDAQ"
2019-08-13,7.37,7.41,7.31,7.35,123900,"ATAX","NASDAQ"
2019-08-14,7.3,7.35,7.18,7.32,186700,"ATAX","NASDAQ"
2019-08-15,7.35,7.49,7.33,7.4,211300,"ATAX","NASDAQ"
2019-08-16,7.4,7.4,7.28,7.38,84800,"ATAX","NASDAQ"
2019-08-19,7.38,7.38,7.28,7.36,80700,"ATAX","NASDAQ"
2019-08-20,7.38,7.55,7.38,7.55,505900,"ATAX","NASDAQ"
2019-08-21,7.65,7.82,7.6,7.8,735000,"ATAX","NASDAQ"
2019-08-22,7.85,7.98,7.65,7.78,405900,"ATAX","NASDAQ"
2019-08-23,7.8,7.8,7.65,7.67,137200,"ATAX","NASDAQ"
2019-08-26,7.77,7.77,7.6,7.66,130000,"ATAX","NASDAQ"
2019-08-27,7.75,7.76,7.58,7.67,149900,"ATAX","NASDAQ"
2019-08-28,7.71,7.73,7.63,7.72,157500,"ATAX","NASDAQ"
2019-08-29,7.77,7.82,7.69,7.82,74400,"ATAX","NASDAQ"
2019-08-30,7.82,7.83,7.74,7.78,191800,"ATAX","NASDAQ"
2019-09-03,7.8,7.82,7.64,7.81,166700,"ATAX","NASDAQ"
2019-09-04,7.83,7.83,7.74,7.74,164200,"ATAX","NASDAQ"
2019-09-05,7.79,7.79,7.72,7.75,113800,"ATAX","NASDAQ"
2019-09-06,7.75,7.76,7.58,7.58,93400,"ATAX","NASDAQ"
2019-09-09,7.58,7.63,7.53,7.58,71500,"ATAX","NASDAQ"
2019-09-10,7.59,7.61,7.55,7.55,100900,"ATAX","NASDAQ"
2019-09-11,7.56,7.64,7.52,7.61,170500,"ATAX","NASDAQ"
2019-09-12,7.64,7.75,7.64,7.72,254200,"ATAX","NASDAQ"
2019-09-13,7.72,7.72,7.64,7.71,102300,"ATAX","NASDAQ"
2019-09-16,7.72,7.84,7.66,7.83,229900,"ATAX","NASDAQ"
2019-09-17,7.84,7.86,7.77,7.84,106000,"ATAX","NASDAQ"
2019-09-18,7.84,7.85,7.75,7.85,112300,"ATAX","NASDAQ"
2019-09-19,7.82,7.91,7.76,7.88,82700,"ATAX","NASDAQ"
2019-09-20,7.89,7.99,7.89,7.99,124200,"ATAX","NASDAQ"
2019-09-23,7.99,8.05,7.93,7.96,201400,"ATAX","NASDAQ"
2019-09-24,8,8.06,7.93,7.99,89500,"ATAX","NASDAQ"
2019-09-25,7.99,8,7.92,7.93,168400,"ATAX","NASDAQ"
2019-09-26,7.98,8.08,7.96,8.01,204700,"ATAX","NASDAQ"
2019-09-27,7.98,8.1,7.97,8.1,194100,"ATAX","NASDAQ"
2019-09-30,8.15,8.18,8.06,8.18,447500,"ATAX","NASDAQ"
2019-10-01,8.17,8.18,7.87,7.89,185100,"ATAX","NASDAQ"
2019-10-02,7.86,7.93,7.8,7.84,137800,"ATAX","NASDAQ"
2019-10-03,7.84,7.87,7.68,7.74,180200,"ATAX","NASDAQ"
2019-10-04,7.77,7.8,7.65,7.66,147900,"ATAX","NASDAQ"
2019-10-07,7.67,7.8,7.67,7.75,67500,"ATAX","NASDAQ"
2019-10-08,7.75,7.75,7.58,7.65,92600,"ATAX","NASDAQ"
2019-10-09,7.66,7.72,7.65,7.69,49100,"ATAX","NASDAQ"
2019-10-10,7.72,7.73,7.69,7.72,56700,"ATAX","NASDAQ"
2019-10-11,7.74,7.82,7.74,7.79,74800,"ATAX","NASDAQ"
2019-10-14,7.77,7.78,7.74,7.75,39900,"ATAX","NASDAQ"
