"times","open","high","low","close","volume","symbol","market"
2019-05-30,3.9,3.98,3.88,3.95,154800,"ATEC","NASDAQ"
2019-05-31,3.91,3.98,3.81,3.94,111900,"ATEC","NASDAQ"
2019-06-03,3.95,4.03,3.7,3.72,108000,"ATEC","NASDAQ"
2019-06-04,3.72,3.99,3.72,3.93,117600,"ATEC","NASDAQ"
2019-06-05,3.98,4.2,3.93,4.1,169600,"ATEC","NASDAQ"
2019-06-06,4.09,4.39,4.058,4.07,217600,"ATEC","NASDAQ"
2019-06-07,4.1,4.29,4.08,4.21,226100,"ATEC","NASDAQ"
2019-06-10,4.23,4.71,4.18,4.58,336500,"ATEC","NASDAQ"
2019-06-11,4.59,4.614,4.32,4.46,191600,"ATEC","NASDAQ"
2019-06-12,4.47,4.64,4.46,4.57,189700,"ATEC","NASDAQ"
2019-06-13,4.5799,4.85,4.495,4.77,481400,"ATEC","NASDAQ"
2019-06-14,4.8,4.805,4.501,4.72,228700,"ATEC","NASDAQ"
2019-06-17,4.74,4.76,4.52,4.58,218100,"ATEC","NASDAQ"
2019-06-18,4.6,4.6,4.36,4.39,276700,"ATEC","NASDAQ"
2019-06-19,4.42,4.48,4.39,4.39,97900,"ATEC","NASDAQ"
2019-06-20,4.44,4.49,4.15,4.38,189100,"ATEC","NASDAQ"
2019-06-21,4.4,4.43,4.21,4.37,103800,"ATEC","NASDAQ"
2019-06-24,4.36,4.38,4.22,4.22,128700,"ATEC","NASDAQ"
2019-06-25,4.22,4.3802,4.04,4.07,293000,"ATEC","NASDAQ"
2019-06-26,4.6,4.6,4.1,4.29,162400,"ATEC","NASDAQ"
2019-06-27,4.3002,4.36,4.21,4.33,360100,"ATEC","NASDAQ"
2019-06-28,4.38,4.65,4.33,4.54,3255300,"ATEC","NASDAQ"
2019-07-01,4.68,4.84,4.53,4.655,652300,"ATEC","NASDAQ"
2019-07-02,4.65,4.68,4.54,4.65,201000,"ATEC","NASDAQ"
2019-07-03,4.71,4.71,4.61,4.67,75900,"ATEC","NASDAQ"
2019-07-05,4.67,4.79,4.21,4.27,357500,"ATEC","NASDAQ"
2019-07-08,4.31,4.58,4.2701,4.41,377700,"ATEC","NASDAQ"
2019-07-09,4.42,4.62,4.4,4.59,245400,"ATEC","NASDAQ"
2019-07-10,4.64,4.64,4.48,4.55,258200,"ATEC","NASDAQ"
2019-07-11,4.58,4.58,4.4,4.45,123300,"ATEC","NASDAQ"
2019-07-12,4.48,4.4998,4.31,4.35,180300,"ATEC","NASDAQ"
2019-07-15,4.42,4.52,4.36,4.44,151600,"ATEC","NASDAQ"
2019-07-16,4.46,4.46,4.06,4.29,443700,"ATEC","NASDAQ"
2019-07-17,4.56,4.72,4.3,4.69,422600,"ATEC","NASDAQ"
2019-07-18,4.7,4.95,4.61,4.64,355400,"ATEC","NASDAQ"
2019-07-19,4.61,4.67,4.46,4.49,278700,"ATEC","NASDAQ"
2019-07-22,4.5698,4.63,4.4,4.6,211300,"ATEC","NASDAQ"
2019-07-23,4.65,4.69,4.52,4.61,146000,"ATEC","NASDAQ"
2019-07-24,4.63,4.72,4.43,4.6,259000,"ATEC","NASDAQ"
2019-07-25,4.75,5.24,4.51,5.04,1408200,"ATEC","NASDAQ"
2019-07-26,5.12,5.46,5.12,5.17,700700,"ATEC","NASDAQ"
2019-07-29,5.24,5.29,4.88,5,402500,"ATEC","NASDAQ"
2019-07-30,4.94,5.2,4.82,5.06,484900,"ATEC","NASDAQ"
2019-07-31,4.81,5.0503,4.62,4.7,3105800,"ATEC","NASDAQ"
2019-08-01,4.7399,4.93,4.7,4.77,451900,"ATEC","NASDAQ"
2019-08-02,4.84,4.89,4.66,4.8,284600,"ATEC","NASDAQ"
2019-08-05,4.99,5.3,4.75,5.18,944300,"ATEC","NASDAQ"
2019-08-06,5.34,5.47,5.09,5.2,705500,"ATEC","NASDAQ"
2019-08-07,5.17,5.5,5.12,5.43,835100,"ATEC","NASDAQ"
2019-08-08,5.46,5.96,5.45,5.8,994900,"ATEC","NASDAQ"
2019-08-09,5.7605,6,5.66,5.87,1850400,"ATEC","NASDAQ"
2019-08-12,5.84,6.25,5.73,6.22,822600,"ATEC","NASDAQ"
2019-08-13,6.21,6.35,5.91,6.16,809200,"ATEC","NASDAQ"
2019-08-14,6.19,6.19,5.9,5.92,464900,"ATEC","NASDAQ"
2019-08-15,5.93,6.02,5.4,5.73,514500,"ATEC","NASDAQ"
2019-08-16,5.73,6.11,5.73,6.01,467900,"ATEC","NASDAQ"
2019-08-19,6.06,6.29,6.02,6.2,431200,"ATEC","NASDAQ"
2019-08-20,6.2,6.22,6.01,6.13,422500,"ATEC","NASDAQ"
