"times","open","high","low","close","volume","symbol","market"
2019-05-30,2.8,2.9,2.5,2.55,106900,"ATIS","NASDAQ"
2019-05-31,2.55,2.678,2.53,2.57,27400,"ATIS","NASDAQ"
2019-06-03,2.69,2.9,2.2,2.5,552000,"ATIS","NASDAQ"
2019-06-04,2.9,2.9097,1.8,1.86,1069900,"ATIS","NASDAQ"
2019-06-05,1.9,1.921,1.72,1.91,288900,"ATIS","NASDAQ"
2019-06-06,1.89,1.91,1.66,1.83,80200,"ATIS","NASDAQ"
2019-06-07,1.82,1.851,1.72,1.74,113900,"ATIS","NASDAQ"
2019-06-10,1.84,1.921,1.74,1.86,104100,"ATIS","NASDAQ"
2019-06-11,1.78,1.87,1.73,1.8,57200,"ATIS","NASDAQ"
2019-06-12,1.79,1.8,1.65,1.728,25600,"ATIS","NASDAQ"
2019-06-13,1.75,1.8,1.661,1.8,19800,"ATIS","NASDAQ"
2019-06-14,1.75,1.774,1.69,1.7,18300,"ATIS","NASDAQ"
2019-06-17,1.69,1.734,1.6,1.7,24100,"ATIS","NASDAQ"
2019-06-18,1.7,1.79,1.67,1.67,4400,"ATIS","NASDAQ"
2019-06-19,1.64,1.75,1.64,1.69,10000,"ATIS","NASDAQ"
2019-06-20,1.69,1.89,1.648,1.75,59600,"ATIS","NASDAQ"
2019-06-21,1.74,1.79,1.67,1.72,15400,"ATIS","NASDAQ"
2019-06-24,1.71,1.74,1.66,1.72,31800,"ATIS","NASDAQ"
2019-06-25,1.67,1.72,1.6,1.72,8400,"ATIS","NASDAQ"
2019-06-26,1.67,1.677,1.6,1.66,9800,"ATIS","NASDAQ"
2019-06-27,1.64,1.75,1.61,1.68,8800,"ATIS","NASDAQ"
2019-06-28,1.68,1.7,1.63,1.63,22600,"ATIS","NASDAQ"
2019-07-01,1.66,1.74,1.66,1.69,17800,"ATIS","NASDAQ"
2019-07-02,1.68,1.741,1.68,1.69,11000,"ATIS","NASDAQ"
2019-07-03,1.676,1.75,1.6761,1.75,11000,"ATIS","NASDAQ"
2019-07-05,1.75,1.85,1.67,1.67,23100,"ATIS","NASDAQ"
2019-07-08,1.7,1.71,1.65,1.66,11100,"ATIS","NASDAQ"
2019-07-09,1.7,1.7,1.66,1.66,3800,"ATIS","NASDAQ"
2019-07-10,1.66,3,1.66,1.9,4551700,"ATIS","NASDAQ"
2019-07-11,1.8499,1.88,1.68,1.88,222200,"ATIS","NASDAQ"
2019-07-12,1.88,1.9,1.75,1.86,67200,"ATIS","NASDAQ"
2019-07-15,1.83,1.85,1.72,1.74,41500,"ATIS","NASDAQ"
2019-07-16,1.74,2.06,1.74,1.81,134100,"ATIS","NASDAQ"
2019-07-17,2,2.03,1.82,1.88,35800,"ATIS","NASDAQ"
2019-07-18,1.92,1.92,1.7,1.75,84600,"ATIS","NASDAQ"
2019-07-19,1.73,1.88,1.7,1.7,80400,"ATIS","NASDAQ"
2019-07-22,1.7,1.89,1.7,1.84,67200,"ATIS","NASDAQ"
2019-07-23,1.81,1.95,1.74,1.74,68200,"ATIS","NASDAQ"
2019-07-24,1.75,1.8,1.68,1.7,38600,"ATIS","NASDAQ"
2019-07-25,1.68,1.78,1.61,1.65,78900,"ATIS","NASDAQ"
2019-07-26,1.65,1.6998,1.6,1.6,17700,"ATIS","NASDAQ"
2019-07-29,1.61,1.66,1.54,1.57,14900,"ATIS","NASDAQ"
2019-07-30,1.5898,1.6,1.54,1.55,49800,"ATIS","NASDAQ"
2019-07-31,1.6,1.6,1.45,1.45,32600,"ATIS","NASDAQ"
2019-08-01,1.46,1.51,1.42,1.48,55700,"ATIS","NASDAQ"
2019-08-02,1.48,1.51,1.41,1.41,26800,"ATIS","NASDAQ"
2019-08-05,1.43,1.49,1.33,1.37,105500,"ATIS","NASDAQ"
2019-08-06,1.36,1.42,1.35,1.35,46900,"ATIS","NASDAQ"
