"times","open","high","low","close","volume","symbol","market"
2019-05-30,3.35,3.55,3.34,3.54,4700,"ATLC","NASDAQ"
2019-05-31,3.5,3.54,3.407,3.49,5100,"ATLC","NASDAQ"
2019-06-03,3.29,3.73,3.29,3.64,14200,"ATLC","NASDAQ"
2019-06-04,3.63,3.63,3.417,3.43,8500,"ATLC","NASDAQ"
2019-06-05,3.47,3.54,3.417,3.54,4700,"ATLC","NASDAQ"
2019-06-06,3.51,3.58,3.51,3.54,9700,"ATLC","NASDAQ"
2019-06-07,3.4801,3.52,3.47,3.48,13600,"ATLC","NASDAQ"
2019-06-10,3.5301,3.58,3.52,3.58,3600,"ATLC","NASDAQ"
2019-06-11,3.53,3.58,3.46,3.58,6400,"ATLC","NASDAQ"
2019-06-12,3.5198,3.67,3.52,3.55,3300,"ATLC","NASDAQ"
2019-06-13,3.59,3.74,3.59,3.72,7800,"ATLC","NASDAQ"
2019-06-14,3.73,3.77,3.7,3.73,22400,"ATLC","NASDAQ"
2019-06-17,3.73,3.73,3.63,3.65,10300,"ATLC","NASDAQ"
2019-06-18,3.713,3.764,3.487,3.71,11900,"ATLC","NASDAQ"
2019-06-19,3.73,3.83,3.73,3.82,4800,"ATLC","NASDAQ"
2019-06-20,3.7701,3.94,3.75,3.75,4200,"ATLC","NASDAQ"
2019-06-21,3.92,3.99,3.82,3.82,7100,"ATLC","NASDAQ"
2019-06-24,3.95,3.95,3.875,3.93,2400,"ATLC","NASDAQ"
2019-06-25,3.93,3.94,3.645,3.85,14000,"ATLC","NASDAQ"
2019-06-26,3.78,3.93,3.78,3.8,4300,"ATLC","NASDAQ"
2019-06-27,3.84,3.95,3.8399,3.95,1600,"ATLC","NASDAQ"
2019-06-28,3.759,4.05,3.759,4.05,11200,"ATLC","NASDAQ"
2019-07-01,3.81,4.05,3.78,3.942,6500,"ATLC","NASDAQ"
2019-07-02,3.88,4.03,3.88,4.03,800,"ATLC","NASDAQ"
2019-07-03,4.03,4.04,3.94,4.04,3800,"ATLC","NASDAQ"
2019-07-05,3.93,4.13,3.93,4.063,4700,"ATLC","NASDAQ"
2019-07-08,4.02,4.03,4.02,4.02,1900,"ATLC","NASDAQ"
2019-07-09,3.9,4.03,3.9,4.03,2800,"ATLC","NASDAQ"
2019-07-10,3.9,4.18,3.9,4.18,8600,"ATLC","NASDAQ"
2019-07-11,4.17,4.17,4.11,4.12,7600,"ATLC","NASDAQ"
2019-07-12,4.1,4.13,4,4,4100,"ATLC","NASDAQ"
2019-07-15,4.06,4.13,4.06,4.07,2300,"ATLC","NASDAQ"
2019-07-16,4.09,4.2701,4.09,4.27,4900,"ATLC","NASDAQ"
2019-07-17,4.26,4.79,4.26,4.47,7900,"ATLC","NASDAQ"
2019-07-18,4.56,5.39,4.25,4.75,27500,"ATLC","NASDAQ"
2019-07-19,4.85,4.98,4.61,4.61,4000,"ATLC","NASDAQ"
2019-07-22,4.4,4.61,4.31,4.61,2900,"ATLC","NASDAQ"
2019-07-23,4.19,4.5,4.19,4.5,1700,"ATLC","NASDAQ"
2019-07-24,4.71,4.72,4.71,4.71,400,"ATLC","NASDAQ"
2019-07-25,4.73,4.73,4.61,4.61,1800,"ATLC","NASDAQ"
2019-07-26,4.71,4.95,4.71,4.9,6300,"ATLC","NASDAQ"
2019-07-29,4.91,4.96,4.65,4.94,5000,"ATLC","NASDAQ"
2019-07-30,5.04,5.0398,4.65,4.78,7800,"ATLC","NASDAQ"
2019-07-31,4.9,4.9,4.72,4.72,7100,"ATLC","NASDAQ"
2019-08-01,4.89,4.99,4.78,4.95,8400,"ATLC","NASDAQ"
2019-08-02,4.95,4.98,4.83,4.83,1900,"ATLC","NASDAQ"
2019-08-05,4.98,4.99,4.95,4.99,5400,"ATLC","NASDAQ"
2019-08-06,5,5,4.89,4.99,6000,"ATLC","NASDAQ"
2019-08-07,5,5.27,4.995,5.26,16400,"ATLC","NASDAQ"
2019-08-08,5.348,5.46,5.24,5.25,9800,"ATLC","NASDAQ"
2019-08-09,5.27,6.46,5.27,6.04,31200,"ATLC","NASDAQ"
2019-08-12,6.04,6.04,5.521,5.53,17500,"ATLC","NASDAQ"
2019-08-13,5.78,6.04,5.78,5.93,15400,"ATLC","NASDAQ"
2019-08-14,6,6.34,5.85,6.27,36000,"ATLC","NASDAQ"
2019-08-15,6.27,6.8,6.26,6.63,50300,"ATLC","NASDAQ"
2019-08-16,6.68,7.35,6.65,7.34,73100,"ATLC","NASDAQ"
2019-08-19,7.34,8.6,7.34,8.18,78400,"ATLC","NASDAQ"
2019-08-20,8.32,9.6,7.37,8,311400,"ATLC","NASDAQ"
2019-08-21,8.05,8.55,7.13,7.33,136900,"ATLC","NASDAQ"
2019-08-22,7.15,7.49,6.53,6.59,73700,"ATLC","NASDAQ"
2019-08-23,6.41,7.04,5.87,5.95,96400,"ATLC","NASDAQ"
2019-08-26,6.11,6.36,5.95,6.18,45600,"ATLC","NASDAQ"
2019-08-27,6.22,6.51,5.75,5.79,31000,"ATLC","NASDAQ"
2019-08-28,5.79,5.99,5.62,5.69,33200,"ATLC","NASDAQ"
2019-08-29,5.69,6.21,5.64,5.9,20000,"ATLC","NASDAQ"
2019-08-30,5.95,6.37,5.95,6.36,36500,"ATLC","NASDAQ"
2019-09-03,6.39,7.4,6.13,7.1,59200,"ATLC","NASDAQ"
2019-09-04,7.21,7.35,6.18,6.77,67200,"ATLC","NASDAQ"
2019-09-05,6.72,7.91,6.72,7.05,48500,"ATLC","NASDAQ"
2019-09-06,7.06,8.24,7.06,7.73,59900,"ATLC","NASDAQ"
2019-09-09,7.75,8.32,7.36,7.74,82200,"ATLC","NASDAQ"
2019-09-10,7.74,7.93,7.32,7.32,34500,"ATLC","NASDAQ"
2019-09-11,7.34,8.2,7.32,8.02,52700,"ATLC","NASDAQ"
2019-09-12,8.08,8.31,7.57,8.18,37200,"ATLC","NASDAQ"
2019-09-13,8.26,8.26,7.78,7.9,44800,"ATLC","NASDAQ"
2019-09-16,7.82,8.46,7.82,7.94,35100,"ATLC","NASDAQ"
2019-09-17,8,8.42,7.5,7.51,58900,"ATLC","NASDAQ"
2019-09-18,7.57,8.39,7.57,8.23,113100,"ATLC","NASDAQ"
2019-09-19,8.06,9.15,8.06,8.93,165900,"ATLC","NASDAQ"
2019-09-20,9.18,9.6,8.46,8.61,162900,"ATLC","NASDAQ"
2019-09-23,8.66,9.29,8.22,8.94,119200,"ATLC","NASDAQ"
2019-09-24,8.49,9.36,8.48,9.3,112400,"ATLC","NASDAQ"
2019-09-25,9.43,9.89,9.13,9.64,159400,"ATLC","NASDAQ"
2019-09-26,9.65,9.89,9.25,9.6,58300,"ATLC","NASDAQ"
2019-09-27,10.08,10.08,8.47,8.89,99200,"ATLC","NASDAQ"
2019-09-30,8.9,8.9,7.79,8.35,102800,"ATLC","NASDAQ"
2019-10-01,7.8,8.33,7.57,8.27,63600,"ATLC","NASDAQ"
2019-10-02,8.19,8.27,7.57,7.93,26800,"ATLC","NASDAQ"
2019-10-03,7.81,8.09,7.34,7.66,27000,"ATLC","NASDAQ"
2019-10-04,7.72,8.06,7.32,7.61,28900,"ATLC","NASDAQ"
2019-10-07,7.61,8.01,7.32,7.92,28700,"ATLC","NASDAQ"
2019-10-08,7.8,7.83,7.35,7.42,40900,"ATLC","NASDAQ"
2019-10-09,7.5,7.73,7.32,7.48,21600,"ATLC","NASDAQ"
2019-10-10,7.11,8.18,6.77,7.35,118400,"ATLC","NASDAQ"
2019-10-11,7.35,8.7,7.26,8.11,46900,"ATLC","NASDAQ"
2019-10-14,8.16,8.8,8.15,8.58,70800,"ATLC","NASDAQ"
2019-10-15,8.55,8.7,7.36,7.65,51300,"ATLC","NASDAQ"
2019-10-16,7.75,8.54,7.56,8.15,37000,"ATLC","NASDAQ"
2019-10-17,8.1,8.27,7.73,7.83,38500,"ATLC","NASDAQ"
2019-10-18,7.77,8.23,7.66,7.91,44179,"ATLC","NASDAQ"
