"times","open","high","low","close","volume","symbol","market"
2019-05-30,23.67,23.933,22.47,22.78,504300,"ATRA","NASDAQ"
2019-05-31,22.71,22.815,22,22.21,349100,"ATRA","NASDAQ"
2019-06-03,22.04,23.87,22.04,23.32,780600,"ATRA","NASDAQ"
2019-06-04,23.96,24.5,23.52,24.19,774300,"ATRA","NASDAQ"
2019-06-05,24.33,24.748,22.806,23.17,655800,"ATRA","NASDAQ"
2019-06-06,23.24,23.43,21.7,22.6,649100,"ATRA","NASDAQ"
2019-06-07,22.56,22.928,21.79,22.08,768100,"ATRA","NASDAQ"
2019-06-10,22.3,22.6697,21.75,22.34,653100,"ATRA","NASDAQ"
2019-06-11,22.59,22.61,21.55,22.23,691500,"ATRA","NASDAQ"
2019-06-12,22.13,22.13,21.31,21.9,445000,"ATRA","NASDAQ"
2019-06-13,22.11,22.24,21.735,22.05,544600,"ATRA","NASDAQ"
2019-06-14,22.1,22.18,21.54,21.85,394800,"ATRA","NASDAQ"
2019-06-17,22.11,22.59,21.7303,22.07,1466200,"ATRA","NASDAQ"
2019-06-18,22.32,22.46,21.76,21.96,596800,"ATRA","NASDAQ"
2019-06-19,22.05,22.3903,21.6,21.82,610100,"ATRA","NASDAQ"
2019-06-20,22.06,22.42,20.99,21.39,1156000,"ATRA","NASDAQ"
2019-06-21,21.26,21.67,20.36,21.43,1612100,"ATRA","NASDAQ"
2019-06-24,21.23,21.5,20.17,20.43,825300,"ATRA","NASDAQ"
2019-06-25,20.65,20.775,19.95,20,436600,"ATRA","NASDAQ"
2019-06-26,19.8,20.1,18.76,19.05,899800,"ATRA","NASDAQ"
2019-06-27,19.22,20.31,18.95,20.25,656400,"ATRA","NASDAQ"
2019-06-28,20.25,20.506,19.69,20.11,1187700,"ATRA","NASDAQ"
2019-07-01,21.0013,21.45,19.4,19.6,974200,"ATRA","NASDAQ"
2019-07-02,19.79,20.56,19.47,19.94,775500,"ATRA","NASDAQ"
2019-07-03,19.92,19.92,19.166,19.76,260400,"ATRA","NASDAQ"
