"times","open","high","low","close","volume","symbol","market"
2019-05-30,887,892,886.1,890,9600,"ATRI","NASDAQ"
2019-05-31,888.9,892,881.22,883.21,4800,"ATRI","NASDAQ"
2019-06-03,884.1,884.1,869.38,869.38,4100,"ATRI","NASDAQ"
2019-06-04,860.9222,879.5,856.84,879.5,6200,"ATRI","NASDAQ"
2019-06-05,884.635,890.88,884,890.88,5500,"ATRI","NASDAQ"
2019-06-06,890,891,878.4,882.65,7200,"ATRI","NASDAQ"
2019-06-07,882.6,885,875.25,877.47,7300,"ATRI","NASDAQ"
2019-06-10,882.57,888.225,876.22,879.7,14600,"ATRI","NASDAQ"
2019-06-11,887.39,894.01,880.15,883.57,4800,"ATRI","NASDAQ"
2019-06-12,879.4,883.54,866.1514,877.8,13000,"ATRI","NASDAQ"
2019-06-13,879.16,879.16,866.135,874.8,21600,"ATRI","NASDAQ"
2019-06-14,873.9,884.35,870.4,878.02,58500,"ATRI","NASDAQ"
2019-06-17,875,893.4,867.8,868.83,26700,"ATRI","NASDAQ"
2019-06-18,869,875.42,861.24,873.8,11100,"ATRI","NASDAQ"
2019-06-19,875.47,908.71,873.8,908.71,10700,"ATRI","NASDAQ"
2019-06-20,915,915.96,899.17,902.09,5100,"ATRI","NASDAQ"
2019-06-21,900.55,908,887.43,887.43,14700,"ATRI","NASDAQ"
2019-06-24,886.95,896.99,880,886.6,8200,"ATRI","NASDAQ"
2019-06-25,885,885,870.31,872,10100,"ATRI","NASDAQ"
2019-06-26,867.5,867.5,833.5,837.83,22700,"ATRI","NASDAQ"
2019-06-27,844.866,853.84,832.5363,852.24,14300,"ATRI","NASDAQ"
2019-06-28,853.99,865.55,850.27,852.74,18200,"ATRI","NASDAQ"
2019-07-01,859.06,859.7,832.0095,840,31300,"ATRI","NASDAQ"
2019-07-02,837.99,840,823.3,831,24100,"ATRI","NASDAQ"
2019-07-03,840.34,840.34,823.4,823.4,12200,"ATRI","NASDAQ"
2019-07-05,823.4,823.4,812.5,817.65,21400,"ATRI","NASDAQ"
2019-07-08,818.12,828.8,807.51,809,21200,"ATRI","NASDAQ"
