"times","open","high","low","close","volume","symbol","market"
2019-05-30,5,5.12,4.81,5,42800,"ATXI","NASDAQ"
2019-05-31,5.07,5.2,4.73,5.2,19100,"ATXI","NASDAQ"
2019-06-03,5.54,7.98,5.53,5.98,1866600,"ATXI","NASDAQ"
2019-06-04,6.1,6.5,5.86,6.3,230400,"ATXI","NASDAQ"
2019-06-05,6.2997,6.7,6.25,6.54,107400,"ATXI","NASDAQ"
2019-06-06,6.6,6.6,6.221,6.35,68900,"ATXI","NASDAQ"
2019-06-07,6.35,6.35,6,6.15,73700,"ATXI","NASDAQ"
2019-06-10,6.13,6.268,6,6.13,61000,"ATXI","NASDAQ"
2019-06-11,6.13,6.13,5.81,5.81,25700,"ATXI","NASDAQ"
2019-06-12,5.94,6,5.88,6,36700,"ATXI","NASDAQ"
2019-06-13,6,6.065,5.821,5.91,55700,"ATXI","NASDAQ"
2019-06-14,5.95,6.07,5.8598,6,65600,"ATXI","NASDAQ"
2019-06-17,5.95,6.137,5.8596,5.926,64400,"ATXI","NASDAQ"
2019-06-18,5.8392,5.94,5.2,5.69,90800,"ATXI","NASDAQ"
2019-06-19,5.6,5.7804,5.541,5.64,20000,"ATXI","NASDAQ"
2019-06-20,5.7,5.76,5.528,5.64,29100,"ATXI","NASDAQ"
2019-06-21,5.59,6.75,5.59,6.53,145400,"ATXI","NASDAQ"
2019-06-24,6.3,6.39,6.06,6.06,72900,"ATXI","NASDAQ"
2019-06-25,6.08,6.37,5.95,5.95,39100,"ATXI","NASDAQ"
2019-06-26,5.95,5.976,5.81,5.81,34100,"ATXI","NASDAQ"
2019-06-27,5.901,6.23,5.901,6,13600,"ATXI","NASDAQ"
2019-06-28,6.005,6.3,6,6.3,15600,"ATXI","NASDAQ"
2019-07-01,6.3,6.3,6,6.09,26000,"ATXI","NASDAQ"
2019-07-02,6.16,6.1698,6.03,6.05,14000,"ATXI","NASDAQ"
2019-07-03,6.04,6.28,6.04,6.169,7300,"ATXI","NASDAQ"
2019-07-05,6.141,6.24,6.1,6.23,20900,"ATXI","NASDAQ"
2019-07-08,6.141,6.23,6.14,6.14,2100,"ATXI","NASDAQ"
2019-07-09,6.181,6.21,6.11,6.11,12000,"ATXI","NASDAQ"
2019-07-10,6.11,6.259,6.05,6.23,39600,"ATXI","NASDAQ"
2019-07-11,6.29,6.29,6.07,6.07,3300,"ATXI","NASDAQ"
2019-07-12,6.08,6.25,6,6.24,33800,"ATXI","NASDAQ"
2019-07-15,6.16,6.16,5.94,6.14,44100,"ATXI","NASDAQ"
2019-07-16,6.02,6.2,6.02,6.12,5000,"ATXI","NASDAQ"
2019-07-17,6.03,6.1,5.9498,6.05,12200,"ATXI","NASDAQ"
2019-07-18,6.11,6.11,5.8,5.99,10100,"ATXI","NASDAQ"
2019-07-19,6.05,6.18,5.97,6.18,9700,"ATXI","NASDAQ"
2019-07-22,6.18,6.18,5.9,6.08,23100,"ATXI","NASDAQ"
2019-07-23,6.03,6.3,5.91,6.3,19100,"ATXI","NASDAQ"
2019-07-24,6.12,6.188,5.91,5.92,7300,"ATXI","NASDAQ"
2019-07-25,5.91,6.03,5.86,5.9,24000,"ATXI","NASDAQ"
2019-07-26,5.99,6.2096,5.93,6.11,21800,"ATXI","NASDAQ"
