"times","open","high","low","close","volume","symbol","market"
2019-05-30,34.13,34.36,33.02,33.22,224600,"AUB","NASDAQ"
2019-05-31,32.61,32.83,32.24,32.3,265500,"AUB","NASDAQ"
2019-06-03,32.312,33.04,32.05,32.86,242200,"AUB","NASDAQ"
2019-06-04,33.14,33.84,32.95,33.67,252500,"AUB","NASDAQ"
2019-06-05,33.48,33.48,32.88,33.24,205000,"AUB","NASDAQ"
2019-06-06,33.26,33.55,32.53,33.22,157600,"AUB","NASDAQ"
2019-06-07,33.33,33.35,32.84,33.25,184300,"AUB","NASDAQ"
2019-06-10,33.64,34.3,33.16,34.06,211000,"AUB","NASDAQ"
2019-06-11,34.33,34.53,33.84,34.35,237600,"AUB","NASDAQ"
2019-06-12,34.21,34.49,33.89,34.17,144800,"AUB","NASDAQ"
2019-06-13,34.28,34.56,34.2,34.49,166500,"AUB","NASDAQ"
2019-06-14,34.44,34.91,33.9589,34.77,297000,"AUB","NASDAQ"
2019-06-17,34.77,35,34.43,34.61,318200,"AUB","NASDAQ"
2019-06-18,34.82,35.57,34.7,35.47,186800,"AUB","NASDAQ"
2019-06-19,35.36,35.95,35.26,35.29,341400,"AUB","NASDAQ"
2019-06-20,35.35,35.52,34,34.87,248800,"AUB","NASDAQ"
2019-06-21,34.67,34.88,34.17,34.22,633000,"AUB","NASDAQ"
2019-06-24,34.22,34.28,33.76,33.79,324100,"AUB","NASDAQ"
2019-06-25,33.59,34.38,33.45,34.15,302400,"AUB","NASDAQ"
2019-06-26,34.15,34.55,33.92,34.12,220500,"AUB","NASDAQ"
2019-06-27,34.111,34.77,33.87,34.77,252600,"AUB","NASDAQ"
2019-06-28,34.99,35.96,34.6,35.33,893800,"AUB","NASDAQ"
2019-07-01,35.63,35.7902,35.22,35.42,172800,"AUB","NASDAQ"
2019-07-02,35.34,35.6,34.46,34.78,138300,"AUB","NASDAQ"
2019-07-03,35.01,35.17,34.57,35.04,73600,"AUB","NASDAQ"
2019-07-05,34.82,35.4942,34.69,35.4,111500,"AUB","NASDAQ"
2019-07-08,35.19,35.37,34.4994,34.86,272600,"AUB","NASDAQ"
2019-07-09,34.69,35.03,34.54,35.03,121800,"AUB","NASDAQ"
2019-07-10,35.36,35.36,34.31,34.94,249300,"AUB","NASDAQ"
2019-07-11,35.13,35.75,34.99,35.62,249100,"AUB","NASDAQ"
2019-07-12,35.61,36.14,35.53,35.9,2e+05,"AUB","NASDAQ"
2019-07-15,35.96,35.96,34.95,35,164600,"AUB","NASDAQ"
2019-07-16,35.04,35.26,34.67,34.89,169700,"AUB","NASDAQ"
2019-07-17,34.84,35.1,34.41,34.44,194900,"AUB","NASDAQ"
2019-07-18,34.98,35.7,34.24,35.67,260300,"AUB","NASDAQ"
2019-07-19,35.06,36.2,33.99,36.1,271300,"AUB","NASDAQ"
2019-07-22,35.95,36.04,34.77,35.87,372600,"AUB","NASDAQ"
2019-07-23,36.02,36.58,36.02,36.47,230100,"AUB","NASDAQ"
2019-07-24,36.44,37.57,36.39,37.53,222900,"AUB","NASDAQ"
2019-07-25,37.48,37.82,37.1,37.13,216000,"AUB","NASDAQ"
2019-07-26,37.32,38.19,37.32,38.12,228700,"AUB","NASDAQ"
2019-07-29,38.06,38.15,37.32,37.42,245500,"AUB","NASDAQ"
2019-07-30,36.93,38.08,36.9289,38.04,219600,"AUB","NASDAQ"
2019-07-31,37.89,38.68,37.89,38.03,329900,"AUB","NASDAQ"
2019-08-01,37.62,38.24,36.71,36.89,439900,"AUB","NASDAQ"
2019-08-02,36.63,36.91,35.98,36.6,263300,"AUB","NASDAQ"
2019-08-05,35.85,36.07,34.98,35.55,297000,"AUB","NASDAQ"
2019-08-06,35.74,36.06,35.25,35.9,224200,"AUB","NASDAQ"
2019-08-07,35.09,35.98,34.607,35.85,260700,"AUB","NASDAQ"
2019-08-08,36.23,36.92,35.98,36.74,229900,"AUB","NASDAQ"
2019-08-09,36.65,36.78,35.92,36.47,263800,"AUB","NASDAQ"
2019-08-12,36.1,36.3054,35.75,35.78,370800,"AUB","NASDAQ"
2019-08-13,35.67,36.69,35.0463,36.09,193500,"AUB","NASDAQ"
2019-08-14,35.26,35.59,34.66,35.05,283300,"AUB","NASDAQ"
2019-08-15,35.04,35.49,34.93,35.09,273800,"AUB","NASDAQ"
2019-08-16,35.32,36.5006,35.32,36.37,286400,"AUB","NASDAQ"
2019-08-19,36.88,37.09,36.63,36.84,239300,"AUB","NASDAQ"
2019-08-20,36.61,36.79,35.78,36.39,203500,"AUB","NASDAQ"
2019-08-21,36.66,36.76,36.34,36.53,234500,"AUB","NASDAQ"
2019-08-22,36.81,37.02,34.61,36.72,159100,"AUB","NASDAQ"
2019-08-23,36.59,37.08,35,35.15,276800,"AUB","NASDAQ"
2019-08-26,35.66,35.69,35.14,35.63,179400,"AUB","NASDAQ"
2019-08-27,35.91,36.08,34.8,35.14,288600,"AUB","NASDAQ"
2019-08-28,34.81,35.98,34.78,35.71,360700,"AUB","NASDAQ"
2019-08-29,36.12,36.89,36.12,36.71,306800,"AUB","NASDAQ"
2019-08-30,37,37,35.89,36.11,252200,"AUB","NASDAQ"
2019-09-03,35.79,35.91,34.77,35.14,313600,"AUB","NASDAQ"
2019-09-04,35.45,35.45,34.99,35.21,179400,"AUB","NASDAQ"
2019-09-05,35.76,36.86,35.76,36.32,244700,"AUB","NASDAQ"
2019-09-06,35.35,35.94,35.17,35.61,281900,"AUB","NASDAQ"
2019-09-09,35.93,37.25,35.59,37.15,446500,"AUB","NASDAQ"
2019-09-10,37,37.9,36.99,37.29,423200,"AUB","NASDAQ"
2019-09-11,37.46,38.43,36.95,38.38,313500,"AUB","NASDAQ"
2019-09-12,37.97,39.04,37.02,38.94,391300,"AUB","NASDAQ"
2019-09-13,39.11,39.73,39.1,39.45,404400,"AUB","NASDAQ"
2019-09-16,38.71,39.58,38.71,39.5,393600,"AUB","NASDAQ"
2019-09-17,39.43,39.47,38.9,39.33,359300,"AUB","NASDAQ"
2019-09-18,39.32,39.69,39.08,39.52,350200,"AUB","NASDAQ"
2019-09-19,39.7,40.2,39.13,39.2,394000,"AUB","NASDAQ"
2019-09-20,39.26,39.35,38.23,38.28,894300,"AUB","NASDAQ"
2019-09-23,38.25,38.38,37.8,38,335800,"AUB","NASDAQ"
2019-09-24,38.2,38.2,36.99,37.21,309900,"AUB","NASDAQ"
2019-09-25,37.11,38.19,35.99,37.83,366300,"AUB","NASDAQ"
2019-09-26,37.82,37.82,37.12,37.29,370000,"AUB","NASDAQ"
2019-09-27,37.77,37.86,37.29,37.48,234000,"AUB","NASDAQ"
2019-09-30,37.72,37.74,37.24,37.24,317500,"AUB","NASDAQ"
2019-10-01,37.57,37.8,36.33,36.57,329700,"AUB","NASDAQ"
2019-10-02,36.31,36.67,35.8,36.3,247000,"AUB","NASDAQ"
2019-10-03,36.28,36.49,35.76,36.45,226800,"AUB","NASDAQ"
