"times","open","high","low","close","volume","symbol","market"
2019-05-30,2.36,2.36,2.26,2.28,46000,"AVCO","NASDAQ"
2019-05-31,2.32,2.32,2.15,2.21,47300,"AVCO","NASDAQ"
2019-06-03,2.2,2.206,2.02,2.1,137200,"AVCO","NASDAQ"
2019-06-04,2.04,2.125,2,2.075,138100,"AVCO","NASDAQ"
2019-06-05,2.05,2.05,1.9401,1.98,250100,"AVCO","NASDAQ"
2019-06-06,1.98,2.05,1.77,1.91,252900,"AVCO","NASDAQ"
2019-06-07,1.86,2.1,1.79,1.99,150600,"AVCO","NASDAQ"
2019-06-10,2.16,2.38,2.0101,2.35,401000,"AVCO","NASDAQ"
2019-06-11,2.32,2.43,2.2,2.29,121900,"AVCO","NASDAQ"
2019-06-12,2.32,2.32,2.12,2.3,123600,"AVCO","NASDAQ"
2019-06-13,2.31,2.42,2.25,2.4,189600,"AVCO","NASDAQ"
2019-06-14,2.35,2.44,2.29,2.41,81300,"AVCO","NASDAQ"
2019-06-17,2.43,2.49,2.2,2.22,68900,"AVCO","NASDAQ"
2019-06-18,2.25,2.26,2.15,2.22,89900,"AVCO","NASDAQ"
2019-06-19,2.25,2.32,2.12,2.17,56300,"AVCO","NASDAQ"
2019-06-20,2.19,2.3,2.17,2.17,49700,"AVCO","NASDAQ"
2019-06-21,2.17,2.28,2.15,2.19,53000,"AVCO","NASDAQ"
2019-06-24,2.25,2.3,2.23,2.23,88000,"AVCO","NASDAQ"
2019-06-25,2.22,2.35,2.15,2.3,139200,"AVCO","NASDAQ"
2019-06-26,2.31,2.4,2.2,2.25,192900,"AVCO","NASDAQ"
2019-06-27,2.2502,2.45,2.2,2.41,84600,"AVCO","NASDAQ"
2019-06-28,2.43,2.8,2.401,2.6,2472700,"AVCO","NASDAQ"
2019-07-01,2.63,2.66,2.5,2.53,152300,"AVCO","NASDAQ"
2019-07-02,2.55,2.6298,2.33,2.43,103800,"AVCO","NASDAQ"
2019-07-03,2.42,2.45,2.35,2.42,72300,"AVCO","NASDAQ"
2019-07-05,2.36,2.42,2.36,2.41,39400,"AVCO","NASDAQ"
2019-07-08,2.37,2.403,2.35,2.37,57200,"AVCO","NASDAQ"
2019-07-09,2.35,2.4,2.28,2.29,105700,"AVCO","NASDAQ"
2019-07-10,2.3,2.37,2.13,2.17,185300,"AVCO","NASDAQ"
2019-07-11,2.18,2.239,2.05,2.09,86700,"AVCO","NASDAQ"
2019-07-12,2.05,2.15,2.04,2.04,51400,"AVCO","NASDAQ"
2019-07-15,2.04,2.14,2.04,2.08,46800,"AVCO","NASDAQ"
2019-07-16,2.08,2.14,2.07,2.13,79300,"AVCO","NASDAQ"
2019-07-17,2.13,2.15,2.04,2.05,39900,"AVCO","NASDAQ"
2019-07-18,2.08,2.17,2.08,2.14,98100,"AVCO","NASDAQ"
2019-07-19,2.13,2.18,2.13,2.17,56500,"AVCO","NASDAQ"
2019-07-22,2.15,2.15,1.95,2.05,397800,"AVCO","NASDAQ"
2019-07-23,2.33,2.48,2.2,2.21,736600,"AVCO","NASDAQ"
2019-07-24,2.12,2.3,2.1,2.17,193500,"AVCO","NASDAQ"
2019-07-25,2.18,2.25,2.03,2.03,135200,"AVCO","NASDAQ"
2019-07-26,2.06,2.07,2.01,2.02,64200,"AVCO","NASDAQ"
2019-07-29,2.05,2.2,2.05,2.1,89900,"AVCO","NASDAQ"
2019-07-30,2.09,2.12,2.04,2.1,78200,"AVCO","NASDAQ"
2019-07-31,2.12,2.23,2.07,2.09,279800,"AVCO","NASDAQ"
2019-08-01,2.1,2.3,2.05,2.05,269300,"AVCO","NASDAQ"
2019-08-02,2.15,2.15,2.03,2.03,66500,"AVCO","NASDAQ"
2019-08-05,2,2.033,1.96,1.96,83800,"AVCO","NASDAQ"
2019-08-06,1.98,2.04,1.88,1.92,88000,"AVCO","NASDAQ"
2019-08-07,1.89,2.05,1.89,1.91,208500,"AVCO","NASDAQ"
2019-08-08,1.91,2.03,1.9,2,101700,"AVCO","NASDAQ"
2019-08-09,2,2.01,1.92,1.92,43900,"AVCO","NASDAQ"
2019-08-12,1.92,1.99,1.92,1.94,35300,"AVCO","NASDAQ"
2019-08-13,1.92,1.99,1.92,1.97,30500,"AVCO","NASDAQ"
2019-08-14,1.96,1.96,1.85,1.86,102000,"AVCO","NASDAQ"
2019-08-15,1.89,1.923,1.81,1.83,96400,"AVCO","NASDAQ"
2019-08-16,1.84,1.92,1.82,1.92,68100,"AVCO","NASDAQ"
2019-08-19,1.93,1.942,1.89,1.91,40800,"AVCO","NASDAQ"
2019-08-20,1.88,1.9,1.86,1.86,26600,"AVCO","NASDAQ"
2019-08-21,1.89,1.95,1.89,1.9,30300,"AVCO","NASDAQ"
2019-08-22,1.9,1.91,1.825,1.88,32300,"AVCO","NASDAQ"
2019-08-23,1.88,1.94,1.83,1.83,51700,"AVCO","NASDAQ"
2019-08-26,1.82,1.84,1.82,1.825,32100,"AVCO","NASDAQ"
2019-08-27,1.86,1.86,1.66,1.73,95500,"AVCO","NASDAQ"
2019-08-28,1.709,1.85,1.709,1.775,17800,"AVCO","NASDAQ"
2019-08-29,1.8,1.99,1.8,1.98,103200,"AVCO","NASDAQ"
2019-08-30,1.99,2.05,1.9,1.96,76300,"AVCO","NASDAQ"
2019-09-03,1.94,2.04,1.91,1.92,63700,"AVCO","NASDAQ"
2019-09-04,1.99,1.99,1.87,1.9,51600,"AVCO","NASDAQ"
2019-09-05,1.89,1.91,1.85,1.88,55600,"AVCO","NASDAQ"
2019-09-06,1.92,2,1.89,1.97,125100,"AVCO","NASDAQ"
2019-09-09,2,2.19,1.97,2.155,191400,"AVCO","NASDAQ"
2019-09-10,2.15,2.28,2.09,2.23,197200,"AVCO","NASDAQ"
2019-09-11,2.17,2.35,2.093,2.34,136300,"AVCO","NASDAQ"
2019-09-12,2.35,2.4,2.09,2.31,206800,"AVCO","NASDAQ"
2019-09-13,2.31,2.32,2.27,2.3,83300,"AVCO","NASDAQ"
2019-09-16,2.3,2.5,2.3,2.47,108000,"AVCO","NASDAQ"
2019-09-17,2.4,2.65,2.4,2.59,151400,"AVCO","NASDAQ"
2019-09-18,2.59,2.64,2.453,2.54,168300,"AVCO","NASDAQ"
2019-09-19,2.55,2.64,2.46,2.53,198300,"AVCO","NASDAQ"
2019-09-20,2.52,2.6,2.29,2.38,353600,"AVCO","NASDAQ"
2019-09-23,2.38,2.416,2.3,2.37,101800,"AVCO","NASDAQ"
2019-09-24,2.34,2.52,2.22,2.26,56500,"AVCO","NASDAQ"
2019-09-25,2.19,2.25,2.18,2.22,35000,"AVCO","NASDAQ"
2019-09-26,2.23,2.27,2.11,2.14,39200,"AVCO","NASDAQ"
2019-09-27,2.14,2.2,1.95,1.99,81700,"AVCO","NASDAQ"
2019-09-30,2,2,1.85,1.87,92400,"AVCO","NASDAQ"
2019-10-01,1.87,1.907,1.82,1.82,44300,"AVCO","NASDAQ"
2019-10-02,1.83,1.9,1.74,1.75,113800,"AVCO","NASDAQ"
2019-10-03,1.75,1.85,1.7,1.73,108700,"AVCO","NASDAQ"
2019-10-04,1.73,1.91,1.73,1.77,39600,"AVCO","NASDAQ"
2019-10-07,1.79,1.81,1.67,1.68,56700,"AVCO","NASDAQ"
2019-10-08,1.68,1.75,1.67,1.7,74800,"AVCO","NASDAQ"
2019-10-09,1.7,1.73,1.67,1.7,57800,"AVCO","NASDAQ"
2019-10-10,1.7,1.7,1.61,1.61,62700,"AVCO","NASDAQ"
2019-10-11,1.64,1.64,1.6,1.61,27300,"AVCO","NASDAQ"
2019-10-14,1.6,1.7,1.59,1.6,30500,"AVCO","NASDAQ"
2019-10-15,1.59,1.69,1.59,1.61,30200,"AVCO","NASDAQ"
2019-10-16,1.58,1.64,1.58,1.64,48900,"AVCO","NASDAQ"
2019-10-17,1.63,1.63,1.58,1.6,57500,"AVCO","NASDAQ"
2019-10-18,1.61,1.61,1.58,1.59,17692,"AVCO","NASDAQ"
