"times","open","high","low","close","volume","symbol","market"
2019-05-30,1.71,1.75,1.62,1.75,167800,"AVDL","NASDAQ"
2019-05-31,1.74,1.75,1.62,1.7,139900,"AVDL","NASDAQ"
2019-06-03,1.66,1.7,1.529,1.55,181200,"AVDL","NASDAQ"
2019-06-04,1.57,1.63,1.538,1.57,143000,"AVDL","NASDAQ"
2019-06-05,1.6,1.63,1.54,1.6,158500,"AVDL","NASDAQ"
2019-06-06,1.5899,1.95,1.55,1.92,394200,"AVDL","NASDAQ"
2019-06-07,1.9501,2.32,1.95,2.3,1050700,"AVDL","NASDAQ"
2019-06-10,2.3001,2.74,2.2,2.69,743300,"AVDL","NASDAQ"
2019-06-11,2.75,3.05,2.44,2.78,1142800,"AVDL","NASDAQ"
2019-06-12,2.59,3.091,2.49,3.04,701300,"AVDL","NASDAQ"
2019-06-13,3.03,3.068,2.65,2.65,412300,"AVDL","NASDAQ"
2019-06-14,2.86,3.583,2.739,3.19,1415500,"AVDL","NASDAQ"
2019-06-17,3.06,3.2,2.711,2.73,741900,"AVDL","NASDAQ"
2019-06-18,2.76,2.98,2.69,2.89,453200,"AVDL","NASDAQ"
2019-06-19,2.8399,3.03,2.6,2.99,535200,"AVDL","NASDAQ"
2019-06-20,3.05,3.05,2.77,2.79,334300,"AVDL","NASDAQ"
2019-06-21,2.81,2.83,2.66,2.77,403700,"AVDL","NASDAQ"
2019-06-24,2.79,2.84,2.72,2.76,183600,"AVDL","NASDAQ"
2019-06-25,2.75,2.8,2.621,2.74,207500,"AVDL","NASDAQ"
2019-06-26,2.76,2.8,2.57,2.77,175800,"AVDL","NASDAQ"
2019-06-27,2.8,3.04,2.73,2.81,240200,"AVDL","NASDAQ"
2019-06-28,2.82,2.92,2.683,2.89,188600,"AVDL","NASDAQ"
2019-07-01,2.9,2.9,2.61,2.64,282400,"AVDL","NASDAQ"
2019-07-02,2.64,2.69,2.294,2.38,500600,"AVDL","NASDAQ"
2019-07-03,2.4,2.459,2.07,2.12,545800,"AVDL","NASDAQ"
2019-07-05,2.09,2.28,2.02,2.22,183800,"AVDL","NASDAQ"
2019-07-08,2.2,2.39,2.17,2.25,147200,"AVDL","NASDAQ"
2019-07-09,2.25,2.49,2.22,2.39,171300,"AVDL","NASDAQ"
2019-07-10,2.43,2.57,2.31,2.39,281800,"AVDL","NASDAQ"
2019-07-11,2.37,2.42,2.0902,2.25,224700,"AVDL","NASDAQ"
2019-07-12,2.25,2.38,2.17,2.23,202000,"AVDL","NASDAQ"
2019-07-15,2.24,2.45,2.18,2.19,158400,"AVDL","NASDAQ"
2019-07-16,2.19,2.3801,2.16,2.33,207100,"AVDL","NASDAQ"
2019-07-17,2.33,2.33,2.2501,2.26,116100,"AVDL","NASDAQ"
2019-07-18,2.27,2.33,2.23,2.26,97300,"AVDL","NASDAQ"
2019-07-19,2.23,2.36,2.23,2.31,59500,"AVDL","NASDAQ"
2019-07-22,2.31,2.38,2.11,2.24,128300,"AVDL","NASDAQ"
2019-07-23,2.23,2.33,2.1,2.22,84500,"AVDL","NASDAQ"
2019-07-24,2.21,2.3,2.18,2.28,106800,"AVDL","NASDAQ"
2019-07-25,2.26,2.36,2.05,2.32,188300,"AVDL","NASDAQ"
2019-07-26,2.25,2.6,2.25,2.41,240200,"AVDL","NASDAQ"
2019-07-29,2.43,2.56,2.36,2.47,163000,"AVDL","NASDAQ"
2019-07-30,2.48,2.5,2.34,2.43,178300,"AVDL","NASDAQ"
2019-07-31,2.42,2.47,2.29,2.31,178200,"AVDL","NASDAQ"
2019-08-01,2.41,2.46,2.17,2.24,284900,"AVDL","NASDAQ"
2019-08-02,2.2402,2.29,2.07,2.19,218000,"AVDL","NASDAQ"
2019-08-05,2.18,2.18,2.08,2.11,164900,"AVDL","NASDAQ"
2019-08-06,2.13,2.22,1.96,2.03,243800,"AVDL","NASDAQ"
2019-08-07,2.03,2.22,1.99,2.18,89000,"AVDL","NASDAQ"
2019-08-08,2.09,2.2398,2.01,2.2,160400,"AVDL","NASDAQ"
2019-08-09,2.2,2.2,1.95,1.95,226900,"AVDL","NASDAQ"
2019-08-12,2.08,2.08,1.95,1.95,199300,"AVDL","NASDAQ"
2019-08-13,1.96,2.08,1.82,2.05,168200,"AVDL","NASDAQ"
2019-08-14,2.01,2.08,1.88,1.92,120200,"AVDL","NASDAQ"
2019-08-15,1.94,2.03,1.83,1.98,59000,"AVDL","NASDAQ"
2019-08-16,1.88,2.18,1.88,2.07,139400,"AVDL","NASDAQ"
2019-08-19,2.02,2.29,1.96,2.03,223600,"AVDL","NASDAQ"
2019-08-20,2.04,2.15,1.96,2.08,187900,"AVDL","NASDAQ"
2019-08-21,2.03,2.26,2.03,2.09,241200,"AVDL","NASDAQ"
2019-08-22,2.09,2.22,2.09,2.15,117700,"AVDL","NASDAQ"
2019-08-23,2.15,2.39,2.12,2.33,347000,"AVDL","NASDAQ"
2019-08-26,2.33,2.4,2.29,2.32,148200,"AVDL","NASDAQ"
2019-08-27,2.34,2.71,2,2.54,405600,"AVDL","NASDAQ"
2019-08-28,2.6,2.85,2.6,2.67,299300,"AVDL","NASDAQ"
2019-08-29,2.67,2.8,2.59,2.7,162000,"AVDL","NASDAQ"
2019-08-30,2.7,2.86,2.39,2.5,263500,"AVDL","NASDAQ"
2019-09-03,2.5,2.61,2.36,2.39,146000,"AVDL","NASDAQ"
2019-09-04,2.43,2.46,2.17,2.25,513800,"AVDL","NASDAQ"
2019-09-05,2.34,2.38,2.24,2.32,176900,"AVDL","NASDAQ"
2019-09-06,2.31,2.38,2.2,2.34,84900,"AVDL","NASDAQ"
2019-09-09,2.35,2.4,2.16,2.2,230600,"AVDL","NASDAQ"
2019-09-10,2.2,2.3,2.2,2.22,179400,"AVDL","NASDAQ"
2019-09-11,2.24,2.31,2.18,2.2,148300,"AVDL","NASDAQ"
2019-09-12,2.2,2.26,2.12,2.14,191300,"AVDL","NASDAQ"
2019-09-13,2.16,2.18,2.1,2.16,121500,"AVDL","NASDAQ"
2019-09-16,2.15,2.53,2.15,2.46,199200,"AVDL","NASDAQ"
2019-09-17,2.51,2.97,2.51,2.84,440600,"AVDL","NASDAQ"
2019-09-18,3,3.31,2.85,3.31,625400,"AVDL","NASDAQ"
2019-09-19,3.27,3.47,3.25,3.31,443200,"AVDL","NASDAQ"
2019-09-20,3.31,3.45,3.29,3.37,267900,"AVDL","NASDAQ"
2019-09-23,4.35,5.37,4.13,4.47,11452500,"AVDL","NASDAQ"
2019-09-24,4.46,4.47,4.18,4.34,982600,"AVDL","NASDAQ"
2019-09-25,4.31,4.42,4.25,4.34,331900,"AVDL","NASDAQ"
2019-09-26,4.3,4.44,3.93,3.97,727700,"AVDL","NASDAQ"
2019-09-27,3.92,4.39,3.91,4.25,358600,"AVDL","NASDAQ"
2019-09-30,4.15,4.29,4.01,4.16,224600,"AVDL","NASDAQ"
2019-10-01,4.15,4.34,4.05,4.05,380900,"AVDL","NASDAQ"
2019-10-02,4.35,4.35,4.01,4.15,293600,"AVDL","NASDAQ"
2019-10-03,4.11,4.11,3.75,3.82,327100,"AVDL","NASDAQ"
2019-10-04,3.85,4.06,3.83,3.89,611600,"AVDL","NASDAQ"
2019-10-07,3.87,3.94,3.53,3.64,293200,"AVDL","NASDAQ"
2019-10-08,3.66,3.69,3.35,3.54,227600,"AVDL","NASDAQ"
2019-10-09,3.54,3.55,3.3,3.39,294600,"AVDL","NASDAQ"
2019-10-10,3.37,3.49,3.25,3.35,343100,"AVDL","NASDAQ"
2019-10-11,3.38,3.49,3.36,3.43,164900,"AVDL","NASDAQ"
2019-10-14,3.42,3.43,3.27,3.34,154900,"AVDL","NASDAQ"
