"times","open","high","low","close","volume","symbol","market"
2019-05-30,18.31,18.67,17.6794,18,94600,"AVDR","NASDAQ"
2019-05-31,17.5,18.94,15.36,18.26,241400,"AVDR","NASDAQ"
2019-06-03,18.29,19.91,17.73,17.76,56900,"AVDR","NASDAQ"
2019-06-04,17.99,18.05,17.12,17.82,88500,"AVDR","NASDAQ"
2019-06-05,17.42,18.965,16.51,18.27,130200,"AVDR","NASDAQ"
2019-06-06,18.55,19.26,18.11,18.68,40200,"AVDR","NASDAQ"
2019-06-07,18.91,19.8509,18.1,19.21,88400,"AVDR","NASDAQ"
2019-06-10,19.4,19.4,18.26,18.33,89200,"AVDR","NASDAQ"
2019-06-11,19.052,19.43,17.82,18.11,63400,"AVDR","NASDAQ"
2019-06-12,18.24,19.58,17,19.2,93500,"AVDR","NASDAQ"
2019-06-13,19.31,21.343,18.98,20.52,146200,"AVDR","NASDAQ"
2019-06-14,20.6008,21,19.48,20.29,255300,"AVDR","NASDAQ"
2019-06-17,20.26,20.735,19.601,20.18,79200,"AVDR","NASDAQ"
2019-06-18,20.36,20.62,19.67,20.43,89800,"AVDR","NASDAQ"
2019-06-19,20.16,21.97,19.919,21.01,150300,"AVDR","NASDAQ"
2019-06-20,21.05,22.52,21.05,21.68,163400,"AVDR","NASDAQ"
2019-06-21,21.45,21.45,20.135,20.75,245800,"AVDR","NASDAQ"
2019-06-24,20.37,21.3,19.371,19.81,128100,"AVDR","NASDAQ"
2019-06-25,19.7,20.43,18.87,19.59,133200,"AVDR","NASDAQ"
2019-06-26,19.59,20.105,18.98,19.27,93000,"AVDR","NASDAQ"
2019-06-27,19.07,20.08,18.88,19.54,90600,"AVDR","NASDAQ"
2019-06-28,19.52,20.31,18.84,19.64,705400,"AVDR","NASDAQ"
2019-07-01,19.81,21.19,19.81,20.26,159100,"AVDR","NASDAQ"
2019-07-02,20.03,20.45,19.22,19.63,62700,"AVDR","NASDAQ"
2019-07-03,19.7998,20.57,19,19.79,46000,"AVDR","NASDAQ"
2019-07-05,19.78,20.99,19.7205,20.08,61900,"AVDR","NASDAQ"
2019-07-08,20.07,20.28,19.35,19.46,57500,"AVDR","NASDAQ"
2019-07-09,19.43,20.13,19.37,19.65,68900,"AVDR","NASDAQ"
2019-07-10,19.82,20.13,19.42,19.91,55600,"AVDR","NASDAQ"
2019-07-11,19.9,20.16,19.65,19.98,51400,"AVDR","NASDAQ"
2019-07-12,20.2,20.21,19.5,19.69,56400,"AVDR","NASDAQ"
