"times","open","high","low","close","volume","symbol","market"
2019-05-30,0.47,0.495,0.467,0.49,129800,"AVGR","NASDAQ"
2019-05-31,0.5,0.545,0.49,0.515,200700,"AVGR","NASDAQ"
2019-06-03,0.522,0.57,0.503,0.529,221100,"AVGR","NASDAQ"
2019-06-04,0.566,0.568,0.503,0.525,133200,"AVGR","NASDAQ"
2019-06-05,0.55,0.55,0.5,0.503,92600,"AVGR","NASDAQ"
2019-06-06,0.51,0.51,0.49,0.494,57500,"AVGR","NASDAQ"
2019-06-07,0.49,0.5,0.47,0.49,68600,"AVGR","NASDAQ"
2019-06-10,0.5,0.52,0.481,0.498,86400,"AVGR","NASDAQ"
2019-06-11,0.51,0.52,0.48,0.483,66400,"AVGR","NASDAQ"
2019-06-12,0.48,0.489,0.41,0.449,222900,"AVGR","NASDAQ"
2019-06-13,0.457,0.46,0.448,0.458,64700,"AVGR","NASDAQ"
2019-06-14,0.46,0.462,0.44,0.448,68500,"AVGR","NASDAQ"
2019-06-17,0.45,0.47,0.44,0.47,63600,"AVGR","NASDAQ"
2019-06-18,0.48,0.49,0.44,0.458,72400,"AVGR","NASDAQ"
2019-06-19,0.458,0.49,0.45,0.461,69400,"AVGR","NASDAQ"
2019-06-20,0.45,0.475,0.45,0.456,63000,"AVGR","NASDAQ"
2019-06-21,0.46,0.46,0.411,0.418,203800,"AVGR","NASDAQ"
2019-06-24,3.48,4.19,2.9,3.68,1652300,"AVGR","NASDAQ"
2019-06-25,3.41,3.64,3.26,3.49,311900,"AVGR","NASDAQ"
2019-06-26,3.43,3.5,3.26,3.32,242000,"AVGR","NASDAQ"
2019-06-27,3.3,3.3,3.03,3.03,473400,"AVGR","NASDAQ"
2019-06-28,3.05,3.097,2.65,3.03,517100,"AVGR","NASDAQ"
2019-07-01,3.1,3.245,2.9,3.19,281300,"AVGR","NASDAQ"
2019-07-02,3.2,3.49,3.06,3.07,750900,"AVGR","NASDAQ"
2019-07-03,3.01,3.07,2.8,2.82,324900,"AVGR","NASDAQ"
2019-07-05,2.86,3.03,2.84,2.95,283700,"AVGR","NASDAQ"
2019-07-08,3,3.05,2.715,2.84,908600,"AVGR","NASDAQ"
2019-07-09,2.7999,2.99,2.56,2.93,1178100,"AVGR","NASDAQ"
2019-07-10,2.9,3.15,2.85,2.86,739300,"AVGR","NASDAQ"
2019-07-11,2.83,2.89,2.75,2.85,187100,"AVGR","NASDAQ"
2019-07-12,2.83,3.1,2.79,2.82,183900,"AVGR","NASDAQ"
2019-07-15,2.82,2.844,2.71,2.72,135600,"AVGR","NASDAQ"
2019-07-16,2.81,2.99,2.7,2.76,707700,"AVGR","NASDAQ"
2019-07-17,2.74,2.79,2.65,2.68,123400,"AVGR","NASDAQ"
2019-07-18,2.7,2.715,2.22,2.43,412700,"AVGR","NASDAQ"
2019-07-19,2.41,2.42,2.32,2.37,111200,"AVGR","NASDAQ"
2019-07-22,2.41,2.42,2.02,2.19,264600,"AVGR","NASDAQ"
2019-07-23,2.18,2.29,1.9,1.955,500800,"AVGR","NASDAQ"
2019-07-24,1.91,2.08,1.85,2.04,269700,"AVGR","NASDAQ"
2019-07-25,2.03,2.169,2.03,2.1,91000,"AVGR","NASDAQ"
2019-07-26,2.12,2.47,2.12,2.36,504600,"AVGR","NASDAQ"
2019-07-29,2.33,2.39,2.05,2.13,609600,"AVGR","NASDAQ"
2019-07-30,2.141,2.25,2.01,2.22,129100,"AVGR","NASDAQ"
2019-07-31,2.24,2.34,2.15,2.2,236100,"AVGR","NASDAQ"
2019-08-01,2.13,2.2,1.88,1.92,462400,"AVGR","NASDAQ"
2019-08-02,1.93,1.962,1.8,1.87,154100,"AVGR","NASDAQ"
2019-08-05,1.81,1.87,1.69,1.7,152200,"AVGR","NASDAQ"
2019-08-06,1.71,1.7301,1.41,1.44,554000,"AVGR","NASDAQ"
2019-08-07,1.55,1.98,1.55,1.8,1127700,"AVGR","NASDAQ"
2019-08-08,1.77,1.86,1.64,1.76,249200,"AVGR","NASDAQ"
2019-08-09,1.75,1.85,1.71,1.79,127900,"AVGR","NASDAQ"
2019-08-12,1.78,1.84,1.65,1.72,183300,"AVGR","NASDAQ"
2019-08-13,1.73,1.791,1.65,1.68,104900,"AVGR","NASDAQ"
2019-08-14,1.66,1.7,1.52,1.58,126000,"AVGR","NASDAQ"
2019-08-15,1.6,1.61,1.48,1.52,111300,"AVGR","NASDAQ"
2019-08-16,1.52,1.65,1.52,1.64,69800,"AVGR","NASDAQ"
2019-08-19,1.64,1.78,1.63,1.72,105000,"AVGR","NASDAQ"
2019-08-20,1.72,1.76,1.56,1.67,75600,"AVGR","NASDAQ"
2019-08-21,1.68,1.7,1.65,1.67,146400,"AVGR","NASDAQ"
