"times","open","high","low","close","volume","symbol","market"
2019-05-30,8.04,8.12,7.835,7.87,361400,"AVID","NASDAQ"
2019-05-31,7.75,7.91,7.62,7.75,387100,"AVID","NASDAQ"
2019-06-03,7.73,7.82,7.47,7.56,372400,"AVID","NASDAQ"
2019-06-04,7.67,7.9995,7.59,7.75,438300,"AVID","NASDAQ"
2019-06-05,7.79,7.9,7.5606,7.71,292000,"AVID","NASDAQ"
2019-06-06,7.67,7.819,7.52,7.75,267900,"AVID","NASDAQ"
2019-06-07,7.86,8.08,7.83,7.86,666100,"AVID","NASDAQ"
2019-06-10,7.9002,8.22,7.9,7.94,308500,"AVID","NASDAQ"
2019-06-11,8,8.11,7.86,7.97,382100,"AVID","NASDAQ"
2019-06-12,7.95,8.11,7.95,8.06,196700,"AVID","NASDAQ"
2019-06-13,8.09,8.14,7.9697,8.07,308400,"AVID","NASDAQ"
2019-06-14,8.04,8.14,7.85,7.87,223800,"AVID","NASDAQ"
2019-06-17,7.83,7.891,7.63,7.69,344800,"AVID","NASDAQ"
2019-06-18,7.75,8.3,7.75,8.22,973100,"AVID","NASDAQ"
2019-06-19,8.25,8.37,8.021,8.3,399800,"AVID","NASDAQ"
2019-06-20,8.3502,8.65,8.25,8.53,778600,"AVID","NASDAQ"
2019-06-21,8.48,8.74,8.4102,8.64,322700,"AVID","NASDAQ"
2019-06-24,8.62,8.727,8.365,8.49,414500,"AVID","NASDAQ"
2019-06-25,8.49,8.61,8.27,8.55,363400,"AVID","NASDAQ"
2019-06-26,8.65,9.07,8.62,8.67,519200,"AVID","NASDAQ"
2019-06-27,8.7104,8.86,8.67,8.75,410700,"AVID","NASDAQ"
2019-06-28,8.69,9.1199,8.6,9.12,1025200,"AVID","NASDAQ"
2019-07-01,9.1794,9.35,9.03,9.25,507300,"AVID","NASDAQ"
2019-07-02,9.25,9.4503,9.05,9.31,598000,"AVID","NASDAQ"
2019-07-03,9.32,9.745,9.26,9.74,348500,"AVID","NASDAQ"
2019-07-05,9.67,10,9.66,9.94,477900,"AVID","NASDAQ"
2019-07-08,9.9,10.1397,9.7,9.78,774300,"AVID","NASDAQ"
2019-07-09,9.73,10,9.71,9.94,573900,"AVID","NASDAQ"
2019-07-10,10,10.09,9.91,10,459700,"AVID","NASDAQ"
2019-07-11,10.03,10.31,9.98,10.08,397000,"AVID","NASDAQ"
2019-07-12,10.15,10.3804,10.04,10.32,364800,"AVID","NASDAQ"
2019-07-15,10.32,10.53,10.18,10.21,359400,"AVID","NASDAQ"
2019-07-16,10.14,10.28,10.02,10.18,350700,"AVID","NASDAQ"
2019-07-17,10.18,10.28,9.96,10.08,237700,"AVID","NASDAQ"
2019-07-18,10.05,10.09,9.78,9.96,419100,"AVID","NASDAQ"
2019-07-19,9.94,10.02,9.8703,9.95,260800,"AVID","NASDAQ"
2019-07-22,9.95,9.95,9.7,9.83,257200,"AVID","NASDAQ"
2019-07-23,9.85,9.85,9.71,9.77,187100,"AVID","NASDAQ"
2019-07-24,9.69,10.02,9.58,9.99,275900,"AVID","NASDAQ"
2019-07-25,10.03,10.09,9.85,10,250500,"AVID","NASDAQ"
2019-07-26,10.04,10.23,9.91,10.02,287100,"AVID","NASDAQ"
2019-07-29,10.03,10.11,9.8,9.94,274100,"AVID","NASDAQ"
2019-07-30,9.83,10.09,9.69,9.96,506300,"AVID","NASDAQ"
2019-07-31,10,10.36,9.94,10.25,452200,"AVID","NASDAQ"
2019-08-01,10.27,10.79,10.04,10.21,624100,"AVID","NASDAQ"
2019-08-02,10.2,10.21,9.73,10.09,333300,"AVID","NASDAQ"
2019-08-05,9.98,10.04,9.49,9.68,535000,"AVID","NASDAQ"
2019-08-06,8.22,8.5,6.04,6.13,3450100,"AVID","NASDAQ"
2019-08-07,6,6.4998,5.54,6.27,1449000,"AVID","NASDAQ"
2019-08-08,6.3,6.98,6.28,6.77,793700,"AVID","NASDAQ"
2019-08-09,6.76,6.87,6.5,6.53,458700,"AVID","NASDAQ"
2019-08-12,6.51,6.64,6.11,6.17,327700,"AVID","NASDAQ"
2019-08-13,6.17,6.56,6.15,6.4,473400,"AVID","NASDAQ"
2019-08-14,6.24,6.32,6.06,6.27,322800,"AVID","NASDAQ"
2019-08-15,6.29,6.35,6.14,6.25,303600,"AVID","NASDAQ"
2019-08-16,6.32,6.4,6.07,6.13,395400,"AVID","NASDAQ"
2019-08-19,6.25,6.28,5.94,6.04,489500,"AVID","NASDAQ"
2019-08-20,6.02,6.12,5.92,6.08,227100,"AVID","NASDAQ"
2019-08-21,6.14,6.38,6.13,6.31,278400,"AVID","NASDAQ"
2019-08-22,6.35,6.44,6.15,6.32,284800,"AVID","NASDAQ"
2019-08-23,6.21,6.22,5.96,5.98,442100,"AVID","NASDAQ"
2019-08-26,6.06,6.22,6.02,6.07,472900,"AVID","NASDAQ"
2019-08-27,6.13,6.57,6.09,6.48,637000,"AVID","NASDAQ"
2019-08-28,6.51,6.98,6.5,6.97,764900,"AVID","NASDAQ"
2019-08-29,7,7.59,6.96,7.19,733900,"AVID","NASDAQ"
2019-08-30,7.27,7.74,7.17,7.46,601700,"AVID","NASDAQ"
2019-09-03,7.41,7.46,6.99,7.19,542000,"AVID","NASDAQ"
2019-09-04,7.28,7.48,7.25,7.38,346400,"AVID","NASDAQ"
2019-09-05,7.45,7.64,7.36,7.63,587500,"AVID","NASDAQ"
2019-09-06,7.66,7.69,7.02,7.04,557600,"AVID","NASDAQ"
2019-09-09,7.1,7.16,6.56,6.81,416900,"AVID","NASDAQ"
2019-09-10,6.81,6.88,6.62,6.78,318600,"AVID","NASDAQ"
2019-09-11,6.84,6.86,6.54,6.65,284100,"AVID","NASDAQ"
2019-09-12,6.66,6.75,6.44,6.47,345300,"AVID","NASDAQ"
2019-09-13,6.5,6.53,6.37,6.39,265800,"AVID","NASDAQ"
2019-09-16,6.35,6.63,6.25,6.58,326100,"AVID","NASDAQ"
2019-09-17,6.57,6.64,6.34,6.38,268000,"AVID","NASDAQ"
2019-09-18,6.38,6.46,6.19,6.3,358900,"AVID","NASDAQ"
2019-09-19,6.3,6.5,6.25,6.27,406100,"AVID","NASDAQ"
2019-09-20,6.27,6.35,6.18,6.21,288200,"AVID","NASDAQ"
2019-09-23,6.22,6.32,6.1,6.24,320700,"AVID","NASDAQ"
2019-09-24,6.24,6.36,6.04,6.06,266800,"AVID","NASDAQ"
2019-09-25,6.02,6.1,6,6.01,249100,"AVID","NASDAQ"
2019-09-26,6.02,6.15,5.96,5.96,220500,"AVID","NASDAQ"
2019-09-27,5.99,6,5.88,5.94,261900,"AVID","NASDAQ"
2019-09-30,5.98,6.28,5.98,6.19,420300,"AVID","NASDAQ"
2019-10-01,6.27,6.4,6.21,6.34,291800,"AVID","NASDAQ"
2019-10-02,6.4,6.4,6.1,6.2,335400,"AVID","NASDAQ"
2019-10-03,6.17,6.2,5.95,6.07,247000,"AVID","NASDAQ"
2019-10-04,6.07,6.25,6.07,6.2,257700,"AVID","NASDAQ"
2019-10-07,6.13,6.26,6.03,6.22,212400,"AVID","NASDAQ"
2019-10-08,6.12,6.28,6.04,6.23,594000,"AVID","NASDAQ"
2019-10-09,6.26,6.36,6.2,6.3,337800,"AVID","NASDAQ"
2019-10-10,6.32,6.34,5.92,6.13,501400,"AVID","NASDAQ"
2019-10-11,6.22,6.34,6.16,6.31,253800,"AVID","NASDAQ"
2019-10-14,6.31,6.46,6.28,6.44,239400,"AVID","NASDAQ"
2019-10-15,6.48,6.5,6.27,6.38,217400,"AVID","NASDAQ"
2019-10-16,6.38,6.42,6.3,6.4,139000,"AVID","NASDAQ"
2019-10-17,6.44,6.73,6.43,6.69,273200,"AVID","NASDAQ"
2019-10-18,6.68,6.73,6.45,6.54,153629,"AVID","NASDAQ"
