"times","open","high","low","close","volume","symbol","market"
2019-05-30,12.92,13.5,12.57,13.4,7800,"AVNW","NASDAQ"
2019-05-31,13.051,13.41,13.051,13.39,6300,"AVNW","NASDAQ"
2019-06-03,13.23,13.494,12.842,12.98,7100,"AVNW","NASDAQ"
2019-06-04,12.93,13.135,12.93,13.135,700,"AVNW","NASDAQ"
2019-06-05,13.1,13.116,12.71,12.72,7300,"AVNW","NASDAQ"
2019-06-06,12.83,12.9892,12.41,12.75,1100,"AVNW","NASDAQ"
2019-06-07,12.71,12.8,12.63,12.65,6200,"AVNW","NASDAQ"
2019-06-10,12.993,12.993,12.993,12.993,1100,"AVNW","NASDAQ"
2019-06-11,13.27,13.291,13.05,13.21,25800,"AVNW","NASDAQ"
2019-06-12,13.21,13.21,12.99,13.15,4700,"AVNW","NASDAQ"
2019-06-13,12.9,13.06,12.9,13.014,1900,"AVNW","NASDAQ"
2019-06-14,13.3899,13.39,12.76,12.92,10600,"AVNW","NASDAQ"
2019-06-17,12.85,13.041,12.8505,13.03,3400,"AVNW","NASDAQ"
2019-06-18,12.94,13.24,12.82,13.03,1100,"AVNW","NASDAQ"
2019-06-19,12.98,13.27,12.8,13.27,5000,"AVNW","NASDAQ"
2019-06-20,13.28,13.28,12.88,13,6600,"AVNW","NASDAQ"
2019-06-21,12.85,13.27,12.851,13.27,5100,"AVNW","NASDAQ"
2019-06-24,12.93,12.93,12.93,12.93,400,"AVNW","NASDAQ"
2019-06-25,13.16,13.165,13.07,13.07,2200,"AVNW","NASDAQ"
2019-06-26,13.03,13.275,12.951,13.22,2700,"AVNW","NASDAQ"
2019-06-27,13.1111,13.31,12.965,13.01,27700,"AVNW","NASDAQ"
2019-06-28,13.5,13.7,13.22,13.7,6100,"AVNW","NASDAQ"
2019-07-01,13.25,13.5,13.246,13.246,5200,"AVNW","NASDAQ"
2019-07-02,13.25,13.25,13.25,13.25,400,"AVNW","NASDAQ"
2019-07-03,13.255,13.705,13.2552,13.7,1900,"AVNW","NASDAQ"
2019-07-05,13.48,13.48,13,13.332,4200,"AVNW","NASDAQ"
2019-07-08,13.9,13.9,13.36,13.36,2300,"AVNW","NASDAQ"
2019-07-09,13.42,13.69,13.1901,13.59,3000,"AVNW","NASDAQ"
2019-07-10,13.27,13.46,13.27,13.4,2100,"AVNW","NASDAQ"
2019-07-11,13.28,13.35,13.25,13.35,6300,"AVNW","NASDAQ"
2019-07-12,13.23,13.42,13.2,13.28,25200,"AVNW","NASDAQ"
2019-07-15,13.19,13.3,13.05,13.1,11100,"AVNW","NASDAQ"
2019-07-16,13.22,13.3,13.05,13.05,5300,"AVNW","NASDAQ"
2019-07-17,13.3,13.3,13.07,13.07,6700,"AVNW","NASDAQ"
2019-07-18,13.1003,13.1,13.05,13.05,600,"AVNW","NASDAQ"
2019-07-19,13.06,13.15,12.85,12.86,11400,"AVNW","NASDAQ"
2019-07-22,12.96,12.96,12.84,12.84,3800,"AVNW","NASDAQ"
2019-07-23,12.81,12.96,12.8,12.8,2300,"AVNW","NASDAQ"
2019-07-24,12.679,12.93,12.66,12.93,3800,"AVNW","NASDAQ"
2019-07-25,12.87,12.96,12.62,12.65,2800,"AVNW","NASDAQ"
2019-07-26,12.96,13.24,12.81,12.81,17800,"AVNW","NASDAQ"
2019-07-29,12.88,13.23,12.74,12.78,2800,"AVNW","NASDAQ"
2019-07-30,12.69,13,12.68,12.68,1900,"AVNW","NASDAQ"
2019-07-31,12.83,13,12.81,12.82,7200,"AVNW","NASDAQ"
2019-08-01,12.78,13.4,12.78,12.95,6500,"AVNW","NASDAQ"
2019-08-02,12.86,13.25,12.86,13.07,7400,"AVNW","NASDAQ"
2019-08-05,12.83,12.99,12.64,12.9,4100,"AVNW","NASDAQ"
2019-08-06,12.7,12.89,12.61,12.71,11700,"AVNW","NASDAQ"
2019-08-07,12.6,13.3,12.6,12.7,8000,"AVNW","NASDAQ"
2019-08-08,13.343,13.342,12.98,12.98,1700,"AVNW","NASDAQ"
2019-08-09,13.2,13.2,12.7,12.71,8100,"AVNW","NASDAQ"
2019-08-12,12.915,13.077,12.78,12.83,5100,"AVNW","NASDAQ"
2019-08-13,12.85,13.4,12.85,13.29,8800,"AVNW","NASDAQ"
2019-08-14,13.17,13.17,13.02,13.04,900,"AVNW","NASDAQ"
2019-08-15,13.1,13.28,12.86,13.05,10600,"AVNW","NASDAQ"
