"times","open","high","low","close","volume","symbol","market"
2019-05-30,42.02,42.52,41.79,41.93,387300,"AVT","NASDAQ"
2019-05-31,41.49,41.635,40.55,40.84,583500,"AVT","NASDAQ"
2019-06-03,40.83,41.76,40.43,41.18,639200,"AVT","NASDAQ"
2019-06-04,41.46,42.6516,41.46,42.62,584800,"AVT","NASDAQ"
2019-06-05,42.84,42.88,41.9,42.52,385300,"AVT","NASDAQ"
2019-06-06,42.58,42.98,42.11,42.86,616100,"AVT","NASDAQ"
2019-06-07,43.18,43.73,42.925,43.61,412900,"AVT","NASDAQ"
2019-06-10,44,45,43.92,44.31,534700,"AVT","NASDAQ"
2019-06-11,44.76,45.1,44.37,44.57,701400,"AVT","NASDAQ"
2019-06-12,44.4,44.75,43.9,44.34,422300,"AVT","NASDAQ"
2019-06-13,44.4993,44.85,43.99,44.42,428800,"AVT","NASDAQ"
2019-06-14,44.28,44.28,43.26,43.34,515600,"AVT","NASDAQ"
2019-06-17,43.1903,43.48,42.66,42.78,724300,"AVT","NASDAQ"
2019-06-18,43.13,43.71,42.79,43.43,919000,"AVT","NASDAQ"
2019-06-19,43.65,44.06,43.37,43.75,481700,"AVT","NASDAQ"
2019-06-20,44.18,44.63,43.63,43.78,565400,"AVT","NASDAQ"
2019-06-21,43.48,43.48,42.78,43,1349200,"AVT","NASDAQ"
2019-06-24,43.1,43.65,42.885,42.9,478800,"AVT","NASDAQ"
2019-06-25,42.88,43.6,42.87,43.12,565400,"AVT","NASDAQ"
2019-06-26,43.18,44.42,42.97,43.68,763400,"AVT","NASDAQ"
2019-06-27,44.41,44.83,43.68,44.79,484000,"AVT","NASDAQ"
2019-06-28,45.13,45.46,44.72,45.27,766900,"AVT","NASDAQ"
2019-07-01,46.06,46.18,45.205,45.59,513500,"AVT","NASDAQ"
2019-07-02,45.31,45.31,44.23,44.47,654600,"AVT","NASDAQ"
2019-07-03,44.61,45.6496,44.292,45.11,1609800,"AVT","NASDAQ"
2019-07-05,44.73,44.99,44.2,44.76,431400,"AVT","NASDAQ"
2019-07-08,44.6,44.87,43.66,43.91,453300,"AVT","NASDAQ"
2019-07-09,43.73,43.9511,43.43,43.89,463200,"AVT","NASDAQ"
2019-07-10,44.0508,44.46,42.09,43.58,673800,"AVT","NASDAQ"
2019-07-11,43.36,43.48,42.41,42.68,867200,"AVT","NASDAQ"
2019-07-12,42.72,43.73,42.72,43.49,659000,"AVT","NASDAQ"
2019-07-15,43.69,43.88,43.14,43.57,472500,"AVT","NASDAQ"
2019-07-16,41.99,43.56,41.57,43.29,1209000,"AVT","NASDAQ"
2019-07-17,43.19,43.8,42.97,43.08,480800,"AVT","NASDAQ"
2019-07-18,42.98,43.37,42.75,43.19,338200,"AVT","NASDAQ"
2019-07-19,43.35,43.93,43.34,43.51,600900,"AVT","NASDAQ"
2019-07-22,43.69,44.3087,43.67,44.06,563800,"AVT","NASDAQ"
2019-07-23,44.31,44.81,44.17,44.62,487200,"AVT","NASDAQ"
2019-07-24,44.51,45.84,44.51,45.84,373100,"AVT","NASDAQ"
2019-07-25,45.71,45.71,44.6,44.83,539000,"AVT","NASDAQ"
2019-07-26,45.09,45.51,45.04,45.5,357500,"AVT","NASDAQ"
2019-07-29,45.47,45.83,45.09,45.79,468700,"AVT","NASDAQ"
2019-07-30,45.51,45.72,45.15,45.72,411900,"AVT","NASDAQ"
2019-07-31,45.84,46.28,45.41,45.42,779000,"AVT","NASDAQ"
2019-08-01,45.44,46.41,44.4,44.79,1090900,"AVT","NASDAQ"
2019-08-02,44.44,44.44,43.31,43.42,428900,"AVT","NASDAQ"
2019-08-05,42.53,42.53,40.67,41.19,813900,"AVT","NASDAQ"
2019-08-06,41.35,42.04,41.16,41.8,576100,"AVT","NASDAQ"
2019-08-07,41.26,41.91,40.87,41.79,551300,"AVT","NASDAQ"
2019-08-08,41.97,43.09,41.78,42.91,975000,"AVT","NASDAQ"
2019-08-09,40.06,42.51,39.692,41.32,1435600,"AVT","NASDAQ"
2019-08-12,41.01,41.47,40.71,40.72,753800,"AVT","NASDAQ"
2019-08-13,40.67,42.13,40.5,41.34,1196400,"AVT","NASDAQ"
2019-08-14,40.55,40.91,39.64,39.72,1024900,"AVT","NASDAQ"
2019-08-15,39.7602,40.02,39.28,39.32,915100,"AVT","NASDAQ"
2019-08-16,39.72,41.22,39.72,40.99,990900,"AVT","NASDAQ"
2019-08-19,42.01,42.3,41.57,41.6,1093300,"AVT","NASDAQ"
2019-08-20,41.53,41.78,41.12,41.15,701100,"AVT","NASDAQ"
