"times","open","high","low","close","volume","symbol","market"
2019-05-30,3.2,3.2,3.2,3.2,300,"AWRE","NASDAQ"
2019-05-31,3.211,3.33,3.211,3.3,11400,"AWRE","NASDAQ"
2019-06-03,3.324,3.35,3.266,3.295,6100,"AWRE","NASDAQ"
2019-06-04,3.23,3.32,3.2,3.24,16300,"AWRE","NASDAQ"
2019-06-05,3.254,3.335,3.21,3.21,16900,"AWRE","NASDAQ"
2019-06-06,3.3,3.33,3.21,3.22,8800,"AWRE","NASDAQ"
2019-06-07,3.29,3.3,3.23,3.27,13400,"AWRE","NASDAQ"
2019-06-10,3.23,3.29,3.21,3.25,10200,"AWRE","NASDAQ"
2019-06-11,3.28,3.3,3.26,3.26,7900,"AWRE","NASDAQ"
2019-06-12,3.3,3.34,3.23,3.27,29200,"AWRE","NASDAQ"
2019-06-13,3.3,3.35,3.26,3.34,5300,"AWRE","NASDAQ"
2019-06-14,3.326,3.35,3.28,3.28,7200,"AWRE","NASDAQ"
2019-06-17,3.27,3.35,3.27,3.29,3200,"AWRE","NASDAQ"
2019-06-18,3.324,3.324,3.27,3.27,700,"AWRE","NASDAQ"
2019-06-19,3.26,3.33,3.21,3.21,17800,"AWRE","NASDAQ"
2019-06-20,3.35,3.3498,3.23,3.23,58900,"AWRE","NASDAQ"
2019-06-21,3.215,3.32,3.16,3.17,51100,"AWRE","NASDAQ"
2019-06-24,3.16,3.33,3.1601,3.25,12700,"AWRE","NASDAQ"
2019-06-25,3.27,3.31,3.25,3.3,8400,"AWRE","NASDAQ"
2019-06-26,3.34,3.34,3.26,3.275,20800,"AWRE","NASDAQ"
2019-06-27,3.32,3.34,3.3,3.32,11900,"AWRE","NASDAQ"
2019-06-28,3.34,3.3399,3.3,3.32,13300,"AWRE","NASDAQ"
2019-07-01,3.33,3.34,3.3,3.3,3300,"AWRE","NASDAQ"
2019-07-02,3.305,3.33,3.27,3.27,900,"AWRE","NASDAQ"
2019-07-03,3.27,3.27,3.27,3.27,0,"AWRE","NASDAQ"
2019-07-05,3.27,3.33,3.27,3.27,2300,"AWRE","NASDAQ"
2019-07-08,3.32,3.32,3.27,3.31,28700,"AWRE","NASDAQ"
