"times","open","high","low","close","volume","symbol","market"
2019-05-30,6.81,7.38,6.695,6.99,480200,"AXGT","NASDAQ"
2019-05-31,6.94,7,6.51,6.6,446400,"AXGT","NASDAQ"
2019-06-03,6.56,6.88,6.42,6.81,209700,"AXGT","NASDAQ"
2019-06-04,6.82,6.83,6.51,6.81,179400,"AXGT","NASDAQ"
2019-06-05,6.82,6.85,6.5,6.81,154700,"AXGT","NASDAQ"
2019-06-06,6.97,6.97,5.59,5.69,1428400,"AXGT","NASDAQ"
2019-06-07,5.7,5.7,4.45,4.48,1437300,"AXGT","NASDAQ"
2019-06-10,4.49,4.58,3.9499,4.02,631100,"AXGT","NASDAQ"
2019-06-11,4.06,4.08,3.81,3.94,592900,"AXGT","NASDAQ"
2019-06-12,4.25,4.26,3.85,4.18,915400,"AXGT","NASDAQ"
2019-06-13,4.27,4.93,4.09,4.85,757300,"AXGT","NASDAQ"
2019-06-14,4.81,5.45,4.8,5.12,714300,"AXGT","NASDAQ"
2019-06-17,5.21,5.6403,4.98,5.52,337900,"AXGT","NASDAQ"
2019-06-18,5.78,5.9,5.6,5.61,363100,"AXGT","NASDAQ"
2019-06-19,5.65,5.715,5.4,5.58,209200,"AXGT","NASDAQ"
2019-06-20,5.75,5.91,5.55,5.79,250800,"AXGT","NASDAQ"
2019-06-21,7.26,8.52,6.53,6.86,19777600,"AXGT","NASDAQ"
2019-06-24,6.5,6.65,6,6.41,1184100,"AXGT","NASDAQ"
2019-06-25,6.35,6.5,6.089,6.39,323000,"AXGT","NASDAQ"
2019-06-26,6.38,6.5001,6.01,6.13,508000,"AXGT","NASDAQ"
2019-06-27,6.1,6.39,5.9,6.19,301400,"AXGT","NASDAQ"
2019-06-28,6.1899,6.28,5.96,6.23,307000,"AXGT","NASDAQ"
2019-07-01,6.21,6.48,6.05,6.42,284300,"AXGT","NASDAQ"
2019-07-02,6.4,6.41,6.14,6.29,145000,"AXGT","NASDAQ"
2019-07-03,6.28,6.62,6.14,6.55,139900,"AXGT","NASDAQ"
2019-07-05,6.56,6.95,6.35,6.42,255000,"AXGT","NASDAQ"
2019-07-08,6.3397,6.39,6.02,6.24,173100,"AXGT","NASDAQ"
2019-07-09,6.2,6.51,6.171,6.43,139700,"AXGT","NASDAQ"
2019-07-10,6.44,6.63,6.251,6.63,422000,"AXGT","NASDAQ"
2019-07-11,6.67,7.9401,6.67,7.33,1227000,"AXGT","NASDAQ"
2019-07-12,7.45,7.55,7.16,7.38,815500,"AXGT","NASDAQ"
2019-07-15,7.43,7.48,7.25,7.36,270700,"AXGT","NASDAQ"
2019-07-16,7.36,7.78,7.36,7.6,205300,"AXGT","NASDAQ"
2019-07-17,7.66,7.88,7.41,7.47,246100,"AXGT","NASDAQ"
2019-07-18,7.42,7.82,7.27,7.67,223400,"AXGT","NASDAQ"
2019-07-19,7.65,7.787,7.03,7.09,342700,"AXGT","NASDAQ"
2019-07-22,7.09,7.23,6.42,6.58,537400,"AXGT","NASDAQ"
2019-07-23,6.59,6.91,6.26,6.35,301500,"AXGT","NASDAQ"
2019-07-24,6.29,6.7,6.23,6.7,153100,"AXGT","NASDAQ"
2019-07-25,6.64,6.66,6.25,6.39,117200,"AXGT","NASDAQ"
2019-07-26,6.39,6.66,6.39,6.57,90700,"AXGT","NASDAQ"
2019-07-29,6.51,6.72,6.38,6.67,74400,"AXGT","NASDAQ"
2019-07-30,6.6099,7.18,6.53,7.16,109400,"AXGT","NASDAQ"
2019-07-31,7.15,7.155,6.91,6.94,92700,"AXGT","NASDAQ"
2019-08-01,6.96,7.24,6.7,6.97,318700,"AXGT","NASDAQ"
2019-08-02,6.89,6.945,6.33,6.53,170300,"AXGT","NASDAQ"
