"times","open","high","low","close","volume","symbol","market"
2019-05-30,4.29,4.3096,4.07,4.08,290700,"AXTI","NASDAQ"
2019-05-31,4.01,4.04,3.94,3.99,233800,"AXTI","NASDAQ"
2019-06-03,3.97,4,3.863,3.92,371200,"AXTI","NASDAQ"
2019-06-04,3.98,4.2,3.93,4.17,313000,"AXTI","NASDAQ"
2019-06-05,4.21,4.2101,4,4.09,152100,"AXTI","NASDAQ"
2019-06-06,4.1,4.22,4.05,4.16,196200,"AXTI","NASDAQ"
2019-06-07,4.17,4.2203,4.125,4.19,479700,"AXTI","NASDAQ"
2019-06-10,4.23,4.36,4.19,4.26,199300,"AXTI","NASDAQ"
2019-06-11,4.32,4.7,4.24,4.47,1812800,"AXTI","NASDAQ"
2019-06-12,4.53,4.56,4.207,4.26,306400,"AXTI","NASDAQ"
2019-06-13,4.28,4.34,4.2099,4.23,132500,"AXTI","NASDAQ"
2019-06-14,4.15,4.26,3.98,4.08,232900,"AXTI","NASDAQ"
2019-06-17,3.98,4.17,3.91,3.96,362200,"AXTI","NASDAQ"
2019-06-18,4.03,4.17,4,4.13,291900,"AXTI","NASDAQ"
2019-06-19,4.1702,4.19,4.06,4.12,108700,"AXTI","NASDAQ"
2019-06-20,4.07,4.15,3.98,4.04,185300,"AXTI","NASDAQ"
2019-06-21,4.02,4.08,3.98,4.06,265400,"AXTI","NASDAQ"
2019-06-24,4.05,4.05,3.91,3.93,162900,"AXTI","NASDAQ"
2019-06-25,3.9196,3.95,3.55,3.57,700600,"AXTI","NASDAQ"
2019-06-26,3.61,3.94,3.59,3.86,388100,"AXTI","NASDAQ"
2019-06-27,3.86,3.96,3.75,3.89,294900,"AXTI","NASDAQ"
2019-06-28,3.9,4.13,3.9,3.96,362700,"AXTI","NASDAQ"
2019-07-01,4.22,4.35,4.16,4.22,359600,"AXTI","NASDAQ"
2019-07-02,4.21,4.23,4.06,4.16,148400,"AXTI","NASDAQ"
2019-07-03,4.15,4.21,4.103,4.17,55000,"AXTI","NASDAQ"
2019-07-05,4.1,4.15,4.07,4.12,81000,"AXTI","NASDAQ"
2019-07-08,4.12,4.14,4.01,4.01,104700,"AXTI","NASDAQ"
2019-07-09,4.01,4.04,3.93,4.03,123600,"AXTI","NASDAQ"
2019-07-10,4.07,4.13,3.98,4.01,100600,"AXTI","NASDAQ"
2019-07-11,4.02,4.08,3.96,3.99,160300,"AXTI","NASDAQ"
2019-07-12,3.98,4.06,3.9,4,186900,"AXTI","NASDAQ"
2019-07-15,4.04,4.06,4,4.03,91900,"AXTI","NASDAQ"
2019-07-16,3.99,4.09,3.93,3.95,150200,"AXTI","NASDAQ"
2019-07-17,3.97,4.05,3.92,4,143300,"AXTI","NASDAQ"
2019-07-18,4,4.05,3.9,3.91,117800,"AXTI","NASDAQ"
2019-07-19,3.9002,4,3.84,3.95,189600,"AXTI","NASDAQ"
2019-07-22,3.97,4.12,3.94,4.05,238200,"AXTI","NASDAQ"
2019-07-23,4.05,4.09,3.93,3.97,140400,"AXTI","NASDAQ"
2019-07-24,3.96,4.25,3.91,4.17,393900,"AXTI","NASDAQ"
2019-07-25,4.35,4.42,4.11,4.35,594600,"AXTI","NASDAQ"
2019-07-26,4.37,4.41,4.19,4.27,223700,"AXTI","NASDAQ"
2019-07-29,4.25,4.29,4.17,4.2,141500,"AXTI","NASDAQ"
2019-07-30,4.1301,4.37,4.13,4.32,179000,"AXTI","NASDAQ"
2019-07-31,4.36,4.45,4.23,4.27,276000,"AXTI","NASDAQ"
2019-08-01,4.25,4.47,4.15,4.16,212100,"AXTI","NASDAQ"
2019-08-02,4.13,4.16,4.01,4.11,106200,"AXTI","NASDAQ"
2019-08-05,4.02,4.02,3.81,3.86,163600,"AXTI","NASDAQ"
2019-08-06,3.85,3.96,3.73,3.8,134100,"AXTI","NASDAQ"
2019-08-07,3.75,3.87,3.75,3.85,81700,"AXTI","NASDAQ"
2019-08-08,3.88,4.07,3.86,4.02,112800,"AXTI","NASDAQ"
2019-08-09,4,4,3.795,3.84,182200,"AXTI","NASDAQ"
2019-08-12,3.83,3.885,3.785,3.83,83900,"AXTI","NASDAQ"
2019-08-13,3.8,4,3.8,4,302500,"AXTI","NASDAQ"
2019-08-14,3.86,3.89,3.6,3.72,234500,"AXTI","NASDAQ"
2019-08-15,3.72,3.72,3.5,3.55,158600,"AXTI","NASDAQ"
2019-08-16,3.58,3.69,3.55,3.68,181300,"AXTI","NASDAQ"
