"times","open","high","low","close","volume","symbol","market"
2019-05-30,2.21,2.24,2.093,2.17,62700,"AZRX","NASDAQ"
2019-05-31,2.16,2.19,2.04,2.19,84200,"AZRX","NASDAQ"
2019-06-03,2.16,2.27,2.03,2.24,52200,"AZRX","NASDAQ"
2019-06-04,2.2399,2.29,2.18,2.21,89500,"AZRX","NASDAQ"
2019-06-05,2.125,2.169,1.95,2.05,56400,"AZRX","NASDAQ"
2019-06-06,1.921,2.03,1.9,2.01,98700,"AZRX","NASDAQ"
2019-06-07,2.11,2.11,1.84,2.05,116400,"AZRX","NASDAQ"
2019-06-10,2.11,2.12,1.95,1.95,91000,"AZRX","NASDAQ"
2019-06-11,1.95,2.03,1.7,1.83,130800,"AZRX","NASDAQ"
2019-06-12,1.85,1.9199,1.7,1.78,51600,"AZRX","NASDAQ"
2019-06-13,1.79,1.825,1.67,1.75,133700,"AZRX","NASDAQ"
2019-06-14,1.78,1.8,1.487,1.67,315900,"AZRX","NASDAQ"
2019-06-17,1.66,1.765,1.4202,1.57,215800,"AZRX","NASDAQ"
2019-06-18,1.59,1.8,1.59,1.78,144500,"AZRX","NASDAQ"
2019-06-19,1.8,1.8,1.65,1.72,88000,"AZRX","NASDAQ"
2019-06-20,1.72,1.732,1.63,1.71,31300,"AZRX","NASDAQ"
2019-06-21,1.69,1.7399,1.67,1.73,25100,"AZRX","NASDAQ"
2019-06-24,1.74,1.79,1.67,1.68,135000,"AZRX","NASDAQ"
2019-06-25,1.66,1.77,1.5,1.71,138900,"AZRX","NASDAQ"
2019-06-26,1.7099,1.71,1.65,1.71,6800,"AZRX","NASDAQ"
2019-06-27,1.7,1.769,1.64,1.64,40300,"AZRX","NASDAQ"
2019-06-28,1.65,1.7,1.63,1.7,59600,"AZRX","NASDAQ"
2019-07-01,1.74,1.93,1.5,1.55,134300,"AZRX","NASDAQ"
2019-07-02,1.54,1.6,1.52,1.54,71400,"AZRX","NASDAQ"
2019-07-03,1.53,1.54,1.37,1.437,106900,"AZRX","NASDAQ"
2019-07-05,1.47,1.55,1.44,1.45,82500,"AZRX","NASDAQ"
2019-07-08,1.4501,1.55,1.25,1.25,334900,"AZRX","NASDAQ"
2019-07-09,1.25,1.393,1.227,1.23,474400,"AZRX","NASDAQ"
2019-07-10,1.26,1.4,1.18,1.3,238200,"AZRX","NASDAQ"
2019-07-11,1.32,1.43,1.29,1.41,262500,"AZRX","NASDAQ"
