"times","open","high","low","close","volume","symbol","market"
2019-05-30,53.87,54.42,52.78,53.4,53400,"BANF","NASDAQ"
2019-05-31,52.74,53.01,52.02,52.23,61400,"BANF","NASDAQ"
2019-06-03,52.37,53.11,51.962,52.9,53200,"BANF","NASDAQ"
2019-06-04,53.5,54.73,53.36,54.71,73900,"BANF","NASDAQ"
2019-06-05,54.79,55.02,54.05,54.76,54300,"BANF","NASDAQ"
2019-06-06,54.58,55.1599,54.21,54.77,52800,"BANF","NASDAQ"
2019-06-07,54.84,55.38,54.6741,55.29,70700,"BANF","NASDAQ"
2019-06-10,55.51,57.35,55.51,57.35,202200,"BANF","NASDAQ"
2019-06-11,57.71,57.71,56.77,57.14,62000,"BANF","NASDAQ"
2019-06-12,57.06,57.4,56.6564,57.35,37400,"BANF","NASDAQ"
2019-06-13,57.318,57.97,57.175,57.56,60600,"BANF","NASDAQ"
2019-06-14,57.54,57.75,57.14,57.32,51800,"BANF","NASDAQ"
2019-06-17,57.56,58,57.02,57.46,58900,"BANF","NASDAQ"
2019-06-18,57.47,58.36,57.345,57.56,60000,"BANF","NASDAQ"
2019-06-19,57.46,57.9,56.74,56.83,65100,"BANF","NASDAQ"
2019-06-20,56.85,57.15,55.85,56.36,46900,"BANF","NASDAQ"
2019-06-21,55.92,56.25,54.905,55.4,107600,"BANF","NASDAQ"
2019-06-24,55.5097,55.97,54.81,54.82,61200,"BANF","NASDAQ"
2019-06-25,54.61,55.63,53.08,55.23,90400,"BANF","NASDAQ"
2019-06-26,55.43,55.8679,54.965,55.04,41400,"BANF","NASDAQ"
2019-06-27,54.88,55.92,54.76,55.91,67500,"BANF","NASDAQ"
2019-06-28,56.16,57.04,55.41,55.66,323200,"BANF","NASDAQ"
2019-07-01,56.25,57.13,56.25,56.73,66600,"BANF","NASDAQ"
2019-07-02,56.5896,56.59,55.29,55.71,34700,"BANF","NASDAQ"
2019-07-03,56.05,56.4,55.85,56.01,25400,"BANF","NASDAQ"
2019-07-05,56.22,56.91,56.005,56.67,41000,"BANF","NASDAQ"
2019-07-08,56.25,56.37,55.6,55.74,95600,"BANF","NASDAQ"
2019-07-09,55.54,56.15,55.46,56.1,62500,"BANF","NASDAQ"
2019-07-10,56.1,56.54,54.9,54.93,57700,"BANF","NASDAQ"
2019-07-11,54.86,55.43,54.61,55.38,54000,"BANF","NASDAQ"
2019-07-12,55.46,56.2,55.33,55.86,50800,"BANF","NASDAQ"
2019-07-15,56,56,54.63,54.79,80700,"BANF","NASDAQ"
2019-07-16,54.73,55.34,54.57,54.75,43400,"BANF","NASDAQ"
2019-07-17,54.42,54.87,54.21,54.67,49000,"BANF","NASDAQ"
2019-07-18,54.68,55.4,54.48,55.14,44800,"BANF","NASDAQ"
2019-07-19,55.41,58.55,55.41,58.02,121200,"BANF","NASDAQ"
2019-07-22,57.83,57.94,56.38,56.56,71300,"BANF","NASDAQ"
2019-07-23,56.54,56.8525,56.17,56.84,41900,"BANF","NASDAQ"
2019-07-24,56.67,58.61,56.67,58.41,69400,"BANF","NASDAQ"
2019-07-25,58.41,59.29,58.15,58.22,61900,"BANF","NASDAQ"
2019-07-26,58.54,59.32,58.41,59.1,56500,"BANF","NASDAQ"
2019-07-29,58.88,59.19,58.29,58.53,32100,"BANF","NASDAQ"
2019-07-30,58.1595,58.87,57.92,58.71,48800,"BANF","NASDAQ"
2019-07-31,58.77,59,58.26,58.34,85800,"BANF","NASDAQ"
2019-08-01,58.24,58.94,56.72,56.86,74900,"BANF","NASDAQ"
2019-08-02,56.65,56.72,55.57,56.53,46300,"BANF","NASDAQ"
2019-08-05,55.6,55.72,54.2107,54.7,47600,"BANF","NASDAQ"
2019-08-06,54.988,55.83,54.22,55.32,53000,"BANF","NASDAQ"
2019-08-07,54.5219,54.91,53.65,54.57,69600,"BANF","NASDAQ"
2019-08-08,54.96,56,54.96,55.81,51500,"BANF","NASDAQ"
2019-08-09,55.59,55.85,54.95,55.33,43000,"BANF","NASDAQ"
2019-08-12,54.99,55.25,54.68,54.76,20800,"BANF","NASDAQ"
2019-08-13,54.67,55.81,54.67,55.28,31100,"BANF","NASDAQ"
2019-08-14,54.25,54.8723,53.4,53.55,33100,"BANF","NASDAQ"
2019-08-15,53.53,53.75,52.66,52.94,46000,"BANF","NASDAQ"
2019-08-16,53.25,54.12,53.25,53.79,44300,"BANF","NASDAQ"
2019-08-19,54.56,54.68,54.04,54.41,35300,"BANF","NASDAQ"
2019-08-20,54.27,54.5,53.65,53.88,37700,"BANF","NASDAQ"
2019-08-21,54.25,54.29,53.82,54.08,25100,"BANF","NASDAQ"
2019-08-22,54.37,54.68,54.08,54.57,56800,"BANF","NASDAQ"
2019-08-23,54.22,54.92,52.41,52.5,85900,"BANF","NASDAQ"
2019-08-26,52.9,53.39,52.43,53.13,69700,"BANF","NASDAQ"
2019-08-27,53.24,53.31,51.85,51.92,47100,"BANF","NASDAQ"
2019-08-28,51.65,53,51.65,52.53,31400,"BANF","NASDAQ"
2019-08-29,52.99,53.62,52.99,53.55,50200,"BANF","NASDAQ"
2019-08-30,53.78,53.92,53.5,53.77,31700,"BANF","NASDAQ"
2019-09-03,53.29,53.34,52.54,52.65,47400,"BANF","NASDAQ"
2019-09-04,53.22,53.52,52.36,52.6,35100,"BANF","NASDAQ"
2019-09-05,53,54.6,52.97,53.54,39700,"BANF","NASDAQ"
2019-09-06,53.53,53.54,52.9,53.03,32300,"BANF","NASDAQ"
2019-09-09,53.3,54.86,53.25,54.38,45400,"BANF","NASDAQ"
2019-09-10,54.53,55.67,54.24,55.23,46400,"BANF","NASDAQ"
2019-09-11,55.27,56.72,54.85,56.48,63800,"BANF","NASDAQ"
2019-09-12,56.19,57.33,55.99,56.95,66100,"BANF","NASDAQ"
2019-09-13,57.19,58.25,56.64,58.12,71200,"BANF","NASDAQ"
2019-09-16,57.48,58.54,57.48,58.03,42300,"BANF","NASDAQ"
2019-09-17,57.71,57.81,56.95,57.46,46600,"BANF","NASDAQ"
2019-09-18,57.52,57.74,56.94,57.65,53000,"BANF","NASDAQ"
2019-09-19,57.59,58.52,56.84,56.84,51700,"BANF","NASDAQ"
2019-09-20,56.86,57.54,56.49,56.8,147500,"BANF","NASDAQ"
2019-09-23,56.71,56.97,56.09,56.63,36700,"BANF","NASDAQ"
