"times","open","high","low","close","volume","symbol","market"
2019-05-30,21.86,21.99,21.703,21.85,5500,"BANX","NASDAQ"
2019-05-31,21.73,21.98,21.55,21.765,14900,"BANX","NASDAQ"
2019-06-03,21.698,21.7,21.56,21.63,5100,"BANX","NASDAQ"
2019-06-04,21.75,22,21.6,21.6,5100,"BANX","NASDAQ"
2019-06-05,21.694,21.8,21.5,21.55,4900,"BANX","NASDAQ"
2019-06-06,21.575,21.698,21.5,21.551,7700,"BANX","NASDAQ"
2019-06-07,21.643,22,21.643,21.9,4300,"BANX","NASDAQ"
2019-06-10,21.62,21.808,21.567,21.57,5100,"BANX","NASDAQ"
2019-06-11,21.67,21.917,21.6,21.64,6200,"BANX","NASDAQ"
2019-06-12,21.7,21.9499,21.55,21.56,6900,"BANX","NASDAQ"
2019-06-13,21.979,21.98,21.62,21.72,7100,"BANX","NASDAQ"
2019-06-14,21.9902,22,21.99,22,900,"BANX","NASDAQ"
2019-06-17,21.997,21.997,21.73,21.89,7700,"BANX","NASDAQ"
2019-06-18,21.94,22.1,21.8,22.1,12100,"BANX","NASDAQ"
2019-06-19,21.6773,21.92,21.5,21.832,17800,"BANX","NASDAQ"
2019-06-20,21.713,21.872,21.5208,21.52,10700,"BANX","NASDAQ"
2019-06-21,21.51,21.91,21.51,21.821,3300,"BANX","NASDAQ"
2019-06-24,21.91,21.91,21.582,21.8,15600,"BANX","NASDAQ"
2019-06-25,21.73,22.147,21.5743,21.9,20900,"BANX","NASDAQ"
2019-06-26,22.13,22.35,21.56,21.64,26300,"BANX","NASDAQ"
2019-06-27,21.758,22.0591,21.53,21.65,8100,"BANX","NASDAQ"
2019-06-28,21.76,22,21.69,21.805,7600,"BANX","NASDAQ"
2019-07-01,21.69,22,21.69,21.8,6400,"BANX","NASDAQ"
2019-07-02,21.8,21.9,21.661,21.69,5600,"BANX","NASDAQ"
2019-07-03,21.76,22,21.76,21.84,2000,"BANX","NASDAQ"
2019-07-05,21.53,22,21.53,21.65,9100,"BANX","NASDAQ"
2019-07-08,21.61,21.9,21.6,21.9,16300,"BANX","NASDAQ"
2019-07-09,21.7,22.3,21.7,22.3,5100,"BANX","NASDAQ"
2019-07-10,22.1,22.25,21.75,22.25,6100,"BANX","NASDAQ"
2019-07-11,22.3,22.3,21.95,22.15,4800,"BANX","NASDAQ"
2019-07-12,21.9,22.04,21.76,21.76,6500,"BANX","NASDAQ"
2019-07-15,22.42,22.42,21.72,22.23,8300,"BANX","NASDAQ"
2019-07-16,22.2,22.25,21.81,21.81,10700,"BANX","NASDAQ"
2019-07-17,22,22.22,22,22,1300,"BANX","NASDAQ"
2019-07-18,22.26,22.26,21.8,22,5300,"BANX","NASDAQ"
2019-07-19,22.05,22.22,21.91,22.22,2300,"BANX","NASDAQ"
2019-07-22,21.8,22.09,21.41,21.6,43200,"BANX","NASDAQ"
2019-07-23,21.61,21.98,21.51,21.6,38900,"BANX","NASDAQ"
2019-07-24,21.57,21.93,21.45,21.6,11700,"BANX","NASDAQ"
2019-07-25,21.63,21.84,21.5,21.75,6700,"BANX","NASDAQ"
2019-07-26,21.7,22,21.5,22,12500,"BANX","NASDAQ"
2019-07-29,21.78,22,21.67,22,11300,"BANX","NASDAQ"
2019-07-30,21.8,21.93,21.7,21.93,6500,"BANX","NASDAQ"
2019-07-31,21.99,21.99,21.6,21.64,5500,"BANX","NASDAQ"
2019-08-01,21.6413,21.85,21.57,21.67,7300,"BANX","NASDAQ"
2019-08-02,21.89,21.89,21.57,21.6,4500,"BANX","NASDAQ"
2019-08-05,21.63,21.79,21.5,21.5,8800,"BANX","NASDAQ"
2019-08-06,21.54,21.6,21.1,21.25,9200,"BANX","NASDAQ"
2019-08-07,21.26,21.5,21.26,21.31,2300,"BANX","NASDAQ"
2019-08-08,21.35,21.51,21.3,21.39,5900,"BANX","NASDAQ"
2019-08-09,21.4,22,21.4,22,9800,"BANX","NASDAQ"
2019-08-12,22.0019,22.169,21.8,22.15,6000,"BANX","NASDAQ"
2019-08-13,22.33,22.33,21.8,22.19,6700,"BANX","NASDAQ"
2019-08-14,21.93,22.37,21.9,22,8500,"BANX","NASDAQ"
2019-08-15,21.97,22.2,21.9,21.9,3900,"BANX","NASDAQ"
2019-08-16,21.83,22,21.58,21.99,8200,"BANX","NASDAQ"
2019-08-19,22.31,22.31,21.52,21.74,7300,"BANX","NASDAQ"
2019-08-20,21.62,21.7,21.4,21.55,38100,"BANX","NASDAQ"
2019-08-21,21.75,21.75,21.51,21.55,10100,"BANX","NASDAQ"
2019-08-22,21.55,21.6,21.35,21.6,10200,"BANX","NASDAQ"
