"times","open","high","low","close","volume","symbol","market"
2019-05-30,27.17,27.275,26.56,26.7,29100,"BATRA","NASDAQ"
2019-05-31,26.57,26.69,26.375,26.54,42800,"BATRA","NASDAQ"
2019-06-03,26.68,26.82,26.2615,26.55,35800,"BATRA","NASDAQ"
2019-06-04,26.6506,27.18,26.59,26.59,26100,"BATRA","NASDAQ"
2019-06-05,26.61,27.43,26.41,27.13,29300,"BATRA","NASDAQ"
2019-06-06,26.97,27.25,26.71,26.75,16000,"BATRA","NASDAQ"
2019-06-07,26.8,26.9698,26.8,26.93,12200,"BATRA","NASDAQ"
2019-06-10,26.9979,27.39,26.64,26.79,31900,"BATRA","NASDAQ"
2019-06-11,26.86,26.86,26.119,26.48,38100,"BATRA","NASDAQ"
2019-06-12,26.5,26.86,26.5,26.72,13000,"BATRA","NASDAQ"
2019-06-13,26.87,27.15,26.87,26.95,35100,"BATRA","NASDAQ"
2019-06-14,27.01,27.1714,26.88,26.89,26100,"BATRA","NASDAQ"
2019-06-17,26.92,27.14,26.7,27.13,12700,"BATRA","NASDAQ"
2019-06-18,27.21,27.46,27.04,27.21,47400,"BATRA","NASDAQ"
2019-06-19,27.12,27.37,27,27.15,22900,"BATRA","NASDAQ"
2019-06-20,27.38,27.38,26.96,27.02,16600,"BATRA","NASDAQ"
2019-06-21,26.91,27.09,26.64,26.84,29600,"BATRA","NASDAQ"
2019-06-24,26.85,27.06,26.48,26.69,31800,"BATRA","NASDAQ"
2019-06-25,26.83,26.95,26.62,26.93,27600,"BATRA","NASDAQ"
2019-06-26,26.93,26.98,26.7,26.73,15600,"BATRA","NASDAQ"
2019-06-27,26.8,27.4118,26.685,27.41,33700,"BATRA","NASDAQ"
2019-06-28,27.4005,27.97,27.3,27.8,121700,"BATRA","NASDAQ"
2019-07-01,28,28.36,27.71,28,29600,"BATRA","NASDAQ"
2019-07-02,28.03,28.14,27.355,27.37,23200,"BATRA","NASDAQ"
2019-07-03,27.4,27.76,27.4,27.69,6800,"BATRA","NASDAQ"
2019-07-05,27.65,28.06,27.46,28.06,8700,"BATRA","NASDAQ"
2019-07-08,27.96,27.9783,27.78,27.91,12400,"BATRA","NASDAQ"
2019-07-09,27.98,28.14,27.94,28.09,13900,"BATRA","NASDAQ"
2019-07-10,28.14,28.29,27.87,28.14,20500,"BATRA","NASDAQ"
2019-07-11,28.18,28.25,27.82,27.82,23000,"BATRA","NASDAQ"
2019-07-12,27.89,28.05,27.74,27.76,16800,"BATRA","NASDAQ"
2019-07-15,28.13,28.37,27.83,28.12,67600,"BATRA","NASDAQ"
2019-07-16,28.16,28.71,28,28.04,43100,"BATRA","NASDAQ"
2019-07-17,28.08,28.26,27.72,27.96,27400,"BATRA","NASDAQ"
2019-07-18,27.88,28.12,27.78,27.99,27600,"BATRA","NASDAQ"
2019-07-19,27.9798,28.85,27.98,28.32,47100,"BATRA","NASDAQ"
2019-07-22,28.49,28.49,28.05,28.34,42200,"BATRA","NASDAQ"
2019-07-23,28.3395,28.41,27.98,28.34,15800,"BATRA","NASDAQ"
2019-07-24,28.29,28.7229,28.2,28.56,29500,"BATRA","NASDAQ"
2019-07-25,28.59,28.8,28.29,28.42,20600,"BATRA","NASDAQ"
2019-07-26,28.345,28.69,28.345,28.63,21500,"BATRA","NASDAQ"
2019-07-29,28.6,29.03,28.43,28.88,37800,"BATRA","NASDAQ"
2019-07-30,28.83,29.5511,28.78,29.08,103600,"BATRA","NASDAQ"
2019-07-31,29.12,29.605,28.84,28.9,69600,"BATRA","NASDAQ"
2019-08-01,29,29.56,28.74,28.77,62800,"BATRA","NASDAQ"
2019-08-02,28.74,28.74,28.1578,28.59,30500,"BATRA","NASDAQ"
2019-08-05,28.31,28.53,27.85,28.19,46900,"BATRA","NASDAQ"
2019-08-06,28.2,28.75,27.85,28.48,47600,"BATRA","NASDAQ"
2019-08-07,28.25,29.02,27.89,28.57,37200,"BATRA","NASDAQ"
2019-08-08,28.91,29.2,28.09,28.69,53500,"BATRA","NASDAQ"
2019-08-09,28.84,29.435,27.93,28.55,42600,"BATRA","NASDAQ"
2019-08-12,28.6,28.73,28.13,28.14,41900,"BATRA","NASDAQ"
2019-08-13,28.154,28.57,28.154,28.24,16800,"BATRA","NASDAQ"
2019-08-14,28.03,28.03,27.22,27.63,33200,"BATRA","NASDAQ"
2019-08-15,27.52,27.86,27.46,27.77,31600,"BATRA","NASDAQ"
2019-08-16,27.8,28.33,27.8011,28.23,41100,"BATRA","NASDAQ"
2019-08-19,28.46,28.6,28.1,28.45,51000,"BATRA","NASDAQ"
2019-08-20,28.5,28.5,27.98,28.14,28800,"BATRA","NASDAQ"
2019-08-21,28.26,28.37,28.04,28.16,16100,"BATRA","NASDAQ"
2019-08-22,28.08,28.39,27.87,27.88,57700,"BATRA","NASDAQ"
2019-08-23,27.83,28.02,27.16,27.32,45700,"BATRA","NASDAQ"
2019-08-26,27.49,27.89,27.32,27.78,28800,"BATRA","NASDAQ"
2019-08-27,27.92,27.99,27.18,27.18,31900,"BATRA","NASDAQ"
2019-08-28,27.18,27.519,27.18,27.4,40600,"BATRA","NASDAQ"
2019-08-29,27.56,27.86,27.37,27.75,25400,"BATRA","NASDAQ"
2019-08-30,27.82,27.95,27.29,27.47,41300,"BATRA","NASDAQ"
2019-09-03,27.4,27.955,27.29,27.68,29200,"BATRA","NASDAQ"
2019-09-04,27.69,28.08,27.69,27.98,29300,"BATRA","NASDAQ"
2019-09-05,28.13,28.61,28.07,28.11,30300,"BATRA","NASDAQ"
2019-09-06,28.17,28.29,27.849,27.95,44400,"BATRA","NASDAQ"
2019-09-09,28,28,27.5,27.87,32300,"BATRA","NASDAQ"
2019-09-10,27.8,28.16,27.66,27.94,24800,"BATRA","NASDAQ"
2019-09-11,28.03,28.72,27.96,28.69,30200,"BATRA","NASDAQ"
2019-09-12,28.69,29.63,28.495,29.32,62700,"BATRA","NASDAQ"
2019-09-13,29.42,29.94,29.01,29.36,91300,"BATRA","NASDAQ"
2019-09-16,29.3,29.81,29.2,29.61,69300,"BATRA","NASDAQ"
2019-09-17,29.59,30.11,29.5,29.97,91100,"BATRA","NASDAQ"
2019-09-18,29.99,30.1,29.45,29.55,110300,"BATRA","NASDAQ"
2019-09-19,29.59,29.59,28.98,29.16,131100,"BATRA","NASDAQ"
2019-09-20,29.13,29.18,28.75,28.92,165000,"BATRA","NASDAQ"
2019-09-23,29.14,29.14,28.67,28.67,28200,"BATRA","NASDAQ"
2019-09-24,28.79,28.97,28.24,28.29,64000,"BATRA","NASDAQ"
2019-09-25,28.15,28.39,28.15,28.32,32800,"BATRA","NASDAQ"
2019-09-26,28.18,28.36,28.02,28.09,21600,"BATRA","NASDAQ"
2019-09-27,28.06,28.32,27.83,27.97,77500,"BATRA","NASDAQ"
2019-09-30,27.99,28.1,27.82,27.83,25700,"BATRA","NASDAQ"
2019-10-01,28.022,28.28,27.78,27.84,31900,"BATRA","NASDAQ"
2019-10-02,27.69,27.87,27.65,27.75,37200,"BATRA","NASDAQ"
2019-10-03,27.63,27.95,27.63,27.74,32300,"BATRA","NASDAQ"
2019-10-04,27.76,28.07,27.69,27.75,48900,"BATRA","NASDAQ"
2019-10-07,27.7,28.03,27.68,27.8,39500,"BATRA","NASDAQ"
2019-10-08,27.59,27.705,27.34,27.46,189400,"BATRA","NASDAQ"
2019-10-09,27.53,27.67,27.35,27.45,53100,"BATRA","NASDAQ"
2019-10-10,27.34,27.6,27.3,27.41,22400,"BATRA","NASDAQ"
2019-10-11,27.59,27.76,27.395,27.5,43400,"BATRA","NASDAQ"
2019-10-14,27.5,27.54,27.2,27.33,31800,"BATRA","NASDAQ"
2019-10-15,27.41,27.57,27.27,27.46,28800,"BATRA","NASDAQ"
2019-10-16,27.41,27.495,27.17,27.41,55600,"BATRA","NASDAQ"
2019-10-17,27.49,28.025,27.46,27.88,37400,"BATRA","NASDAQ"
2019-10-18,27.78,27.905,27.5573,27.79,60714,"BATRA","NASDAQ"
