"times","open","high","low","close","volume","symbol","market"
2019-05-30,3.41,3.48,3.3,3.31,50300,"BBGI","NASDAQ"
2019-05-31,3.29,3.36,3.01,3.17,145600,"BBGI","NASDAQ"
2019-06-03,3.17,3.23,3.1,3.18,31900,"BBGI","NASDAQ"
2019-06-04,3.22,3.45,3.18,3.35,22500,"BBGI","NASDAQ"
2019-06-05,3.34,3.41,3.23,3.27,23100,"BBGI","NASDAQ"
2019-06-06,3.26,3.35,3.115,3.325,26300,"BBGI","NASDAQ"
2019-06-07,3.33,3.38,3.33,3.34,19400,"BBGI","NASDAQ"
2019-06-10,3.43,3.4302,3.18,3.19,73900,"BBGI","NASDAQ"
2019-06-11,3.19,3.19,3.06,3.18,52700,"BBGI","NASDAQ"
2019-06-12,3.18,3.232,3.04,3.05,60000,"BBGI","NASDAQ"
2019-06-13,3.05,3.2,3.05,3.13,41500,"BBGI","NASDAQ"
2019-06-14,3.11,3.1899,3.08,3.08,27700,"BBGI","NASDAQ"
2019-06-17,3.09,3.145,3,3,61400,"BBGI","NASDAQ"
2019-06-18,3.01,3.14,3,3.03,27100,"BBGI","NASDAQ"
2019-06-19,3.08,3.1202,3.01,3.03,31200,"BBGI","NASDAQ"
2019-06-20,3.07,3.16,3.01,3.02,47600,"BBGI","NASDAQ"
2019-06-21,3,3.129,3,3.02,45400,"BBGI","NASDAQ"
2019-06-24,3.07,3.099,3.02,3.02,73800,"BBGI","NASDAQ"
2019-06-25,3.04,3.0498,3,3,31500,"BBGI","NASDAQ"
2019-06-26,3.02,3.14,3,3.05,81400,"BBGI","NASDAQ"
2019-06-27,3.05,3.1899,3.05,3.1,42800,"BBGI","NASDAQ"
2019-06-28,3.11,3.2698,3.04,3.22,885800,"BBGI","NASDAQ"
2019-07-01,3.3,3.5,3.25,3.3,65500,"BBGI","NASDAQ"
2019-07-02,3.35,3.372,3.22,3.24,84900,"BBGI","NASDAQ"
2019-07-03,3.3,3.31,3.15,3.15,7000,"BBGI","NASDAQ"
2019-07-05,3.11,3.211,3.09,3.11,25400,"BBGI","NASDAQ"
