"times","open","high","low","close","volume","symbol","market"
2019-05-30,117.46,117.97,117.06,117.97,23600,"BBH","NASDAQ"
2019-05-31,116.68,117.3,116.3524,116.49,12300,"BBH","NASDAQ"
2019-06-03,116.69,118.56,116.69,117.2,29400,"BBH","NASDAQ"
2019-06-04,118.1,119.32,117.47,119.29,44500,"BBH","NASDAQ"
2019-06-05,119.57,119.98,119,119.79,13200,"BBH","NASDAQ"
2019-06-06,119.87,120.51,118.72,118.93,23400,"BBH","NASDAQ"
2019-06-07,119.62,120.91,119.3,120.88,16400,"BBH","NASDAQ"
2019-06-10,121.69,121.69,120.66,120.66,14100,"BBH","NASDAQ"
2019-06-11,121.1,121.14,120.32,120.32,5600,"BBH","NASDAQ"
2019-06-12,120.22,121.23,120.22,121.07,9200,"BBH","NASDAQ"
2019-06-13,121.54,121.57,120.96,121.57,11200,"BBH","NASDAQ"
2019-06-14,123.26,123.26,120.13,120.18,12400,"BBH","NASDAQ"
2019-06-17,120.95,122.42,120.95,122.31,6100,"BBH","NASDAQ"
2019-06-18,123.26,124.84,123.26,124.33,24800,"BBH","NASDAQ"
2019-06-19,125.25,126.05,125.09,126.02,13700,"BBH","NASDAQ"
2019-06-20,127.3,128.2781,126.09,127.07,12400,"BBH","NASDAQ"
2019-06-21,126.67,128.05,125.87,128.05,9300,"BBH","NASDAQ"
2019-06-24,127.44,127.44,125.64,125.78,12000,"BBH","NASDAQ"
2019-06-25,127.74,128.43,126.5046,126.78,30800,"BBH","NASDAQ"
2019-06-26,126.66,127.28,125.75,126.09,10500,"BBH","NASDAQ"
2019-06-27,126.46,127.36,126.46,127.21,4900,"BBH","NASDAQ"
2019-06-28,127.54,128.98,127.54,128.97,5400,"BBH","NASDAQ"
2019-07-01,130,130.99,129.54,129.92,14900,"BBH","NASDAQ"
2019-07-02,129.95,130.21,129.34,130.21,11800,"BBH","NASDAQ"
2019-07-03,130.87,131.06,130.15,131.06,11100,"BBH","NASDAQ"
2019-07-05,130.25,130.94,129.39,129.54,7000,"BBH","NASDAQ"
2019-07-08,128.79,128.79,126.79,127.14,9500,"BBH","NASDAQ"
2019-07-09,127.25,129.018,127.25,129.01,18300,"BBH","NASDAQ"
2019-07-10,129.2,129.78,127.49,128.51,22000,"BBH","NASDAQ"
2019-07-11,128.65,128.65,125.6472,126.77,34000,"BBH","NASDAQ"
2019-07-12,125.77,125.77,124.61,124.91,11600,"BBH","NASDAQ"
2019-07-15,125.24,126.51,125,126.1,7800,"BBH","NASDAQ"
2019-07-16,126.44,126.44,125.14,125.14,7900,"BBH","NASDAQ"
2019-07-17,125.43,126.17,125.43,125.48,5200,"BBH","NASDAQ"
2019-07-18,125.6066,126.61,125.48,126.36,7800,"BBH","NASDAQ"
2019-07-19,126.89,126.89,124.7,124.7,11700,"BBH","NASDAQ"
2019-07-22,124.82,125.88,124.82,125.09,9400,"BBH","NASDAQ"
2019-07-23,125.55,125.91,125.21,125.65,6300,"BBH","NASDAQ"
2019-07-24,125.5,125.98,124.51,125.89,6900,"BBH","NASDAQ"
2019-07-25,125.05,125.46,124.55,124.55,8400,"BBH","NASDAQ"
2019-07-26,125.27,125.54,124.7464,125.46,8500,"BBH","NASDAQ"
2019-07-29,124.44,125.51,124.18,125.42,8400,"BBH","NASDAQ"
2019-07-30,125.71,126.6272,125.71,126.59,8500,"BBH","NASDAQ"
2019-07-31,126.3275,127.71,125.13,126.15,5600,"BBH","NASDAQ"
2019-08-01,126.41,128.84,126.377,126.88,12600,"BBH","NASDAQ"
2019-08-02,126.6,126.6,125.23,125.92,16700,"BBH","NASDAQ"
2019-08-05,124.09,124.23,121.81,122.39,11700,"BBH","NASDAQ"
2019-08-06,122.83,124.05,122.41,124.03,13100,"BBH","NASDAQ"
2019-08-07,123.47,124.66,122.02,124.18,15400,"BBH","NASDAQ"
2019-08-08,124.79,126.19,124.79,126.07,10000,"BBH","NASDAQ"
2019-08-09,124.96,126.11,124,125.45,6400,"BBH","NASDAQ"
2019-08-12,124.78,125.66,124.2,124.55,5800,"BBH","NASDAQ"
2019-08-13,125.37,126.66,125.37,125.67,8600,"BBH","NASDAQ"
2019-08-14,124.88,124.91,123.32,123.37,9000,"BBH","NASDAQ"
2019-08-15,124.19,124.19,123.33,123.43,10200,"BBH","NASDAQ"
2019-08-16,123.98,125.71,123.98,125.52,5900,"BBH","NASDAQ"
2019-08-19,127.11,127.11,125.95,126.78,7800,"BBH","NASDAQ"
2019-08-20,124.85,126.32,124.85,125.15,11700,"BBH","NASDAQ"
2019-08-21,125.97,126.35,125.78,126.27,4000,"BBH","NASDAQ"
2019-08-22,126.79,126.79,124.58,125.81,8800,"BBH","NASDAQ"
2019-08-23,124.87,125.64,122.52,122.78,10900,"BBH","NASDAQ"
2019-08-26,123.8,123.84,123.3,123.5,5200,"BBH","NASDAQ"
2019-08-27,123.22,123.5,122.53,122.96,3000,"BBH","NASDAQ"
2019-08-28,122.68,124.01,122.68,123.19,8000,"BBH","NASDAQ"
2019-08-29,124.1,124.65,123.48,123.94,23900,"BBH","NASDAQ"
2019-08-30,123.36,124.09,122.86,123.06,6900,"BBH","NASDAQ"
2019-09-03,122.32,123.02,121.33,121.39,12500,"BBH","NASDAQ"
2019-09-04,122.28,122.28,121.03,121.59,6100,"BBH","NASDAQ"
2019-09-05,122.05,122.82,121.97,122.41,9300,"BBH","NASDAQ"
2019-09-06,121.98,122.55,121.64,122,24300,"BBH","NASDAQ"
2019-09-09,121.57,121.57,120.28,120.89,32800,"BBH","NASDAQ"
2019-09-10,120.28,121.32,119.46,121.27,18900,"BBH","NASDAQ"
