"times","open","high","low","close","volume","symbol","market"
2019-06-27,30.6067,31.2,25.36,27.55,4986000,"BBIO","NASDAQ"
2019-06-28,27.9,28,25.55,26.97,865500,"BBIO","NASDAQ"
2019-07-01,27.42,27.865,26.09,27.37,324600,"BBIO","NASDAQ"
2019-07-02,27.26,27.55,25.5002,27.04,595500,"BBIO","NASDAQ"
2019-07-03,27.06,29.1,27.06,28.61,2097800,"BBIO","NASDAQ"
2019-07-05,28.61,29.15,27.25,28.99,399900,"BBIO","NASDAQ"
2019-07-08,28.71,28.98,27.905,28.2,210600,"BBIO","NASDAQ"
2019-07-09,28.3,28.42,27.3,27.36,94300,"BBIO","NASDAQ"
2019-07-10,27.58,27.95,26.84,27.6,238900,"BBIO","NASDAQ"
2019-07-11,27.49,31.637,26.9811,29.77,230700,"BBIO","NASDAQ"
2019-07-12,29.61,29.61,28.2791,28.62,235900,"BBIO","NASDAQ"
2019-07-15,28.5008,28.725,27.097,27.84,156100,"BBIO","NASDAQ"
2019-07-16,27.93,27.93,25.41,25.94,174100,"BBIO","NASDAQ"
2019-07-17,26,26.56,25.61,26.12,109400,"BBIO","NASDAQ"
2019-07-18,26.21,27.001,25.51,26,213300,"BBIO","NASDAQ"
2019-07-19,26,28.15,24.056,27.51,298700,"BBIO","NASDAQ"
2019-07-22,27.6,30.8,27.6,30.34,296900,"BBIO","NASDAQ"
2019-07-23,30.64,30.6629,28.25,28.83,192900,"BBIO","NASDAQ"
2019-07-24,28.8303,30.832,28,28.12,105100,"BBIO","NASDAQ"
2019-07-25,28.12,28.56,26.01,26.79,116700,"BBIO","NASDAQ"
2019-07-26,27.03,28.94,27,28.37,216700,"BBIO","NASDAQ"
2019-07-29,28.51,29.47,28.03,28.69,101500,"BBIO","NASDAQ"
2019-07-30,28.88,29,27.02,27.78,97900,"BBIO","NASDAQ"
2019-07-31,27.86,29.5,27.43,29.35,77800,"BBIO","NASDAQ"
2019-08-01,29.35,32.812,29.3506,29.69,296700,"BBIO","NASDAQ"
2019-08-02,29.64,30.593,27.7,28.29,148300,"BBIO","NASDAQ"
2019-08-05,28.11,28.1102,26.64,26.9,100600,"BBIO","NASDAQ"
2019-08-06,27,28.22,26.71,27.88,60600,"BBIO","NASDAQ"
2019-08-07,27.64,29.58,27.276,29.47,62800,"BBIO","NASDAQ"
2019-08-08,29.65,30.49,28.78,29.82,85600,"BBIO","NASDAQ"
2019-08-09,29.67,29.99,25.69,26.88,441200,"BBIO","NASDAQ"
2019-08-12,26.5,27.38,25.78,26.19,216800,"BBIO","NASDAQ"
2019-08-13,26.0017,27.09,25.749,26.76,95500,"BBIO","NASDAQ"
2019-08-14,26.44,26.44,25.315,25.89,128700,"BBIO","NASDAQ"
2019-08-15,25.64,27.14,25.64,26.76,172900,"BBIO","NASDAQ"
2019-08-16,26.74,28.32,26.58,27.46,218100,"BBIO","NASDAQ"
2019-08-19,27.52,29.49,27.44,28.05,222700,"BBIO","NASDAQ"
2019-08-20,28.02,29.11,27.85,28.66,159700,"BBIO","NASDAQ"
2019-08-21,28.96,30,28.51,29.82,133000,"BBIO","NASDAQ"
2019-08-22,30.01,30.5,29.655,29.8,100200,"BBIO","NASDAQ"
2019-08-23,29.99,30.6,28.57,29.31,63800,"BBIO","NASDAQ"
2019-08-26,29.6,30.98,29.43,30.49,112300,"BBIO","NASDAQ"
2019-08-27,30.64,31.78,30.045,31.26,171900,"BBIO","NASDAQ"
2019-08-28,31.25,31.91,29.26,29.61,144700,"BBIO","NASDAQ"
2019-08-29,29.8,30.92,27.59,30.71,139800,"BBIO","NASDAQ"
2019-08-30,30.51,31.5,29.1,30.48,137000,"BBIO","NASDAQ"
2019-09-03,30.6,32.94,30.49,32.38,360800,"BBIO","NASDAQ"
2019-09-04,32.29,32.295,31.15,31.48,200700,"BBIO","NASDAQ"
2019-09-05,31.55,32.2,30.65,31.32,201400,"BBIO","NASDAQ"
2019-09-06,31.18,32.22,30.86,30.93,227000,"BBIO","NASDAQ"
2019-09-09,30.94,31.113,28.09,28.35,221900,"BBIO","NASDAQ"
2019-09-10,28.02,29.02,26.245,26.55,221900,"BBIO","NASDAQ"
2019-09-11,26.56,27.5,26.08,26.95,185200,"BBIO","NASDAQ"
2019-09-12,27,27.286,26.004,26.1,176400,"BBIO","NASDAQ"
2019-09-13,26.09,26.53,25.33,25.91,194100,"BBIO","NASDAQ"
