"times","open","high","low","close","volume","symbol","market"
2019-05-30,9.18,9.18,9,9,400,"BCDA","NASDAQ"
2019-05-31,9.36,9.36,9.36,9.36,0,"BCDA","NASDAQ"
2019-06-03,9.18,9.18,8.55,8.55,100,"BCDA","NASDAQ"
2019-06-04,9,9.09,9,9.09,200,"BCDA","NASDAQ"
2019-06-05,10.8,11.16,10.8,11.16,400,"BCDA","NASDAQ"
2019-06-06,11.16,11.16,11.16,11.16,200,"BCDA","NASDAQ"
2019-06-07,9,11.16,9,9.2,500,"BCDA","NASDAQ"
2019-06-10,9.2,9.2,9.2,9.2,100,"BCDA","NASDAQ"
2019-06-11,8.1,8.26,8.1,8.26,3500,"BCDA","NASDAQ"
2019-06-12,9.25,11.16,9.25,11.16,500,"BCDA","NASDAQ"
2019-06-13,11.16,11.16,10.16,10.16,500,"BCDA","NASDAQ"
2019-06-14,10.16,10.16,10.16,10.16,100,"BCDA","NASDAQ"
2019-06-17,9.16,10.05,8.3,10.05,900,"BCDA","NASDAQ"
2019-06-18,10.05,10.05,10.05,10.05,0,"BCDA","NASDAQ"
2019-06-19,8.15,12.16,8,9,900,"BCDA","NASDAQ"
2019-06-20,8.2,9,8.2,9,600,"BCDA","NASDAQ"
2019-06-21,9,9,8.75,8.75,800,"BCDA","NASDAQ"
2019-06-24,10.95,10.95,10.95,10.95,100,"BCDA","NASDAQ"
2019-06-25,10.05,11.95,7.29,7.52,1600,"BCDA","NASDAQ"
2019-06-26,9.24,9.24,9.24,9.24,400,"BCDA","NASDAQ"
2019-06-27,10,10.44,10,10.44,600,"BCDA","NASDAQ"
2019-06-28,8,9.5,7.65,9.5,2200,"BCDA","NASDAQ"
2019-07-01,10,10,10,10,200,"BCDA","NASDAQ"
2019-07-02,10,10,10,10,100,"BCDA","NASDAQ"
2019-07-03,10,10,10,10,0,"BCDA","NASDAQ"
2019-07-05,10,10,10,10,0,"BCDA","NASDAQ"
2019-07-08,10,10,10,10,0,"BCDA","NASDAQ"
2019-07-09,10,10,10,10,0,"BCDA","NASDAQ"
2019-07-10,10,10,10,10,0,"BCDA","NASDAQ"
2019-07-11,10,10,10,10,0,"BCDA","NASDAQ"
2019-07-12,10,10,10,10,0,"BCDA","NASDAQ"
