"times","open","high","low","close","volume","symbol","market"
2019-05-30,20.845,20.845,20.845,20.845,200,"BCNA","NASDAQ"
2019-05-31,20.65,20.664,20.65,20.664,1700,"BCNA","NASDAQ"
2019-06-03,20.53,20.72,20.53,20.72,200,"BCNA","NASDAQ"
2019-06-04,20.4,20.633,20.4,20.55,600,"BCNA","NASDAQ"
2019-06-05,20.546,20.546,20.48,20.5,1200,"BCNA","NASDAQ"
2019-06-06,20.3,20.3,20.3,20.3,300,"BCNA","NASDAQ"
2019-06-07,20.3,20.4,20.3,20.4,100,"BCNA","NASDAQ"
2019-06-10,20.3001,20.3,20.3,20.3,100,"BCNA","NASDAQ"
2019-06-11,21.06,21.448,21.06,21.448,1500,"BCNA","NASDAQ"
2019-06-12,20.92,20.92,20.92,20.92,100,"BCNA","NASDAQ"
2019-06-13,20.92,20.92,20.92,20.92,100,"BCNA","NASDAQ"
2019-06-14,20.63,20.63,20.63,20.63,200,"BCNA","NASDAQ"
2019-06-17,20.9,20.9,20.9,20.9,200,"BCNA","NASDAQ"
2019-06-18,20.9,21.52,20.9,21.4,15600,"BCNA","NASDAQ"
2019-06-19,21.35,21.365,21.35,21.365,1100,"BCNA","NASDAQ"
2019-06-20,21.92,21.92,21.88,21.88,1100,"BCNA","NASDAQ"
2019-06-21,21.96,21.96,21.96,21.96,1400,"BCNA","NASDAQ"
2019-06-24,22.05,22.07,22.05,22.06,2300,"BCNA","NASDAQ"
2019-06-25,21.53,21.53,21.465,21.485,300,"BCNA","NASDAQ"
2019-06-26,21.8073,21.819,21.79,21.79,1100,"BCNA","NASDAQ"
2019-06-27,21.72,21.799,21.69,21.756,1600,"BCNA","NASDAQ"
2019-06-28,21.58,21.58,21.58,21.58,100,"BCNA","NASDAQ"
2019-07-01,22.15,22.21,22.15,22.2,2100,"BCNA","NASDAQ"
2019-07-02,21.95,21.95,21.9482,21.95,1100,"BCNA","NASDAQ"
2019-07-03,21.8,21.8,21.8,21.8,100,"BCNA","NASDAQ"
2019-07-05,21.8,21.8,21.8,21.8,100,"BCNA","NASDAQ"
2019-07-08,21.154,21.162,21.154,21.162,800,"BCNA","NASDAQ"
2019-07-09,21,21.232,21,21.232,800,"BCNA","NASDAQ"
2019-07-10,21.354,21.354,21.354,21.354,500,"BCNA","NASDAQ"
2019-07-11,21.0317,21.23,20.98,20.98,2200,"BCNA","NASDAQ"
2019-07-12,20.93,20.9304,20.93,20.93,200,"BCNA","NASDAQ"
2019-07-15,21.15,21.15,21.15,21.15,500,"BCNA","NASDAQ"
2019-07-16,21.15,21.15,21.15,21.15,100,"BCNA","NASDAQ"
2019-07-17,21.33,21.33,21.33,21.33,100,"BCNA","NASDAQ"
2019-07-18,21.01,21.044,21.01,21.044,300,"BCNA","NASDAQ"
2019-07-19,21.044,21.044,21.044,21.044,100,"BCNA","NASDAQ"
2019-07-22,20.85,20.85,20.85,20.85,800,"BCNA","NASDAQ"
2019-07-23,20.97,21.0871,20.97,21.09,700,"BCNA","NASDAQ"
2019-07-24,21.35,21.37,21.35,21.35,900,"BCNA","NASDAQ"
2019-07-25,21.35,21.35,21.35,21.35,100,"BCNA","NASDAQ"
2019-07-26,21.35,21.35,21.35,21.35,100,"BCNA","NASDAQ"
2019-07-29,21.19,21.21,21.19,21.2,1000,"BCNA","NASDAQ"
2019-07-30,21.1,21.1,21.1,21.1,200,"BCNA","NASDAQ"
2019-07-31,21.08,21.0813,20.936,20.936,400,"BCNA","NASDAQ"
2019-08-01,20.85,20.85,20.85,20.85,7200,"BCNA","NASDAQ"
2019-08-02,20.51,20.51,20.3517,20.4,5700,"BCNA","NASDAQ"
2019-08-05,19.72,19.72,19.304,19.304,800,"BCNA","NASDAQ"
2019-08-06,19.445,19.445,19.445,19.445,400,"BCNA","NASDAQ"
2019-08-07,19.445,19.445,19.445,19.445,300,"BCNA","NASDAQ"
2019-08-08,19.445,19.445,19.445,19.445,0,"BCNA","NASDAQ"
2019-08-09,19.051,19.11,19.05,19.11,600,"BCNA","NASDAQ"
2019-08-12,19.051,19.11,19.05,19.11,100,"BCNA","NASDAQ"
2019-08-13,19.051,19.23,19.051,19.23,100,"BCNA","NASDAQ"
2019-08-14,19.35,19.35,19.35,19.35,300,"BCNA","NASDAQ"
2019-08-15,19.3407,19.34,19.29,19.29,400,"BCNA","NASDAQ"
2019-08-16,19.57,19.57,19.57,19.57,100,"BCNA","NASDAQ"
