"times","open","high","low","close","volume","symbol","market"
2019-05-30,32.47,32.4832,31.87,32.17,152800,"BCOR","NASDAQ"
2019-05-31,31.9,31.9,30.92,30.97,187800,"BCOR","NASDAQ"
2019-06-03,30.91,31.3077,30.538,31.1,233500,"BCOR","NASDAQ"
2019-06-04,31.56,31.89,31.03,31.88,176100,"BCOR","NASDAQ"
2019-06-05,32,32.085,31.15,31.52,231300,"BCOR","NASDAQ"
2019-06-06,31.52,31.785,31.05,31.59,153500,"BCOR","NASDAQ"
2019-06-07,31.76,32.1183,31.54,31.82,159200,"BCOR","NASDAQ"
2019-06-10,31.99,32.41,31.44,31.51,227400,"BCOR","NASDAQ"
2019-06-11,31.8,32.0346,31.5,31.74,206200,"BCOR","NASDAQ"
2019-06-12,31.71,31.71,31.24,31.7,121000,"BCOR","NASDAQ"
2019-06-13,31.88,32.097,31.54,31.7,214300,"BCOR","NASDAQ"
2019-06-14,31.5,31.83,31.4,31.75,170100,"BCOR","NASDAQ"
2019-06-17,31.75,31.75,30.67,30.75,260500,"BCOR","NASDAQ"
2019-06-18,30.94,32.2,30.6505,31.42,259000,"BCOR","NASDAQ"
2019-06-19,31.43,31.6,30.69,30.94,278300,"BCOR","NASDAQ"
2019-06-20,31.24,31.5,30.93,31.36,198800,"BCOR","NASDAQ"
2019-06-21,31.18,31.84,30.51,30.73,526300,"BCOR","NASDAQ"
2019-06-24,30.83,30.83,29.59,30.04,248300,"BCOR","NASDAQ"
2019-06-25,29.97,30.2508,29.16,29.18,334000,"BCOR","NASDAQ"
2019-06-26,29.39,29.83,28.72,29.21,418400,"BCOR","NASDAQ"
2019-06-27,29.29,29.595,28.82,29.32,366600,"BCOR","NASDAQ"
2019-06-28,29.49,30.71,29.49,30.37,663300,"BCOR","NASDAQ"
2019-07-01,30.96,30.96,29.77,30.18,410800,"BCOR","NASDAQ"
2019-07-02,30.1,30.15,29.07,29.37,207400,"BCOR","NASDAQ"
2019-07-03,29.5,29.94,29.5,29.81,135900,"BCOR","NASDAQ"
2019-07-05,29.67,30,29.3,29.71,199900,"BCOR","NASDAQ"
2019-07-08,29.64,30.28,28.8802,29.07,487700,"BCOR","NASDAQ"
2019-07-09,28.89,29.63,28.79,29.55,406600,"BCOR","NASDAQ"
2019-07-10,29.73,29.96,29.09,29.12,191800,"BCOR","NASDAQ"
2019-07-11,29.33,29.33,28.79,29.14,240700,"BCOR","NASDAQ"
2019-07-12,29.19,29.72,29.17,29.58,161700,"BCOR","NASDAQ"
2019-07-15,29.57,29.57,28.8782,28.98,203400,"BCOR","NASDAQ"
2019-07-16,28.95,29.4091,28.73,29.37,392200,"BCOR","NASDAQ"
2019-07-17,29.23,29.45,28.95,29.21,344600,"BCOR","NASDAQ"
