"times","open","high","low","close","volume","symbol","market"
2019-05-30,10.13,10.35,10.13,10.22,92200,"BCOV","NASDAQ"
2019-05-31,10.13,10.13,9.94,9.98,78100,"BCOV","NASDAQ"
2019-06-03,9.97,9.97,9.61,9.64,90000,"BCOV","NASDAQ"
2019-06-04,9.7109,10.03,9.65,9.99,92800,"BCOV","NASDAQ"
2019-06-05,10.08,10.11,9.97,10.09,306700,"BCOV","NASDAQ"
2019-06-06,10.12,10.17,9.96,10.13,66300,"BCOV","NASDAQ"
2019-06-07,10.2,10.31,10.17,10.28,56800,"BCOV","NASDAQ"
2019-06-10,10.24,10.37,10.08,10.12,63600,"BCOV","NASDAQ"
2019-06-11,10.17,10.41,9.91,10,79200,"BCOV","NASDAQ"
2019-06-12,9.9994,10.06,9.92,10,62700,"BCOV","NASDAQ"
2019-06-13,9.9904,10.107,9.95,10.03,54100,"BCOV","NASDAQ"
2019-06-14,10.0095,10.22,9.98,10.03,108200,"BCOV","NASDAQ"
2019-06-17,10.06,10.18,10.02,10.03,42700,"BCOV","NASDAQ"
2019-06-18,10.11,10.3,10.11,10.25,86000,"BCOV","NASDAQ"
2019-06-19,10.25,10.5702,10.25,10.45,178900,"BCOV","NASDAQ"
2019-06-20,10.55,10.62,10.33,10.38,120700,"BCOV","NASDAQ"
2019-06-21,10.32,10.42,10.18,10.4,165700,"BCOV","NASDAQ"
2019-06-24,10.45,10.4798,10.33,10.45,117200,"BCOV","NASDAQ"
2019-06-25,10.42,10.5,9.83,9.84,167200,"BCOV","NASDAQ"
2019-06-26,9.9,10.12,9.9,10.07,286700,"BCOV","NASDAQ"
2019-06-27,10.09,10.21,10.05,10.18,192200,"BCOV","NASDAQ"
2019-06-28,10.2,10.38,10.14,10.33,424400,"BCOV","NASDAQ"
2019-07-01,10.31,10.605,10.2398,10.44,106700,"BCOV","NASDAQ"
2019-07-02,10.46,10.49,10.24,10.34,56800,"BCOV","NASDAQ"
2019-07-03,10.35,10.49,10.35,10.46,37200,"BCOV","NASDAQ"
2019-07-05,10.26,10.41,10.13,10.41,65900,"BCOV","NASDAQ"
2019-07-08,10.34,10.41,10.3,10.37,47200,"BCOV","NASDAQ"
2019-07-09,10.32,10.38,10.21,10.25,82800,"BCOV","NASDAQ"
2019-07-10,10.25,10.54,10.2498,10.43,115300,"BCOV","NASDAQ"
2019-07-11,10.47,10.71,10.33,10.71,186900,"BCOV","NASDAQ"
2019-07-12,10.65,10.98,10.63,10.97,275000,"BCOV","NASDAQ"
2019-07-15,10.95,11.56,10.9303,11.42,372600,"BCOV","NASDAQ"
2019-07-16,11.41,11.7898,11.4,11.53,200300,"BCOV","NASDAQ"
2019-07-17,11.53,11.69,11.49,11.67,116800,"BCOV","NASDAQ"
2019-07-18,11.61,11.71,11.4,11.48,114400,"BCOV","NASDAQ"
2019-07-19,11.5,11.59,11.37,11.38,83300,"BCOV","NASDAQ"
2019-07-22,11.36,11.4907,11.24,11.42,228800,"BCOV","NASDAQ"
2019-07-23,11.45,11.48,11.3,11.41,114200,"BCOV","NASDAQ"
2019-07-24,11.4,11.73,11.4,11.7,188100,"BCOV","NASDAQ"
2019-07-25,12.24,12.82,11.81,11.94,369600,"BCOV","NASDAQ"
2019-07-26,12.05,12.2604,11.78,11.79,172300,"BCOV","NASDAQ"
2019-07-29,11.68,12.53,11.54,12.37,511400,"BCOV","NASDAQ"
2019-07-30,12.3596,12.71,12.33,12.53,263800,"BCOV","NASDAQ"
2019-07-31,12.52,12.71,12.4,12.48,235800,"BCOV","NASDAQ"
2019-08-01,12.54,12.81,12.47,12.5,268400,"BCOV","NASDAQ"
2019-08-02,12.38,12.46,11.97,12.29,177100,"BCOV","NASDAQ"
2019-08-05,12.07,12.15,11.8405,11.96,150400,"BCOV","NASDAQ"
2019-08-06,11.97,12.1,11.85,12.01,119400,"BCOV","NASDAQ"
2019-08-07,11.84,11.95,11.8,11.9,390000,"BCOV","NASDAQ"
2019-08-08,11.96,12.37,11.96,12.24,138500,"BCOV","NASDAQ"
2019-08-09,12.22,12.26,12.07,12.19,96400,"BCOV","NASDAQ"
2019-08-12,12.11,12.165,12.0098,12.09,104000,"BCOV","NASDAQ"
2019-08-13,12.1,12.35,11.97,12.35,127000,"BCOV","NASDAQ"
2019-08-14,12.21,12.35,11.83,11.99,122300,"BCOV","NASDAQ"
2019-08-15,12.05,12.11,11.69,11.94,112900,"BCOV","NASDAQ"
2019-08-16,12,12.18,11.88,11.94,164500,"BCOV","NASDAQ"
2019-08-19,12.04,12.28,11.94,12.08,175700,"BCOV","NASDAQ"
2019-08-20,12.06,12.48,11.93,12.29,440600,"BCOV","NASDAQ"
2019-08-21,12.4,12.88,12.36,12.75,363500,"BCOV","NASDAQ"
2019-08-22,12.73,12.8,12.51,12.56,105100,"BCOV","NASDAQ"
2019-08-23,12.57,12.73,12.04,12.11,210600,"BCOV","NASDAQ"
2019-08-26,12.16,12.29,12.08,12.21,134500,"BCOV","NASDAQ"
2019-08-27,12.37,12.45,12.16,12.22,187400,"BCOV","NASDAQ"
2019-08-28,12.17,12.26,12.05,12.19,146200,"BCOV","NASDAQ"
2019-08-29,12.28,12.42,12.28,12.3,55900,"BCOV","NASDAQ"
2019-08-30,12.36,12.36,12.17,12.33,114300,"BCOV","NASDAQ"
2019-09-03,12.22,12.41,12.13,12.23,134800,"BCOV","NASDAQ"
2019-09-04,12.3,12.65,12.1,12.16,129000,"BCOV","NASDAQ"
2019-09-05,12.21,12.59,12.1,12.4,179000,"BCOV","NASDAQ"
2019-09-06,12.44,12.44,11.81,11.82,123000,"BCOV","NASDAQ"
2019-09-09,11.81,11.81,10.81,10.89,180800,"BCOV","NASDAQ"
2019-09-10,10.82,10.85,10.44,10.82,203500,"BCOV","NASDAQ"
2019-09-11,10.84,11.04,10.69,10.96,135500,"BCOV","NASDAQ"
2019-09-12,10.97,11.18,10.9,11.11,125000,"BCOV","NASDAQ"
2019-09-13,11,11.28,10.97,11.21,118200,"BCOV","NASDAQ"
2019-09-16,11.19,11.32,10.84,10.88,137000,"BCOV","NASDAQ"
2019-09-17,10.87,10.98,10.78,10.85,86100,"BCOV","NASDAQ"
2019-09-18,10.89,10.89,10.62,10.69,91000,"BCOV","NASDAQ"
2019-09-19,10.66,10.9,10.66,10.72,85900,"BCOV","NASDAQ"
2019-09-20,10.73,10.95,10.7,10.88,251700,"BCOV","NASDAQ"
2019-09-23,10.81,10.94,10.42,10.43,194700,"BCOV","NASDAQ"
2019-09-24,10.37,10.46,10.19,10.27,337000,"BCOV","NASDAQ"
2019-09-25,10.2,10.64,10.08,10.56,226500,"BCOV","NASDAQ"
2019-09-26,10.56,10.67,10.44,10.49,130800,"BCOV","NASDAQ"
2019-09-27,10.55,10.68,10.37,10.5,182800,"BCOV","NASDAQ"
2019-09-30,10.5,10.53,10.39,10.48,167000,"BCOV","NASDAQ"
2019-10-01,10.51,10.55,10.35,10.35,222900,"BCOV","NASDAQ"
2019-10-02,10.28,10.37,9.79,9.94,142300,"BCOV","NASDAQ"
2019-10-03,9.92,10.13,9.85,10.08,497200,"BCOV","NASDAQ"
2019-10-04,10.14,10.47,10.05,10.45,187200,"BCOV","NASDAQ"
2019-10-07,10.45,10.59,10.45,10.56,201200,"BCOV","NASDAQ"
2019-10-08,10.5,10.72,10.41,10.7,109900,"BCOV","NASDAQ"
2019-10-09,10.75,10.83,10.6,10.65,80900,"BCOV","NASDAQ"
2019-10-10,10.65,10.66,10.49,10.55,125800,"BCOV","NASDAQ"
2019-10-11,10.64,10.77,10.59,10.6,88200,"BCOV","NASDAQ"
2019-10-14,10.56,10.6,10.46,10.55,86100,"BCOV","NASDAQ"
2019-10-15,10.59,10.72,10.57,10.66,77200,"BCOV","NASDAQ"
2019-10-16,10.62,10.62,10.23,10.34,95300,"BCOV","NASDAQ"
2019-10-17,10.36,10.57,10.36,10.43,100100,"BCOV","NASDAQ"
2019-10-18,10.34,10.35,9.87,9.98,111794,"BCOV","NASDAQ"
