"times","open","high","low","close","volume","symbol","market"
2019-05-30,46.97,48.29,46.51,47.69,302600,"BEAT","NASDAQ"
2019-05-31,46.98,47.95,46.45,47.86,403300,"BEAT","NASDAQ"
2019-06-03,47.45,48.42,47,47.99,421600,"BEAT","NASDAQ"
2019-06-04,48.49,49.787,48.05,49.64,345500,"BEAT","NASDAQ"
2019-06-05,50.0002,50,48.109,48.45,429900,"BEAT","NASDAQ"
2019-06-06,48.44,49.12,47.52,48.13,374900,"BEAT","NASDAQ"
2019-06-07,48.03,49.13,47.77,48.78,257400,"BEAT","NASDAQ"
2019-06-10,49.1,49.59,48.07,48.28,342800,"BEAT","NASDAQ"
2019-06-11,48.67,48.8,46.9,47.87,333100,"BEAT","NASDAQ"
2019-06-12,47.79,49.89,47.75,49.79,449800,"BEAT","NASDAQ"
2019-06-13,50,50.4894,49.64,49.85,269300,"BEAT","NASDAQ"
2019-06-14,49.82,50.205,48.73,49.79,251200,"BEAT","NASDAQ"
2019-06-17,50.02,51.5,49.6664,50.66,397000,"BEAT","NASDAQ"
2019-06-18,51.19,52.31,50.71,51.53,359100,"BEAT","NASDAQ"
2019-06-19,51.79,52.835,51.5,51.65,353800,"BEAT","NASDAQ"
2019-06-20,51.9,52.22,50.67,51.13,313100,"BEAT","NASDAQ"
2019-06-21,50.81,50.81,49.22,50.03,738100,"BEAT","NASDAQ"
2019-06-24,50.0037,50.07,48.57,49.16,300800,"BEAT","NASDAQ"
2019-06-25,49.37,49.65,48.5,48.5,294800,"BEAT","NASDAQ"
2019-06-26,48.53,48.82,46.6,46.62,286200,"BEAT","NASDAQ"
2019-06-27,46.73,48.1,46.73,47.97,208700,"BEAT","NASDAQ"
2019-06-28,47.9466,48.755,47.39,48.15,738700,"BEAT","NASDAQ"
2019-07-01,48.64,49.9332,48.64,49.06,418200,"BEAT","NASDAQ"
2019-07-02,49.12,49.85,48.16,48.36,410700,"BEAT","NASDAQ"
2019-07-03,48.47,49.29,48.19,48.63,245200,"BEAT","NASDAQ"
2019-07-05,48.25,49.135,48.04,48.95,257300,"BEAT","NASDAQ"
2019-07-08,48.45,48.84,47.31,47.52,310600,"BEAT","NASDAQ"
2019-07-09,47.38,47.95,46.62,47.67,225500,"BEAT","NASDAQ"
2019-07-10,47.7,48.8,47.64,48.08,242400,"BEAT","NASDAQ"
2019-07-11,48.4,48.89,47.69,48.01,189800,"BEAT","NASDAQ"
2019-07-12,48.13,49,47.76,48.44,273500,"BEAT","NASDAQ"
2019-07-15,48.56,49.06,48.22,48.4,280400,"BEAT","NASDAQ"
2019-07-16,48.65,49.13,47.6,47.68,236200,"BEAT","NASDAQ"
2019-07-17,47.68,48.03,47.3371,47.43,289200,"BEAT","NASDAQ"
2019-07-18,47.34,47.58,46.51,46.56,325200,"BEAT","NASDAQ"
2019-07-19,46.6126,46.8,44.57,45.27,759600,"BEAT","NASDAQ"
2019-07-22,45.48,45.77,44.1,45.16,498500,"BEAT","NASDAQ"
2019-07-23,45.34,45.83,44.81,45.56,358900,"BEAT","NASDAQ"
2019-07-24,45.83,46.72,45.36,46.48,272000,"BEAT","NASDAQ"
2019-07-25,46.52,46.77,45.3,45.48,235500,"BEAT","NASDAQ"
2019-07-26,45.51,46.0813,43.85,44.38,422600,"BEAT","NASDAQ"
2019-07-29,44.25,45.1,43.99,44.25,244400,"BEAT","NASDAQ"
