"times","open","high","low","close","volume","symbol","market"
2019-05-30,34.77,35.46,34.205,34.85,533600,"BECN","NASDAQ"
2019-05-31,34.37,34.94,34.13,34.56,773700,"BECN","NASDAQ"
2019-06-03,34.4377,35.24,34.42,35.17,613800,"BECN","NASDAQ"
2019-06-04,35.64,36.21,34.93,35.85,497400,"BECN","NASDAQ"
2019-06-05,35.8,36.1,34.7,34.76,783100,"BECN","NASDAQ"
2019-06-06,34.65,34.92,34.29,34.72,800600,"BECN","NASDAQ"
2019-06-07,34.8498,35.245,34.587,34.98,698900,"BECN","NASDAQ"
2019-06-10,34.83,35.35,34.42,34.84,979300,"BECN","NASDAQ"
2019-06-11,35,35.36,33.73,33.81,1297600,"BECN","NASDAQ"
2019-06-12,33.71,34.015,32.73,33.25,936200,"BECN","NASDAQ"
2019-06-13,33.34,34.3493,33.34,34.12,1060500,"BECN","NASDAQ"
2019-06-14,34.13,34.13,33.37,33.52,833100,"BECN","NASDAQ"
2019-06-17,33.83,34.28,33.49,34.03,843300,"BECN","NASDAQ"
2019-06-18,34.24,35.15,33.93,34.96,626000,"BECN","NASDAQ"
2019-06-19,34.97,35.34,34.51,34.73,549500,"BECN","NASDAQ"
2019-06-20,35.01,35.29,34.57,35.19,505000,"BECN","NASDAQ"
2019-06-21,35.07,35.11,34.19,34.56,948000,"BECN","NASDAQ"
2019-06-24,34.54,35.32,34.34,34.96,435200,"BECN","NASDAQ"
2019-06-25,34.94,35.09,34.71,34.98,444900,"BECN","NASDAQ"
2019-06-26,35.02,35.29,34.81,34.97,386000,"BECN","NASDAQ"
2019-06-27,35.16,35.83,35.0706,35.82,694600,"BECN","NASDAQ"
2019-06-28,35.89,36.88,35.865,36.72,2058300,"BECN","NASDAQ"
2019-07-01,37.18,37.92,37.12,37.89,718900,"BECN","NASDAQ"
2019-07-02,37.47,37.7749,36.43,36.98,759200,"BECN","NASDAQ"
2019-07-03,36.89,37.19,35.47,36.9,375100,"BECN","NASDAQ"
2019-07-05,36.82,36.98,36.32,36.91,265800,"BECN","NASDAQ"
2019-07-08,36.88,37.39,36.38,37.17,536300,"BECN","NASDAQ"
2019-07-09,36.83,37.2,36.25,36.51,465100,"BECN","NASDAQ"
2019-07-10,36.63,36.9,35.84,36.47,403200,"BECN","NASDAQ"
2019-07-11,36.5,36.8021,36.16,36.44,442300,"BECN","NASDAQ"
2019-07-12,36.63,37.33,36.5,37.2,311600,"BECN","NASDAQ"
2019-07-15,37.2208,37.29,36.48,36.66,284900,"BECN","NASDAQ"
2019-07-16,36.59,37.08,36.41,36.76,254600,"BECN","NASDAQ"
2019-07-17,36.75,36.8111,36.05,36.08,500400,"BECN","NASDAQ"
2019-07-18,36.22,36.23,34.9869,35.5,548800,"BECN","NASDAQ"
2019-07-19,35.42,35.92,35.35,35.41,319900,"BECN","NASDAQ"
2019-07-22,35.4,35.73,34.7908,35.12,434100,"BECN","NASDAQ"
2019-07-23,35.37,35.91,35.16,35.91,299400,"BECN","NASDAQ"
2019-07-24,36.03,37.29,35.84,37.28,520100,"BECN","NASDAQ"
2019-07-25,37.43,37.87,37.22,37.51,325600,"BECN","NASDAQ"
2019-07-26,37.41,37.78,37.16,37.44,374600,"BECN","NASDAQ"
2019-07-29,37.46,37.52,36.34,36.52,364000,"BECN","NASDAQ"
2019-07-30,36.2523,37.44,36.17,37.29,404000,"BECN","NASDAQ"
2019-07-31,37,37.47,36.18,36.23,794000,"BECN","NASDAQ"
2019-08-01,36.2294,36.38,35.16,35.25,467500,"BECN","NASDAQ"
2019-08-02,35.17,35.41,34.64,35.16,423900,"BECN","NASDAQ"
2019-08-05,34.72,35.47,34.481,35.41,526800,"BECN","NASDAQ"
2019-08-06,35.73,36.63,34.3724,34.89,1211900,"BECN","NASDAQ"
2019-08-07,30.19,31.84,26.5,27.53,4641400,"BECN","NASDAQ"
2019-08-08,27.74,29.62,27.74,28.77,1989300,"BECN","NASDAQ"
2019-08-09,28.79,29.89,27.811,29.47,998900,"BECN","NASDAQ"
2019-08-12,29.209,30.97,29,30.76,1480300,"BECN","NASDAQ"
2019-08-13,30.48,31.57,30.16,30.46,1054800,"BECN","NASDAQ"
2019-08-14,30.04,30.94,29.95,30.6,750100,"BECN","NASDAQ"
2019-08-15,30.74,30.94,30.27,30.56,589800,"BECN","NASDAQ"
2019-08-16,30.63,30.97,28.67,30.03,677700,"BECN","NASDAQ"
2019-08-19,30.52,31.04,30.2,30.52,537900,"BECN","NASDAQ"
2019-08-20,30.54,30.97,30.54,30.64,525300,"BECN","NASDAQ"
2019-08-21,31.08,31.2,30.6,30.88,775500,"BECN","NASDAQ"
2019-08-22,31.05,31.41,30.76,31.18,379300,"BECN","NASDAQ"
2019-08-23,30.96,31.62,30.63,30.76,605100,"BECN","NASDAQ"
2019-08-26,30.99,31.04,30.16,30.64,466100,"BECN","NASDAQ"
