"times","open","high","low","close","volume","symbol","market"
2019-05-30,14.16,14.23,13.96,14.07,29600,"BFIN","NASDAQ"
2019-05-31,13.95,14.21,13.89,13.9,43200,"BFIN","NASDAQ"
2019-06-03,13.92,13.9798,13.68,13.79,44100,"BFIN","NASDAQ"
2019-06-04,13.89,14.02,13.87,13.93,36100,"BFIN","NASDAQ"
2019-06-05,13.95,14.06,13.89,14.06,31200,"BFIN","NASDAQ"
2019-06-06,14.02,14.2303,13.76,13.82,28100,"BFIN","NASDAQ"
2019-06-07,13.85,13.9,13.71,13.77,25100,"BFIN","NASDAQ"
2019-06-10,13.86,13.96,13.8091,13.92,28000,"BFIN","NASDAQ"
2019-06-11,13.95,13.97,13.82,13.89,26900,"BFIN","NASDAQ"
2019-06-12,13.9,14.11,13.8602,13.98,21400,"BFIN","NASDAQ"
2019-06-13,14.03,14.139,14.01,14.08,18500,"BFIN","NASDAQ"
2019-06-14,14.06,14.21,13.88,13.91,46800,"BFIN","NASDAQ"
2019-06-17,13.93,14.05,13.87,13.9,23200,"BFIN","NASDAQ"
2019-06-18,14,14.11,13.97,13.99,20900,"BFIN","NASDAQ"
2019-06-19,13.9909,14.115,13.86,13.91,22200,"BFIN","NASDAQ"
2019-06-20,13.92,14.08,13.75,13.87,22500,"BFIN","NASDAQ"
2019-06-21,13.78,13.91,13.48,13.51,66100,"BFIN","NASDAQ"
2019-06-24,13.5,13.78,13.48,13.49,25900,"BFIN","NASDAQ"
2019-06-25,13.52,13.7,13.48,13.64,20600,"BFIN","NASDAQ"
2019-06-26,13.68,13.9,13.44,13.62,23600,"BFIN","NASDAQ"
2019-06-27,13.675,13.88,13.665,13.82,25200,"BFIN","NASDAQ"
2019-06-28,13.77,14.22,13.77,13.99,161200,"BFIN","NASDAQ"
2019-07-01,14.1,14.18,13.98,14.1,21900,"BFIN","NASDAQ"
2019-07-02,14.07,14.07,13.82,14.01,14600,"BFIN","NASDAQ"
2019-07-03,14.0394,14.05,13.74,13.93,20600,"BFIN","NASDAQ"
2019-07-05,13.92,14.14,13.85,14.09,28800,"BFIN","NASDAQ"
2019-07-08,14.0499,14.15,13.88,14.04,24900,"BFIN","NASDAQ"
2019-07-09,14.07,14.13,13.95,14.1,24400,"BFIN","NASDAQ"
2019-07-10,14.24,14.24,13.8793,13.89,33000,"BFIN","NASDAQ"
2019-07-11,13.84,13.9,13.79,13.8,20600,"BFIN","NASDAQ"
2019-07-12,13.8,13.85,13.77,13.78,36600,"BFIN","NASDAQ"
2019-07-15,13.86,13.86,13.75,13.81,14800,"BFIN","NASDAQ"
2019-07-16,13.74,13.86,13.73,13.77,12100,"BFIN","NASDAQ"
2019-07-17,13.77,13.7703,13.59,13.59,13200,"BFIN","NASDAQ"
2019-07-18,13.5,13.63,13.35,13.6,46200,"BFIN","NASDAQ"
2019-07-19,13.51,13.69,13.38,13.52,17400,"BFIN","NASDAQ"
2019-07-22,13.67,13.67,13.38,13.53,18800,"BFIN","NASDAQ"
2019-07-23,13.54,13.61,13.5,13.55,37700,"BFIN","NASDAQ"
2019-07-24,13.55,13.75,13.51,13.67,32600,"BFIN","NASDAQ"
2019-07-25,13.66,13.69,13.37,13.5,15700,"BFIN","NASDAQ"
2019-07-26,13.5,13.85,13.5,13.75,96000,"BFIN","NASDAQ"
2019-07-29,13.84,14.29,13.6,13.93,33300,"BFIN","NASDAQ"
2019-07-30,13.52,13.72,13.41,13.5,64600,"BFIN","NASDAQ"
2019-07-31,13.44,14,13.41,13.41,43100,"BFIN","NASDAQ"
2019-08-01,13.78,13.79,13.12,13.13,24700,"BFIN","NASDAQ"
2019-08-02,12.9,12.92,12.73,12.85,25900,"BFIN","NASDAQ"
2019-08-05,12.55,12.63,12.44,12.5,44500,"BFIN","NASDAQ"
2019-08-06,12.43,12.56,12.11,12.3,39700,"BFIN","NASDAQ"
2019-08-07,12.13,12.3,12.02,12.08,19500,"BFIN","NASDAQ"
2019-08-08,12.22,12.38,12.11,12.11,24600,"BFIN","NASDAQ"
2019-08-09,12.08,12.13,12.035,12.08,16000,"BFIN","NASDAQ"
2019-08-12,12.06,12.11,11.95,12,25500,"BFIN","NASDAQ"
2019-08-13,12,12.16,11.97,12.13,38100,"BFIN","NASDAQ"
2019-08-14,12.3,12.31,11.48,11.56,66700,"BFIN","NASDAQ"
2019-08-15,11.67,11.81,11.45,11.77,17700,"BFIN","NASDAQ"
2019-08-16,11.8,11.97,11.5,11.58,30200,"BFIN","NASDAQ"
2019-08-19,11.74,11.78,11.46,11.63,21800,"BFIN","NASDAQ"
2019-08-20,11.59,11.65,11.43,11.5,10400,"BFIN","NASDAQ"
2019-08-21,11.58,11.61,11.43,11.53,18200,"BFIN","NASDAQ"
2019-08-22,11.55,11.69,11.52,11.62,13500,"BFIN","NASDAQ"
2019-08-23,11.63,11.74,11.32,11.35,51000,"BFIN","NASDAQ"
2019-08-26,11.43,11.43,11.1,11.25,36900,"BFIN","NASDAQ"
2019-08-27,11.3,11.41,11.16,11.23,106000,"BFIN","NASDAQ"
2019-08-28,11.2,11.63,11.16,11.58,81000,"BFIN","NASDAQ"
2019-08-29,11.64,11.92,11.64,11.89,20200,"BFIN","NASDAQ"
2019-08-30,12,12,11.66,11.66,15500,"BFIN","NASDAQ"
2019-09-03,11.48,11.54,11.41,11.46,15500,"BFIN","NASDAQ"
2019-09-04,11.51,11.68,11.34,11.36,27200,"BFIN","NASDAQ"
2019-09-05,11.56,11.69,11.42,11.5,36400,"BFIN","NASDAQ"
2019-09-06,11.51,11.52,11.34,11.38,24000,"BFIN","NASDAQ"
2019-09-09,11.4,11.77,11.35,11.72,31600,"BFIN","NASDAQ"
2019-09-10,11.64,12.07,11.64,11.95,27200,"BFIN","NASDAQ"
2019-09-11,11.96,12.21,11.82,12.14,17200,"BFIN","NASDAQ"
2019-09-12,12.16,12.3,12.08,12.24,26600,"BFIN","NASDAQ"
2019-09-13,12.33,12.34,12.16,12.2,33700,"BFIN","NASDAQ"
2019-09-16,12.1,12.26,12.01,12.02,26200,"BFIN","NASDAQ"
2019-09-17,12,12.08,11.83,11.9,35600,"BFIN","NASDAQ"
2019-09-18,11.9,12.03,11.7,11.96,42200,"BFIN","NASDAQ"
2019-09-19,11.98,12.35,11.88,11.88,53600,"BFIN","NASDAQ"
2019-09-20,11.86,12.37,11.8,12.31,106800,"BFIN","NASDAQ"
2019-09-23,12.09,12.36,11.99,12.07,28300,"BFIN","NASDAQ"
2019-09-24,12.03,12.35,12.03,12.2,74900,"BFIN","NASDAQ"
2019-09-25,12.34,12.49,12.26,12.42,16700,"BFIN","NASDAQ"
2019-09-26,12.44,12.49,12.25,12.25,13400,"BFIN","NASDAQ"
2019-09-27,12.36,12.36,11.91,11.96,17200,"BFIN","NASDAQ"
2019-09-30,12.02,12.11,11.89,11.9,16400,"BFIN","NASDAQ"
2019-10-01,11.95,12,11.81,11.82,73900,"BFIN","NASDAQ"
2019-10-02,11.75,11.92,11.75,11.87,28600,"BFIN","NASDAQ"
2019-10-03,11.86,11.86,11.7,11.76,13100,"BFIN","NASDAQ"
2019-10-04,11.65,11.81,11.6,11.81,88000,"BFIN","NASDAQ"
2019-10-07,11.81,12.1,11.81,12.01,24900,"BFIN","NASDAQ"
2019-10-08,11.92,12.25,11.84,11.91,25900,"BFIN","NASDAQ"
2019-10-09,11.96,12.13,11.8,11.94,18100,"BFIN","NASDAQ"
