"times","open","high","low","close","volume","symbol","market"
2019-05-30,25.95,25.96,25.8,25.85,62000,"BHFAL","NASDAQ"
2019-05-31,25.72,25.8498,25.55,25.55,83600,"BHFAL","NASDAQ"
2019-06-03,25.59,25.7418,25.59,25.63,28800,"BHFAL","NASDAQ"
2019-06-04,25.65,25.84,25.65,25.84,19400,"BHFAL","NASDAQ"
2019-06-05,25.7,25.87,25.66,25.72,24100,"BHFAL","NASDAQ"
2019-06-06,25.71,25.79,25.6,25.67,23000,"BHFAL","NASDAQ"
2019-06-07,25.7,25.79,25.67,25.79,10100,"BHFAL","NASDAQ"
2019-06-10,25.65,26,25.65,25.97,209100,"BHFAL","NASDAQ"
2019-06-11,26.05,26.0902,25.91,26,17200,"BHFAL","NASDAQ"
2019-06-12,26,26.09,25.95,26.09,12900,"BHFAL","NASDAQ"
2019-06-13,25.97,26.17,25.95,26.15,30100,"BHFAL","NASDAQ"
2019-06-14,26.0093,26.2,26,26.2,43500,"BHFAL","NASDAQ"
2019-06-17,26.31,26.37,26.17,26.27,35200,"BHFAL","NASDAQ"
2019-06-18,26.3,26.34,26.12,26.22,134800,"BHFAL","NASDAQ"
2019-06-19,26.19,26.39,26.17,26.25,62600,"BHFAL","NASDAQ"
2019-06-20,26.17,26.26,26.17,26.25,39300,"BHFAL","NASDAQ"
2019-06-21,26.2801,26.32,26.15,26.17,81200,"BHFAL","NASDAQ"
2019-06-24,26.23,26.27,25.99,26.08,48300,"BHFAL","NASDAQ"
2019-06-25,25.98,25.98,25.3,25.42,312000,"BHFAL","NASDAQ"
2019-06-26,25.43,25.59,25.41,25.54,96100,"BHFAL","NASDAQ"
2019-06-27,25.56,25.73,25.56,25.73,74100,"BHFAL","NASDAQ"
2019-06-28,25.7478,25.97,25.75,25.97,192400,"BHFAL","NASDAQ"
2019-07-01,25.96,25.96,25.71,25.71,37600,"BHFAL","NASDAQ"
2019-07-02,25.7,25.75,25.57,25.69,57100,"BHFAL","NASDAQ"
2019-07-03,25.7,25.86,25.66,25.85,23800,"BHFAL","NASDAQ"
2019-07-05,25.86,25.95,25.85,25.94,32100,"BHFAL","NASDAQ"
2019-07-08,25.93,25.99,25.9,25.94,61900,"BHFAL","NASDAQ"
2019-07-09,25.92,26.04,25.82,25.99,37700,"BHFAL","NASDAQ"
2019-07-10,25.9,26.11,25.89,25.9,49400,"BHFAL","NASDAQ"
2019-07-11,25.92,26.09,25.92,26.07,19900,"BHFAL","NASDAQ"
2019-07-12,26.0815,26.22,25.95,26.13,62300,"BHFAL","NASDAQ"
2019-07-15,26.28,26.29,26.11,26.17,21100,"BHFAL","NASDAQ"
2019-07-16,26.1679,26.28,26.1,26.27,30900,"BHFAL","NASDAQ"
2019-07-17,26.15,26.51,26.15,26.5,36900,"BHFAL","NASDAQ"
2019-07-18,26.47,26.55,26.46,26.55,58600,"BHFAL","NASDAQ"
2019-07-19,26.5,26.66,26.5,26.64,32500,"BHFAL","NASDAQ"
2019-07-22,26.6,26.68,26.48,26.65,46100,"BHFAL","NASDAQ"
2019-07-23,26.62,26.62,26.56,26.61,34600,"BHFAL","NASDAQ"
2019-07-24,26.56,26.89,26.56,26.89,31600,"BHFAL","NASDAQ"
2019-07-25,26.65,26.88,26.65,26.76,24200,"BHFAL","NASDAQ"
2019-07-26,26.71,26.9,26.71,26.79,33000,"BHFAL","NASDAQ"
2019-07-29,26.74,26.95,26.73,26.93,17300,"BHFAL","NASDAQ"
2019-07-30,26.95,27.3319,26.91,27.26,45300,"BHFAL","NASDAQ"
2019-07-31,27.05,27.44,27.05,27.4,137600,"BHFAL","NASDAQ"
2019-08-01,27.2,27.3,27.01,27.1,37300,"BHFAL","NASDAQ"
2019-08-02,27.01,27.29,26.92,27.27,16800,"BHFAL","NASDAQ"
2019-08-05,27.2505,27.25,26.53,26.77,57200,"BHFAL","NASDAQ"
2019-08-06,26.96,26.9819,26.74,26.94,21900,"BHFAL","NASDAQ"
2019-08-07,26.8,26.874,26.7,26.86,18000,"BHFAL","NASDAQ"
2019-08-08,26.71,26.9,26.71,26.8,8100,"BHFAL","NASDAQ"
2019-08-09,26.8,26.895,26.71,26.84,16400,"BHFAL","NASDAQ"
2019-08-12,26.596,26.83,26.5,26.78,12500,"BHFAL","NASDAQ"
2019-08-13,26.682,26.89,26.682,26.76,24300,"BHFAL","NASDAQ"
2019-08-14,26.78,26.89,26.65,26.84,17000,"BHFAL","NASDAQ"
2019-08-15,26.81,27.14,26.81,27.14,20600,"BHFAL","NASDAQ"
2019-08-16,27.05,27.2,27.05,27.14,40500,"BHFAL","NASDAQ"
2019-08-19,27.14,27.25,27.12,27.24,22100,"BHFAL","NASDAQ"
2019-08-20,27.18,27.25,27.07,27.17,24100,"BHFAL","NASDAQ"
2019-08-21,27.24,27.25,27.07,27.23,22900,"BHFAL","NASDAQ"
2019-08-22,27.2,27.36,27.17,27.35,41000,"BHFAL","NASDAQ"
2019-08-23,27.3,27.46,27.16,27.3,25500,"BHFAL","NASDAQ"
2019-08-26,27.48,27.48,27.3,27.34,14600,"BHFAL","NASDAQ"
2019-08-27,27.38,27.53,27.16,27.25,44400,"BHFAL","NASDAQ"
2019-08-28,27.22,27.37,27.16,27.33,36000,"BHFAL","NASDAQ"
2019-08-29,27.15,27.23,26.9,27.19,37100,"BHFAL","NASDAQ"
2019-08-30,27.2,27.29,27.1,27.29,124200,"BHFAL","NASDAQ"
2019-09-03,27.21,27.29,27.02,27.29,23300,"BHFAL","NASDAQ"
2019-09-04,27.12,27.33,27.03,27.13,38200,"BHFAL","NASDAQ"
2019-09-05,27.32,27.32,26.6,26.76,34900,"BHFAL","NASDAQ"
2019-09-06,26.77,26.78,26.35,26.5,48600,"BHFAL","NASDAQ"
2019-09-09,26.5,26.77,26.5,26.67,125900,"BHFAL","NASDAQ"
2019-09-10,26.53,26.66,26.43,26.49,61900,"BHFAL","NASDAQ"
2019-09-11,26.55,26.66,26.4,26.46,65200,"BHFAL","NASDAQ"
2019-09-12,26.5,26.6,26.22,26.33,58600,"BHFAL","NASDAQ"
2019-09-13,26.35,26.35,25.74,26.07,57200,"BHFAL","NASDAQ"
2019-09-16,26.19,26.33,25.92,26.2,45500,"BHFAL","NASDAQ"
2019-09-17,26.17,26.51,26.15,26.49,18900,"BHFAL","NASDAQ"
2019-09-18,26.54,26.71,26.37,26.69,107800,"BHFAL","NASDAQ"
2019-09-19,26.47,26.91,26.47,26.86,49700,"BHFAL","NASDAQ"
2019-09-20,26.72,26.94,26.65,26.92,36400,"BHFAL","NASDAQ"
2019-09-23,26.76,27.3,26.71,27.29,63500,"BHFAL","NASDAQ"
2019-09-24,27.3,27.33,26.95,27.11,28200,"BHFAL","NASDAQ"
2019-09-25,27.17,27.23,27,27.16,20200,"BHFAL","NASDAQ"
2019-09-26,27.01,27.2,26.91,26.91,37200,"BHFAL","NASDAQ"
2019-09-27,27.2,27.5,27.2,27.47,40200,"BHFAL","NASDAQ"
2019-09-30,27.47,27.74,27.2,27.7,180200,"BHFAL","NASDAQ"
2019-10-01,27.49,27.49,27.21,27.33,32200,"BHFAL","NASDAQ"
2019-10-02,27.29,27.29,26.85,27.14,12300,"BHFAL","NASDAQ"
2019-10-03,27,27.14,26.97,27.03,11100,"BHFAL","NASDAQ"
2019-10-04,27,27.22,26.99,26.99,17300,"BHFAL","NASDAQ"
2019-10-07,26.85,26.98,26.7,26.74,43400,"BHFAL","NASDAQ"
2019-10-08,26.75,26.95,26.75,26.81,6400,"BHFAL","NASDAQ"
2019-10-09,26.8,27.21,26.68,27.2,31500,"BHFAL","NASDAQ"
2019-10-10,27,27.06,26.92,27.05,19900,"BHFAL","NASDAQ"
2019-10-11,26.95,27.1,26.95,27.02,16400,"BHFAL","NASDAQ"
2019-10-14,26.97,27.38,26.85,27.38,29200,"BHFAL","NASDAQ"
2019-10-15,27.29,27.35,27.19,27.34,38900,"BHFAL","NASDAQ"
2019-10-16,27.11,27.32,27.03,27.3,36700,"BHFAL","NASDAQ"
2019-10-17,27.24,27.41,27.21,27.41,16500,"BHFAL","NASDAQ"
2019-10-18,27.2926,27.415,27.18,27.19,22653,"BHFAL","NASDAQ"
