"times","open","high","low","close","volume","symbol","market"
2019-05-30,26.95,27.14,26.95,27.14,30200,"BHFAP","NASDAQ"
2019-05-31,26.9114,27.09,26.78,26.78,244500,"BHFAP","NASDAQ"
2019-06-03,26.752,26.93,26.75,26.88,21700,"BHFAP","NASDAQ"
2019-06-04,26.91,27.08,26.889,27.06,156300,"BHFAP","NASDAQ"
2019-06-05,27.08,27.09,26.85,26.92,95000,"BHFAP","NASDAQ"
2019-06-06,26.86,26.9806,26.84,26.9,43800,"BHFAP","NASDAQ"
2019-06-07,26.57,26.64,26.44,26.64,56000,"BHFAP","NASDAQ"
2019-06-10,26.591,26.752,26.591,26.73,163800,"BHFAP","NASDAQ"
2019-06-11,26.81,26.83,26.65,26.71,65500,"BHFAP","NASDAQ"
2019-06-12,26.69,26.79,26.67,26.78,99900,"BHFAP","NASDAQ"
2019-06-13,26.75,26.91,26.75,26.91,297000,"BHFAP","NASDAQ"
2019-06-14,26.84,26.93,26.83,26.87,88900,"BHFAP","NASDAQ"
2019-06-17,26.82,27.08,26.82,27.01,214500,"BHFAP","NASDAQ"
2019-06-18,26.9976,27,26.64,26.74,561100,"BHFAP","NASDAQ"
2019-06-19,26.74,26.83,26.68,26.8,70800,"BHFAP","NASDAQ"
2019-06-20,26.87,26.87,26.69,26.74,78400,"BHFAP","NASDAQ"
2019-06-21,26.74,26.79,26.62,26.62,41400,"BHFAP","NASDAQ"
2019-06-24,26.7,26.77,26.4,26.48,66000,"BHFAP","NASDAQ"
2019-06-25,26.41,26.498,25.73,26.04,426700,"BHFAP","NASDAQ"
2019-06-26,26.07,26.19,26.01,26.16,102000,"BHFAP","NASDAQ"
2019-06-27,26.16,26.33,26.16,26.27,91500,"BHFAP","NASDAQ"
2019-06-28,26.26,26.62,26.252,26.62,258000,"BHFAP","NASDAQ"
2019-07-01,26.34,26.512,26.34,26.43,31200,"BHFAP","NASDAQ"
2019-07-02,26.34,26.49,26.31,26.45,56200,"BHFAP","NASDAQ"
